number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
76,0.31977567331868556,2026-03-11 19:24:53.224605,2026-03-11 19:30:03.024411,0 days 00:05:09.799806,64,0.8,0.0010380979682317122,15,meta,256,32,1,1.0652466429804341,0.0,0.007891039977095653,0.4,7,30,BiLSTM,1,20,7.390017311122323e-07,0.6338935574229692,0.5411265152173546,0.31977567331868556,0.7153908436784642,0.5684126907357173,COMPLETE,0.5411265152173546,0.31977567331868556,0.7153908436784642,0.5684126907357173,0.6338935574229692
64,0.3165786799793886,2026-03-11 18:26:45.430652,2026-03-11 18:31:18.670612,0 days 00:04:33.239960,64,0.8,0.0012182305085397503,15,meta,256,32,1,1.2684395628653702,0.0,0.009825035111302324,0.4,7,50,BiLSTM,1,20,5.722646749682528e-07,0.630252100840336,0.5530794488810362,0.3165786799793886,0.700325995691259,0.6092096896240238,COMPLETE,0.5530794488810362,0.3165786799793886,0.700325995691259,0.6092096896240238,0.630252100840336
93,0.3116235711268608,2026-03-11 21:03:25.036951,2026-03-11 21:07:14.364652,0 days 00:03:49.327701,64,0.4,0.0035022772924828884,10,meta,256,32,1,1.034811248816842,0.2,0.005714747972487817,0.4,7,50,BiLSTM,1,20,1.1667740754717643e-07,0.6294117647058823,0.5309576036215636,0.3116235711268608,0.7197362225723517,0.5841097954875242,COMPLETE,0.5309576036215636,0.3116235711268608,0.7197362225723517,0.5841097954875242,0.6294117647058823
74,0.308817268656702,2026-03-11 19:14:48.558609,2026-03-11 19:19:59.698173,0 days 00:05:11.139564,64,0.6000000000000001,0.0014142975389227314,15,meta,256,64,1,0.5637776928576548,0.30000000000000004,0.005915524297699403,0.4,7,50,BiLSTM,1,20,1.2184763625648599e-05,0.6285714285714286,0.5630976790519305,0.308817268656702,0.6743572994028878,0.6319665455607668,COMPLETE,0.5630976790519305,0.308817268656702,0.6743572994028878,0.6319665455607668,0.6285714285714286
22,0.30823016899334404,2026-03-11 15:48:34.214915,2026-03-11 15:51:57.901482,0 days 00:03:23.686567,64,0.8,0.0015822094936975228,15,meta,128,32,1,0.39905694897728194,0.4,0.0033937704153084924,0.8,5,20,GRU,1,15,1.4096959488202346e-07,0.627450980392157,0.5561755901991128,0.30823016899334404,0.6891950861423554,0.6301495063026027,COMPLETE,0.5561755901991128,0.30823016899334404,0.6891950861423554,0.6301495063026027,0.627450980392157
51,0.30760575970869214,2026-03-11 17:34:38.382229,2026-03-11 17:39:04.849537,0 days 00:04:26.467308,32,0.7000000000000001,0.0008178416004617158,15,meta,128,32,1,0.30998452062245674,0.4,0.0017324037158700793,0.4,5,50,GRU,1,15,7.558951491163316e-07,0.615686274509804,0.5697540083338225,0.30760575970869214,0.6685204394909139,0.6567597066467272,COMPLETE,0.5697540083338225,0.30760575970869214,0.6685204394909139,0.6567597066467272,0.615686274509804
68,0.3071867169520093,2026-03-11 18:45:47.974662,2026-03-11 18:50:16.036671,0 days 00:04:28.062009,64,0.5,0.0025048457882137177,15,meta,256,32,1,0.7150336867113449,0.2,0.008005240027827164,0.4,7,50,BiLSTM,1,20,2.100666246201446e-07,0.6221288515406163,0.5481450958991078,0.3071867169520093,0.6921935385712915,0.6110700520052859,COMPLETE,0.5481450958991078,0.3071867169520093,0.6921935385712915,0.6110700520052859,0.6221288515406163
77,0.3063621872210248,2026-03-11 19:30:03.025533,2026-03-11 19:38:26.160188,0 days 00:08:23.134655,32,0.30000000000000004,0.0008213444499689533,20,meta,256,64,1,0.14318041661855752,0.30000000000000004,0.003951547330587923,0.4,7,50,BiLSTM,1,20,3.521365276975298e-05,0.6179271708683471,0.533319352530026,0.3063621872210248,0.7028384361243817,0.6000419362678552,COMPLETE,0.533319352530026,0.3063621872210248,0.7028384361243817,0.6000419362678552,0.6179271708683471
88,0.30597146148866317,2026-03-11 20:33:50.022133,2026-03-11 20:40:29.367407,0 days 00:06:39.345274,32,0.5,0.002864704866941029,15,meta_err,256,32,1,0.9545333656107442,0.0,0.008387528781521979,0.4,7,50,BiLSTM,1,20,3.800748437471371e-07,0.6190476190476191,0.5420307335848258,0.30597146148866317,0.7049893949691175,0.6077962742315675,COMPLETE,0.5420307335848258,0.30597146148866317,0.7049893949691175,0.6077962742315675,0.6190476190476191
16,0.3051194371704979,2026-03-11 15:26:48.948437,2026-03-11 15:29:54.817551,0 days 00:03:05.869114,64,0.4,0.0015351739060588251,10,meta_err,256,32,1,0.5896987783249137,0.2,0.003278127604811978,0.8,5,50,GRU,1,20,5.386109070564027e-05,0.6179271708683475,0.5484469480066695,0.3051194371704979,0.6870595657636523,0.6235099914426124,COMPLETE,0.5484469480066695,0.3051194371704979,0.6870595657636523,0.6235099914426124,0.6179271708683475
44,0.30437334715393655,2026-03-11 17:05:21.787995,2026-03-11 17:09:36.557105,0 days 00:04:14.769110,64,0.7000000000000001,0.0023106344466856466,15,meta,256,32,1,0.5936580158346497,0.0,0.005879843797654517,0.4,5,50,BiLSTM,1,20,7.2889532153067236e-06,0.6187675070028013,0.5503092228352319,0.30437334715393655,0.6887402883371414,0.632666482197636,COMPLETE,0.5503092228352319,0.30437334715393655,0.6887402883371414,0.632666482197636,0.6187675070028013
66,0.3038164773053483,2026-03-11 18:35:53.947299,2026-03-11 18:40:15.891284,0 days 00:04:21.943985,64,0.7000000000000001,0.00028390321812415877,15,meta,256,32,1,0.6140468629269713,0.0,0.006894619122884291,0.4,5,30,BiGRU,1,20,8.380931224564709e-06,0.6257703081232494,0.5310252021696529,0.3038164773053483,0.7152117303219363,0.5632007902901223,COMPLETE,0.5310252021696529,0.3038164773053483,0.7152117303219363,0.5632007902901223,0.6257703081232494
34,0.30376676561980653,2026-03-11 16:31:49.551398,2026-03-11 16:35:13.321138,0 days 00:03:23.769740,64,0.7000000000000001,0.0007551982110278226,10,meta_err,256,32,1,0.4833285352740963,0.0,0.002620970242100839,0.4,5,50,BiLSTM,1,20,3.3486293114066674e-06,0.6187675070028011,0.5447124650111703,0.30376676561980653,0.6997437743490816,0.6072407051342147,COMPLETE,0.5447124650111703,0.30376676561980653,0.6997437743490816,0.6072407051342147,0.6187675070028011
85,0.3030548408258311,2026-03-11 20:18:16.318602,2026-03-11 20:22:20.593516,0 days 00:04:04.274914,64,0.5,0.000588592304651971,15,meta,256,32,1,0.7363176512788498,0.1,0.00782204434129727,0.4,7,50,GRU,1,15,1.49909279372339e-07,0.623529411764706,0.5561333639296012,0.3030548408258311,0.680622852347101,0.6096691812608767,COMPLETE,0.5561333639296012,0.3030548408258311,0.680622852347101,0.6096691812608767,0.623529411764706
94,0.3029543978517368,2026-03-11 21:07:14.365665,2026-03-11 21:11:03.127706,0 days 00:03:48.762041,64,0.7000000000000001,0.0065016067933545835,10,meta,256,32,1,0.9010195276465875,0.1,0.0076037637912565615,0.4,7,50,BiLSTM,1,15,1.291214230903877e-07,0.6260504201680672,0.5343892808380628,0.3029543978517368,0.7109627727741155,0.5812823208629152,COMPLETE,0.5343892808380628,0.3029543978517368,0.7109627727741155,0.5812823208629152,0.6260504201680672
59,0.30257091099074296,2026-03-11 18:08:33.808701,2026-03-11 18:11:42.989847,0 days 00:03:09.181146,64,0.8,0.00011377722180925154,10,meta_err,256,64,1,0.6918986965560454,0.0,0.006283713901038481,0.8,5,30,GRU,1,20,3.534178130792299e-05,0.6268907563025211,0.5531520600418179,0.30257091099074296,0.6780650693903695,0.6085786589265997,COMPLETE,0.5531520600418179,0.30257091099074296,0.6780650693903695,0.6085786589265997,0.6268907563025211
15,0.30255153782197897,2026-03-11 15:23:39.004388,2026-03-11 15:26:48.947452,0 days 00:03:09.943064,64,0.6000000000000001,0.001366821115010462,10,meta_err,256,32,1,0.41520949032175497,0.1,0.0038575392760673275,0.4,5,30,GRU,1,20,2.3463807600645276e-05,0.619327731092437,0.5559340046981124,0.30255153782197897,0.6802872863772431,0.62276956915347,COMPLETE,0.5559340046981124,0.30255153782197897,0.6802872863772431,0.62276956915347,0.619327731092437
53,0.3013932252451021,2026-03-11 17:43:39.836877,2026-03-11 17:50:34.985231,0 days 00:06:55.148354,32,0.7000000000000001,0.0011001072013141129,15,meta,128,32,1,0.5545403534641553,0.4,0.007228700033001241,0.4,5,50,BiGRU,2,10,1.117789472683381e-07,0.6215686274509805,0.5124598490765698,0.3013932252451021,0.7322658761797471,0.5464009963379326,COMPLETE,0.5124598490765698,0.3013932252451021,0.7322658761797471,0.5464009963379326,0.6215686274509805
72,0.3010793460978316,2026-03-11 19:02:04.203433,2026-03-11 19:07:14.934344,0 days 00:05:10.730911,32,0.4,0.005461653953041245,10,meta,256,32,1,0.8774978175031024,0.2,0.004556421634551722,0.4,7,50,BiGRU,1,20,9.535407159239467e-07,0.6254901960784315,0.547960357263597,0.3010793460978316,0.6858720531747802,0.6121758768230862,COMPLETE,0.547960357263597,0.3010793460978316,0.6858720531747802,0.6121758768230862,0.6254901960784315
69,0.30066946606497336,2026-03-11 18:50:16.037868,2026-03-11 18:54:27.366649,0 days 00:04:11.328781,64,0.5,0.0010799725177423757,15,meta,256,32,1,0.6420185725620723,0.0,0.0014380353082856844,0.4,5,30,BiGRU,1,20,5.4569324882028905e-05,0.6162464985994399,0.49634341093173084,0.30066946606497336,0.7337699166309711,0.5308992618978802,COMPLETE,0.49634341093173084,0.30066946606497336,0.7337699166309711,0.5308992618978802,0.6162464985994399
23,0.3005116251476193,2026-03-11 15:51:57.902234,2026-03-11 15:55:26.341645,0 days 00:03:28.439411,64,0.7000000000000001,0.001911973405570607,15,meta,128,32,1,0.17453759688668832,0.2,0.002006915614414437,0.8,5,20,GRU,1,20,2.082992929507134e-06,0.6187675070028011,0.525810815834115,0.3005116251476193,0.709529135056433,0.5774248886337718,COMPLETE,0.525810815834115,0.3005116251476193,0.709529135056433,0.5774248886337718,0.6187675070028011
82,0.3003199480229019,2026-03-11 20:02:29.213647,2026-03-11 20:10:03.603529,0 days 00:07:34.389882,32,0.8,0.0001302867687001275,15,meta,256,32,1,0.4604677279139934,0.0,0.008881142956608091,0.8,7,30,BiLSTM,1,20,2.525013955844583e-07,0.6142857142857143,0.5497281953028644,0.3003199480229019,0.6833309308314781,0.6292017016013002,COMPLETE,0.5497281953028644,0.3003199480229019,0.6833309308314781,0.6292017016013002,0.6142857142857143
52,0.3001486245719915,2026-03-11 17:39:04.850261,2026-03-11 17:43:39.836099,0 days 00:04:34.985838,32,0.6000000000000001,0.0014291780449903675,15,meta,128,32,1,0.3879519013632248,0.30000000000000004,0.0006529811863861201,0.4,5,50,GRU,1,15,9.933661464584368e-07,0.6226890756302521,0.569136467998047,0.3001486245719915,0.661494179715653,0.6433694303127011,COMPLETE,0.569136467998047,0.3001486245719915,0.661494179715653,0.6433694303127011,0.6226890756302521
81,0.29973352939862075,2026-03-11 19:57:12.486392,2026-03-11 20:02:29.212407,0 days 00:05:16.726015,64,0.8,0.0008742227004665758,15,meta,256,32,1,0.9713562195744172,0.0,0.0064460428085259865,0.4,7,50,BiLSTM,1,20,1.3624884370545845e-05,0.6260504201680671,0.5262972704834716,0.29973352939862075,0.7088289181839283,0.560394307666227,COMPLETE,0.5262972704834716,0.29973352939862075,0.7088289181839283,0.560394307666227,0.6260504201680671
11,0.29966367590906173,2026-03-11 15:07:50.357261,2026-03-11 15:11:42.147314,0 days 00:03:51.790053,64,0.5,0.0009716127242313335,15,meta,256,32,1,0.1980550692222026,0.4,0.0009964247275723367,0.4,5,20,GRU,1,10,1.5061001411058925e-07,0.6187675070028011,0.5473760776267392,0.29966367590906173,0.6742278360498898,0.6121990770363285,COMPLETE,0.5473760776267392,0.29966367590906173,0.6742278360498898,0.6121990770363285,0.6187675070028011
6,0.29882249911894637,2026-03-11 14:49:33.382451,2026-03-11 14:53:24.792740,0 days 00:03:51.410289,64,0.8,0.0001545661652886743,15,meta_err,256,32,1,0.8033015304853443,0.1,0.0015109330261674466,0.4,5,30,GRU,1,10,1.0245858939867314e-05,0.6207282913165266,0.570829319344064,0.29882249911894637,0.6641135441431026,0.6429912709965525,COMPLETE,0.570829319344064,0.29882249911894637,0.6641135441431026,0.6429912709965525,0.6207282913165266
78,0.29711647870599883,2026-03-11 19:38:26.161136,2026-03-11 19:46:52.005727,0 days 00:08:25.844591,32,0.4,0.0007988276289527204,20,meta,256,128,1,0.6953376548052056,0.30000000000000004,0.0028088652296239815,0.4,7,50,BiLSTM,1,20,3.416877146895553e-05,0.6204481792717086,0.5407947635606868,0.29711647870599883,0.687933981917492,0.5959177038138738,COMPLETE,0.5407947635606868,0.29711647870599883,0.687933981917492,0.5959177038138738,0.6204481792717086
91,0.2968973190082004,2026-03-11 20:52:39.978801,2026-03-11 20:56:56.452274,0 days 00:04:16.473473,64,0.8,0.0029344905763886587,15,meta,128,64,1,0.7243809844152004,0.0,0.002375992161736167,0.4,7,30,BiLSTM,1,20,1.1900985041798794e-06,0.6212885154061625,0.5533975156599727,0.2968973190082004,0.6889172995168654,0.6061227200474031,COMPLETE,0.5533975156599727,0.2968973190082004,0.6889172995168654,0.6061227200474031,0.6212885154061625
41,0.2965661152685551,2026-03-11 16:56:16.926229,2026-03-11 16:59:16.153730,0 days 00:02:59.227501,64,0.6000000000000001,0.0021894701799607674,10,meta_err,256,32,1,0.4343889350559767,0.2,0.0005686782499931582,0.4,5,30,GRU,1,20,1.4623624039473982e-05,0.6204481792717087,0.5272227988651585,0.2965661152685551,0.7015572886723247,0.5774598249717574,COMPLETE,0.5272227988651585,0.2965661152685551,0.7015572886723247,0.5774598249717574,0.6204481792717087
56,0.2955622330037741,2026-03-11 17:57:14.951018,2026-03-11 18:01:57.629107,0 days 00:04:42.678089,64,0.5,0.004106315266712337,20,meta_err,256,32,1,0.738276611604739,0.2,0.0016994343926592767,0.8,5,30,BiGRU,1,20,4.428856884849993e-05,0.6196078431372549,0.536310140060394,0.2955622330037741,0.6902867500703251,0.5851094415580135,COMPLETE,0.536310140060394,0.2955622330037741,0.6902867500703251,0.5851094415580135,0.6196078431372549
21,0.29552989337194935,2026-03-11 15:44:46.584054,2026-03-11 15:48:34.214197,0 days 00:03:47.630143,64,0.5,0.0008503282546806813,10,meta_err,256,32,1,0.7384046280960239,0.2,0.007155167818460481,0.8,10,50,BiGRU,2,20,1.23182194818443e-06,0.6159663865546219,0.5401094063888665,0.29552989337194935,0.6850532723365761,0.6085615259443738,COMPLETE,0.5401094063888665,0.29552989337194935,0.6850532723365761,0.6085615259443738,0.6159663865546219
