number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
81,0.3272882429566063,2026-03-01 21:24:22.866240,2026-03-01 21:46:57.947055,0 days 00:22:35.080815,16,0.30000000000000004,0.0012306322850891365,20,sector,256,64,1,0.6867500617777762,0.30000000000000004,0.006093794399897694,0.8,7,20,BiGRU,2,20,0.00015017864628899335,0.6332785987958401,0.5549958783385569,0.3272882429566063,0.705344914427267,0.609528755742932,COMPLETE,0.5549958783385569,0.3272882429566063,0.705344914427267,0.609528755742932,0.6332785987958401
95,0.3230213928303181,2026-03-01 23:43:59.404600,2026-03-01 23:53:48.215511,0 days 00:09:48.810911,16,0.30000000000000004,0.006409641082269961,15,sector_unified_emotion,256,128,1,1.4521748167413584,0.1,0.008354290772683173,0.8,10,50,LSTM,2,20,4.117560712353241e-05,0.6376573617952929,0.49881834686490933,0.3230213928303181,0.762348384835323,0.5039384110934056,COMPLETE,0.49881834686490933,0.3230213928303181,0.762348384835323,0.5039384110934056,0.6376573617952929
49,0.3197166035858455,2026-03-01 16:52:35.801608,2026-03-01 17:00:14.748075,0 days 00:07:38.946467,16,0.4,0.0026287354308463687,15,sector_sentiment,256,32,1,1.6632647591973577,0.2,0.0009186675377504479,0.8,10,20,BiGRU,1,15,7.92017490904481e-05,0.6212370005473454,0.5624953256475743,0.3197166035858455,0.6867369005418983,0.6495529439245429,COMPLETE,0.5624953256475743,0.3197166035858455,0.6867369005418983,0.6495529439245429,0.6212370005473454
40,0.31846869921859344,2026-03-01 15:49:16.420900,2026-03-01 15:57:09.980520,0 days 00:07:53.559620,16,0.6000000000000001,0.000986852217704968,15,sector_sentiment,256,64,1,1.8764244712103484,0.30000000000000004,0.0006493540506548227,0.4,10,20,BiGRU,1,20,0.00028881456679303354,0.6204159824849481,0.5598851763837295,0.31846869921859344,0.6822491985201069,0.6443245404658854,COMPLETE,0.5598851763837295,0.31846869921859344,0.6822491985201069,0.6443245404658854,0.6204159824849481
11,0.3176168211362132,2026-03-01 11:39:56.049600,2026-03-01 11:49:50.334059,0 days 00:09:54.284459,16,0.2,0.0028829093313856705,20,sector_sentiment,256,64,1,1.7609010123891005,0.4,0.0018593367835450813,0.8,7,20,BiGRU,2,15,0.00010768762670105474,0.6264367816091954,0.5571602773497506,0.3176168211362132,0.6883494608600284,0.6299383276352726,COMPLETE,0.5571602773497506,0.3176168211362132,0.6883494608600284,0.6299383276352726,0.6264367816091954
19,0.31627448575875233,2026-03-01 13:05:39.672146,2026-03-01 13:11:52.024884,0 days 00:06:12.352738,16,0.5,0.00295407089107159,10,sector_sentiment,256,64,1,1.9084713119621233,0.30000000000000004,0.0018392430141110682,0.8,7,20,BiGRU,1,15,4.129737747525762e-05,0.6228790366721403,0.5654190362255731,0.31627448575875233,0.676523640050064,0.6574270143597244,COMPLETE,0.5654190362255731,0.31627448575875233,0.676523640050064,0.6574270143597244,0.6228790366721403
97,0.31592231033114493,2026-03-02 00:31:28.936624,2026-03-02 00:44:47.901393,0 days 00:13:18.964769,16,0.6000000000000001,0.0020761300642468117,20,sector,256,128,1,1.4744422603053484,0.30000000000000004,0.0004833271992326502,0.8,7,30,BiGRU,2,20,0.00015748414790166127,0.6305418719211823,0.5488597584559499,0.31592231033114493,0.6998872639463707,0.5947778223687636,COMPLETE,0.5488597584559499,0.31592231033114493,0.6998872639463707,0.5947778223687636,0.6305418719211823
17,0.315675892304457,2026-03-01 12:46:00.702233,2026-03-01 12:59:12.649205,0 days 00:13:11.946972,16,0.4,0.006096601818670152,20,sector_sentiment,256,32,1,1.518747283951437,0.30000000000000004,0.00992017498320644,0.8,5,20,LSTM,2,20,1.0277440261502625e-06,0.6278051450465244,0.524193337702546,0.315675892304457,0.726994723573693,0.5488497082875398,COMPLETE,0.524193337702546,0.315675892304457,0.726994723573693,0.5488497082875398,0.6278051450465244
13,0.3140422045943016,2026-03-01 12:07:45.649221,2026-03-01 12:18:30.430974,0 days 00:10:44.781753,16,0.30000000000000004,0.004408708561210744,20,sector_sentiment,256,32,1,1.4112142655911777,0.4,0.0064589131108846055,0.8,7,20,BiLSTM,2,20,7.852185443254899e-06,0.6253420908593321,0.54202073957758,0.3140422045943016,0.7047008700743455,0.5889186504876299,COMPLETE,0.54202073957758,0.3140422045943016,0.7047008700743455,0.5889186504876299,0.6253420908593321
45,0.3121655085102099,2026-03-01 16:25:02.311773,2026-03-01 16:33:55.859919,0 days 00:08:53.548146,16,0.7000000000000001,0.0021188256703696933,20,sector_sentiment,256,64,1,1.469360675549135,0.4,0.0003281268630295163,0.4,10,20,BiGRU,1,20,0.0001688601232832,0.6286261631089216,0.5392347837249183,0.3121655085102099,0.7066564366450458,0.5958988808613338,COMPLETE,0.5392347837249183,0.3121655085102099,0.7066564366450458,0.5958988808613338,0.6286261631089216
96,0.3116352896039795,2026-03-01 23:53:48.216216,2026-03-02 00:31:28.935777,0 days 00:37:40.719561,16,0.30000000000000004,0.0018953711370411235,20,sector,256,128,1,0.9930298591306437,0.4,0.0005998696390321259,0.8,7,30,BiGRU,2,20,0.0004815548260124357,0.6209633278598796,0.5292759612476828,0.3116352896039795,0.7079617786638426,0.5841478059140783,COMPLETE,0.5292759612476828,0.3116352896039795,0.7079617786638426,0.5841478059140783,0.6209633278598796
