company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,BiLSTM,classification,1,,,,0.04144706094183282,0.5428571428571428,0.4523809523809524,0.6785714285714286,0.5,0.6428571428571429,0.30304576336566325,0.6938775510204082,0.6071428571428571,0.8095238095238095,932,398,42,64,22,0.44499999999999995,0.30304576336566325
ABB,Industrial Goods,BiLSTM,classification,1,,,,0.0678326525517921,0.2978723404255319,0.6363636363636364,0.19444444444444445,0.484375,0.6190476190476191,0.12108986992412069,0.38461538461538464,0.45454545454545453,0.3333333333333333,932,398,42,64,16,0.49499999999999994,0.12108986992412069
ABBV,Healthcare,BiLSTM,classification,1,,,,0.21732769392835002,0.6268656716417911,0.6363636363636364,0.6176470588235294,0.609375,0.6666666666666666,0.3636831673644744,0.46153846153846156,0.8571428571428571,0.3157894736842105,851,326,42,64,30,0.57,0.3636831673644744
AEP,Utilities,BiLSTM,classification,1,,,,0.0,0.7450980392156863,0.59375,1.0,0.59375,0.6428571428571429,0.35696473595396144,0.7540983606557377,0.6052631578947368,1.0,932,398,42,64,30,0.33999999999999997,0.35696473595396144
AMGN,Healthcare,BiLSTM,classification,1,,,,0.1755955280025067,0.23809523809523808,0.8333333333333334,0.1388888888888889,0.5,0.6904761904761905,0.3535533905932738,0.3157894736842105,1.0,0.1875,932,398,42,64,20,0.5049999999999999,0.3535533905932738
AMZN,Services,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6428571428571429,0.3855498004780299,0.4,1.0,0.25,932,398,42,64,23,0.595,0.3855498004780299
BA,Industrial Goods,BiLSTM,classification,1,,,,0.26498663678673456,0.25,1.0,0.14285714285714285,0.53125,0.6666666666666666,0.34553775743707094,0.6666666666666666,0.6086956521739131,0.7368421052631579,932,398,42,64,20,0.5449999999999999,0.34553775743707094
BAC,Financial,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.578125,0.6190476190476191,0.25819888974716115,0.2,1.0,0.1111111111111111,932,398,42,64,16,0.605,0.25819888974716115
BBL,Basic Matierials,BiLSTM,classification,1,,,,0.10746372201097237,0.5373134328358209,0.42857142857142855,0.72,0.515625,0.6666666666666666,0.3440511766019877,0.65,0.7222222222222222,0.5909090909090909,932,398,42,64,21,0.57,0.3440511766019877
BCH,Financial,BiLSTM,classification,1,,,,-0.05979133361118127,0.5542168674698795,0.4107142857142857,0.8518518518518519,0.421875,0.6904761904761905,0.4491707759470915,0.7796610169491526,0.6388888888888888,1.0,932,398,42,64,19,0.48499999999999993,0.4491707759470915
BHP,Basic Matierials,BiLSTM,classification,1,,,,0.015873015873015872,0.5,0.4444444444444444,0.5714285714285714,0.5,0.6428571428571429,0.36380343755449945,0.4827586206896552,0.875,0.3333333333333333,932,398,42,64,30,0.695,0.36380343755449945
BP,Basic Matierials,BiLSTM,classification,1,,,,-0.14856415213808927,0.0,0.0,0.0,0.5625,0.6428571428571429,0.35696473595396144,0.34782608695652173,1.0,0.21052631578947367,932,398,42,64,18,0.5049999999999999,0.35696473595396144
BRK-A,Financial,BiLSTM,classification,1,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,0.6428571428571429,0.3817460249278431,0.7169811320754716,0.5757575757575758,0.95,932,398,42,64,17,0.4049999999999999,0.3817460249278431
BSAC,Financial,BiLSTM,classification,1,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,0.38095238095238093,0.0,0.5517241379310345,0.38095238095238093,1.0,932,398,42,64,16,0.05,0.0
BUD,Consumer Goods,BiLSTM,classification,1,,,,0.1563263498701806,0.5714285714285714,0.5806451612903226,0.5625,0.578125,0.5714285714285714,0.323415144619467,0.625,0.46875,0.9375,932,398,42,64,20,0.4749999999999999,0.323415144619467
C,Financial,BiLSTM,classification,1,,,,0.26810248177031065,0.20689655172413793,1.0,0.11538461538461539,0.640625,0.6428571428571429,0.28212334693835694,0.5945945945945946,0.6470588235294118,0.55,932,398,42,64,17,0.5499999999999999,0.28212334693835694
CAT,Industrial Goods,BiLSTM,classification,1,,,,0.1746667529218746,0.6813186813186813,0.5254237288135594,0.96875,0.546875,0.5476190476190477,0.26444294267397256,0.6779661016949152,0.5128205128205128,1.0,932,398,42,64,16,0.4649999999999999,0.26444294267397256
CELG,Healthcare,BiLSTM,classification,1,,,,0.21034547094825445,0.425531914893617,0.7142857142857143,0.30303030303030304,0.578125,0.7142857142857143,0.4457893447634325,0.45454545454545453,1.0,0.29411764705882354,932,398,42,64,21,0.6,0.4457893447634325
CHL,Technology,BiLSTM,classification,1,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,0.5476190476190477,0.29488391230979427,0.6666666666666666,0.5,1.0,932,398,42,64,16,0.4749999999999999,0.29488391230979427
CHTR,Services,BiLSTM,classification,1,,,,-0.1259881576697424,0.6526315789473685,0.49206349206349204,0.96875,0.484375,0.5238095238095238,0.2809757434745082,0.6428571428571429,0.47368421052631576,1.0,932,398,42,64,16,0.4099999999999999,0.2809757434745082
CMCSA,Services,BiLSTM,classification,1,,,,-0.036155076303109365,0.5641025641025641,0.4583333333333333,0.7333333333333333,0.46875,0.5,0.20323471117426511,0.6440677966101694,0.475,1.0,932,398,42,64,16,0.48499999999999993,0.20323471117426511
CODI,Conglomerates,BiLSTM,classification,1,,,,-0.14750121068026756,0.19047619047619047,0.3076923076923077,0.13793103448275862,0.46875,0.5952380952380952,0.24602096615832092,0.19047619047619047,1.0,0.10526315789473684,932,398,42,64,16,0.4599999999999999,0.24602096615832092
CSCO,Technology,BiLSTM,classification,1,,,,0.22176638128637186,0.17142857142857143,1.0,0.09375,0.546875,0.6904761904761905,0.3705695269925798,0.6285714285714286,0.5789473684210527,0.6875,932,398,42,64,22,0.5499999999999999,0.3705695269925798
CVX,Basic Matierials,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.53125,0.5714285714285714,0.2773500981126146,0.25,1.0,0.14285714285714285,932,398,42,64,20,0.5449999999999999,0.2773500981126146
D,Utilities,BiLSTM,classification,1,,,,0.03419927840283847,0.5974025974025974,0.5111111111111111,0.71875,0.515625,0.5952380952380952,0.17576247754451405,0.711864406779661,0.5833333333333334,0.9130434782608695,932,398,42,64,16,0.4799999999999999,0.17576247754451405
DHR,Industrial Goods,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.484375,0.6190476190476191,0.3402785236893603,0.3333333333333333,1.0,0.2,932,398,42,64,19,0.5549999999999999,0.3402785236893603
DIS,Services,BiLSTM,classification,1,,,,-0.054366028221956235,0.3137254901960784,0.5,0.22857142857142856,0.453125,0.6428571428571429,0.3006232385408722,0.6666666666666666,0.6,0.75,932,398,42,64,18,0.5499999999999999,0.3006232385408722
DUK,Utilities,BiLSTM,classification,1,,,,0.0,0.0,0.0,0.0,0.421875,0.6428571428571429,0.31269438398822863,0.5945945945945946,0.7333333333333333,0.5,932,398,42,64,24,0.635,0.31269438398822863
EXC,Utilities,BiLSTM,classification,1,,,,0.0,0.6666666666666666,0.5,1.0,0.5,0.5714285714285714,0.309344112444873,0.6896551724137931,0.5263157894736842,1.0,932,398,42,64,16,0.4649999999999999,0.309344112444873
FB,Technology,BiLSTM,classification,1,,,,0.1630980846658687,0.43137254901960786,0.6875,0.3142857142857143,0.546875,0.7142857142857143,0.45712086269032154,0.7272727272727273,0.8421052631578947,0.64,932,398,42,64,28,0.6399999999999999,0.45712086269032154
GD,Industrial Goods,BiLSTM,classification,1,,,,-0.02262814111007102,0.6,0.43548387096774194,0.9642857142857143,0.4375,0.5714285714285714,0.309344112444873,0.6896551724137931,0.5263157894736842,1.0,932,398,42,64,17,0.44499999999999995,0.309344112444873
GE,Industrial Goods,BiLSTM,classification,1,,,,0.24867951769188518,0.23809523809523808,1.0,0.13513513513513514,0.5,0.5952380952380952,0.24253562503633297,0.6909090909090909,0.5588235294117647,0.9047619047619048,932,398,42,64,21,0.42499999999999993,0.24253562503633297
GOOG,Technology,BiLSTM,classification,1,,,,0.16870980440527691,0.1111111111111111,1.0,0.058823529411764705,0.5,0.6666666666666666,0.4044559769231354,0.4166666666666667,1.0,0.2631578947368421,932,398,42,64,17,0.5249999999999999,0.4044559769231354
HD,Services,BiLSTM,classification,1,,,,0.10762440050012628,0.05263157894736842,1.0,0.02702702702702703,0.4375,0.6428571428571429,0.34426518632954817,0.6153846153846154,0.8,0.5,932,398,42,64,18,0.605,0.34426518632954817
HON,Industrial Goods,BiLSTM,classification,1,,,,0.15018785229652767,0.2564102564102564,0.7142857142857143,0.15625,0.546875,0.6190476190476191,0.21926969527676043,0.5,0.6153846153846154,0.42105263157894735,932,398,42,64,17,0.5399999999999999,0.21926969527676043
HRG,Conglomerates,BiLSTM,classification,1,,,,0.3438507522858819,0.7272727272727273,0.6511627906976745,0.8235294117647058,0.671875,0.5952380952380952,0.335012605086404,0.6666666666666666,0.5151515151515151,0.9444444444444444,932,398,42,64,20,0.4099999999999999,0.335012605086404
HSBC,Financial,BiLSTM,classification,1,,,,0.0,0.6938775510204082,0.53125,1.0,0.53125,0.5,0.009249945801257606,0.46153846153846156,0.4090909090909091,0.5294117647058824,932,398,42,64,17,0.49999999999999994,0.009249945801257606
IEP,Conglomerates,BiLSTM,classification,1,,,,0.030467917928916295,0.5789473684210527,0.4782608695652174,0.7333333333333333,0.5,0.5714285714285714,0.323415144619467,0.625,0.46875,0.9375,932,398,42,64,23,0.36499999999999994,0.323415144619467
INTC,Technology,BiLSTM,classification,1,,,,0.0,0.15789473684210525,0.5,0.09375,0.5,0.6190476190476191,0.27076518053694115,0.5,0.7272727272727273,0.38095238095238093,932,398,42,64,30,0.62,0.27076518053694115
JNJ,Healthcare,BiLSTM,classification,1,,,,0.0,0.6938775510204082,0.53125,1.0,0.53125,0.42857142857142855,0.0,0.6,0.42857142857142855,1.0,932,398,42,64,17,0.05,0.0
