company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,GRU,classification,5,,,,-0.1929364015162026,0.14285714285714285,0.2727272727272727,0.0967741935483871,0.4375,0.6666666666666666,0.38734148042766225,0.5,0.875,0.35,928,398,42,64,21,0.715,0.38734148042766225
ABB,Industrial Goods,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.578125,0.7619047619047619,0.4330127018922193,0.5,0.8333333333333334,0.35714285714285715,928,398,42,64,21,0.69,0.4330127018922193
ABBV,Healthcare,GRU,classification,5,,,,0.5039526306789696,0.7333333333333333,0.6875,0.7857142857142857,0.75,0.8333333333333334,0.544656513504933,0.5333333333333333,1.0,0.36363636363636365,847,326,42,64,21,0.7849999999999999,0.544656513504933
AEP,Utilities,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.4375,0.5714285714285714,0.323415144619467,0.5,0.9,0.34615384615384615,928,398,42,64,21,0.595,0.323415144619467
AMGN,Healthcare,GRU,classification,5,,,,0.37548957507821834,0.5098039215686274,0.9285714285714286,0.35135135135135137,0.609375,0.8095238095238095,0.674199862463242,0.7777777777777778,0.6363636363636364,1.0,928,398,42,64,23,0.30499999999999994,0.674199862463242
AMZN,Services,GRU,classification,5,,,,0.22476932842896022,0.24489795918367346,1.0,0.13953488372093023,0.421875,0.6904761904761905,0.3705695269925798,0.7346938775510204,0.782608695652174,0.6923076923076923,928,398,42,64,33,0.74,0.3705695269925798
BA,Industrial Goods,GRU,classification,5,,,,0.19323899556020774,0.22857142857142856,0.8,0.13333333333333333,0.578125,0.7619047619047619,0.5335783750799326,0.782608695652174,0.8571428571428571,0.72,928,398,42,64,21,0.575,0.5335783750799326
BAC,Financial,GRU,classification,5,,,,0.05018131547624402,0.6744186046511628,0.5918367346938775,0.7837837837837838,0.5625,0.6904761904761905,0.48019603839902475,0.6666666666666666,0.52,0.9285714285714286,928,398,42,64,24,0.10999999999999999,0.48019603839902475
BBL,Basic Matierials,GRU,classification,5,,,,0.0738028933264907,0.3333333333333333,0.3157894736842105,0.35294117647058826,0.625,0.7857142857142857,0.564019190328506,0.6666666666666666,0.9,0.5294117647058824,928,398,42,64,26,0.7,0.564019190328506
BCH,Financial,GRU,classification,5,,,,0.0,0.47619047619047616,0.3125,1.0,0.3125,0.6428571428571429,0.3855498004780299,0.7457627118644068,0.5945945945945946,1.0,928,398,42,64,21,0.62,0.3855498004780299
BHP,Basic Matierials,GRU,classification,5,,,,0.17650092658394914,0.45901639344262296,0.3181818181818182,0.8235294117647058,0.484375,0.8095238095238095,0.5731587176408379,0.6923076923076923,0.8181818181818182,0.6,928,398,42,64,39,0.58,0.5731587176408379
BP,Basic Matierials,GRU,classification,5,,,,-0.1107739502333261,0.4810126582278481,0.3392857142857143,0.8260869565217391,0.359375,0.5714285714285714,0.3687817782917155,0.6538461538461539,0.4857142857142857,1.0,928,398,42,64,29,0.37999999999999995,0.3687817782917155
BRK-A,Financial,GRU,classification,5,,,,0.005615408256635414,0.06060606060606061,0.5,0.03225806451612903,0.515625,0.7857142857142857,0.5242486063950857,0.6086956521739131,0.875,0.4666666666666667,928,398,42,64,21,0.95,0.5242486063950857
BSAC,Financial,GRU,classification,5,,,,-0.027597827557262634,0.38461538461538464,0.3448275862068966,0.43478260869565216,0.5,0.6190476190476191,0.42008402520840293,0.6923076923076923,0.5294117647058824,1.0,928,398,42,64,21,0.4499999999999999,0.42008402520840293
BUD,Consumer Goods,GRU,classification,5,,,,0.1962671679947149,0.20408163265306123,1.0,0.11363636363636363,0.390625,0.8095238095238095,0.5891649892987402,0.7142857142857143,0.8333333333333334,0.625,928,398,42,64,21,0.9099999999999999,0.5891649892987402
C,Financial,GRU,classification,5,,,,0.24829391066651044,0.391304347826087,0.8181818181818182,0.2571428571428571,0.5625,0.7619047619047619,0.39001443877898934,0.4444444444444444,0.8,0.3076923076923077,928,398,42,64,22,0.7799999999999999,0.39001443877898934
CAT,Industrial Goods,GRU,classification,5,,,,-0.011444873404026341,0.5789473684210527,0.5116279069767442,0.6666666666666666,0.5,0.5238095238095238,0.23862350360052176,0.6153846153846154,0.45714285714285713,0.9411764705882353,928,398,42,64,24,0.42499999999999993,0.23862350360052176
CELG,Healthcare,GRU,classification,5,,,,0.06262242910851495,0.5454545454545454,0.5625,0.5294117647058824,0.53125,0.9047619047619048,0.8055555555555556,0.8888888888888888,0.8888888888888888,0.8888888888888888,928,398,42,64,21,0.49499999999999994,0.8055555555555556
CHL,Technology,GRU,classification,5,,,,0.0849411985729376,0.4819277108433735,0.31746031746031744,1.0,0.328125,0.7142857142857143,0.4583333333333333,0.7142857142857143,0.625,0.8333333333333334,928,398,42,64,22,0.32999999999999996,0.4583333333333333
CHTR,Services,GRU,classification,5,,,,0.0,0.6382978723404256,0.46875,1.0,0.46875,0.7619047619047619,0.5150844037233139,0.8275862068965517,0.7272727272727273,0.96,928,398,42,64,33,0.32499999999999996,0.5150844037233139
CMCSA,Services,GRU,classification,5,,,,0.3069288458707305,0.6461538461538462,0.5675675675675675,0.75,0.640625,0.7619047619047619,0.560112033611204,0.8275862068965517,0.7058823529411765,1.0,928,398,42,64,21,0.21499999999999997,0.560112033611204
CODI,Conglomerates,GRU,classification,5,,,,0.14977900439610384,0.5333333333333333,0.45714285714285713,0.64,0.5625,0.6190476190476191,0.2571104222523257,0.5789473684210527,0.5,0.6875,928,398,42,64,21,0.69,0.2571104222523257
CSCO,Technology,GRU,classification,5,,,,0.3214968983494672,0.7105263157894737,0.627906976744186,0.8181818181818182,0.65625,0.5952380952380952,0.32444284226152503,0.711864406779661,0.5526315789473685,1.0,928,398,42,64,21,0.4099999999999999,0.32444284226152503
CVX,Basic Matierials,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.5,0.5476190476190477,0.26444294267397256,0.24,1.0,0.13636363636363635,928,398,42,64,22,0.8849999999999999,0.26444294267397256
D,Utilities,GRU,classification,5,,,,0.1259881576697424,0.6736842105263158,0.5079365079365079,1.0,0.515625,0.7142857142857143,0.4714045207910316,0.8,0.6666666666666666,1.0,928,398,42,64,21,0.22499999999999998,0.4714045207910316
DHR,Industrial Goods,GRU,classification,5,,,,0.2613919486871856,0.3157894736842105,0.8571428571428571,0.1935483870967742,0.59375,0.5952380952380952,0.2743977362280141,0.6222222222222222,0.5,0.8235294117647058,928,398,42,64,21,0.35999999999999993,0.2743977362280141
DIS,Services,GRU,classification,5,,,,-0.23498401923230525,0.05,0.16666666666666666,0.029411764705882353,0.40625,0.8333333333333334,0.662841811999329,0.8108108108108109,0.7894736842105263,0.8333333333333334,928,398,42,64,21,0.9099999999999999,0.662841811999329
