company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,classification,20,1,1,0.7180246201591876,0.6911899447441101,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,2,0.6948203962651929,0.6870864629745483,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,3,0.6674394053430414,0.6859126687049866,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,4,0.6831005895557116,0.6851475834846497,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,5,0.6606910582163825,0.7035139203071594,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,6,0.6468514996257859,0.7278754115104675,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,7,0.6248311220701016,0.7811890840530396,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,8,0.641796776247983,0.8494430184364319,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,9,0.6259413568218749,0.9342195391654968,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,10,0.6197847788357854,0.8882871270179749,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,11,0.6189168431052011,0.9026027917861938,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,12,0.6123271587506012,0.9997660517692566,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,13,0.6016058075667625,1.0779486894607544,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,14,0.573294386941584,1.1812289953231812,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,15,0.5823188484014579,1.157863736152649,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,16,0.5841723214741328,1.120762586593628,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,17,0.5774202929369768,1.12051522731781,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,18,0.6047090405794844,1.105181097984314,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,1,19,0.6120706115236234,1.0842669010162354,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,1,0.7095268045238514,0.6894859671592712,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,2,0.6936206371340919,0.7084903717041016,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,3,0.6870622023865206,0.7448841333389282,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,4,0.6926947277994012,0.7583396434783936,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,5,0.6579307296767307,0.7597798109054565,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,6,0.6611794769464425,0.8488339185714722,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,7,0.6403970889110661,1.0204418897628784,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,8,0.6182909191553317,1.1547795534133911,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,9,0.6178176468940236,1.2700191736221313,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,10,0.6452056382169675,1.4071133136749268,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,11,0.6208455757280091,1.4703022241592407,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,12,0.6232661008834839,1.418205976486206,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,13,0.6173273067378519,1.4433451890945435,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,14,0.6088812059194,1.4611473083496094,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,15,0.6124840792100034,1.441488265991211,398,42,64
ABB,Industrial Goods,LSTM,classification,20,1,16,0.6211816198262737,1.4064984321594238,398,42,64
