company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,LSTM,classification,5,,,,-0.10902649807579674,0.33962264150943394,0.4090909090909091,0.2903225806451613,0.453125,0.6666666666666666,0.33190618145300227,0.6111111111111112,0.6875,0.55,938,398,42,64,20,0.5299999999999999,0.33190618145300227
ABB,Industrial Goods,LSTM,classification,5,,,,0.2102510304811823,0.13793103448275862,1.0,0.07407407407407407,0.609375,0.7857142857142857,0.5750335777679776,0.7272727272727273,0.631578947368421,0.8571428571428571,938,398,42,64,20,0.6,0.5750335777679776
ABBV,Healthcare,LSTM,classification,5,,,,0.330845379315203,0.6181818181818182,0.6296296296296297,0.6071428571428571,0.671875,0.8333333333333334,0.544656513504933,0.5333333333333333,1.0,0.36363636363636365,857,336,42,64,20,0.7999999999999999,0.544656513504933
AEP,Utilities,LSTM,classification,5,,,,0.2965909994776427,0.6461538461538462,0.7241379310344828,0.5833333333333334,0.640625,0.7857142857142857,0.570087712549569,0.8524590163934426,0.7428571428571429,1.0,938,398,42,64,20,0.36499999999999994,0.570087712549569
AMGN,Healthcare,LSTM,classification,5,,,,0.2545468267653503,0.34782608695652173,0.8888888888888888,0.21621621621621623,0.53125,0.8571428571428571,0.7416198487095663,0.8235294117647058,0.7,1.0,938,398,42,64,20,0.18,0.7416198487095663
AMZN,Services,LSTM,classification,5,,,,-0.2809057653515085,0.5063291139240507,0.5555555555555556,0.46511627906976744,0.390625,0.6904761904761905,0.3922322702763681,0.723404255319149,0.8095238095238095,0.6538461538461539,938,398,42,64,20,0.6399999999999999,0.3922322702763681
BA,Industrial Goods,LSTM,classification,5,,,,0.11318329168362205,0.3,0.6,0.2,0.5625,0.6666666666666666,0.3835294117647059,0.6666666666666666,0.8235294117647058,0.56,938,398,42,64,20,0.7549999999999999,0.3835294117647059
BAC,Financial,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.421875,0.7857142857142857,0.5198752449100363,0.5263157894736842,1.0,0.35714285714285715,938,398,42,64,20,0.735,0.5198752449100363
BBL,Basic Matierials,LSTM,classification,5,,,,0.06284697584427718,0.4067796610169492,0.2857142857142857,0.7058823529411765,0.453125,0.7857142857142857,0.564019190328506,0.6666666666666666,0.9,0.5294117647058824,938,398,42,64,20,0.595,0.564019190328506
BCH,Financial,LSTM,classification,5,,,,0.08775574544703951,0.2222222222222222,0.42857142857142855,0.15,0.671875,0.6666666666666666,0.4624972900628803,0.5333333333333333,1.0,0.36363636363636365,938,398,42,64,20,0.695,0.4624972900628803
BHP,Basic Matierials,LSTM,classification,5,,,,0.13337402006822544,0.4358974358974359,0.2786885245901639,1.0,0.3125,0.7619047619047619,0.6146362971528592,0.75,0.6,1.0,938,398,42,64,20,0.36999999999999994,0.6146362971528592
BP,Basic Matierials,LSTM,classification,5,,,,-0.15487499703750623,0.475,0.3333333333333333,0.8260869565217391,0.34375,0.7380952380952381,0.445896321370523,0.6451612903225806,0.7142857142857143,0.5882352941176471,938,398,42,64,20,0.6699999999999999,0.445896321370523
BRK-A,Financial,LSTM,classification,5,,,,0.12211066665535371,0.6595744680851063,0.49206349206349204,1.0,0.5,0.5952380952380952,0.31622776601683794,0.6046511627906976,0.4642857142857143,0.8666666666666667,938,398,42,64,20,0.49999999999999994,0.31622776601683794
BSAC,Financial,LSTM,classification,5,,,,0.09436299464320372,0.5348837209302325,0.36507936507936506,1.0,0.375,0.6190476190476191,0.3711609040115441,0.68,0.53125,0.9444444444444444,938,398,42,64,20,0.5549999999999999,0.3711609040115441
BUD,Consumer Goods,LSTM,classification,5,,,,0.1210898699241207,0.08695652173913043,1.0,0.045454545454545456,0.34375,0.7619047619047619,0.5516187241049897,0.7368421052631579,0.6363636363636364,0.875,938,398,42,64,20,0.705,0.5516187241049897
C,Financial,LSTM,classification,5,,,,0.21971768720102058,0.6268656716417911,0.65625,0.6,0.609375,0.6428571428571429,0.32900900517813303,0.5714285714285714,0.45454545454545453,0.7692307692307693,938,398,42,64,20,0.43499999999999994,0.32900900517813303
CAT,Industrial Goods,LSTM,classification,5,,,,0.09341218537003596,0.375,0.6,0.2727272727272727,0.53125,0.7142857142857143,0.3913944057056313,0.5714285714285714,0.7272727272727273,0.47058823529411764,938,398,42,64,20,0.6649999999999999,0.3913944057056313
CELG,Healthcare,LSTM,classification,5,,,,0.1455213750217998,0.5172413793103449,0.625,0.4411764705882353,0.5625,0.9047619047619048,0.8067473868280245,0.8823529411764706,0.9375,0.8333333333333334,938,398,42,64,20,0.73,0.8067473868280245
CHL,Technology,LSTM,classification,5,,,,0.0,0.47619047619047616,0.3125,1.0,0.3125,0.6904761904761905,0.515876954571596,0.7346938775510204,0.5806451612903226,1.0,938,398,42,64,20,0.4649999999999999,0.515876954571596
