company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,GRU,classification,1,,,,-0.14285714285714285,0.5934065934065934,0.42857142857142855,0.9642857142857143,0.421875,0.5476190476190477,0.22360679774997896,0.6885245901639344,0.525,1.0,937,398,42,64,16,0.42999999999999994,0.22360679774997896
ABB,Industrial Goods,GRU,classification,1,,,,-0.05421667071936296,0.21739130434782608,0.5,0.1388888888888889,0.4375,0.6428571428571429,0.1217161238900369,0.2857142857142857,0.5,0.2,937,398,42,64,16,0.5349999999999999,0.1217161238900369
ABBV,Healthcare,GRU,classification,1,,,,0.07052955496249108,0.6588235294117647,0.5490196078431373,0.8235294117647058,0.546875,0.6904761904761905,0.37284851924962253,0.6486486486486487,0.6666666666666666,0.631578947368421,856,331,42,64,27,0.4549999999999999,0.37284851924962253
AEP,Utilities,GRU,classification,1,,,,0.01642880193633814,0.6153846153846154,0.6,0.631578947368421,0.53125,0.6428571428571429,0.2781106573963628,0.7272727272727273,0.625,0.8695652173913043,937,398,42,64,16,0.4799999999999999,0.2781106573963628
AMGN,Healthcare,GRU,classification,1,,,,0.18156825980064073,0.375,0.75,0.25,0.53125,0.7142857142857143,0.38030436528708195,0.45454545454545453,0.8333333333333334,0.3125,937,398,42,64,23,0.43499999999999994,0.38030436528708195
AMZN,Services,GRU,classification,1,,,,-0.016912483530155894,0.05405405405405406,0.5,0.02857142857142857,0.453125,0.6666666666666666,0.42817441928883765,0.46153846153846156,1.0,0.3,937,398,42,64,30,0.63,0.42817441928883765
BA,Industrial Goods,GRU,classification,1,,,,0.24829391066651044,0.391304347826087,0.8181818181818182,0.2571428571428571,0.5625,0.6428571428571429,0.2919059268087842,0.6341463414634146,0.5909090909090909,0.6842105263157895,937,398,42,64,16,0.5249999999999999,0.2919059268087842
BAC,Financial,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.578125,0.5952380952380952,0.18033392693348646,0.10526315789473684,1.0,0.05555555555555555,937,398,42,64,16,0.735,0.18033392693348646
BBL,Basic Matierials,GRU,classification,1,,,,0.15027022256735403,0.5588235294117647,0.4418604651162791,0.76,0.53125,0.6904761904761905,0.39284657334702455,0.7450980392156863,0.6551724137931034,0.8636363636363636,937,398,42,64,17,0.5449999999999999,0.39284657334702455
BCH,Financial,GRU,classification,1,,,,-0.012312225225925604,0.3181818181818182,0.4117647058823529,0.25925925925925924,0.53125,0.6428571428571429,0.4408779893967569,0.5161290322580645,1.0,0.34782608695652173,937,398,42,64,17,0.635,0.4408779893967569
BHP,Basic Matierials,GRU,classification,1,,,,-0.07273929674533079,0.5263157894736842,0.4166666666666667,0.7142857142857143,0.4375,0.6190476190476191,0.24845199749997662,0.6666666666666666,0.5925925925925926,0.7619047619047619,937,398,42,64,26,0.48999999999999994,0.24845199749997662
BP,Basic Matierials,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.59375,0.5476190476190477,0.021393127492027906,0.09523809523809523,0.5,0.05263157894736842,937,398,42,64,16,0.605,0.021393127492027906
BRK-A,Financial,GRU,classification,1,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,0.6190476190476191,0.26967994498529685,0.6666666666666666,0.5714285714285714,0.8,937,398,42,64,16,0.41999999999999993,0.26967994498529685
BSAC,Financial,GRU,classification,1,,,,0.18274276524937544,0.4444444444444444,0.5882352941176471,0.35714285714285715,0.609375,0.5714285714285714,0.18399501804849683,0.55,0.4583333333333333,0.6875,937,398,42,64,16,0.5249999999999999,0.18399501804849683
BUD,Consumer Goods,GRU,classification,1,,,,0.12909944487358055,0.6111111111111112,0.55,0.6875,0.5625,0.7142857142857143,0.38030436528708195,0.45454545454545453,0.8333333333333334,0.3125,937,398,42,64,26,0.5199999999999999,0.38030436528708195
C,Financial,GRU,classification,1,,,,0.06005763395600164,0.5679012345679012,0.41818181818181815,0.8846153846153846,0.453125,0.5952380952380952,0.21320071635561041,0.6382978723404256,0.5555555555555556,0.75,937,398,42,64,17,0.4149999999999999,0.21320071635561041
CAT,Industrial Goods,GRU,classification,1,,,,0.1796053020267749,0.6808510638297872,0.5161290322580645,1.0,0.53125,0.5238095238095238,0.06077155435054971,0.5652173913043478,0.5,0.65,937,398,42,64,18,0.6599999999999999,0.06077155435054971
CELG,Healthcare,GRU,classification,1,,,,0.18127975016079304,0.49056603773584906,0.65,0.3939393939393939,0.578125,0.7857142857142857,0.564019190328506,0.6666666666666666,0.9,0.5294117647058824,937,398,42,64,25,0.49499999999999994,0.564019190328506
CHL,Technology,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.515625,0.5714285714285714,0.1718284961594735,0.1,1.0,0.05263157894736842,937,398,42,64,16,0.6699999999999999,0.1718284961594735
CHTR,Services,GRU,classification,1,,,,-0.10259783520851541,0.5454545454545454,0.4666666666666667,0.65625,0.453125,0.6904761904761905,0.35682062007003157,0.5806451612903226,0.6923076923076923,0.5,937,398,42,64,17,0.4499999999999999,0.35682062007003157
CMCSA,Services,GRU,classification,1,,,,0.16840930802174117,0.5970149253731343,0.5405405405405406,0.6666666666666666,0.578125,0.5714285714285714,0.24149064389042033,0.6538461538461539,0.5151515151515151,0.8947368421052632,937,398,42,64,17,0.3,0.24149064389042033
CODI,Conglomerates,GRU,classification,1,,,,0.01728515252738557,0.6046511627906976,0.45614035087719296,0.896551724137931,0.46875,0.5714285714285714,0.1946326508636413,0.625,0.5172413793103449,0.7894736842105263,937,398,42,64,18,0.4499999999999999,0.1946326508636413
CSCO,Technology,GRU,classification,1,,,,0.10613237065158375,0.40816326530612246,0.5882352941176471,0.3125,0.546875,0.6904761904761905,0.32321583473162474,0.5517241379310345,0.6153846153846154,0.5,937,398,42,64,17,0.5049999999999999,0.32321583473162474
CVX,Basic Matierials,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.53125,0.5714285714285714,0.2773500981126146,0.25,1.0,0.14285714285714285,937,398,42,64,16,0.48999999999999994,0.2773500981126146
D,Utilities,GRU,classification,1,,,,-0.16282240225645903,0.32727272727272727,0.391304347826087,0.28125,0.421875,0.5476190476190477,0.1512722552040129,0.45714285714285713,0.6666666666666666,0.34782608695652173,937,398,42,64,16,0.57,0.1512722552040129
DHR,Industrial Goods,GRU,classification,1,,,,0.013900245738365579,0.38461538461538464,0.5263157894736842,0.30303030303030304,0.5,0.6428571428571429,0.2919059268087842,0.6511627906976745,0.6086956521739131,0.7,937,398,42,64,23,0.43499999999999994,0.2919059268087842
DIS,Services,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6428571428571429,0.2994707853302705,0.5161290322580645,0.7272727272727273,0.4,937,398,42,64,16,0.7899999999999999,0.2994707853302705
DUK,Utilities,GRU,classification,1,,,,-0.004751733362404818,0.18181818181818182,0.5714285714285714,0.10810810810810811,0.4375,0.5476190476190477,0.26444294267397256,0.24,1.0,0.13636363636363635,937,398,42,64,16,0.625,0.26444294267397256
EXC,Utilities,GRU,classification,1,,,,0.0,0.6666666666666666,0.5,1.0,0.5,0.5714285714285714,0.21968621277986813,0.6666666666666666,0.5294117647058824,0.9,937,398,42,64,16,0.5499999999999999,0.21968621277986813
FB,Technology,GRU,classification,1,,,,0.15422731972837422,0.27906976744186046,0.75,0.17142857142857143,0.515625,0.6904761904761905,0.3640728218472825,0.7346938775510204,0.75,0.72,937,398,42,64,20,0.4549999999999999,0.3640728218472825
GD,Industrial Goods,GRU,classification,1,,,,0.14285714285714285,0.38095238095238093,0.5714285714285714,0.2857142857142857,0.59375,0.5714285714285714,0.23452078799117146,0.18181818181818182,1.0,0.1,937,398,42,64,20,0.585,0.23452078799117146
GE,Industrial Goods,GRU,classification,1,,,,0.0890890890890891,0.53125,0.6296296296296297,0.4594594594594595,0.53125,0.5714285714285714,0.2773500981126146,0.7,0.5384615384615384,1.0,937,398,42,64,16,0.4749999999999999,0.2773500981126146
GOOG,Technology,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.46875,0.5952380952380952,0.24602096615832092,0.19047619047619047,1.0,0.10526315789473684,937,398,42,64,17,0.5199999999999999,0.24602096615832092
HD,Services,GRU,classification,1,,,,0.1474852895742471,0.74,0.5873015873015873,1.0,0.59375,0.6666666666666666,0.37463432463267765,0.7741935483870968,0.631578947368421,1.0,937,398,42,64,22,0.37499999999999994,0.37463432463267765
HON,Industrial Goods,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.1718284961594735,0.1,1.0,0.05263157894736842,937,398,42,64,17,0.585,0.1718284961594735
HRG,Conglomerates,GRU,classification,1,,,,0.13957160400219615,0.43137254901960786,0.6470588235294118,0.3235294117647059,0.546875,0.6666666666666666,0.3440511766019877,0.65,0.5909090909090909,0.7222222222222222,937,398,42,64,25,0.43499999999999994,0.3440511766019877
HSBC,Financial,GRU,classification,1,,,,0.07656639446725212,0.6881720430107527,0.5423728813559322,0.9411764705882353,0.546875,0.6190476190476191,0.3109336562067405,0.6363636363636364,0.5185185185185185,0.8235294117647058,937,398,42,64,16,0.58,0.3109336562067405
IEP,Conglomerates,GRU,classification,1,,,,-0.0721059823560622,0.5977011494252874,0.45614035087719296,0.8666666666666667,0.453125,0.7380952380952381,0.4248113658951804,0.5925925925925926,0.7272727272727273,0.5,937,398,42,64,22,0.43999999999999995,0.4248113658951804
INTC,Technology,GRU,classification,1,,,,0.10721125348377948,0.21052631578947367,0.6666666666666666,0.125,0.53125,0.5238095238095238,0.15617376188860607,0.6774193548387096,0.5121951219512195,1.0,937,398,42,64,16,0.565,0.15617376188860607
JNJ,Healthcare,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.46875,0.6190476190476191,0.25819888974716115,0.2,1.0,0.1111111111111111,937,398,42,64,16,0.575,0.25819888974716115
