company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,classification,10,5,1,0.7310016361912292,0.7064266204833984,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,2,0.6037445700348322,0.7623102068901062,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,3,0.554437819437765,0.9497234225273132,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,4,0.49269646196509126,1.2280097007751465,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,5,0.4502500283658205,2.2335267066955566,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,6,0.4688555676134388,2.196362018585205,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,7,0.397689790581938,2.368823528289795,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,8,0.32838878769371377,2.8982198238372803,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,9,0.30242858160680264,3.056684970855713,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,10,0.2779842463120743,4.135018348693848,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,11,0.42188093515496755,3.895244836807251,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,12,0.3189812955544822,3.9627914428710938,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,13,0.23856260870868837,4.373097896575928,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,14,0.23222956637940814,4.497998237609863,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,15,0.19974967388052436,4.401180744171143,398,42,64
AAPL,Consumer Goods,BiGRU,classification,10,5,16,0.18070910872900905,4.482274532318115,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,1,0.7155572041195242,0.7130107283592224,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,2,0.5922773727520028,0.7378879189491272,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,3,0.5065487798434406,0.8278449177742004,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,4,0.4956644567562707,0.8178582191467285,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,5,0.42931631701675493,1.1152881383895874,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,6,0.4076346543116785,1.1889419555664062,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,7,0.35370766135615916,1.3103082180023193,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,8,0.37106322721770063,0.8613693714141846,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,9,0.37537119560056,0.702628493309021,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,10,0.3250686057642027,1.1050083637237549,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,11,0.27937294193660495,1.8097198009490967,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,12,0.2986732901322033,1.2934454679489136,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,13,0.29571106873368425,1.3360917568206787,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,14,0.25246356893798816,1.2708834409713745,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,15,0.2481297933164254,1.099332332611084,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,16,0.21309595300240358,1.2090643644332886,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,17,0.17002718484066615,1.2699425220489502,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,18,0.1525731653585824,1.4695664644241333,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,19,0.14349562789772136,2.0233542919158936,398,42,64
ABB,Industrial Goods,BiGRU,classification,10,5,20,0.14297550464348502,1.6646599769592285,398,42,64
ABBV,Healthcare,BiGRU,classification,10,5,1,0.682146600314549,0.8644774556159973,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,2,0.559585032008943,1.4922016859054565,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,3,0.487598717212677,2.54868745803833,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,4,0.42396689596630277,3.7537035942077637,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,5,0.38353024635996136,4.583792686462402,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,6,0.3925257438705081,4.3968071937561035,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,7,0.3722855704171317,5.951135635375977,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,8,0.390458759807405,5.852470397949219,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,9,0.33809060000237967,5.9691386222839355,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,10,0.2755681201815605,6.151195049285889,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,11,0.26181161403656006,6.686999320983887,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,12,0.23557757621719724,7.644935607910156,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,13,0.23388815493810744,7.737085342407227,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,14,0.18764302489303408,8.139098167419434,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,15,0.1732168673049836,8.386677742004395,336,42,64
ABBV,Healthcare,BiGRU,classification,10,5,16,0.14976756416615986,8.62765121459961,336,42,64
AEP,Utilities,BiGRU,classification,10,5,1,0.7048306785636211,0.6788346767425537,398,42,64
AEP,Utilities,BiGRU,classification,10,5,2,0.6326155986019115,0.6847658753395081,398,42,64
AEP,Utilities,BiGRU,classification,10,5,3,0.5683511351820213,0.6654471158981323,398,42,64
AEP,Utilities,BiGRU,classification,10,5,4,0.5136870253625228,0.7183626294136047,398,42,64
AEP,Utilities,BiGRU,classification,10,5,5,0.4390401260637159,0.7795493602752686,398,42,64
AEP,Utilities,BiGRU,classification,10,5,6,0.38641962019642395,1.1926264762878418,398,42,64
AEP,Utilities,BiGRU,classification,10,5,7,0.38010498881340027,1.171384334564209,398,42,64
AEP,Utilities,BiGRU,classification,10,5,8,0.3528999558195996,1.3170453310012817,398,42,64
AEP,Utilities,BiGRU,classification,10,5,9,0.3435666765549674,1.509913682937622,398,42,64
