company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,classification,5,1,1,0.784146181303053,0.6841450617426917,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,2,0.7975939617085097,0.679346331528255,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,3,0.6434877472906256,0.6911659666470119,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,4,0.6069100031900645,0.8472125757308233,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,5,0.5607907315294947,1.6196149360565912,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,6,0.6695117125259572,0.8640254650797162,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,7,0.6464659725900871,0.7515780443236941,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,8,0.5496634414148092,0.8240254067239308,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,9,0.5251471559006964,1.2045100785437084,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,10,0.5092370487637257,1.5013465313684373,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,11,0.44406860647489077,1.4731807907422383,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,1,12,0.5170633768915531,1.3183746224357968,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,1,0.7656837282468326,0.6952385363124666,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,2,0.7166448301406362,0.8644379661196754,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,3,0.6833783166492404,1.3810506775265647,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,4,0.6464534150296121,1.2955138683319092,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,5,0.6153627813760959,1.9043108962831043,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,6,0.6007554258533458,1.8014675208500452,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,7,0.5503702246064517,2.430827844710577,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,8,0.5779043975187905,2.1359360218048096,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,9,0.4960913322678763,2.0058754739307223,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,10,0.5425516883632047,3.736195541563488,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,1,11,0.5333847313670058,2.0742332140604653,398,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,1,0.7931659789728629,0.6936403938702175,341,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,2,0.6952297292496802,0.7342967391014099,341,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,3,0.6444775178110844,1.1229977437428065,341,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,4,0.5893340670118583,1.2288295768556141,341,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,5,0.6156689256342276,2.13463104338873,341,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,6,0.6611883219036538,1.4420363221849715,341,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,7,0.5183975668596732,1.5702825841449557,341,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,8,0.4877556918128844,2.0612131981622603,341,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,9,0.4618717513301156,2.406626746768043,341,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,10,0.40329252747146965,2.703781241462344,341,42,64
ABBV,Healthcare,BiLSTM,classification,5,1,11,0.3821263832430686,1.925385214033581,341,42,64
AEP,Utilities,BiLSTM,classification,5,1,1,0.7792283922583614,0.6663699348767599,398,42,64
AEP,Utilities,BiLSTM,classification,5,1,2,0.7447498964903941,0.6813287025406247,398,42,64
AEP,Utilities,BiLSTM,classification,5,1,3,0.6722922573736565,0.7989456965809777,398,42,64
AEP,Utilities,BiLSTM,classification,5,1,4,0.6794359378479234,0.7868419459887913,398,42,64
AEP,Utilities,BiLSTM,classification,5,1,5,0.6818408852246538,0.7196201682090759,398,42,64
AEP,Utilities,BiLSTM,classification,5,1,6,0.6099177185614505,0.8085697435197376,398,42,64
AEP,Utilities,BiLSTM,classification,5,1,7,0.55616500075139,0.7881537108194261,398,42,64
AEP,Utilities,BiLSTM,classification,5,1,8,0.5229211268413007,0.9675787914366949,398,42,64
AEP,Utilities,BiLSTM,classification,5,1,9,0.5321673902135399,0.9791737454278129,398,42,64
AEP,Utilities,BiLSTM,classification,5,1,10,0.5225675568808263,0.9863836367925009,398,42,64
AEP,Utilities,BiLSTM,classification,5,1,11,0.44351288481573364,1.0191726627803983,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,1,0.8171503283270639,0.6874859361421495,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,2,0.6929180589153539,0.8590804565520513,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,3,0.6303259969955712,0.9603582734153384,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,4,0.6279304455872157,0.8690546240125384,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,5,0.5736050977179753,1.217806271144322,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,6,0.5408776375516575,1.8846932365780784,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,7,0.500115970421077,2.224226406642369,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,8,0.5190550650483999,1.7478672776903426,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,9,0.537007281378885,2.6562728881835938,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,10,0.4794834519750509,2.5252622422717868,398,42,64
AMGN,Healthcare,BiLSTM,classification,5,1,11,0.4621090670326846,2.686664036342076,398,42,64
AMZN,Services,BiLSTM,classification,5,1,1,0.7862857466367021,0.6850274801254272,398,42,64
AMZN,Services,BiLSTM,classification,5,1,2,0.719690832360905,0.7962432759148734,398,42,64
AMZN,Services,BiLSTM,classification,5,1,3,0.6899221138139466,0.8214761018753052,398,42,64
AMZN,Services,BiLSTM,classification,5,1,4,0.6022183306552656,1.4089067663465227,398,42,64
AMZN,Services,BiLSTM,classification,5,1,5,0.5700216185507463,2.294462663786752,398,42,64
AMZN,Services,BiLSTM,classification,5,1,6,0.5923587347394857,0.7831756926718212,398,42,64
AMZN,Services,BiLSTM,classification,5,1,7,0.5993489919595383,3.333858751115345,398,42,64
AMZN,Services,BiLSTM,classification,5,1,8,0.5359897719855284,1.8795656874066307,398,42,64
AMZN,Services,BiLSTM,classification,5,1,9,0.4569711333243691,2.907119841802688,398,42,64
AMZN,Services,BiLSTM,classification,5,1,10,0.46926985014623135,1.9065107334227789,398,42,64
AMZN,Services,BiLSTM,classification,5,1,11,0.44333272783001465,1.8603003535951887,398,42,64
BA,Industrial Goods,BiLSTM,classification,5,1,1,0.8136472510333037,0.6758329272270203,398,42,64
BA,Industrial Goods,BiLSTM,classification,5,1,2,0.7034688319393139,0.9585654849097842,398,42,64
BA,Industrial Goods,BiLSTM,classification,5,1,3,0.6330120683315411,1.239006031127203,398,42,64
BA,Industrial Goods,BiLSTM,classification,5,1,4,0.6003440663443139,1.3936748164040702,398,42,64
