company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,classification,5,1,1,0.7563040040845248,0.7031007579394749,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,2,0.7204153178325251,0.6946461853526887,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,3,0.6579059566085662,0.6661343659673419,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,4,0.6242622739106567,0.7446712737991696,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,5,0.6131707349015241,0.7326798297110058,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,6,0.6084765964117481,1.2952394655772619,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,7,0.5813268746562938,0.9594039888609023,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,8,0.5630016475915909,1.0423161444209872,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,9,0.5739314903565986,2.026353481270018,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,10,0.5631346218849547,1.2557619355973744,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,11,0.5162818361466853,1.6147686753954207,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,12,0.46923638116474725,1.0299324620337713,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,13,0.4936213378031649,2.074012421426319,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,14,0.46708459845140354,1.0955521691413153,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,15,0.43147567273983406,1.8273283895992098,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,16,0.42042357568165767,1.6715121013777596,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,17,0.3732605557046344,2.0715746028082713,398,42,64
AAPL,Consumer Goods,GRU,classification,5,1,18,0.36682784332701907,1.854549214953468,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,1,0.718057832825723,0.8370994726816813,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,2,0.6307563020955378,1.0205824318386258,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,3,0.651059980967536,1.3937265191759383,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,4,0.6327078299007224,2.5346571377345493,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,5,0.6322163879571847,2.699227832612537,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,6,0.6116467268023659,2.2800114268348333,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,7,0.5742144980023255,2.9327701159885953,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,8,0.5577744425241672,3.1177640642438615,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,9,0.5407151269852816,2.461503346761068,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,10,0.5021456219443124,3.787792887006487,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,11,0.4643578745012906,3.4868537130809965,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,12,0.46200268442307285,3.874443145025344,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,13,0.46115627046206487,3.3358073234558105,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,14,0.41714367487622267,3.7422351837158203,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,15,0.402222731604648,4.186520167759487,398,42,64
ABB,Industrial Goods,GRU,classification,5,1,16,0.38331591087070543,3.7830036254156205,398,42,64
ABBV,Healthcare,GRU,classification,5,1,1,0.6998443201490162,0.7135963865688869,341,42,64
