company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,GRU,multiclass,1,0.1360951468710089,0.234375,-0.0041987961158156395,,,,0.008756782291545563,0.34782608695652173,0.4444444444444444,0.2857142857142857,0.53125,937,398,42,64,20,"[[0, 5, 0, 0, 0, 2], [0, 12, 1, 1, 1, 4], [1, 6, 1, 0, 1, 1], [0, 4, 2, 1, 0, 1], [0, 8, 1, 2, 1, 3], [0, 4, 1, 0, 0, 0]]","[[0.0, 0.7142857142857143, 0.0, 0.0, 0.0, 0.2857142857142857], [0.0, 0.631578947368421, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.21052631578947367], [0.1, 0.6, 0.1, 0.0, 0.1, 0.1], [0.0, 0.5, 0.25, 0.125, 0.0, 0.125], [0.0, 0.5333333333333333, 0.06666666666666667, 0.13333333333333333, 0.06666666666666667, 0.2], [0.0, 0.8, 0.2, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3323815166950226, 0.6684139370918274, 0.5844058394432068, 0.39538758993148804, 0.3743855655193329]"
ABB,Industrial Goods,GRU,multiclass,1,0.09222222222222222,0.28125,-0.003846891690045595,,,,0.25673599474580255,0.24390243902439024,1.0,0.1388888888888889,0.515625,937,398,42,64,20,"[[0, 3, 0, 0, 0, 0], [0, 17, 2, 0, 0, 0], [0, 6, 0, 0, 0, 0], [0, 14, 0, 0, 0, 1], [0, 14, 1, 0, 1, 3], [0, 2, 0, 0, 0, 0]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.8947368421052632, 0.10526315789473684, 0.0, 0.0, 0.0], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.9333333333333333, 0.0, 0.0, 0.0, 0.06666666666666667], [0.0, 0.7368421052631579, 0.05263157894736842, 0.0, 0.05263157894736842, 0.15789473684210525], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8154280781745911, 0.6684139370918274, 0.18536736071109772, 0.5424017906188965, 0.47939568758010864]"
ABBV,Healthcare,GRU,multiclass,1,0.18805818364641894,0.21875,2.2467633243650198e-05,,,,0.21837342688456055,0.5357142857142857,0.6818181818181818,0.4411764705882353,0.59375,856,331,42,64,20,"[[2, 3, 2, 0, 4, 0], [0, 4, 9, 1, 1, 0], [0, 2, 1, 0, 1, 0], [1, 2, 1, 1, 0, 0], [2, 3, 5, 2, 6, 1], [0, 1, 4, 2, 3, 0]]","[[0.18181818181818182, 0.2727272727272727, 0.18181818181818182, 0.0, 0.36363636363636365, 0.0], [0.0, 0.26666666666666666, 0.6, 0.06666666666666667, 0.06666666666666667, 0.0], [0.0, 0.5, 0.25, 0.0, 0.25, 0.0], [0.2, 0.4, 0.2, 0.2, 0.0, 0.0], [0.10526315789473684, 0.15789473684210525, 0.2631578947368421, 0.10526315789473684, 0.3157894736842105, 0.05263157894736842], [0.0, 0.1, 0.4, 0.2, 0.3, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8154280781745911, 0.5844058394432068, 0.5844058394432068, 0.39538758993148804, 0.35338354110717773]"
AEP,Utilities,GRU,multiclass,1,0.1684067505720824,0.234375,0.0011841411469504237,,,,-0.031761346610716945,0.4067796610169492,0.5714285714285714,0.3157894736842105,0.453125,937,398,42,64,20,"[[0, 2, 0, 2, 1, 0], [0, 5, 2, 3, 0, 0], [0, 3, 5, 1, 2, 0], [1, 7, 2, 5, 0, 0], [2, 8, 3, 6, 0, 0], [0, 3, 0, 0, 1, 0]]","[[0.0, 0.4, 0.0, 0.4, 0.2, 0.0], [0.0, 0.5, 0.2, 0.3, 0.0, 0.0], [0.0, 0.2727272727272727, 0.45454545454545453, 0.09090909090909091, 0.18181818181818182, 0.0], [0.06666666666666667, 0.4666666666666667, 0.13333333333333333, 0.3333333333333333, 0.0, 0.0], [0.10526315789473684, 0.42105263157894735, 0.15789473684210525, 0.3157894736842105, 0.0, 0.0], [0.0, 0.75, 0.0, 0.0, 0.25, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5634037852287292, 0.7944260835647583, 0.521399736404419, 0.8154280781745911, 0.7944260835647583]"
AMGN,Healthcare,GRU,multiclass,1,0.09846594123323682,0.140625,-0.003033541841432452,,,,0.06753674153942565,0.19047619047619047,0.6666666666666666,0.1111111111111111,0.46875,937,398,42,64,20,"[[5, 1, 0, 0, 0, 0], [13, 2, 0, 0, 0, 1], [5, 0, 0, 1, 0, 0], [7, 2, 0, 0, 0, 0], [12, 2, 0, 0, 1, 2], [5, 4, 0, 0, 0, 1]]","[[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0], [0.8125, 0.125, 0.0, 0.0, 0.0, 0.0625], [0.8333333333333334, 0.0, 0.0, 0.16666666666666666, 0.0, 0.0], [0.7777777777777778, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0], [0.7058823529411765, 0.11764705882352941, 0.0, 0.0, 0.058823529411764705, 0.11764705882352941], [0.5, 0.4, 0.0, 0.0, 0.0, 0.1]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7314199805259705, 0.7734240293502808, 0.6474118828773499, 0.5003977417945862, 0.47939568758010864]"
AMZN,Services,GRU,multiclass,1,0.13528693528693528,0.21875,0.00935288704931736,,,,-0.09416472308615167,0.47761194029850745,0.5,0.45714285714285713,0.453125,937,398,42,64,20,"[[0, 0, 2, 0, 1, 1], [0, 0, 6, 0, 5, 4], [0, 0, 5, 0, 3, 2], [0, 0, 3, 0, 0, 3], [0, 0, 10, 0, 6, 1], [0, 0, 6, 0, 3, 3]]","[[0.0, 0.0, 0.5, 0.0, 0.25, 0.25], [0.0, 0.0, 0.4, 0.0, 0.3333333333333333, 0.26666666666666666], [0.0, 0.0, 0.5, 0.0, 0.3, 0.2], [0.0, 0.0, 0.5, 0.0, 0.0, 0.5], [0.0, 0.0, 0.5882352941176471, 0.0, 0.35294117647058826, 0.058823529411764705], [0.0, 0.0, 0.5, 0.0, 0.25, 0.25]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.18536736071109772, 0.521399736404419, 0.7734240293502808, 0.5634037852287292, 0.43739163875579834]"
BA,Industrial Goods,GRU,multiclass,1,0.1538046505151768,0.234375,-0.000595380668528378,,,,0.099230849433283,0.6410256410256411,0.5813953488372093,0.7142857142857143,0.5625,937,398,42,64,20,"[[0, 0, 0, 3, 1, 0], [0, 2, 1, 8, 3, 0], [0, 7, 1, 2, 1, 0], [0, 4, 1, 4, 1, 0], [0, 4, 0, 9, 8, 0], [0, 1, 0, 2, 1, 0]]","[[0.0, 0.0, 0.0, 0.75, 0.25, 0.0], [0.0, 0.14285714285714285, 0.07142857142857142, 0.5714285714285714, 0.21428571428571427, 0.0], [0.0, 0.6363636363636364, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.0], [0.0, 0.4, 0.1, 0.4, 0.1, 0.0], [0.0, 0.19047619047619047, 0.0, 0.42857142857142855, 0.38095238095238093, 0.0], [0.0, 0.25, 0.0, 0.5, 0.25, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.18536736071109772, 0.4583936631679535, 0.35338354110717773, 0.521399736404419, 0.6684139370918274]"
BAC,Financial,GRU,multiclass,1,0.1692530140110785,0.203125,-0.0007414065185002983,,,,-0.1388738730621637,0.3137254901960784,0.3333333333333333,0.2962962962962963,0.453125,937,398,42,64,20,"[[3, 1, 0, 1, 0, 0], [8, 6, 0, 4, 0, 2], [2, 1, 0, 3, 1, 5], [1, 0, 1, 1, 1, 1], [9, 2, 0, 0, 1, 1], [3, 3, 0, 1, 0, 2]]","[[0.6, 0.2, 0.0, 0.2, 0.0, 0.0], [0.4, 0.3, 0.0, 0.2, 0.0, 0.1], [0.16666666666666666, 0.08333333333333333, 0.0, 0.25, 0.08333333333333333, 0.4166666666666667], [0.2, 0.0, 0.2, 0.2, 0.2, 0.2], [0.6923076923076923, 0.15384615384615385, 0.0, 0.0, 0.07692307692307693, 0.07692307692307693], [0.3333333333333333, 0.3333333333333333, 0.0, 0.1111111111111111, 0.0, 0.2222222222222222]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7944260835647583, 0.7314199805259705, 0.5003977417945862, 0.35338354110717773, 0.35338354110717773]"
BBL,Basic Matierials,GRU,multiclass,1,0.16211853162317558,0.21875,0.0024434456136077642,,,,0.00700902994282404,0.4482758620689655,0.3939393939393939,0.52,0.5,937,398,42,64,20,"[[6, 4, 0, 1, 0, 9], [3, 3, 0, 3, 0, 3], [3, 0, 0, 0, 2, 2], [1, 0, 0, 0, 0, 0], [4, 1, 0, 0, 2, 5], [5, 0, 1, 0, 3, 3]]","[[0.3, 0.2, 0.0, 0.05, 0.0, 0.45], [0.25, 0.25, 0.0, 0.25, 0.0, 0.25], [0.42857142857142855, 0.0, 0.0, 0.0, 0.2857142857142857, 0.2857142857142857], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.3333333333333333, 0.08333333333333333, 0.0, 0.0, 0.16666666666666666, 0.4166666666666667], [0.4166666666666667, 0.0, 0.08333333333333333, 0.0, 0.25, 0.25]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7314199805259705, 0.6474118828773499, 0.521399736404419, 0.5003977417945862, 0.3743855655193329]"
BCH,Financial,GRU,multiclass,1,0.11386684303350969,0.1875,-0.0037977430038154125,,,,0.03903903903903904,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.53125,937,398,42,64,20,"[[0, 3, 0, 0, 0, 1], [0, 8, 1, 0, 2, 9], [0, 9, 1, 1, 1, 1], [0, 4, 1, 0, 1, 2], [0, 9, 0, 0, 1, 6], [0, 1, 0, 0, 0, 2]]","[[0.0, 0.75, 0.0, 0.0, 0.0, 0.25], [0.0, 0.4, 0.05, 0.0, 0.1, 0.45], [0.0, 0.6923076923076923, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693, 0.07692307692307693], [0.0, 0.5, 0.125, 0.0, 0.125, 0.25], [0.0, 0.5625, 0.0, 0.0, 0.0625, 0.375], [0.0, 0.3333333333333333, 0.0, 0.0, 0.0, 0.6666666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7944260835647583, 0.18536736071109772, 0.521399736404419, 0.4163896143436432, 0.3323815166950226]"
