company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,multiclass,5,1,1,1.8628838664323242,3.346006155014038,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,2,1.8283196924319818,3.30937123298645,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,3,1.7985473008611095,3.2589919567108154,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,4,1.7695907138699862,3.1941792964935303,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,5,1.7409905611570158,3.1146957874298096,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,6,1.7128188870660024,3.0192434787750244,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,7,1.6846821955100975,2.9105660915374756,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,8,1.6564579881615376,2.790344476699829,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,9,1.6283874125336881,2.6633496284484863,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,10,1.6004501003116818,2.5360124111175537,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,11,1.5725863087716414,2.412883758544922,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,12,1.544768945955152,2.2985434532165527,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,13,1.5173033943128347,2.1965200901031494,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,14,1.4901549675356802,2.1068246364593506,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,15,1.4633121265837894,2.029482841491699,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,16,1.4368353953313588,1.9619957208633423,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,17,1.4107655736070182,1.9027231931686401,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,18,1.3851131709975812,1.850926399230957,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,19,1.3599790529390077,1.8051626682281494,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,20,1.3353261189844141,1.7644065618515015,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,21,1.3114361436522786,1.7275055646896362,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,22,1.288176567859985,1.6943775415420532,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,23,1.265648655106674,1.6651633977890015,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,24,1.2439603326308668,1.6393680572509766,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,25,1.2229750451430603,1.6147278547286987,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,26,1.202680512289306,1.592826247215271,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,27,1.1829450799891696,1.5734922885894775,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,28,1.1639950273923538,1.5557971000671387,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,29,1.1458066589568727,1.5400443077087402,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,30,1.1280391343574427,1.526131510734558,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,1,2.1608692245866785,2.31274151802063,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,2,2.1228190205205024,2.3026487827301025,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,3,2.0896297633348397,2.289736270904541,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,4,2.0573704614112125,2.2728116512298584,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,5,2.0261439923665034,2.250448226928711,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,6,1.9964722490789901,2.220717191696167,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,7,1.968287594953374,2.1829211711883545,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,8,1.9406035934860384,2.136000156402588,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,9,1.9138874857868982,2.0817837715148926,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,10,1.8874859714028824,2.0219357013702393,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,11,1.8611636215717948,1.9586639404296875,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,12,1.8349652769577562,1.8928371667861938,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,13,1.8087832442480116,1.8439865112304688,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,14,1.7902551158588735,1.7856110334396362,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,15,1.7649021478154552,1.7283872365951538,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,16,1.739034656304211,1.6734484434127808,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,17,1.7131043933144765,1.6219377517700195,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,18,1.6868803995338517,1.5723598003387451,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,19,1.6598133618508153,1.5224144458770752,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,20,1.6322741182006184,1.4710429906845093,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,21,1.6050288186001418,1.415432333946228,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,22,1.5772955720149093,1.3617980480194092,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,23,1.5499659767701996,1.312114953994751,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,24,1.5228722284187624,1.2673028707504272,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,25,1.4963626687850184,1.228083848953247,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,26,1.4704730594577502,1.193139910697937,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,27,1.4454455594321591,1.1626914739608765,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,28,1.4212026524184338,1.1370118856430054,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,29,1.397949492212516,1.1165679693222046,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,30,1.3754390792631024,1.1024163961410522,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,1,1.891495795194005,1.6946699619293213,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,2,1.8645425007140533,1.6872118711471558,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,3,1.839605885516863,1.6777199506759644,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,4,1.81526153667931,1.6653416156768799,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,5,1.7912936476318717,1.649761438369751,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,6,1.7676449335914903,1.6305068731307983,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,7,1.7442971674228345,1.6073267459869385,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,8,1.721464711550044,1.580762505531311,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,9,1.6988266035258945,1.5509973764419556,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,10,1.6762535156043044,1.5184835195541382,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,11,1.6536495797445347,1.4833482503890991,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,12,1.6311069471745197,1.446448564529419,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,13,1.6086577463709364,1.4089710712432861,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,14,1.5866192173748073,1.3717739582061768,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,15,1.5648032619107155,1.3354004621505737,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,16,1.5432789822128161,1.3006242513656616,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,17,1.5219708453874783,1.2677531242370605,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,18,1.5009063940243987,1.2368181943893433,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,19,1.4801559165076426,1.2080656290054321,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,20,1.4596842107884695,1.1815898418426514,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,21,1.4395252994078696,1.1565431356430054,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,22,1.4197835516719874,1.1333318948745728,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,23,1.4002616363536577,1.1120264530181885,341,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,24,1.3810776625910113,1.0926932096481323,341,42,64
