company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,1,2.038742449115868,3.3763318061828613,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,2,1.910168745709424,3.3330001831054688,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,3,1.7744528076157497,3.274339437484741,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,4,1.7088158771620323,3.1634509563446045,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,5,1.5742602890460335,2.9734952449798584,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,6,1.501587060528185,2.692401170730591,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,7,1.4028907740235927,2.3380048274993896,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,8,1.2701486254756773,1.979512095451355,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,9,1.1882848164544033,1.7413276433944702,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,10,1.1533532174088847,1.6090682744979858,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,11,1.1195039331313952,1.585516333580017,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,12,1.1339563144810836,1.6219347715377808,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,13,1.0360510033279209,1.6670845746994019,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,14,1.0084952804910479,1.6649932861328125,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,15,0.9984471438518122,1.6386874914169312,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,16,0.9175124124965476,1.6383329629898071,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,10,1,17,0.9037929295594967,1.6696081161499023,398,42,64
