company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,1,0.13528892604979562,0.1875,0.0007670987397432327,,,,-0.02017425108896008,0.25,0.4166666666666667,0.17857142857142858,0.53125,942,398,42,64,26,"[[2, 3, 0, 0, 0, 2], [4, 7, 4, 0, 0, 4], [3, 4, 2, 0, 0, 1], [2, 2, 3, 0, 0, 1], [5, 3, 3, 0, 1, 3], [3, 1, 1, 0, 0, 0]]","[[0.2857142857142857, 0.42857142857142855, 0.0, 0.0, 0.0, 0.2857142857142857], [0.21052631578947367, 0.3684210526315789, 0.21052631578947367, 0.0, 0.0, 0.21052631578947367], [0.3, 0.4, 0.2, 0.0, 0.0, 0.1], [0.25, 0.25, 0.375, 0.0, 0.0, 0.125], [0.3333333333333333, 0.2, 0.2, 0.0, 0.06666666666666667, 0.2], [0.6, 0.2, 0.2, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5383292436599731, 0.6034925580024719, 0.6360742449760437, 0.5383292436599731, 0.5709109306335449]"
ABB,Industrial Goods,BiLSTM,multiclass,1,0.1111111111111111,0.15625,-0.001613293425180018,,,,0.1755955280025067,0.23809523809523808,0.8333333333333334,0.1388888888888889,0.5,942,398,42,64,23,"[[0, 0, 3, 0, 0, 0], [5, 6, 7, 1, 0, 0], [4, 2, 0, 0, 0, 0], [4, 5, 5, 0, 1, 0], [4, 3, 8, 0, 4, 0], [0, 1, 1, 0, 0, 0]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.2631578947368421, 0.3157894736842105, 0.3684210526315789, 0.05263157894736842, 0.0, 0.0], [0.6666666666666666, 0.3333333333333333, 0.0, 0.0, 0.0, 0.0], [0.26666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.06666666666666667, 0.0], [0.21052631578947367, 0.15789473684210525, 0.42105263157894735, 0.0, 0.21052631578947367, 0.0], [0.0, 0.5, 0.5, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6523650288581848, 0.522038459777832, 0.5709109306335449, 0.5057476162910461, 0.5383292436599731]"
ABBV,Healthcare,BiLSTM,multiclass,1,0.13070032989143202,0.171875,-0.0014788899570703506,,,,0.07036672182012485,0.6741573033707865,0.5454545454545454,0.8823529411764706,0.546875,861,336,42,64,25,"[[0, 1, 0, 7, 0, 3], [0, 2, 0, 12, 1, 0], [0, 2, 0, 1, 1, 0], [0, 1, 0, 4, 0, 0], [0, 2, 1, 8, 1, 7], [0, 0, 0, 6, 0, 4]]","[[0.0, 0.09090909090909091, 0.0, 0.6363636363636364, 0.0, 0.2727272727272727], [0.0, 0.13333333333333333, 0.0, 0.8, 0.06666666666666667, 0.0], [0.0, 0.5, 0.0, 0.25, 0.25, 0.0], [0.0, 0.2, 0.0, 0.8, 0.0, 0.0], [0.0, 0.10526315789473684, 0.05263157894736842, 0.42105263157894735, 0.05263157894736842, 0.3684210526315789], [0.0, 0.0, 0.0, 0.6, 0.0, 0.4]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.47316595911979675, 0.45687514543533325, 0.3917118310928345, 0.48945680260658264, 0.45687514543533325]"
AEP,Utilities,BiLSTM,multiclass,1,0.14315476190476192,0.203125,-0.001405428978614509,,,,0.10421364855284106,0.6216216216216216,0.6388888888888888,0.6052631578947368,0.5625,942,398,42,64,50,"[[0, 2, 0, 0, 2, 1], [0, 7, 2, 0, 0, 1], [0, 2, 0, 2, 5, 2], [0, 3, 0, 3, 6, 3], [0, 6, 3, 3, 3, 4], [0, 2, 1, 1, 0, 0]]","[[0.0, 0.4, 0.0, 0.0, 0.4, 0.2], [0.0, 0.7, 0.2, 0.0, 0.0, 0.1], [0.0, 0.18181818181818182, 0.0, 0.18181818181818182, 0.45454545454545453, 0.18181818181818182], [0.0, 0.2, 0.0, 0.2, 0.4, 0.2], [0.0, 0.3157894736842105, 0.15789473684210525, 0.15789473684210525, 0.15789473684210525, 0.21052631578947367], [0.0, 0.5, 0.25, 0.25, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3265485465526581, 0.5383292436599731, 0.48945680260658264, 0.42429348826408386, 0.44058430194854736]"
AMGN,Healthcare,BiLSTM,multiclass,1,0.048611111111111105,0.09375,-0.010224619880318642,,,,0.10722404795288451,0.23255813953488372,0.7142857142857143,0.1388888888888889,0.484375,942,398,42,64,24,"[[5, 1, 0, 0, 0, 0], [15, 0, 0, 0, 0, 1], [5, 0, 0, 0, 0, 1], [9, 0, 0, 0, 0, 0], [14, 0, 0, 0, 0, 3], [6, 2, 0, 1, 0, 1]]","[[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0], [0.9375, 0.0, 0.0, 0.0, 0.0, 0.0625], [0.8333333333333334, 0.0, 0.0, 0.0, 0.0, 0.16666666666666666], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8235294117647058, 0.0, 0.0, 0.0, 0.0, 0.17647058823529413], [0.6, 0.2, 0.0, 0.1, 0.0, 0.1]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5872017741203308, 0.6197834014892578, 0.522038459777832, 0.48945680260658264, 0.37542101740837097]"
AMZN,Services,BiLSTM,multiclass,1,0.17306727980352268,0.234375,0.00800047256052494,,,,-0.10202730382030911,0.611764705882353,0.52,0.7428571428571429,0.484375,942,398,42,64,26,"[[0, 0, 1, 1, 0, 2], [0, 0, 2, 2, 6, 5], [0, 0, 2, 1, 4, 3], [0, 0, 1, 2, 0, 3], [0, 0, 5, 3, 7, 2], [0, 0, 3, 2, 3, 4]]","[[0.0, 0.0, 0.25, 0.25, 0.0, 0.5], [0.0, 0.0, 0.13333333333333333, 0.13333333333333333, 0.4, 0.3333333333333333], [0.0, 0.0, 0.2, 0.1, 0.4, 0.3], [0.0, 0.0, 0.16666666666666666, 0.3333333333333333, 0.0, 0.5], [0.0, 0.0, 0.29411764705882354, 0.17647058823529413, 0.4117647058823529, 0.11764705882352941], [0.0, 0.0, 0.25, 0.16666666666666666, 0.25, 0.3333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3265485465526581, 0.48945680260658264, 0.6034925580024719, 0.47316595911979675, 0.5709109306335449]"
BA,Industrial Goods,BiLSTM,multiclass,1,0.15942486632141806,0.234375,-0.003962487913668156,,,,0.31898963300538824,0.3333333333333333,1.0,0.2,0.5625,942,398,42,64,26,"[[1, 1, 2, 0, 0, 0], [1, 1, 12, 0, 0, 0], [0, 1, 10, 0, 0, 0], [1, 0, 7, 0, 2, 0], [0, 2, 14, 2, 3, 0], [0, 2, 2, 0, 0, 0]]","[[0.25, 0.25, 0.5, 0.0, 0.0, 0.0], [0.07142857142857142, 0.07142857142857142, 0.8571428571428571, 0.0, 0.0, 0.0], [0.0, 0.09090909090909091, 0.9090909090909091, 0.0, 0.0, 0.0], [0.1, 0.0, 0.7, 0.0, 0.2, 0.0], [0.0, 0.09523809523809523, 0.6666666666666666, 0.09523809523809523, 0.14285714285714285, 0.0], [0.0, 0.5, 0.5, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.47316595911979675, 0.42429348826408386, 0.6360742449760437, 0.42429348826408386, 0.6360742449760437]"
BAC,Financial,BiLSTM,multiclass,1,0.15582718408805366,0.15625,-0.003496012883260846,,,,0.058362172604259924,0.4827586206896552,0.45161290322580644,0.5185185185185185,0.53125,942,398,42,64,25,"[[1, 0, 1, 0, 3, 0], [9, 1, 3, 1, 6, 0], [3, 0, 2, 1, 5, 1], [0, 0, 1, 1, 3, 0], [5, 0, 2, 1, 4, 1], [3, 0, 2, 1, 2, 1]]","[[0.2, 0.0, 0.2, 0.0, 0.6, 0.0], [0.45, 0.05, 0.15, 0.05, 0.3, 0.0], [0.25, 0.0, 0.16666666666666666, 0.08333333333333333, 0.4166666666666667, 0.08333333333333333], [0.0, 0.0, 0.2, 0.2, 0.6, 0.0], [0.38461538461538464, 0.0, 0.15384615384615385, 0.07692307692307693, 0.3076923076923077, 0.07692307692307693], [0.3333333333333333, 0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.1111111111111111]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5057476162910461, 0.42429348826408386, 0.40800267457962036, 0.6034925580024719, 0.3265485465526581]"
BBL,Basic Matierials,BiLSTM,multiclass,1,0.1363346104725415,0.171875,0.01333065889775753,,,,0.16976428667549412,0.5714285714285714,0.4444444444444444,0.8,0.53125,942,398,42,64,26,"[[0, 6, 0, 0, 2, 12], [0, 3, 1, 0, 3, 5], [0, 3, 1, 0, 0, 3], [0, 0, 0, 0, 1, 0], [0, 2, 0, 0, 2, 8], [0, 3, 0, 0, 4, 5]]","[[0.0, 0.3, 0.0, 0.0, 0.1, 0.6], [0.0, 0.25, 0.08333333333333333, 0.0, 0.25, 0.4166666666666667], [0.0, 0.42857142857142855, 0.14285714285714285, 0.0, 0.0, 0.42857142857142855], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.6666666666666666], [0.0, 0.25, 0.0, 0.0, 0.3333333333333333, 0.4166666666666667]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3265485465526581, 0.6523650288581848, 0.6034925580024719, 0.522038459777832, 0.6197834014892578]"
BCH,Financial,BiLSTM,multiclass,1,0.10153728803614387,0.15625,0.0050590382888913155,,,,0.03546361409014303,0.5151515151515151,0.4358974358974359,0.6296296296296297,0.5,942,398,42,64,26,"[[0, 0, 3, 0, 0, 1], [0, 0, 5, 3, 2, 10], [0, 0, 7, 2, 3, 1], [0, 0, 4, 0, 1, 3], [0, 0, 6, 3, 1, 6], [0, 0, 0, 1, 0, 2]]","[[0.0, 0.0, 0.75, 0.0, 0.0, 0.25], [0.0, 0.0, 0.25, 0.15, 0.1, 0.5], [0.0, 0.0, 0.5384615384615384, 0.15384615384615385, 0.23076923076923078, 0.07692307692307693], [0.0, 0.0, 0.5, 0.0, 0.125, 0.375], [0.0, 0.0, 0.375, 0.1875, 0.0625, 0.375], [0.0, 0.0, 0.0, 0.3333333333333333, 0.0, 0.6666666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3265485465526581, 0.3265485465526581, 0.5057476162910461, 0.6523650288581848, 0.6360742449760437]"
