company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,multiclass,20,5,1,0.7402212368183999,0.7082776427268982,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,2,0.6943055427254144,0.7046293616294861,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,3,0.6978776439949496,0.7015159726142883,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,4,0.6732231965616121,0.7021898627281189,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,5,0.6601062120504715,0.6993695497512817,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,6,0.6182680998615284,0.712690532207489,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,7,0.5870255585291877,0.7376779317855835,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,8,0.565200139529741,0.8714075088500977,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,9,0.528221279831987,1.1735118627548218,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,10,0.5323393922954348,1.1479412317276,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,11,0.5149694967209993,1.5252971649169922,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,12,0.4865369620035641,1.1119439601898193,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,13,0.4640150279855009,1.3061631917953491,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,14,0.45709975310905493,1.395138144493103,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,15,0.4647193137724795,1.3843876123428345,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,16,0.4459477911642448,1.1773582696914673,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,17,0.4249769275511929,1.2084449529647827,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,18,0.41677008262231724,1.1358247995376587,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,19,0.40429281888894697,1.1542823314666748,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,20,0.398732878604726,1.157144546508789,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,21,0.39864506433956587,1.1426750421524048,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,22,0.386145384167906,1.0800179243087769,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,23,0.38992353420161724,1.0987306833267212,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,24,0.3806966889144188,1.2392239570617676,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,25,0.36555745059521355,1.2021942138671875,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,26,0.3549811565995815,1.0545765161514282,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,27,0.35572914142704487,1.2394208908081055,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,28,0.36014459525520476,1.1675471067428589,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,29,0.33076290524185603,1.1080354452133179,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,20,5,30,0.33214870529558194,1.1224342584609985,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,1,0.892325318338883,0.8206416964530945,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,2,0.8552241795626118,0.8239867091178894,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,3,0.8378453521273244,0.8268704414367676,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,4,0.8145676923157582,0.8374540209770203,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,5,0.7894257016517409,0.8984083533287048,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,6,0.7567134769118611,1.1119921207427979,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,7,0.7301819117824037,1.1460684537887573,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,8,0.7133230480117414,1.7618519067764282,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,9,0.6885962369453967,1.6582739353179932,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,10,0.6687390217229948,1.8083078861236572,398,42,64
ABB,Industrial Goods,LSTM,multiclass,20,5,11,0.6464648714017629,1.768255591392517,398,42,64
