company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiGRU,multiclass,5,0.062111801242236024,0.109375,0.0018768854206427932,,,,-0.0902550601789804,0.5569620253164557,0.4583333333333333,0.7096774193548387,0.453125,928,398,42,64,11,"[[0, 6, 0, 8, 1, 8], [0, 1, 0, 2, 0, 4], [0, 0, 0, 2, 0, 1], [0, 2, 0, 0, 0, 3], [0, 2, 0, 4, 0, 6], [0, 5, 0, 3, 0, 6]]","[[0.0, 0.2608695652173913, 0.0, 0.34782608695652173, 0.043478260869565216, 0.34782608695652173], [0.0, 0.14285714285714285, 0.0, 0.2857142857142857, 0.0, 0.5714285714285714], [0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333], [0.0, 0.4, 0.0, 0.0, 0.0, 0.6], [0.0, 0.16666666666666666, 0.0, 0.3333333333333333, 0.0, 0.5], [0.0, 0.35714285714285715, 0.0, 0.21428571428571427, 0.0, 0.42857142857142855]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.48743098974227905, 0.48743098974227905, 0.48743098974227905, 0.48743098974227905, 0.48743098974227905]"
ABB,Industrial Goods,BiGRU,multiclass,5,0.05627705627705628,0.203125,0.002947823144495487,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,928,398,42,64,11,"[[0, 0, 0, 0, 0, 16], [0, 0, 0, 0, 0, 17], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 13]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4545532763004303, 0.48743098974227905, 0.5203087329864502, 0.5203087329864502, 0.48743098974227905]"
ABBV,Healthcare,BiGRU,multiclass,5,0.10932539682539683,0.234375,0.007553909905254841,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,847,326,42,64,11,"[[0, 0, 0, 4, 14, 6], [0, 0, 0, 2, 3, 2], [0, 0, 0, 0, 2, 3], [0, 0, 0, 0, 1, 1], [0, 0, 0, 1, 2, 8], [0, 0, 0, 0, 2, 13]]","[[0.0, 0.0, 0.0, 0.16666666666666666, 0.5833333333333334, 0.25], [0.0, 0.0, 0.0, 0.2857142857142857, 0.42857142857142855, 0.2857142857142857], [0.0, 0.0, 0.0, 0.0, 0.4, 0.6], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.09090909090909091, 0.18181818181818182, 0.7272727272727273], [0.0, 0.0, 0.0, 0.0, 0.13333333333333333, 0.8666666666666667]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6189418435096741, 0.48743098974227905, 0.42167559266090393, 0.3559201657772064, 0.3887978792190552]"
AEP,Utilities,BiGRU,multiclass,5,0.20624627310673824,0.234375,0.004306527320295572,,,,0.1271849058234485,0.6493506493506493,0.6097560975609756,0.6944444444444444,0.578125,928,398,42,64,11,"[[0, 1, 1, 0, 5, 2], [0, 2, 6, 0, 0, 5], [0, 0, 2, 0, 0, 4], [0, 0, 2, 3, 0, 4], [0, 0, 6, 1, 0, 6], [0, 0, 3, 0, 3, 8]]","[[0.0, 0.1111111111111111, 0.1111111111111111, 0.0, 0.5555555555555556, 0.2222222222222222], [0.0, 0.15384615384615385, 0.46153846153846156, 0.0, 0.0, 0.38461538461538464], [0.0, 0.0, 0.3333333333333333, 0.0, 0.0, 0.6666666666666666], [0.0, 0.0, 0.2222222222222222, 0.3333333333333333, 0.0, 0.4444444444444444], [0.0, 0.0, 0.46153846153846156, 0.07692307692307693, 0.0, 0.46153846153846156], [0.0, 0.0, 0.21428571428571427, 0.0, 0.21428571428571427, 0.5714285714285714]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.42167559266090393, 0.6189418435096741, 0.4545532763004303, 0.5860641002655029, 0.48743098974227905]"
AMGN,Healthcare,BiGRU,multiclass,5,0.10983671843886898,0.15625,0.003119578119367361,,,,0.1474852895742471,0.74,0.5873015873015873,1.0,0.59375,928,398,42,64,11,"[[0, 0, 1, 11, 0, 0], [0, 0, 0, 7, 0, 0], [0, 0, 0, 7, 0, 1], [0, 0, 0, 2, 0, 0], [0, 0, 0, 11, 1, 1], [0, 0, 0, 14, 1, 7]]","[[0.0, 0.0, 0.08333333333333333, 0.9166666666666666, 0.0, 0.0], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.875, 0.0, 0.125], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.8461538461538461, 0.07692307692307693, 0.07692307692307693], [0.0, 0.0, 0.0, 0.6363636363636364, 0.045454545454545456, 0.3181818181818182]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4545532763004303, 0.48743098974227905, 0.5203087329864502, 0.4545532763004303, 0.48743098974227905]"
AMZN,Services,BiGRU,multiclass,5,0.0989010989010989,0.421875,0.0017898031510412693,,,,0.0,0.8037383177570093,0.671875,1.0,0.671875,928,398,42,64,11,"[[0, 0, 0, 0, 0, 9], [0, 0, 0, 0, 0, 10], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 0, 14], [0, 0, 0, 0, 0, 27]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3887978792190552, 0.42167559266090393, 0.3559201657772064, 0.3559201657772064, 0.3559201657772064]"
BA,Industrial Goods,BiGRU,multiclass,5,0.18761297182349812,0.28125,-0.0003295394708402455,,,,0.30980392156862746,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.65625,928,398,42,64,12,"[[9, 1, 1, 0, 3, 1], [9, 2, 0, 0, 5, 0], [1, 0, 0, 0, 2, 0], [0, 0, 0, 0, 2, 0], [5, 0, 0, 1, 3, 0], [6, 0, 0, 0, 9, 4]]","[[0.6, 0.06666666666666667, 0.06666666666666667, 0.0, 0.2, 0.06666666666666667], [0.5625, 0.125, 0.0, 0.0, 0.3125, 0.0], [0.3333333333333333, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.5555555555555556, 0.0, 0.0, 0.1111111111111111, 0.3333333333333333, 0.0], [0.3157894736842105, 0.0, 0.0, 0.0, 0.47368421052631576, 0.21052631578947367]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7833303809165955, 0.4545532763004303, 0.48743098974227905, 0.4545532763004303, 0.4545532763004303]"
BAC,Financial,BiGRU,multiclass,5,0.12369281045751634,0.265625,0.0017661660676822066,,,,0.0,0.7326732673267327,0.578125,1.0,0.578125,928,398,42,64,11,"[[0, 0, 0, 0, 6, 8], [0, 0, 0, 1, 5, 4], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 3, 1], [0, 0, 0, 1, 7, 8], [0, 0, 0, 4, 3, 10]]","[[0.0, 0.0, 0.0, 0.0, 0.42857142857142855, 0.5714285714285714], [0.0, 0.0, 0.0, 0.1, 0.5, 0.4], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.75, 0.25], [0.0, 0.0, 0.0, 0.0625, 0.4375, 0.5], [0.0, 0.0, 0.0, 0.23529411764705882, 0.17647058823529413, 0.5882352941176471]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.42167559266090393, 0.42167559266090393, 0.4545532763004303, 0.5203087329864502, 0.48743098974227905]"
BBL,Basic Matierials,BiGRU,multiclass,5,0.05238095238095238,0.171875,0.02371339499950409,,,,0.043254858643763654,0.42105263157894735,0.2711864406779661,0.9411764705882353,0.3125,928,398,42,64,20,"[[0, 0, 4, 1, 0, 34], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 4], [0, 0, 1, 0, 0, 11]]","[[0.0, 0.0, 0.10256410256410256, 0.02564102564102564, 0.0, 0.8717948717948718], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.08333333333333333, 0.0, 0.0, 0.9166666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.48743098974227905, 0.5203087329864502, 0.6189418435096741, 0.5860641002655029, 0.5531864166259766]"
BCH,Financial,BiGRU,multiclass,5,0.037037037037037035,0.125,0.010349079966545105,,,,0.0,0.47619047619047616,0.3125,1.0,0.3125,928,398,42,64,11,"[[0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 20], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 8]]","[[0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5203087329864502, 0.5531864166259766, 0.5203087329864502, 0.5203087329864502, 0.5203087329864502]"
