company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,1,0.12461267981855446,0.203125,-0.0023213126696646214,,,,0.1463182264089704,0.5263157894736842,0.5172413793103449,0.5357142857142857,0.578125,937,398,42,64,18,"[[4, 1, 0, 0, 2, 0], [8, 2, 1, 0, 8, 0], [3, 3, 0, 0, 3, 1], [3, 0, 1, 0, 4, 0], [4, 2, 1, 0, 7, 1], [2, 0, 0, 1, 2, 0]]","[[0.5714285714285714, 0.14285714285714285, 0.0, 0.0, 0.2857142857142857, 0.0], [0.42105263157894735, 0.10526315789473684, 0.05263157894736842, 0.0, 0.42105263157894735, 0.0], [0.3, 0.3, 0.0, 0.0, 0.3, 0.1], [0.375, 0.0, 0.125, 0.0, 0.5, 0.0], [0.26666666666666666, 0.13333333333333333, 0.06666666666666667, 0.0, 0.4666666666666667, 0.06666666666666667], [0.4, 0.0, 0.0, 0.2, 0.4, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6307678818702698, 0.47059720754623413, 0.7428873181343079, 0.3424606919288635, 0.2623753845691681]"
ABB,Industrial Goods,BiLSTM,multiclass,1,0.1400997150997151,0.296875,0.006158402189612389,,,,0.14121975762272057,0.7045454545454546,0.5961538461538461,0.8611111111111112,0.59375,937,398,42,64,16,"[[0, 0, 0, 0, 3, 0], [0, 1, 5, 1, 11, 1], [0, 0, 1, 1, 4, 0], [0, 2, 1, 1, 10, 1], [0, 2, 0, 0, 16, 1], [0, 0, 0, 0, 2, 0]]","[[0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.0, 0.05263157894736842, 0.2631578947368421, 0.05263157894736842, 0.5789473684210527, 0.05263157894736842], [0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.6666666666666666, 0.0], [0.0, 0.13333333333333333, 0.06666666666666667, 0.06666666666666667, 0.6666666666666666, 0.06666666666666667], [0.0, 0.10526315789473684, 0.0, 0.0, 0.8421052631578947, 0.05263157894736842], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6788190603256226, 0.5827166438102722, 0.40652894973754883, 0.6948361396789551, 0.454580157995224]"
ABBV,Healthcare,BiLSTM,multiclass,1,0.19369809203142538,0.234375,-0.0008858614601194859,,,,0.22124350823336536,0.6153846153846154,0.6451612903225806,0.5882352941176471,0.609375,856,331,42,64,14,"[[2, 2, 1, 0, 4, 2], [4, 5, 2, 0, 4, 0], [2, 0, 1, 0, 1, 0], [2, 1, 0, 0, 2, 0], [4, 2, 2, 0, 5, 6], [0, 2, 1, 0, 5, 2]]","[[0.18181818181818182, 0.18181818181818182, 0.09090909090909091, 0.0, 0.36363636363636365, 0.18181818181818182], [0.26666666666666666, 0.3333333333333333, 0.13333333333333333, 0.0, 0.26666666666666666, 0.0], [0.5, 0.0, 0.25, 0.0, 0.25, 0.0], [0.4, 0.2, 0.0, 0.0, 0.4, 0.0], [0.21052631578947367, 0.10526315789473684, 0.10526315789473684, 0.0, 0.2631578947368421, 0.3157894736842105], [0.0, 0.2, 0.1, 0.0, 0.5, 0.2]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.66280198097229, 0.66280198097229, 0.5666996240615845, 0.3905119001865387, 0.35847777128219604]"
AEP,Utilities,BiLSTM,multiclass,1,0.1551176792556103,0.1875,-0.004920390900224447,,,,0.09309654430591613,0.2916666666666667,0.7,0.18421052631578946,0.46875,937,398,42,64,16,"[[3, 0, 2, 0, 0, 0], [6, 2, 0, 2, 0, 0], [5, 3, 2, 1, 0, 0], [3, 4, 3, 5, 0, 0], [6, 8, 3, 2, 0, 0], [1, 3, 0, 0, 0, 0]]","[[0.6, 0.0, 0.4, 0.0, 0.0, 0.0], [0.6, 0.2, 0.0, 0.2, 0.0, 0.0], [0.45454545454545453, 0.2727272727272727, 0.18181818181818182, 0.09090909090909091, 0.0, 0.0], [0.2, 0.26666666666666666, 0.2, 0.3333333333333333, 0.0, 0.0], [0.3157894736842105, 0.42105263157894735, 0.15789473684210525, 0.10526315789473684, 0.0, 0.0], [0.25, 0.75, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7428873181343079, 0.6788190603256226, 0.3905119001865387, 0.5827166438102722, 0.5186483860015869]"
AMGN,Healthcare,BiLSTM,multiclass,1,0.054880791722896984,0.09375,-0.006895093712955713,,,,0.09759000729485331,0.15,0.75,0.08333333333333333,0.46875,937,398,42,64,14,"[[5, 1, 0, 0, 0, 0], [15, 0, 0, 0, 1, 0], [5, 1, 0, 0, 0, 0], [7, 2, 0, 0, 0, 0], [13, 1, 1, 0, 0, 2], [6, 2, 1, 0, 0, 1]]","[[0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0], [0.9375, 0.0, 0.0, 0.0, 0.0625, 0.0], [0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0], [0.7777777777777778, 0.2222222222222222, 0.0, 0.0, 0.0, 0.0], [0.7647058823529411, 0.058823529411764705, 0.058823529411764705, 0.0, 0.0, 0.11764705882352941], [0.6, 0.2, 0.1, 0.0, 0.0, 0.1]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6467849016189575, 0.7428873181343079, 0.6467849016189575, 0.454580157995224, 0.454580157995224]"
AMZN,Services,BiLSTM,multiclass,1,0.1283497204549836,0.1875,0.009312261827290058,,,,-0.035182987609823045,0.6436781609195402,0.5384615384615384,0.8,0.515625,937,398,42,64,15,"[[0, 0, 2, 0, 0, 2], [0, 0, 1, 4, 3, 7], [0, 1, 1, 1, 1, 6], [0, 2, 1, 0, 0, 3], [0, 0, 4, 5, 5, 3], [0, 0, 0, 4, 2, 6]]","[[0.0, 0.0, 0.5, 0.0, 0.0, 0.5], [0.0, 0.0, 0.06666666666666667, 0.26666666666666666, 0.2, 0.4666666666666667], [0.0, 0.1, 0.1, 0.1, 0.1, 0.6], [0.0, 0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.5], [0.0, 0.0, 0.23529411764705882, 0.29411764705882354, 0.29411764705882354, 0.17647058823529413], [0.0, 0.0, 0.0, 0.3333333333333333, 0.16666666666666666, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.10220474749803543, 0.5987337231636047, 0.48661428689956665, 0.40652894973754883, 0.3264436423778534]"
BA,Industrial Goods,BiLSTM,multiclass,1,0.14578134284016636,0.234375,-0.0032026399858295918,,,,0.16348734079150698,0.10810810810810811,1.0,0.05714285714285714,0.484375,937,398,42,64,15,"[[2, 2, 0, 0, 0, 0], [3, 11, 0, 0, 0, 0], [1, 10, 0, 0, 0, 0], [3, 6, 0, 1, 0, 0], [3, 14, 3, 0, 1, 0], [1, 3, 0, 0, 0, 0]]","[[0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.21428571428571427, 0.7857142857142857, 0.0, 0.0, 0.0, 0.0], [0.09090909090909091, 0.9090909090909091, 0.0, 0.0, 0.0, 0.0], [0.3, 0.6, 0.0, 0.1, 0.0, 0.0], [0.14285714285714285, 0.6666666666666666, 0.14285714285714285, 0.0, 0.047619047619047616, 0.0], [0.25, 0.75, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.48661428689956665, 0.6467849016189575, 0.7428873181343079, 0.6147508025169373, 0.5346654653549194]"
BAC,Financial,BiLSTM,multiclass,1,0.10768921095008051,0.140625,-0.005060908384621143,,,,0.11449168721649522,0.4489795918367347,0.5,0.4074074074074074,0.578125,937,398,42,64,14,"[[4, 0, 0, 0, 1, 0], [15, 0, 1, 1, 3, 0], [6, 0, 0, 0, 2, 4], [2, 0, 0, 0, 3, 0], [9, 0, 0, 0, 3, 1], [5, 0, 0, 0, 2, 2]]","[[0.8, 0.0, 0.0, 0.0, 0.2, 0.0], [0.75, 0.0, 0.05, 0.05, 0.15, 0.0], [0.5, 0.0, 0.0, 0.0, 0.16666666666666666, 0.3333333333333333], [0.4, 0.0, 0.0, 0.0, 0.6, 0.0], [0.6923076923076923, 0.0, 0.0, 0.0, 0.23076923076923078, 0.07692307692307693], [0.5555555555555556, 0.0, 0.0, 0.0, 0.2222222222222222, 0.2222222222222222]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6948361396789551, 0.550682544708252, 0.40652894973754883, 0.31042659282684326, 0.5186483860015869]"
BBL,Basic Matierials,BiLSTM,multiclass,1,0.12306973640306974,0.171875,0.008544215001165867,,,,0.19432508268938872,0.5797101449275363,0.45454545454545453,0.8,0.546875,937,398,42,64,13,"[[2, 5, 0, 2, 7, 4], [2, 2, 0, 1, 5, 2], [1, 3, 0, 0, 2, 1], [0, 0, 0, 0, 1, 0], [2, 0, 0, 1, 5, 4], [0, 3, 0, 2, 5, 2]]","[[0.1, 0.25, 0.0, 0.1, 0.35, 0.2], [0.16666666666666666, 0.16666666666666666, 0.0, 0.08333333333333333, 0.4166666666666667, 0.16666666666666666], [0.14285714285714285, 0.42857142857142855, 0.0, 0.0, 0.2857142857142857, 0.14285714285714285], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.16666666666666666, 0.0, 0.0, 0.08333333333333333, 0.4166666666666667, 0.3333333333333333], [0.0, 0.25, 0.0, 0.16666666666666666, 0.4166666666666667, 0.16666666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6948361396789551, 0.7428873181343079, 0.6147508025169373, 0.5346654653549194, 0.5026313662528992]"
BCH,Financial,BiLSTM,multiclass,1,0.14608538450841327,0.21875,0.015137560665607452,,,,-0.04084525678298932,0.5747126436781609,0.4166666666666667,0.9259259259259259,0.421875,937,398,42,64,19,"[[0, 0, 0, 0, 2, 2], [0, 0, 1, 1, 7, 11], [0, 0, 1, 0, 9, 3], [0, 0, 2, 1, 2, 3], [0, 0, 0, 0, 10, 6], [0, 0, 0, 0, 1, 2]]","[[0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.05, 0.05, 0.35, 0.55], [0.0, 0.0, 0.07692307692307693, 0.0, 0.6923076923076923, 0.23076923076923078], [0.0, 0.0, 0.25, 0.125, 0.25, 0.375], [0.0, 0.0, 0.0, 0.0, 0.625, 0.375], [0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.10220474749803543, 0.10220474749803543, 0.6147508025169373, 0.47059720754623413, 0.7428873181343079]"
