company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,multiclass,10,1,1,1.8424854413348826,3.1460273265838623,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,2,1.4740468594596614,2.2504968643188477,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,3,1.1475065970540645,2.1071054935455322,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,4,1.055365955709812,2.275827646255493,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,5,0.9447886795554329,1.7419551610946655,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,6,0.9830592891678738,1.7152302265167236,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,7,1.0004560242046663,1.6932023763656616,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,8,0.8735565721389636,1.7587848901748657,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,9,0.8693486175045895,1.6436645984649658,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,10,0.9686621032168518,1.5898789167404175,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,11,0.839528112555269,1.791922926902771,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,12,0.8594701225733637,1.9918688535690308,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,13,0.8685978239205614,1.642259955406189,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,14,0.9050595478795881,1.4625059366226196,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,15,0.811393733899198,1.676743507385254,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,16,0.8844300719661329,1.8570703268051147,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,17,0.8169865304201691,1.5492600202560425,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,18,0.8159125423311588,1.2871673107147217,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,19,0.7602054037939963,1.7800508737564087,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,20,0.7502426692289323,1.5505280494689941,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,21,0.7784539121179724,1.4839519262313843,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,22,0.7300985415077689,1.5252026319503784,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,23,0.6834281672484911,1.602946162223816,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,24,0.7547611453425345,1.6077927350997925,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,25,0.7291340944755017,1.5486561059951782,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,26,0.6851124203384821,1.3732103109359741,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,27,0.6534472663498404,1.3686884641647339,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,28,0.6481640566533534,1.4587452411651611,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,29,0.7430973112882682,1.5067777633666992,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,30,0.6605386711544727,1.5302256345748901,398,42,64
