company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,LSTM,multiclass,5,0.08912756736385906,0.203125,0.003870719578117132,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,928,398,42,64,20,"[[0, 0, 0, 0, 6, 17], [0, 0, 0, 0, 3, 4], [0, 0, 0, 0, 1, 2], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 3, 9], [0, 0, 0, 0, 4, 10]]","[[0.0, 0.0, 0.0, 0.0, 0.2608695652173913, 0.7391304347826086], [0.0, 0.0, 0.0, 0.0, 0.42857142857142855, 0.5714285714285714], [0.0, 0.0, 0.0, 0.0, 0.3333333333333333, 0.6666666666666666], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.25, 0.75], [0.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.7142857142857143]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5239682197570801, 0.473335862159729, 0.473335862159729, 0.473335862159729, 0.473335862159729]"
ABB,Industrial Goods,LSTM,multiclass,5,0.0909090909090909,0.203125,0.0014489814639091492,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,928,398,42,64,20,"[[0, 0, 0, 0, 10, 6], [0, 0, 0, 0, 5, 12], [0, 0, 0, 0, 1, 3], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 3, 8], [0, 0, 0, 0, 3, 10]]","[[0.0, 0.0, 0.0, 0.0, 0.625, 0.375], [0.0, 0.0, 0.0, 0.0, 0.29411764705882354, 0.7058823529411765], [0.0, 0.0, 0.0, 0.0, 0.25, 0.75], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.7272727272727273], [0.0, 0.0, 0.0, 0.0, 0.23076923076923078, 0.7692307692307693]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5577231049537659, 0.5577231049537659, 0.5239682197570801, 0.5239682197570801, 0.5070907473564148]"
ABBV,Healthcare,LSTM,multiclass,5,0.1111111111111111,0.25,0.0069505563005805016,,,,-0.09535908376272667,0.5747126436781609,0.423728813559322,0.8928571428571429,0.421875,847,326,42,64,20,"[[0, 1, 1, 5, 8, 9], [0, 0, 0, 0, 3, 4], [0, 0, 0, 0, 0, 5], [0, 0, 1, 0, 0, 1], [0, 0, 1, 0, 2, 8], [0, 0, 1, 0, 0, 14]]","[[0.0, 0.041666666666666664, 0.041666666666666664, 0.20833333333333334, 0.3333333333333333, 0.375], [0.0, 0.0, 0.0, 0.0, 0.42857142857142855, 0.5714285714285714], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.5, 0.0, 0.0, 0.5], [0.0, 0.0, 0.09090909090909091, 0.0, 0.18181818181818182, 0.7272727272727273], [0.0, 0.0, 0.06666666666666667, 0.0, 0.0, 0.9333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5070907473564148, 0.4902133047580719, 0.4902133047580719, 0.4902133047580719, 0.5070907473564148]"
AEP,Utilities,LSTM,multiclass,5,0.2579977035859389,0.265625,0.009433675557374954,,,,0.23809523809523808,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.625,928,398,42,64,20,"[[2, 0, 4, 1, 0, 2], [4, 3, 1, 0, 2, 3], [0, 1, 1, 0, 0, 4], [0, 0, 3, 2, 1, 3], [0, 0, 6, 1, 2, 4], [0, 0, 3, 2, 2, 7]]","[[0.2222222222222222, 0.0, 0.4444444444444444, 0.1111111111111111, 0.0, 0.2222222222222222], [0.3076923076923077, 0.23076923076923078, 0.07692307692307693, 0.0, 0.15384615384615385, 0.23076923076923078], [0.0, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.6666666666666666], [0.0, 0.0, 0.3333333333333333, 0.2222222222222222, 0.1111111111111111, 0.3333333333333333], [0.0, 0.0, 0.46153846153846156, 0.07692307692307693, 0.15384615384615385, 0.3076923076923077], [0.0, 0.0, 0.21428571428571427, 0.14285714285714285, 0.14285714285714285, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6589877605438232, 0.7096201181411743, 0.6252328753471375, 0.5577231049537659, 0.5239682197570801]"
AMGN,Healthcare,LSTM,multiclass,5,0.11525704809286898,0.265625,-0.001076440210454166,,,,0.2272070677224888,0.3111111111111111,0.875,0.1891891891891892,0.515625,928,398,42,64,20,"[[12, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 1], [2, 0, 0, 0, 0, 0], [10, 1, 0, 0, 0, 2], [17, 0, 0, 0, 0, 5]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.875, 0.0, 0.0, 0.0, 0.0, 0.125], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.7692307692307693, 0.07692307692307693, 0.0, 0.0, 0.0, 0.15384615384615385], [0.7727272727272727, 0.0, 0.0, 0.0, 0.0, 0.22727272727272727]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7771298885345459, 0.6421103477478027, 0.7771298885345459, 0.7602524757385254, 0.5914779901504517]"
AMZN,Services,LSTM,multiclass,5,0.11203703703703705,0.21875,-0.0007446077652275562,,,,0.34798773916679415,0.676056338028169,0.8571428571428571,0.5581395348837209,0.640625,928,398,42,64,20,"[[5, 0, 0, 4, 0, 0], [10, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1], [11, 0, 0, 0, 0, 3], [7, 0, 0, 10, 1, 9]]","[[0.5555555555555556, 0.0, 0.0, 0.4444444444444444, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.0, 0.5], [0.7857142857142857, 0.0, 0.0, 0.0, 0.0, 0.21428571428571427], [0.25925925925925924, 0.0, 0.0, 0.37037037037037035, 0.037037037037037035, 0.3333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.473335862159729, 0.473335862159729, 0.473335862159729, 0.473335862159729, 0.4902133047580719]"
BA,Industrial Goods,LSTM,multiclass,5,0.15081699346405228,0.25,0.004549972712993622,,,,-0.0022154222857491456,0.5714285714285714,0.46808510638297873,0.7333333333333333,0.484375,928,398,42,64,20,"[[1, 1, 0, 1, 11, 1], [6, 0, 0, 0, 6, 4], [1, 0, 0, 0, 2, 0], [0, 0, 0, 0, 2, 0], [4, 0, 0, 0, 5, 0], [3, 0, 1, 0, 5, 10]]","[[0.06666666666666667, 0.06666666666666667, 0.0, 0.06666666666666667, 0.7333333333333333, 0.06666666666666667], [0.375, 0.0, 0.0, 0.0, 0.375, 0.25], [0.3333333333333333, 0.0, 0.0, 0.0, 0.6666666666666666, 0.0], [0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.4444444444444444, 0.0, 0.0, 0.0, 0.5555555555555556, 0.0], [0.15789473684210525, 0.0, 0.05263157894736842, 0.0, 0.2631578947368421, 0.5263157894736842]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7602524757385254, 0.35519373416900635, 0.37207117676734924, 0.37207117676734924, 0.3889486491680145]"
BAC,Financial,LSTM,multiclass,5,0.08205128205128205,0.25,0.0019725551828742027,,,,0.018266554145039696,0.6588235294117647,0.5833333333333334,0.7567567567567568,0.546875,928,398,42,64,20,"[[0, 0, 3, 0, 0, 11], [0, 0, 4, 0, 0, 6], [0, 0, 0, 0, 0, 3], [0, 0, 3, 0, 0, 1], [0, 0, 5, 0, 0, 11], [0, 0, 1, 0, 0, 16]]","[[0.0, 0.0, 0.21428571428571427, 0.0, 0.0, 0.7857142857142857], [0.0, 0.0, 0.4, 0.0, 0.0, 0.6], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.75, 0.0, 0.0, 0.25], [0.0, 0.0, 0.3125, 0.0, 0.0, 0.6875], [0.0, 0.0, 0.058823529411764705, 0.0, 0.0, 0.9411764705882353]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.473335862159729, 0.4902133047580719, 0.5070907473564148, 0.5070907473564148, 0.5070907473564148]"
BBL,Basic Matierials,LSTM,multiclass,5,0.05641025641025641,0.171875,0.00418372405692935,,,,0.15528514152134762,0.44155844155844154,0.2833333333333333,1.0,0.328125,928,398,42,64,20,"[[0, 2, 2, 1, 3, 31], [0, 0, 0, 0, 2, 5], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 1, 11]]","[[0.0, 0.05128205128205128, 0.05128205128205128, 0.02564102564102564, 0.07692307692307693, 0.7948717948717948], [0.0, 0.0, 0.0, 0.0, 0.2857142857142857, 0.7142857142857143], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.9166666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3889486491680145, 0.28768396377563477, 0.30456140637397766, 0.37207117676734924, 0.4564584195613861]"
BCH,Financial,LSTM,multiclass,5,0.06274159976211716,0.140625,0.013646068051457405,,,,0.0,0.47619047619047616,0.3125,1.0,0.3125,928,398,42,64,20,"[[0, 0, 0, 1, 5, 14], [0, 0, 0, 0, 6, 14], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 1, 6], [0, 0, 0, 0, 0, 8]]","[[0.0, 0.0, 0.0, 0.05, 0.25, 0.7], [0.0, 0.0, 0.0, 0.0, 0.3, 0.7], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.8571428571428571], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5914779901504517, 0.5746005177497864, 0.5746005177497864, 0.5577231049537659, 0.5577231049537659]"
