company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiLSTM,regression,5,0.0016435025205068982,0.03067606929791518,-0.13284916741468056,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,943,398,42,64,21
ABB,Industrial Goods,BiLSTM,regression,5,0.0009601831552469869,0.024264288448682045,-0.0007730236532939028,0.0,0.0,0.0,0.0,0.578125,,,,,,943,398,42,64,21
ABBV,Healthcare,BiLSTM,regression,5,0.004274814228553008,0.045638121140231636,-0.003679888759983374,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,862,341,42,64,21
AEP,Utilities,BiLSTM,regression,5,0.0004952234428726725,0.01785347398019943,-0.02674696333748483,-0.4569959466166333,0.17543859649122806,0.23809523809523808,0.1388888888888889,0.265625,,,,,,943,398,42,64,21
AMGN,Healthcare,BiLSTM,regression,5,0.001155709298672412,0.02695893520913531,0.019032012745208715,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,943,398,42,64,30
AMZN,Services,BiLSTM,regression,5,0.00176238811427641,0.030778332700449273,0.0009988489760904828,0.0,0.8037383177570093,0.671875,1.0,0.671875,,,,,,943,398,42,64,21
BA,Industrial Goods,BiLSTM,regression,5,0.0014271580159137315,0.028775352050840974,-0.13625805343173303,0.2748737083745107,0.23529411764705882,1.0,0.13333333333333333,0.59375,,,,,,943,398,42,64,30
BAC,Financial,BiLSTM,regression,5,0.001193213953812822,0.02610917250133729,0.005701562537785532,0.09133277072519849,0.6823529411764706,0.6041666666666666,0.7837837837837838,0.578125,,,,,,943,398,42,64,30
BBL,Basic Matierials,BiLSTM,regression,5,0.005582127710889402,0.06123769608844774,-0.13125145887983503,0.0,0.0,0.0,0.0,0.734375,,,,,,943,398,42,64,21
BCH,Financial,BiLSTM,regression,5,0.0004371170728168389,0.01720849412356079,-0.04594549615481425,0.0,0.0,0.0,0.0,0.6875,,,,,,943,398,42,64,21
BHP,Basic Matierials,BiLSTM,regression,5,0.0047246255132012815,0.05489280479726906,-0.10374331565090622,0.0,0.0,0.0,0.0,0.734375,,,,,,943,398,42,64,21
BP,Basic Matierials,BiLSTM,regression,5,0.002053450514813659,0.03355736967964368,-0.01291257730100237,0.0,0.0,0.0,0.0,0.640625,,,,,,943,398,42,64,21
BRK-A,Financial,BiLSTM,regression,5,0.0003477969234494873,0.0159742437328472,-0.001644162371176261,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,943,398,42,64,21
BSAC,Financial,BiLSTM,regression,5,0.0010230733024152723,0.02583910178140475,-0.005468440744910152,0.0,0.0,0.0,0.0,0.640625,,,,,,943,398,42,64,21
BUD,Consumer Goods,BiLSTM,regression,5,0.0006915257120198312,0.020210505548444405,0.003456542004799279,0.0,0.8148148148148148,0.6875,1.0,0.6875,,,,,,943,398,42,64,21
C,Financial,BiLSTM,regression,5,0.0010517732197742402,0.023992855876658205,-0.021050606299268804,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,943,398,42,64,21
CAT,Industrial Goods,BiLSTM,regression,5,0.0015611599745693585,0.03181368307200075,0.0032476372284651056,0.0,0.0,0.0,0.0,0.484375,,,,,,943,398,42,64,21
CELG,Healthcare,BiLSTM,regression,5,0.00258168549131294,0.03891992576611583,-0.06045221003122214,0.1567788077186591,0.20512820512820512,0.8,0.11764705882352941,0.515625,,,,,,943,398,42,64,30
CHL,Technology,BiLSTM,regression,5,0.0009479171983832364,0.022909561461135028,-0.44722247888526345,0.0,0.47619047619047616,0.3125,1.0,0.3125,,,,,,943,398,42,64,21
CHTR,Services,BiLSTM,regression,5,0.0009494518712417398,0.023749415796558537,-0.2509584305592254,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,943,398,42,64,21
CMCSA,Services,BiLSTM,regression,5,0.0005457736218053531,0.019102933291987347,-0.07805661890229465,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,943,398,42,64,21
CODI,Conglomerates,BiLSTM,regression,5,0.0006121552290090245,0.018840557381911545,-0.02937630844817929,0.0,0.0,0.0,0.0,0.609375,,,,,,943,398,42,64,21
CSCO,Technology,BiLSTM,regression,5,0.001139664527947636,0.025801358348408736,-0.005274041675804808,-0.12998877418150556,0.0,0.0,0.0,0.46875,,,,,,943,398,42,64,21
CVX,Basic Matierials,BiLSTM,regression,5,0.001867203382555323,0.031552444355982465,-0.009066969196491748,0.0,0.0,0.0,0.0,0.5,,,,,,943,398,42,64,21
D,Utilities,BiLSTM,regression,5,0.0005263425068228118,0.019484044511280288,0.0018725104840603413,0.0,0.0,0.0,0.0,0.5,,,,,,943,398,42,64,21
DHR,Industrial Goods,BiLSTM,regression,5,0.0005469077999765208,0.018476272801618232,0.006776924746078272,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,943,398,42,64,21
DIS,Services,BiLSTM,regression,5,0.0010749684178712948,0.026774237420869942,-0.012456466429047852,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,943,398,42,64,21
DUK,Utilities,BiLSTM,regression,5,0.0006487870540567983,0.0196497203866538,0.0026760804195616883,0.0,0.0,0.0,0.0,0.5,,,,,,943,398,42,64,21
EXC,Utilities,BiLSTM,regression,5,0.001077592769990499,0.02456425762674222,-0.1363009656079781,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,943,398,42,64,21
FB,Technology,BiLSTM,regression,5,0.000943924014563693,0.024206860808574232,-0.017219793712619946,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,943,398,42,64,21
GD,Industrial Goods,BiLSTM,regression,5,0.0007999924966085327,0.023406423530175663,-0.2559763761415672,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,943,398,42,64,21
GE,Industrial Goods,BiLSTM,regression,5,0.0010119076507688338,0.02228442897363675,-0.2671281600666413,0.0,0.0,0.0,0.0,0.3125,,,,,,943,398,42,64,21
GOOG,Technology,BiLSTM,regression,5,0.001155996286115391,0.02508715410663344,-0.2262793047657814,0.0,0.0,0.0,0.0,0.34375,,,,,,943,398,42,64,21
HD,Services,BiLSTM,regression,5,0.000766442298365946,0.019388530636876136,-0.005716198313018284,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,943,398,42,64,21
HON,Industrial Goods,BiLSTM,regression,5,0.0008381247996522564,0.022438122780046005,-0.004204206445295844,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,943,398,42,64,21
HRG,Conglomerates,BiLSTM,regression,5,0.001172783714030345,0.02844750048862224,0.04199453138243492,-0.11382681986840493,0.5454545454545454,0.4772727272727273,0.6363636363636364,0.453125,,,,,,943,398,42,64,30
HSBC,Financial,BiLSTM,regression,5,0.0008907303773522074,0.022587305222846514,-0.006358674293865496,0.0,0.0,0.0,0.0,0.515625,,,,,,943,398,42,64,21
IEP,Conglomerates,BiLSTM,regression,5,0.002198821565712554,0.03802851244160081,-0.040137436916966474,0.0,0.0,0.0,0.0,0.65625,,,,,,943,398,42,64,21
INTC,Technology,BiLSTM,regression,5,0.0011803796909535876,0.026446147605332454,0.07171328458387027,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,943,398,42,64,30
JNJ,Healthcare,BiLSTM,regression,5,0.00037635590301409767,0.01624428036575927,-0.14016132650130353,0.0,0.0,0.0,0.0,0.34375,,,,,,943,398,42,64,21
JPM,Financial,BiLSTM,regression,5,0.0009883885541653158,0.023215919526248477,-0.004166633480623627,0.0,0.0,0.0,0.0,0.40625,,,,,,943,398,42,64,21
KO,Consumer Goods,BiLSTM,regression,5,0.00036735020081625686,0.014958655206578741,-0.0067536876126075285,0.0,0.72,0.5625,1.0,0.5625,,,,,,943,398,42,64,21
LMT,Industrial Goods,BiLSTM,regression,5,0.0006587691717364817,0.021475592126652357,0.0012892844064288367,0.0,0.6236559139784946,0.453125,1.0,0.453125,,,,,,943,398,42,64,21
MA,Financial,BiLSTM,regression,5,0.0006772626686544498,0.018820811117376546,-0.030924647579048337,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,943,398,42,64,21
MCD,Services,BiLSTM,regression,5,0.000658484215231467,0.01712189929207722,-0.16593290208643952,0.0,0.8256880733944955,0.703125,1.0,0.703125,,,,,,943,398,42,64,21
MDT,Healthcare,BiLSTM,regression,5,0.0003987877888231287,0.01609501573451054,-0.01751389721696195,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,943,398,42,64,21
