company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,regression,5,5,1,0.4311058811805955,0.537560224533081,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,2,0.40267442668502657,0.5357842445373535,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,3,0.4169890458260349,0.5338656902313232,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,4,0.40470958984077876,0.5319462418556213,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,5,0.42948654368894185,0.5284867882728577,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,6,0.41772915849733594,0.5270025730133057,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,7,0.4297125863669506,0.5250991582870483,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,8,0.3982707609483345,0.5245164036750793,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,9,0.42768892091722344,0.5240516662597656,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,10,0.4251067536560135,0.5237372517585754,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,11,0.40940642386824644,0.5228772759437561,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,12,0.40833819661308174,0.5227344036102295,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,13,0.39211084195716894,0.5230889916419983,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,14,0.436086020577493,0.5226041078567505,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,15,0.4117201018573052,0.5215755105018616,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,16,0.42053124892651733,0.5226898193359375,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,17,0.42302304895678955,0.5233021974563599,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,18,0.3945727345332428,0.5221993327140808,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,19,0.4246813624947514,0.5230648517608643,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,20,0.4135368963581833,0.5236066579818726,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,1,0.4429105156330607,0.615882158279419,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,2,0.4529952892106981,0.620703399181366,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,3,0.4700551184278038,0.6287493705749512,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,4,0.44181892829923775,0.6419952511787415,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,5,0.44673850263782483,0.6597771048545837,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,6,0.44159520945357317,0.6801208853721619,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,7,0.4461451065001176,0.6988505721092224,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,8,0.42956629305628674,0.7141099572181702,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,9,0.4479976932906625,0.7297722697257996,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,10,0.4628671109676361,0.7364455461502075,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,11,0.4470848682238229,0.7311074137687683,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,12,0.424974988004071,0.7392614483833313,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,13,0.4188271701036386,0.7392260432243347,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,14,0.4490643381772928,0.7444958686828613,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,15,0.44348228831387043,0.7475202083587646,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,16,0.42692024309431487,0.7428174018859863,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,17,0.4555855733365869,0.7431844472885132,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,18,0.4581730996244517,0.7409278750419617,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,19,0.46292809655318906,0.7385383248329163,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,20,0.43596143908237095,0.739043116569519,398,42,64
ABBV,Healthcare,GRU,regression,5,5,1,0.4136955439388927,0.5950518846511841,341,42,64
ABBV,Healthcare,GRU,regression,5,5,2,0.4231778232713948,0.6076564192771912,341,42,64
ABBV,Healthcare,GRU,regression,5,5,3,0.41126565303096324,0.6263051629066467,341,42,64
ABBV,Healthcare,GRU,regression,5,5,4,0.4182862224292196,0.6541973948478699,341,42,64
ABBV,Healthcare,GRU,regression,5,5,5,0.4119394082040731,0.6879122853279114,341,42,64
ABBV,Healthcare,GRU,regression,5,5,6,0.409094399764391,0.7275240421295166,341,42,64
ABBV,Healthcare,GRU,regression,5,5,7,0.40778155686044276,0.7747870087623596,341,42,64
ABBV,Healthcare,GRU,regression,5,5,8,0.4075150266508203,0.8179998993873596,341,42,64
ABBV,Healthcare,GRU,regression,5,5,9,0.37336970000497754,0.8554452657699585,341,42,64
ABBV,Healthcare,GRU,regression,5,5,10,0.388397791955478,0.8853809833526611,341,42,64
ABBV,Healthcare,GRU,regression,5,5,11,0.406260969264766,0.9041532278060913,341,42,64
ABBV,Healthcare,GRU,regression,5,5,12,0.42103472382616786,0.912541389465332,341,42,64
ABBV,Healthcare,GRU,regression,5,5,13,0.3965022577480836,0.9169084429740906,341,42,64
ABBV,Healthcare,GRU,regression,5,5,14,0.4118820039495345,0.9252973198890686,341,42,64
ABBV,Healthcare,GRU,regression,5,5,15,0.41565539956617215,0.9269445538520813,341,42,64
ABBV,Healthcare,GRU,regression,5,5,16,0.40238972209241036,0.9312058687210083,341,42,64
ABBV,Healthcare,GRU,regression,5,5,17,0.4072547284476568,0.9349712133407593,341,42,64
ABBV,Healthcare,GRU,regression,5,5,18,0.395464215984792,0.9302473664283752,341,42,64
ABBV,Healthcare,GRU,regression,5,5,19,0.41831900690657653,0.9324057698249817,341,42,64
ABBV,Healthcare,GRU,regression,5,5,20,0.40958916315060556,0.9316606521606445,341,42,64
AEP,Utilities,GRU,regression,5,5,1,0.5300850185317609,0.5584543943405151,398,42,64
AEP,Utilities,GRU,regression,5,5,2,0.5382423191214326,0.5649398565292358,398,42,64
AEP,Utilities,GRU,regression,5,5,3,0.506007389507102,0.5741460919380188,398,42,64
AEP,Utilities,GRU,regression,5,5,4,0.5247234916267682,0.587384819984436,398,42,64
AEP,Utilities,GRU,regression,5,5,5,0.5153695996382728,0.606163740158081,398,42,64
AEP,Utilities,GRU,regression,5,5,6,0.5388197922826412,0.6291301846504211,398,42,64
AEP,Utilities,GRU,regression,5,5,7,0.5386488048275512,0.6511380076408386,398,42,64
AEP,Utilities,GRU,regression,5,5,8,0.5154331888086233,0.6710600852966309,398,42,64
AEP,Utilities,GRU,regression,5,5,9,0.5214079052359615,0.68267822265625,398,42,64
AEP,Utilities,GRU,regression,5,5,10,0.5394102489229423,0.6896446943283081,398,42,64
AEP,Utilities,GRU,regression,5,5,11,0.5147111541661785,0.6889256238937378,398,42,64
AEP,Utilities,GRU,regression,5,5,12,0.521798411056624,0.695435643196106,398,42,64
AEP,Utilities,GRU,regression,5,5,13,0.5305220272073794,0.6950246691703796,398,42,64
AEP,Utilities,GRU,regression,5,5,14,0.5208470680605826,0.6942204236984253,398,42,64
AEP,Utilities,GRU,regression,5,5,15,0.5065828810385125,0.6919198632240295,398,42,64
AEP,Utilities,GRU,regression,5,5,16,0.5314149745744676,0.6916596293449402,398,42,64
AEP,Utilities,GRU,regression,5,5,17,0.5378835282134051,0.6908324956893921,398,42,64
AEP,Utilities,GRU,regression,5,5,18,0.5465422674040099,0.6908509731292725,398,42,64
AEP,Utilities,GRU,regression,5,5,19,0.5155370481050194,0.6931394934654236,398,42,64
AEP,Utilities,GRU,regression,5,5,20,0.5243777650684568,0.69245845079422,398,42,64
AMGN,Healthcare,GRU,regression,5,5,1,0.42936203497738096,0.7373899817466736,398,42,64
AMGN,Healthcare,GRU,regression,5,5,2,0.40891985797402847,0.7342662811279297,398,42,64
AMGN,Healthcare,GRU,regression,5,5,3,0.43773454966856606,0.7295985817909241,398,42,64
AMGN,Healthcare,GRU,regression,5,5,4,0.41511341704795107,0.7238209843635559,398,42,64
AMGN,Healthcare,GRU,regression,5,5,5,0.40737452369239463,0.7206162214279175,398,42,64
AMGN,Healthcare,GRU,regression,5,5,6,0.4250360817166429,0.716851532459259,398,42,64
AMGN,Healthcare,GRU,regression,5,5,7,0.41970876712894917,0.7100167274475098,398,42,64
AMGN,Healthcare,GRU,regression,5,5,8,0.45102528171922696,0.7060756683349609,398,42,64
AMGN,Healthcare,GRU,regression,5,5,9,0.4514298849369413,0.7053540945053101,398,42,64
AMGN,Healthcare,GRU,regression,5,5,10,0.44159930045880263,0.7079544067382812,398,42,64
AMGN,Healthcare,GRU,regression,5,5,11,0.39863309189302837,0.708740770816803,398,42,64
AMGN,Healthcare,GRU,regression,5,5,12,0.43570170720018936,0.7064952254295349,398,42,64
AMGN,Healthcare,GRU,regression,5,5,13,0.4386693209259953,0.7052971124649048,398,42,64
AMGN,Healthcare,GRU,regression,5,5,14,0.40681500860195063,0.7080497145652771,398,42,64
AMGN,Healthcare,GRU,regression,5,5,15,0.4275183512936884,0.7095561623573303,398,42,64
AMGN,Healthcare,GRU,regression,5,5,16,0.4354239429660778,0.7068732976913452,398,42,64
AMGN,Healthcare,GRU,regression,5,5,17,0.4373931276738344,0.7070136666297913,398,42,64
AMGN,Healthcare,GRU,regression,5,5,18,0.40691928348349565,0.7045459747314453,398,42,64
AMGN,Healthcare,GRU,regression,5,5,19,0.41238669684184853,0.7046207785606384,398,42,64
AMGN,Healthcare,GRU,regression,5,5,20,0.4387878577912872,0.7062362432479858,398,42,64
AMZN,Services,GRU,regression,5,5,1,0.4120975981405632,0.46911290287971497,398,42,64
AMZN,Services,GRU,regression,5,5,2,0.39560416265947734,0.47265398502349854,398,42,64
AMZN,Services,GRU,regression,5,5,3,0.3895478383380564,0.47814488410949707,398,42,64
AMZN,Services,GRU,regression,5,5,4,0.405998226086698,0.4890693128108978,398,42,64
AMZN,Services,GRU,regression,5,5,5,0.41274916137283174,0.5035182237625122,398,42,64
AMZN,Services,GRU,regression,5,5,6,0.4098074403240453,0.5228922963142395,398,42,64
AMZN,Services,GRU,regression,5,5,7,0.3774750753862774,0.5390266180038452,398,42,64
AMZN,Services,GRU,regression,5,5,8,0.4037892851398219,0.5585379004478455,398,42,64
