company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiLSTM,regression,1,0.0002512271377640452,0.012668756448157181,-0.045017294081719506,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,947,398,42,64,11
ABB,Industrial Goods,BiLSTM,regression,1,0.00013220120190817,0.009638498734071507,-0.0010405879990529332,0.0,0.72,0.5625,1.0,0.5625,,,,,,947,398,42,64,11
ABBV,Healthcare,BiLSTM,regression,1,0.0007014868658230528,0.01858316698563134,0.0003896330209274268,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,866,341,42,64,11
AEP,Utilities,BiLSTM,regression,1,0.00016791652544082052,0.009533425211966276,-0.0034322289455746002,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,947,398,42,64,11
AMGN,Healthcare,BiLSTM,regression,1,0.0003252802249456209,0.014258392166380113,0.0007004444141240906,0.0,0.72,0.5625,1.0,0.5625,,,,,,947,398,42,64,11
AMZN,Services,BiLSTM,regression,1,0.00033602970136436237,0.014045266633917614,0.0003723734733915851,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,947,398,42,64,11
BA,Industrial Goods,BiLSTM,regression,1,0.00020189640491096106,0.01053862214860346,-0.0004510105538448883,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,947,398,42,64,11
BAC,Financial,BiLSTM,regression,1,0.0002879291465246625,0.01306655040120059,-0.013424569630157146,0.0,0.0,0.0,0.0,0.578125,,,,,,947,398,42,64,11
BBL,Basic Matierials,BiLSTM,regression,1,0.0007091990805595957,0.02177508759299218,-0.018955406306475187,0.0,0.0,0.0,0.0,0.609375,,,,,,947,398,42,64,11
BCH,Financial,BiLSTM,regression,1,0.00013903767192397358,0.009480148001975774,-0.002811576197488286,0.0,0.0,0.0,0.0,0.578125,,,,,,947,398,42,64,11
BHP,Basic Matierials,BiLSTM,regression,1,0.0005804886982160818,0.019857118602066882,-0.01705947894443538,0.2277100170213244,0.5384615384615384,0.5833333333333334,0.5,0.625,,,,,,947,398,42,64,11
BP,Basic Matierials,BiLSTM,regression,1,0.00037135560864799905,0.014880797441859335,0.00010646587124829576,-0.10100707475121518,0.5,0.38,0.7307692307692307,0.40625,,,,,,947,398,42,64,11
BRK-A,Financial,BiLSTM,regression,1,0.0001346160874034148,0.008875188719640686,-0.002554335208166947,0.0,0.0,0.0,0.0,0.5625,,,,,,947,398,42,64,11
BSAC,Financial,BiLSTM,regression,1,0.00023842687858839962,0.01189772631143797,0.0008113099026895165,0.0,0.0,0.0,0.0,0.5625,,,,,,947,398,42,64,11
BUD,Consumer Goods,BiLSTM,regression,1,0.00015310202407565552,0.00949643444830131,-0.11205835785688034,0.0,0.0,0.0,0.0,0.5,,,,,,947,398,42,64,11
