company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,regression,10,5,1,0.5432807824120449,0.794666588306427,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,2,0.5712051894796554,0.7917088270187378,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,3,0.5269944512065331,0.7868059277534485,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,4,0.570940592780185,0.7802378535270691,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,5,0.5438234075229971,0.7716193795204163,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,6,0.5285170275961334,0.7631974220275879,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,7,0.525855341149335,0.7566251158714294,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,8,0.5471472871962504,0.7550519704818726,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,9,0.5325100553694682,0.756512463092804,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,10,0.5175705890559671,0.759612500667572,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,11,0.5586272915404047,0.762390673160553,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,12,0.562460786733196,0.7638572454452515,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,13,0.505837741209634,0.7640359997749329,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,14,0.5201980070253114,0.7628702521324158,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,15,0.5251887737207077,0.7622458934783936,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,16,0.5301410708595161,0.7608001232147217,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,17,0.5099089558999143,0.7591643929481506,398,42,64
AAPL,Consumer Goods,BiLSTM,regression,10,5,18,0.4970008787797324,0.7575944066047668,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,1,0.6648123662675446,0.7982763648033142,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,2,0.6250765362576624,0.7985312342643738,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,3,0.6200516164003305,0.7991818189620972,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,4,0.5650918717360377,0.8028395771980286,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,5,0.5593354639096476,0.8079952001571655,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,6,0.6174159541201951,0.8174420595169067,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,7,0.6006263500481994,0.8299680352210999,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,8,0.5731829698361344,0.8439453840255737,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,9,0.5475978247783891,0.854463517665863,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,10,0.5451973486485793,0.8693382740020752,398,42,64
ABB,Industrial Goods,BiLSTM,regression,10,5,11,0.5699753051427141,0.878321647644043,398,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,1,0.590136856550262,1.0117735862731934,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,2,0.5825976821638289,1.0076152086257935,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,3,0.6048195489815303,1.0018067359924316,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,4,0.5990949642090571,0.9929121136665344,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,5,0.5979239443937937,0.9798558950424194,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,6,0.5764225763933999,0.963378369808197,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,7,0.5078410534631639,0.9441596865653992,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,8,0.5607025651704698,0.9188809990882874,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,9,0.5800760189692179,0.8970869183540344,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,10,0.5868126118466968,0.876783549785614,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,11,0.5733618388573328,0.8639943599700928,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,12,0.5801139757746742,0.8486749529838562,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,13,0.543564186209724,0.8428856134414673,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,14,0.5565574900025413,0.8433549404144287,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,15,0.5330911931537446,0.850855827331543,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,16,0.510075032711029,0.8548033833503723,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,17,0.5488511636143639,0.8630076050758362,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,18,0.4975286282244183,0.8626153469085693,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,19,0.5485235516514096,0.865433931350708,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,20,0.4883211042199816,0.8720440864562988,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,21,0.49548504324186415,0.8753524422645569,336,42,64
ABBV,Healthcare,BiLSTM,regression,10,5,22,0.5328741541930607,0.8804565072059631,336,42,64
AEP,Utilities,BiLSTM,regression,10,5,1,0.5963173183664006,0.7482166886329651,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,2,0.6366346044157019,0.7454501986503601,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,3,0.5836630456112138,0.7411566972732544,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,4,0.602182838635229,0.736537516117096,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,5,0.6087247648430829,0.7296406030654907,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,6,0.6034811399689871,0.722553014755249,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,7,0.5334499530756294,0.7155461311340332,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,8,0.5623151944510302,0.7086846828460693,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,9,0.5532320278074274,0.7038306593894958,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,10,0.5621439107698412,0.7008947730064392,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,11,0.5526884443047059,0.6983418464660645,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,12,0.5920249136848066,0.6984602212905884,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,13,0.5576755194807771,0.6962791681289673,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,14,0.5599762346576805,0.6948980093002319,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,15,0.5226417856300296,0.697405993938446,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,16,0.523897040878708,0.6951788067817688,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,17,0.486878998315514,0.6941592693328857,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,18,0.5353752808954249,0.696182370185852,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,19,0.5288633012292373,0.6959677338600159,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,20,0.501181758603259,0.6950692534446716,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,21,0.5610731871583354,0.6926780343055725,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,22,0.5222591368397277,0.6920848488807678,398,42,64
AEP,Utilities,BiLSTM,regression,10,5,23,0.5505124147812924,0.6943771243095398,398,42,64
AMGN,Healthcare,BiLSTM,regression,10,5,1,0.5873675744737213,1.3052871227264404,398,42,64
AMGN,Healthcare,BiLSTM,regression,10,5,2,0.5752856923108125,1.2996207475662231,398,42,64
