company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,regression,5,1,1,0.09744919304871678,0.16669443249702454,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,2,0.09749571185315674,0.16649386286735535,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,3,0.0954972932386638,0.16632264852523804,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,4,0.09707532710765475,0.16611164808273315,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,5,0.09373950127081655,0.16592171788215637,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,6,0.09418880834651353,0.16568759083747864,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,7,0.09345186101132302,0.1655065417289734,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,8,0.09268284053658721,0.16529130935668945,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,9,0.0937992091753974,0.16519804298877716,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,10,0.09344199340996431,0.1650652140378952,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,11,0.09312717755086458,0.1648256778717041,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,12,0.09355041935066481,0.16466569900512695,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,13,0.09379306001279822,0.16458815336227417,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,14,0.09153717977167973,0.16483214497566223,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,15,0.09334248761136328,0.1647937148809433,398,42,64
AAPL,Consumer Goods,GRU,regression,5,1,16,0.0924628981618426,0.16466420888900757,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,1,0.09615940192536493,0.12420888245105743,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,2,0.09606729099648682,0.1247955784201622,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,3,0.0960918997025969,0.12570224702358246,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,4,0.09588146441845438,0.12720800936222076,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,5,0.09440951180368212,0.1291712373495102,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,6,0.09545190808311779,0.1317349225282669,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,7,0.09471834200111466,0.13397620618343353,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,8,0.09387461762482198,0.13571226596832275,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,9,0.09408831880919298,0.1372355967760086,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,10,0.09425350177527672,0.1383262574672699,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,11,0.09505731923196784,0.1391642689704895,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,12,0.09394387466524115,0.14014317095279694,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,13,0.0941742356099076,0.13997848331928253,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,14,0.09415340854145175,0.14054596424102783,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,15,0.09462649214207827,0.14077343046665192,398,42,64
ABB,Industrial Goods,GRU,regression,5,1,16,0.09262131704906722,0.14081385731697083,398,42,64
ABBV,Healthcare,GRU,regression,5,1,1,0.09898293499023683,0.1319267749786377,341,42,64
ABBV,Healthcare,GRU,regression,5,1,2,0.09738707968479028,0.13201011717319489,341,42,64
ABBV,Healthcare,GRU,regression,5,1,3,0.09883907240681634,0.13220401108264923,341,42,64
ABBV,Healthcare,GRU,regression,5,1,4,0.09729553739433763,0.13237141072750092,341,42,64
ABBV,Healthcare,GRU,regression,5,1,5,0.09534295556569729,0.13263963162899017,341,42,64
ABBV,Healthcare,GRU,regression,5,1,6,0.09647709373767076,0.13278765976428986,341,42,64
ABBV,Healthcare,GRU,regression,5,1,7,0.0954328082785928,0.1327722817659378,341,42,64
ABBV,Healthcare,GRU,regression,5,1,8,0.09466969599821701,0.13277371227741241,341,42,64
ABBV,Healthcare,GRU,regression,5,1,9,0.09458539929907343,0.13284680247306824,341,42,64
ABBV,Healthcare,GRU,regression,5,1,10,0.09473983585135329,0.1328718513250351,341,42,64
ABBV,Healthcare,GRU,regression,5,1,11,0.09625055804804973,0.1329643875360489,341,42,64
ABBV,Healthcare,GRU,regression,5,1,12,0.09350069131582014,0.13283507525920868,341,42,64
ABBV,Healthcare,GRU,regression,5,1,13,0.0940117412342354,0.13240346312522888,341,42,64
ABBV,Healthcare,GRU,regression,5,1,14,0.09484919230521949,0.13247860968112946,341,42,64
ABBV,Healthcare,GRU,regression,5,1,15,0.09282760540586063,0.13248927891254425,341,42,64
ABBV,Healthcare,GRU,regression,5,1,16,0.0933377413936724,0.13271743059158325,341,42,64
AEP,Utilities,GRU,regression,5,1,1,0.10327428081377067,0.12208431214094162,398,42,64
AEP,Utilities,GRU,regression,5,1,2,0.10188615520545585,0.12225046008825302,398,42,64
AEP,Utilities,GRU,regression,5,1,3,0.10200772943658445,0.12254733592271805,398,42,64
AEP,Utilities,GRU,regression,5,1,4,0.10165007655794298,0.12304338812828064,398,42,64
AEP,Utilities,GRU,regression,5,1,5,0.10202891518123186,0.12376882880926132,398,42,64
AEP,Utilities,GRU,regression,5,1,6,0.09900820910481352,0.12484131753444672,398,42,64
AEP,Utilities,GRU,regression,5,1,7,0.10161564300707238,0.12574970722198486,398,42,64
AEP,Utilities,GRU,regression,5,1,8,0.10042932124143869,0.1264367401599884,398,42,64
AEP,Utilities,GRU,regression,5,1,9,0.09933486981457801,0.1268407106399536,398,42,64
AEP,Utilities,GRU,regression,5,1,10,0.10119083913127382,0.12697970867156982,398,42,64
AEP,Utilities,GRU,regression,5,1,11,0.09960215639828437,0.12719659507274628,398,42,64
AEP,Utilities,GRU,regression,5,1,12,0.09867730684316338,0.12692828476428986,398,42,64
AEP,Utilities,GRU,regression,5,1,13,0.09826080590935808,0.12684734165668488,398,42,64
AEP,Utilities,GRU,regression,5,1,14,0.09904579264135217,0.12678296864032745,398,42,64
AEP,Utilities,GRU,regression,5,1,15,0.09957512441891522,0.1266680508852005,398,42,64
AEP,Utilities,GRU,regression,5,1,16,0.10043222876499645,0.12668709456920624,398,42,64
AMGN,Healthcare,GRU,regression,5,1,1,0.0949649056747331,0.1632998138666153,398,42,64
AMGN,Healthcare,GRU,regression,5,1,2,0.09490966122953137,0.1632324606180191,398,42,64
AMGN,Healthcare,GRU,regression,5,1,3,0.0935477357563661,0.1631627082824707,398,42,64
AMGN,Healthcare,GRU,regression,5,1,4,0.09495790804450835,0.1631873995065689,398,42,64
AMGN,Healthcare,GRU,regression,5,1,5,0.09496003438030655,0.16338369250297546,398,42,64
AMGN,Healthcare,GRU,regression,5,1,6,0.09443819313193086,0.16368664801120758,398,42,64
AMGN,Healthcare,GRU,regression,5,1,7,0.09356208632339784,0.16409523785114288,398,42,64
AMGN,Healthcare,GRU,regression,5,1,8,0.09535895407798901,0.16464188694953918,398,42,64
AMGN,Healthcare,GRU,regression,5,1,9,0.0937600695907171,0.1649797558784485,398,42,64
AMGN,Healthcare,GRU,regression,5,1,10,0.09449717582170687,0.1644371598958969,398,42,64
AMGN,Healthcare,GRU,regression,5,1,11,0.09327066438880997,0.16494585573673248,398,42,64
AMGN,Healthcare,GRU,regression,5,1,12,0.09441512343871533,0.1644783616065979,398,42,64
AMGN,Healthcare,GRU,regression,5,1,13,0.09214385868466679,0.16444863379001617,398,42,64
AMGN,Healthcare,GRU,regression,5,1,14,0.09439303306628712,0.1642797887325287,398,42,64
AMGN,Healthcare,GRU,regression,5,1,15,0.09279172114990464,0.16394776105880737,398,42,64
AMGN,Healthcare,GRU,regression,5,1,16,0.09216543717599994,0.16444705426692963,398,42,64
AMZN,Services,GRU,regression,5,1,1,0.08545678082722516,0.10113684833049774,398,42,64
AMZN,Services,GRU,regression,5,1,2,0.08381343992361472,0.10125421732664108,398,42,64
AMZN,Services,GRU,regression,5,1,3,0.08521739348544548,0.10143449157476425,398,42,64
AMZN,Services,GRU,regression,5,1,4,0.08411319347931512,0.10170454531908035,398,42,64
AMZN,Services,GRU,regression,5,1,5,0.0827668020922934,0.10196035355329514,398,42,64
AMZN,Services,GRU,regression,5,1,6,0.08273489065655512,0.10235151648521423,398,42,64
AMZN,Services,GRU,regression,5,1,7,0.08243629239012848,0.10270107537508011,398,42,64
AMZN,Services,GRU,regression,5,1,8,0.08346248317004448,0.10304135829210281,398,42,64
AMZN,Services,GRU,regression,5,1,9,0.08105650323269954,0.10314922034740448,398,42,64
AMZN,Services,GRU,regression,5,1,10,0.08148596098824362,0.1031947135925293,398,42,64
AMZN,Services,GRU,regression,5,1,11,0.08071499497596941,0.10332919657230377,398,42,64
AMZN,Services,GRU,regression,5,1,12,0.08181351090046629,0.10342612862586975,398,42,64
AMZN,Services,GRU,regression,5,1,13,0.07964453879912295,0.10328736156225204,398,42,64
AMZN,Services,GRU,regression,5,1,14,0.08029334610281279,0.10328489542007446,398,42,64
AMZN,Services,GRU,regression,5,1,15,0.0811975426859592,0.1032077968120575,398,42,64
AMZN,Services,GRU,regression,5,1,16,0.0807822176334846,0.1030898466706276,398,42,64
BA,Industrial Goods,GRU,regression,5,1,1,0.10621107755294397,0.14604243636131287,398,42,64
BA,Industrial Goods,GRU,regression,5,1,2,0.1055173305186195,0.14627967774868011,398,42,64
BA,Industrial Goods,GRU,regression,5,1,3,0.1047253219700938,0.1466277539730072,398,42,64
BA,Industrial Goods,GRU,regression,5,1,4,0.10370495593428013,0.14715559780597687,398,42,64
BA,Industrial Goods,GRU,regression,5,1,5,0.10194356615968685,0.14786499738693237,398,42,64
BA,Industrial Goods,GRU,regression,5,1,6,0.10014127513122319,0.14848816394805908,398,42,64
BA,Industrial Goods,GRU,regression,5,1,7,0.10244133978632826,0.14895574748516083,398,42,64
BA,Industrial Goods,GRU,regression,5,1,8,0.1026565913653853,0.1492009460926056,398,42,64
BA,Industrial Goods,GRU,regression,5,1,9,0.10042174100576334,0.1487627923488617,398,42,64
BA,Industrial Goods,GRU,regression,5,1,10,0.1002661561471733,0.14819777011871338,398,42,64
BA,Industrial Goods,GRU,regression,5,1,11,0.09954825163486615,0.14757472276687622,398,42,64
BA,Industrial Goods,GRU,regression,5,1,12,0.09903757412679232,0.14704078435897827,398,42,64
BA,Industrial Goods,GRU,regression,5,1,13,0.09823563129608355,0.1467212289571762,398,42,64
BA,Industrial Goods,GRU,regression,5,1,14,0.09958630077653195,0.14642125368118286,398,42,64
BA,Industrial Goods,GRU,regression,5,1,15,0.0977172979233253,0.14620870351791382,398,42,64
BA,Industrial Goods,GRU,regression,5,1,16,0.09789926573709028,0.14584766328334808,398,42,64
BAC,Financial,GRU,regression,5,1,1,0.09822655439227071,0.14188504219055176,398,42,64
BAC,Financial,GRU,regression,5,1,2,0.09871132993817928,0.14191807806491852,398,42,64
BAC,Financial,GRU,regression,5,1,3,0.09838893358132347,0.1420435905456543,398,42,64
BAC,Financial,GRU,regression,5,1,4,0.09931151729882062,0.14230230450630188,398,42,64
