company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,GRU,regression,1,0.0002450187192926048,0.012417432743141943,-0.019192438020010583,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,947,398,42,64,16
ABB,Industrial Goods,GRU,regression,1,0.00013248424800904403,0.009562817367091955,-0.003183841094789308,0.0,0.72,0.5625,1.0,0.5625,,,,,,947,398,42,64,16
ABBV,Healthcare,GRU,regression,1,0.0007129223406567652,0.01871849593099731,-0.015905781408101616,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,866,341,42,64,16
AEP,Utilities,GRU,regression,1,0.0001673355197648779,0.009552118974292576,3.973320294292648e-05,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,947,398,42,64,16
AMGN,Healthcare,GRU,regression,1,0.0003331959078272943,0.014514328117832709,-0.023617475272316613,0.15839698777049716,0.10526315789473684,1.0,0.05555555555555555,0.46875,,,,,,947,398,42,64,16
AMZN,Services,GRU,regression,1,0.0003469455084719569,0.014111142830717155,-0.032100179715456534,0.17795459968658567,0.40816326530612246,0.7142857142857143,0.2857142857142857,0.546875,,,,,,947,398,42,64,16
BA,Industrial Goods,GRU,regression,1,0.00020864996985539233,0.010860365075436668,-0.03391674203369477,-0.09553751222296826,0.3333333333333333,0.47368421052631576,0.2571428571428571,0.4375,,,,,,947,398,42,64,16
BAC,Financial,GRU,regression,1,0.0002897131014208509,0.013009474735627323,-0.019703557862960075,0.0,0.0,0.0,0.0,0.578125,,,,,,947,398,42,64,16
BBL,Basic Matierials,GRU,regression,1,0.0008031986457496232,0.022531308593641386,-0.15401108780180373,0.04003550427859755,0.5074626865671642,0.40476190476190477,0.68,0.484375,,,,,,947,398,42,64,26
BCH,Financial,GRU,regression,1,0.0001413487057519612,0.009765589123217733,-0.01947994703267608,0.0,0.5934065934065934,0.421875,1.0,0.421875,,,,,,947,398,42,64,16
BHP,Basic Matierials,GRU,regression,1,0.0005823750715421828,0.019895574809515572,-0.020364545654665722,0.03253000243161777,0.4230769230769231,0.4583333333333333,0.39285714285714285,0.53125,,,,,,947,398,42,64,16
BP,Basic Matierials,GRU,regression,1,0.00037808518372260604,0.014889085435017109,-0.018013251315820433,0.0,0.0,0.0,0.0,0.59375,,,,,,947,398,42,64,16
BRK-A,Financial,GRU,regression,1,0.00013624440383203746,0.009177807132017851,-0.014681234199920956,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,947,398,42,64,16
BSAC,Financial,GRU,regression,1,0.0002484404121399018,0.012315087523395593,-0.04115295826962262,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,947,398,42,64,16
BUD,Consumer Goods,GRU,regression,1,0.00014674827053767707,0.00942512918178029,-0.06590779408523395,0.1259881576697424,0.06060606060606061,1.0,0.03125,0.515625,,,,,,947,398,42,64,16
C,Financial,GRU,regression,1,0.0002483836733541254,0.012155799797776909,-0.005167345313576099,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,947,398,42,64,16
CAT,Industrial Goods,GRU,regression,1,0.00029626684167850933,0.013270575232794068,-0.010069302702876426,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,947,398,42,64,16
CELG,Healthcare,GRU,regression,1,0.0006226054302265823,0.019045346673715408,-0.010227750088713572,0.0,0.0,0.0,0.0,0.484375,,,,,,947,398,42,64,16
CHL,Technology,GRU,regression,1,0.0001585024430362468,0.01017790444106835,-0.001390712311332809,0.0,0.0,0.0,0.0,0.515625,,,,,,947,398,42,64,16
CHTR,Services,GRU,regression,1,0.0002814213369661796,0.012258931857951141,-0.009103940660970533,-0.1796053020267749,0.6382978723404256,0.4838709677419355,0.9375,0.46875,,,,,,947,398,42,64,16
CMCSA,Services,GRU,regression,1,0.00014541661510341074,0.00980851677574248,0.006765137867128623,-0.025552902682603722,0.49230769230769234,0.45714285714285713,0.5333333333333333,0.484375,,,,,,947,398,42,64,16
CODI,Conglomerates,GRU,regression,1,0.00012423901842112452,0.008844219457767477,-0.007400046123140491,-0.19731230785181875,0.5934065934065934,0.43548387096774194,0.9310344827586207,0.421875,,,,,,947,398,42,64,16
CSCO,Technology,GRU,regression,1,0.00020898814766012494,0.010404796333974231,0.002175955990960654,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,947,398,42,64,16
CVX,Basic Matierials,GRU,regression,1,0.000421785537561853,0.016461083223448747,-0.10612115985568416,0.0,0.0,0.0,0.0,0.53125,,,,,,947,398,42,64,16
D,Utilities,GRU,regression,1,0.00011173108032470406,0.007872037990079989,-0.06518548997394547,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,947,398,42,64,16
DHR,Industrial Goods,GRU,regression,1,0.00013995746472495715,0.008327351281830847,-0.03874258554733534,0.0,0.0,0.0,0.0,0.484375,,,,,,947,398,42,64,16
DIS,Services,GRU,regression,1,0.00017452466116889742,0.010477709585695258,0.0038736391638601875,0.10024600283175306,0.5538461538461539,0.6,0.5142857142857142,0.546875,,,,,,947,398,42,64,16
DUK,Utilities,GRU,regression,1,0.00017064134612036053,0.00930647377822462,-0.00424354741019739,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,947,398,42,64,16
EXC,Utilities,GRU,regression,1,0.00021456226422719867,0.011638340941551091,-0.011601344354605914,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,947,398,42,64,16
FB,Technology,GRU,regression,1,0.0002563303630928207,0.01293129452938159,-0.04760125993424613,0.0,0.0,0.0,0.0,0.453125,,,,,,947,398,42,64,16
GD,Industrial Goods,GRU,regression,1,0.00012941278257881078,0.009139187793889683,-0.0414210667646111,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,947,398,42,64,16
GE,Industrial Goods,GRU,regression,1,0.00014733982449792812,0.0087639842558618,-0.02455535356466476,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,947,398,42,64,16
GOOG,Technology,GRU,regression,1,0.00024099721871195839,0.01113266387128753,-0.026745694056177882,0.30980392156862746,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.65625,,,,,,947,398,42,64,16
HD,Services,GRU,regression,1,0.00012475165219673093,0.008119219871930566,-0.013365289276646264,0.08370786705565378,0.6896551724137931,0.6,0.8108108108108109,0.578125,,,,,,947,398,42,64,16
HON,Industrial Goods,GRU,regression,1,0.00018567011067820697,0.010003075445420048,-0.022904355222098216,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,947,398,42,64,16
HRG,Conglomerates,GRU,regression,1,0.00021520058513531864,0.012031138406350735,-0.059579714413643625,0.1303589814791738,0.34782608695652173,0.6666666666666666,0.23529411764705882,0.53125,,,,,,947,398,42,64,24
HSBC,Financial,GRU,regression,1,0.00015606313802747195,0.009922029606263552,-0.018253989516946234,0.0,0.0,0.0,0.0,0.46875,,,,,,947,398,42,64,16
IEP,Conglomerates,GRU,regression,1,0.000383801220087237,0.015191629953275942,0.00013307157548070325,0.07036672182012485,0.2564102564102564,0.5555555555555556,0.16666666666666666,0.546875,,,,,,947,398,42,64,16
INTC,Technology,GRU,regression,1,0.00018461954636968484,0.010652194145096806,-0.0781943696777625,0.0,0.0,0.0,0.0,0.5,,,,,,947,398,42,64,16
JNJ,Healthcare,GRU,regression,1,9.535662147747189e-05,0.007757005492181945,-0.0012840031156309273,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,947,398,42,64,16
JPM,Financial,GRU,regression,1,0.00021812447158832168,0.011397023189128039,0.0014928591934801894,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,947,398,42,64,16
KO,Consumer Goods,GRU,regression,1,0.00010038129105259072,0.008014538436698575,-0.031308337071954906,0.0,0.0,0.0,0.0,0.515625,,,,,,947,398,42,64,16
LMT,Industrial Goods,GRU,regression,1,0.00011866183641603307,0.008461003650834853,-0.003873665011620897,0.010055966353275558,0.6593406593406593,0.5172413793103449,0.9090909090909091,0.515625,,,,,,947,398,42,64,16
