company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,LSTM,regression,1,0.0002410390893382407,0.012182408517222881,-0.002638565045260277,-0.0678326525517921,0.20512820512820512,0.36363636363636365,0.14285714285714285,0.515625,,,,,,942,398,42,64,11
ABB,Industrial Goods,LSTM,regression,1,0.00013463991518622442,0.00955288531000166,-0.019506766358917016,0.0,0.72,0.5625,1.0,0.5625,,,,,,942,398,42,64,11
ABBV,Healthcare,LSTM,regression,1,0.0007008836889329795,0.018541632462404867,0.0012491528520393036,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,861,336,42,64,11
AEP,Utilities,LSTM,regression,1,0.00016855834831615163,0.009528349606470601,-0.007267621303122862,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,942,398,42,64,11
AMGN,Healthcare,LSTM,regression,1,0.00032546110001075465,0.014308553289655995,0.00014477469201001902,0.0,0.72,0.5625,1.0,0.5625,,,,,,942,398,42,64,11
AMZN,Services,LSTM,regression,1,0.00034821905519512785,0.014154687945992533,-0.03588875103217393,0.0,0.0,0.0,0.0,0.453125,,,,,,942,398,42,64,11
BA,Industrial Goods,LSTM,regression,1,0.00021225520883760493,0.011061017184475969,-0.05178167125139632,0.0,0.0,0.0,0.0,0.453125,,,,,,942,398,42,64,11
BAC,Financial,LSTM,regression,1,0.000288618803647265,0.013076230742664126,-0.015851956649157506,0.0,0.0,0.0,0.0,0.578125,,,,,,942,398,42,64,11
BBL,Basic Matierials,LSTM,regression,1,0.0007511635580546101,0.022437795887145146,-0.07924867569795757,0.0,0.5617977528089888,0.390625,1.0,0.390625,,,,,,942,398,42,64,11
BCH,Financial,LSTM,regression,1,0.00014202910648283688,0.009793117962600018,-0.02438734888955163,0.0,0.5934065934065934,0.421875,1.0,0.421875,,,,,,942,398,42,64,11
BHP,Basic Matierials,LSTM,regression,1,0.0005708111624021136,0.019721369790940114,-0.00010371466742498114,0.0,0.0,0.0,0.0,0.5625,,,,,,942,398,42,64,11
BP,Basic Matierials,LSTM,regression,1,0.00037478135618661994,0.015237630745770746,-0.009117530572202215,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,942,398,42,64,11
BRK-A,Financial,LSTM,regression,1,0.000134566727486848,0.00900576237187159,-0.0021867268539643714,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,942,398,42,64,11
BSAC,Financial,LSTM,regression,1,0.00023869071982351745,0.011832061182943776,-0.0002943841351297216,0.0,0.0,0.0,0.0,0.5625,,,,,,942,398,42,64,11
BUD,Consumer Goods,LSTM,regression,1,0.00013794505038613834,0.009527694447344942,-0.0019655006722143487,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,11
C,Financial,LSTM,regression,1,0.0002486380639115001,0.011800224363154671,-0.006196821517773232,0.0,0.0,0.0,0.0,0.59375,,,,,,942,398,42,64,11
CAT,Industrial Goods,LSTM,regression,1,0.0002952945801225318,0.013125271304327724,-0.006754549197802495,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,11
CELG,Healthcare,LSTM,regression,1,0.0006165086308378607,0.01889473087115595,-0.0003351991564657375,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,942,398,42,64,11
CHL,Technology,LSTM,regression,1,0.00016591628540382143,0.010377042778847947,-0.04823007167522442,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,942,398,42,64,11
CHTR,Services,LSTM,regression,1,0.0002815994461707403,0.012244035114158183,-0.009742594084082734,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,11
CMCSA,Services,LSTM,regression,1,0.00014639200559839096,0.009789342586392129,0.00010295663619819262,0.0,0.0,0.0,0.0,0.53125,,,,,,942,398,42,64,11
CODI,Conglomerates,LSTM,regression,1,0.0001234788539451893,0.008791117164868578,-0.0012362037340887255,0.10323631789938985,0.46153846153846156,0.5217391304347826,0.41379310344827586,0.5625,,,,,,942,398,42,64,11
CSCO,Technology,LSTM,regression,1,0.000209323091392509,0.010377109319521155,0.0005767509006007199,0.0,0.6190476190476191,0.5,0.8125,0.5,,,,,,942,398,42,64,11
CVX,Basic Matierials,LSTM,regression,1,0.00038176266633355843,0.016543941564323983,-0.0011622629724457045,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,942,398,42,64,11
D,Utilities,LSTM,regression,1,0.0001072291771153999,0.00796892717971412,-0.022266707108139272,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,11
DHR,Industrial Goods,LSTM,regression,1,0.00013510053784950563,0.008385659331148515,-0.002695227942398626,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,942,398,42,64,11
DIS,Services,LSTM,regression,1,0.00018072848828636,0.010400835216998125,-0.03153565880231102,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,942,398,42,64,11
DUK,Utilities,LSTM,regression,1,0.00017070730091806784,0.009563539672149193,-0.00463169882557346,0.0,0.0,0.0,0.0,0.421875,,,,,,942,398,42,64,11
EXC,Utilities,LSTM,regression,1,0.00021327619167689314,0.011612968089476476,-0.005537870306583148,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,11
FB,Technology,LSTM,regression,1,0.0002452655734171348,0.012639868645827793,-0.002380368170602276,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,942,398,42,64,11
GD,Industrial Goods,LSTM,regression,1,0.0001283219496728232,0.009030262828260957,-0.03264282750587544,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,942,398,42,64,11
GE,Industrial Goods,LSTM,regression,1,0.0001579282844712476,0.009063238838671973,-0.09818421384488185,0.0,0.0,0.0,0.0,0.421875,,,,,,942,398,42,64,11
GOOG,Technology,LSTM,regression,1,0.00023582531288069957,0.011274503486780801,-0.004711281913621912,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,942,398,42,64,11
HD,Services,LSTM,regression,1,0.00013120459561662172,0.008361028528493658,-0.06578294275245988,0.0,0.0,0.0,0.0,0.421875,,,,,,942,398,42,64,11
HON,Industrial Goods,LSTM,regression,1,0.00018192039215989876,0.009921864354291696,-0.00224619226186773,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,11
HRG,Conglomerates,LSTM,regression,1,0.00020642252741488815,0.012075641689769108,-0.01635933057188166,-0.2748737083745107,0.0,0.0,0.0,0.40625,,,,,,942,398,42,64,11
HSBC,Financial,LSTM,regression,1,0.00015594576023108154,0.009892942630562632,-0.017488143007860835,0.0,0.0,0.0,0.0,0.46875,,,,,,942,398,42,64,11
IEP,Conglomerates,LSTM,regression,1,0.00039036156772294216,0.015281008666724855,-0.01695774079457535,0.0,0.0,0.0,0.0,0.53125,,,,,,942,398,42,64,11
INTC,Technology,LSTM,regression,1,0.0001720465842500676,0.010711369031125774,-0.004767166360957864,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,11
JNJ,Healthcare,LSTM,regression,1,9.520106203091147e-05,0.00775665641356349,0.0003494354748007078,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,942,398,42,64,11
JPM,Financial,LSTM,regression,1,0.0002202572869335171,0.011334756323995263,-0.008270517362538365,0.0,0.0,0.0,0.0,0.515625,,,,,,942,398,42,64,11
KO,Consumer Goods,LSTM,regression,1,0.00010156039458271224,0.008016715017306768,-0.04342234046974158,0.0,0.0,0.0,0.0,0.515625,,,,,,942,398,42,64,11
LMT,Industrial Goods,LSTM,regression,1,0.00012284994599310169,0.008519700838354988,-0.0393048789350392,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,942,398,42,64,11
MA,Financial,LSTM,regression,1,0.0001659769880269547,0.010126053678669353,-0.04334954158891513,0.0,0.0,0.0,0.0,0.484375,,,,,,942,398,42,64,11
MCD,Services,LSTM,regression,1,0.00016219430239779186,0.0072761193560713505,-0.09441180302280383,0.0,0.0,0.0,0.0,0.4375,,,,,,942,398,42,64,11
MDT,Healthcare,LSTM,regression,1,0.00013005157473249608,0.00849826138648671,-0.01327607571144962,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,11
MMM,Industrial Goods,LSTM,regression,1,0.0001789567868695711,0.008995138165907829,-0.006418834176155963,0.0,0.0,0.0,0.0,0.453125,,,,,,942,398,42,64,11
MO,Consumer Goods,LSTM,regression,1,0.00013710050336805,0.008519979722049549,-0.009489915981027996,0.0,0.0,0.0,0.0,0.484375,,,,,,942,398,42,64,11
MRK,Healthcare,LSTM,regression,1,0.0001983963496145942,0.010936232498337056,-0.0018386365127964766,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,942,398,42,64,11
MSFT,Technology,LSTM,regression,1,0.000287163152170937,0.011141131654146687,-0.005295884412021223,0.0,0.72,0.5625,1.0,0.5625,,,,,,942,398,42,64,11
NEE,Utilities,LSTM,regression,1,0.00014231274635553718,0.008479076955694984,0.0011215651496063739,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,942,398,42,64,11
NGG,Utilities,LSTM,regression,1,0.0001280787002133638,0.008004017250508103,-0.025601862266694253,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,942,398,42,64,11
NVS,Healthcare,LSTM,regression,1,0.00012068739708966623,0.009428655320787543,-0.09451393204085878,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,942,398,42,64,11
ORCL,Technology,LSTM,regression,1,0.00021552622296417003,0.010949361717948566,-0.005858738587739332,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,942,398,42,64,11
PCG,Utilities,LSTM,regression,1,0.0001443976645098743,0.009316116719563047,-0.0008067418491390921,0.0,0.0,0.0,0.0,0.46875,,,,,,942,398,42,64,11
PCLN,Services,LSTM,regression,1,0.00033309957746573116,0.011841319097314035,-0.0033557870147953306,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,942,398,42,64,11
PEP,Consumer Goods,LSTM,regression,1,9.37779938662953e-05,0.0076478472515679324,-0.012860772053410408,0.0,0.0,0.0,0.0,0.53125,,,,,,942,398,42,64,11
PFE,Healthcare,LSTM,regression,1,0.00022411390447102335,0.011384922016987598,-0.003556833136793225,0.0,0.0,0.0,0.0,0.546875,,,,,,942,398,42,64,11
PG,Consumer Goods,LSTM,regression,1,0.00010250763374917944,0.007718732309176551,-0.0524755380964792,0.0,0.0,0.0,0.0,0.4375,,,,,,942,398,42,64,11
PICO,Conglomerates,LSTM,regression,1,0.0009524199881916248,0.024338624201095893,-6.58625088814091e-05,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,11
PM,Consumer Goods,LSTM,regression,1,0.00011423368576018357,0.008226470428806337,-0.018118145906686367,0.1285367511564587,0.24390243902439024,0.7142857142857143,0.14705882352941177,0.515625,,,,,,942,398,42,64,11
PPL,Utilities,LSTM,regression,1,0.00016780054252503576,0.010517722077991891,-0.007944117502958647,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,11
PTR,Basic Matierials,LSTM,regression,1,0.0004965741958979727,0.01805770815278107,-0.03294346029468831,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,922,398,42,64,11
RDS-B,Basic Matierials,LSTM,regression,1,0.00042350488064872224,0.016245940129554805,-0.01485949412279286,0.0,0.0,0.0,0.0,0.546875,,,,,,942,398,42,64,11
REX,Conglomerates,LSTM,regression,1,0.0008503484653322266,0.020384945264821965,0.0011576029704475355,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,922,398,42,64,11
SLB,Basic Matierials,LSTM,regression,1,0.00028478143281188617,0.013884788001622628,0.0015372197556576817,0.2355861222951437,0.6493506493506493,0.5208333333333334,0.8620689655172413,0.578125,,,,,,942,398,42,64,11
SNP,Basic Matierials,LSTM,regression,1,0.00046690234225828925,0.016276620543865847,0.0024124108689657087,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,922,398,42,64,11
SNY,Healthcare,LSTM,regression,1,0.00030996896228602813,0.01260277331197212,-0.04204791155647669,0.0,0.5934065934065934,0.421875,1.0,0.421875,,,,,,942,398,42,64,11
SO,Utilities,LSTM,regression,1,0.00011955274017705506,0.007861811090097329,-0.002129931641098315,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,942,398,42,64,11
SPLP,Conglomerates,LSTM,regression,1,0.00016180777678645312,0.00859547592435659,-0.016634541177738882,0.0,0.0,0.0,0.0,0.578125,,,,,,942,398,42,64,11
SRE,Utilities,LSTM,regression,1,0.00015702426847652917,0.009785516991672877,-0.021871132745471256,0.0,0.6236559139784946,0.453125,1.0,0.453125,,,,,,942,398,42,64,11
T,Technology,LSTM,regression,1,8.629899947868851e-05,0.007290174580644716,-0.02348637064227832,0.0,0.0,0.0,0.0,0.46875,,,,,,942,398,42,64,11
TM,Consumer Goods,LSTM,regression,1,0.00012371509296338508,0.009140355210783532,-0.00820618507583104,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,942,398,42,64,11
TOT,Basic Matierials,LSTM,regression,1,0.0002503891173668578,0.012515560832903727,-0.02664173257507052,0.0,0.5617977528089888,0.390625,1.0,0.390625,,,,,,942,398,42,64,11
TSM,Technology,LSTM,regression,1,0.00019182209934414144,0.010847108073752464,-0.010954509227776521,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,11
UL,Consumer Goods,LSTM,regression,1,0.00013847153389045218,0.00896851163467343,-0.0011208671398679204,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,11
UN,Consumer Goods,LSTM,regression,1,0.00016210143885629044,0.009835279330607911,-0.004291056642877988,-0.07803322775472506,0.5526315789473685,0.4883720930232558,0.6363636363636364,0.46875,,,,,,942,398,42,64,11
UNH,Healthcare,LSTM,regression,1,0.0002849446417063847,0.013239152868953413,-0.0007685763151161762,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,942,398,42,64,11
UPS,Services,LSTM,regression,1,0.00010510613799551521,0.008073347946059198,-0.0018888511141741393,0.09769344135387542,0.4727272727272727,0.5652173913043478,0.40625,0.546875,,,,,,942,398,42,64,11
UTX,Industrial Goods,LSTM,regression,1,0.00015555226566287813,0.009416832022206126,-0.1068494309879453,0.0,0.0,0.0,0.0,0.53125,,,,,,942,398,42,64,11
V,Financial,LSTM,regression,1,0.00018465341947848223,0.01114493155142228,-0.003743643383963491,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,942,398,42,64,11
VZ,Technology,LSTM,regression,1,0.00010180350422808657,0.008101513165743826,-0.05205378153802864,0.0,0.0,0.0,0.0,0.484375,,,,,,942,398,42,64,11
WFC,Financial,LSTM,regression,1,0.0001539446119998031,0.009835397972558578,-0.002612748119154018,-0.08655029717602476,0.55,0.43137254901960786,0.7586206896551724,0.4375,,,,,,942,398,42,64,11
WMT,Services,LSTM,regression,1,0.0002909578134085865,0.01026513043782451,-0.007324779792944325,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,11
XOM,Basic Matierials,LSTM,regression,1,0.0002760391720832238,0.012973248959414763,-0.0305623366091603,0.0,0.0,0.0,0.0,0.53125,,,,,,942,398,42,64,11
