company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,regression,15,1,1,0.0746670931802323,0.12777353823184967,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,2,0.07382453584940589,0.12792357802391052,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,3,0.07390795689282106,0.12812580168247223,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,4,0.07354780076885942,0.12837105989456177,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,5,0.07492426075228495,0.12859027087688446,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,6,0.0726486748112506,0.12889397144317627,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,7,0.07402403589019824,0.12913863360881805,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,8,0.07313728051718756,0.129399374127388,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,9,0.07386537899623564,0.12961551547050476,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,10,0.0741601310033894,0.12973563373088837,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,11,0.0738963751712037,0.1298164576292038,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,12,0.07426659628074972,0.12985388934612274,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,13,0.07487542152255025,0.12989598512649536,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,14,0.07339938183375938,0.12997157871723175,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,15,0.07401729232851584,0.1299254447221756,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,16,0.07339976398489582,0.12998338043689728,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,17,0.07424011148849324,0.12994059920310974,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,18,0.07495931595863409,0.13000434637069702,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,19,0.07589652213319462,0.13005892932415009,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,20,0.0741003370240106,0.13009563088417053,398,42,64
AAPL,Consumer Goods,BiGRU,regression,15,1,21,0.07305199690350336,0.13000327348709106,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,1,0.07462221515088824,0.09109284728765488,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,2,0.07507985347329672,0.0909591019153595,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,3,0.07499807462770136,0.0908263549208641,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,4,0.07393998637720568,0.0906229168176651,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,5,0.07507044660985171,0.09043767303228378,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,6,0.07268084814051289,0.09030293673276901,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,7,0.07364831434272641,0.09016366302967072,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,8,0.07417552633650938,0.09011628478765488,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,9,0.0745045982263795,0.09011024981737137,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,10,0.07653630427529465,0.09018377959728241,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,11,0.07550069618614474,0.09027139842510223,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,12,0.07380736252321071,0.09032222628593445,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,13,0.07625502613770901,0.09038569778203964,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,14,0.07497113677275241,0.09054319560527802,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,15,0.0736625285529012,0.09054753184318542,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,16,0.0740763855414774,0.09055449813604355,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,17,0.0739177264011086,0.09055255353450775,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,18,0.0725570911513501,0.09061744064092636,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,19,0.07438183313787881,0.09069723635911942,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,20,0.07168818553488458,0.0906420573592186,398,42,64
ABB,Industrial Goods,BiGRU,regression,15,1,21,0.07463311190581202,0.0906769186258316,398,42,64
ABBV,Healthcare,BiGRU,regression,15,1,1,0.07728128368175642,0.09975163638591766,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,2,0.07678533705609802,0.09991692751646042,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,3,0.07654195840490188,0.1000795066356659,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,4,0.07679937290325986,0.10022938996553421,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,5,0.07756693629699891,0.10037116706371307,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,6,0.07460873953300301,0.10052051395177841,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,7,0.07600079897757384,0.10062795877456665,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,8,0.07600151732834085,0.10072066634893417,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,9,0.07761376573960227,0.10077421367168427,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,10,0.07525525578604364,0.10083506256341934,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,11,0.07743327815952258,0.10091284662485123,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,12,0.07486652685301182,0.10094468295574188,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,13,0.07482832389970921,0.10099095851182938,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,14,0.07658888179009775,0.100994773209095,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,15,0.07514290715317351,0.10102695971727371,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,16,0.07616418389620377,0.10103563964366913,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,17,0.07584836510688156,0.10096797347068787,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,18,0.0785724849769356,0.1009494736790657,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,19,0.0746881584904165,0.10096286982297897,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,20,0.07681746895669811,0.10095641016960144,331,42,64
ABBV,Healthcare,BiGRU,regression,15,1,21,0.07576111294441713,0.10093900561332703,331,42,64
AEP,Utilities,BiGRU,regression,15,1,1,0.0765543763137343,0.09278518706560135,398,42,64
AEP,Utilities,BiGRU,regression,15,1,2,0.07676326006126763,0.09272416681051254,398,42,64
AEP,Utilities,BiGRU,regression,15,1,3,0.07792885886065325,0.09262670576572418,398,42,64
AEP,Utilities,BiGRU,regression,15,1,4,0.07603288159223658,0.09253969043493271,398,42,64
AEP,Utilities,BiGRU,regression,15,1,5,0.07635230069334184,0.0924430787563324,398,42,64
AEP,Utilities,BiGRU,regression,15,1,6,0.0766415010445082,0.0923357680439949,398,42,64
AEP,Utilities,BiGRU,regression,15,1,7,0.0768511417373341,0.09221741557121277,398,42,64
AEP,Utilities,BiGRU,regression,15,1,8,0.07589536029190275,0.09218885749578476,398,42,64
AEP,Utilities,BiGRU,regression,15,1,9,0.0773366369943523,0.0921640694141388,398,42,64
AEP,Utilities,BiGRU,regression,15,1,10,0.07571811723199921,0.09211613237857819,398,42,64
AEP,Utilities,BiGRU,regression,15,1,11,0.0776207100918245,0.09205707907676697,398,42,64
AEP,Utilities,BiGRU,regression,15,1,12,0.07775817897601343,0.09200970828533173,398,42,64
AEP,Utilities,BiGRU,regression,15,1,13,0.07781924232466136,0.09198251366615295,398,42,64
AEP,Utilities,BiGRU,regression,15,1,14,0.07705921825751587,0.091995969414711,398,42,64
AEP,Utilities,BiGRU,regression,15,1,15,0.07615320335830277,0.09198104590177536,398,42,64
AEP,Utilities,BiGRU,regression,15,1,16,0.07650435079432014,0.09189015626907349,398,42,64
AEP,Utilities,BiGRU,regression,15,1,17,0.07620863522866264,0.09189912676811218,398,42,64
AEP,Utilities,BiGRU,regression,15,1,18,0.0768767404721011,0.0919874981045723,398,42,64
AEP,Utilities,BiGRU,regression,15,1,19,0.0772174543621552,0.09192418307065964,398,42,64
AEP,Utilities,BiGRU,regression,15,1,20,0.07541773303519542,0.09189698100090027,398,42,64
AEP,Utilities,BiGRU,regression,15,1,21,0.07634734279995588,0.09189636260271072,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,1,0.07493123603076791,0.13624228537082672,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,2,0.0745597234997318,0.13633090257644653,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,3,0.07299550705069872,0.1364787518978119,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,4,0.07493650939446597,0.13664069771766663,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,5,0.07384358586078912,0.13675297796726227,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,6,0.07535519181334194,0.1369144320487976,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,7,0.07484638893125045,0.13693439960479736,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,8,0.074243731983942,0.1368342638015747,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,9,0.072809498775844,0.13665613532066345,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,10,0.07393468459646906,0.13652338087558746,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,11,0.07456091679071063,0.13630273938179016,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,12,0.07351832189152588,0.13612374663352966,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,13,0.07193971342926649,0.13603293895721436,398,42,64
AMGN,Healthcare,BiGRU,regression,15,1,14,0.07453039857610386,0.1358995884656906,398,42,64
