company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiLSTM,regression,1,0.00024376620628875463,0.012368570504582704,-0.01398242065590316,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,942,398,42,64,21
ABB,Industrial Goods,BiLSTM,regression,1,0.0001385760241777091,0.010016154431003121,-0.04931137329434532,0.0,0.0,0.0,0.0,0.4375,,,,,,942,398,42,64,21
ABBV,Healthcare,BiLSTM,regression,1,0.0007079626150327803,0.018783098747157306,-0.008838231903393279,0.0,0.0,0.0,0.0,0.46875,,,,,,861,336,42,64,21
AEP,Utilities,BiLSTM,regression,1,0.00016750167306149214,0.00971977232637379,-0.0009531623582925697,0.101316135439741,0.35294117647058826,0.6923076923076923,0.23684210526315788,0.484375,,,,,,942,398,42,64,21
AMGN,Healthcare,BiLSTM,regression,1,0.0003252554266680799,0.014276349005617167,0.0007766276734356703,0.0,0.72,0.5625,1.0,0.5625,,,,,,942,398,42,64,21
AMZN,Services,BiLSTM,regression,1,0.0003453448978801985,0.014119640323971977,-0.027338652504211858,-0.1178533126867198,0.6521739130434783,0.5263157894736842,0.8571428571428571,0.5,,,,,,942,398,42,64,21
BA,Industrial Goods,BiLSTM,regression,1,0.00020549707272732903,0.010759510226565128,-0.018293288414823694,-0.3322807683739742,0.2711864406779661,0.3333333333333333,0.22857142857142856,0.328125,,,,,,942,398,42,64,21
BAC,Financial,BiLSTM,regression,1,0.0002842195897956786,0.01304523196567809,-0.0003680382683100003,0.15145330128956086,0.48,0.5217391304347826,0.4444444444444444,0.59375,,,,,,942,398,42,64,21
BBL,Basic Matierials,BiLSTM,regression,1,0.0007084909090481467,0.02180463238460434,-0.017937927279833232,0.0,0.0,0.0,0.0,0.609375,,,,,,942,398,42,64,21
BCH,Financial,BiLSTM,regression,1,0.0001398036933404712,0.009639199694601253,-0.008336518707307006,-0.05790766725522051,0.3333333333333333,0.38095238095238093,0.2962962962962963,0.5,,,,,,942,398,42,64,21
BHP,Basic Matierials,BiLSTM,regression,1,0.0005797551099342653,0.019809797978820147,-0.015774177580331505,0.1024464386416373,0.12903225806451613,0.6666666666666666,0.07142857142857142,0.578125,,,,,,942,398,42,64,21
BP,Basic Matierials,BiLSTM,regression,1,0.0003722539048120297,0.014969873348979361,-0.002312241441176477,-0.015927040333389538,0.5542168674698795,0.40350877192982454,0.8846153846153846,0.421875,,,,,,942,398,42,64,21
BRK-A,Financial,BiLSTM,regression,1,0.00013432532255765273,0.00898596976149782,-0.00038886180697295103,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,942,398,42,64,21
BSAC,Financial,BiLSTM,regression,1,0.00023872498150555944,0.01185110595675154,-0.0004379664585771881,0.0,0.0,0.0,0.0,0.5625,,,,,,942,398,42,64,21
BUD,Consumer Goods,BiLSTM,regression,1,0.0001506367749580893,0.009433750062069951,-0.09415199181149014,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,21
C,Financial,BiLSTM,regression,1,0.0002474015854672873,0.01190408921704976,-0.001192999251505178,0.06362847629757777,0.4827586206896552,0.4375,0.5384615384615384,0.53125,,,,,,942,398,42,64,21
CAT,Industrial Goods,BiLSTM,regression,1,0.0003013446685787212,0.013086918595744568,-0.02738125380508083,0.14433756729740646,0.4166666666666667,0.625,0.3125,0.5625,,,,,,942,398,42,64,26
CELG,Healthcare,BiLSTM,regression,1,0.0006153010320141825,0.018888391563966767,0.0016242277669553662,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,942,398,42,64,21
CHL,Technology,BiLSTM,regression,1,0.00015928013965540357,0.010206753225563844,-0.00630406352852142,0.0,0.0,0.0,0.0,0.515625,,,,,,942,398,42,64,21
CHTR,Services,BiLSTM,regression,1,0.0002852086032786405,0.01252993466427528,-0.02268409560386364,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,21
CMCSA,Services,BiLSTM,regression,1,0.00014764718438964693,0.009851014327717685,-0.008470254429116864,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,942,398,42,64,21
CODI,Conglomerates,BiLSTM,regression,1,0.00012389696101879484,0.008776477723616477,-0.004626451746246207,0.0,0.0,0.0,0.0,0.546875,,,,,,942,398,42,64,21
CSCO,Technology,BiLSTM,regression,1,0.00020979783736278595,0.010387353929782142,-0.0016899467530342438,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,21
CVX,Basic Matierials,BiLSTM,regression,1,0.00038953185397166235,0.016438190032038946,-0.021536747339718998,0.0,0.0,0.0,0.0,0.53125,,,,,,942,398,42,64,21
D,Utilities,BiLSTM,regression,1,0.0001056064644867808,0.007819289076278685,-0.006796616410194245,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,21
DHR,Industrial Goods,BiLSTM,regression,1,0.00013753300309728823,0.008288290409002391,-0.020748607558135346,0.0,0.0,0.0,0.0,0.484375,,,,,,942,398,42,64,21
DIS,Services,BiLSTM,regression,1,0.00017930135060681358,0.010396280585551795,-0.023390050877234225,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,942,398,42,64,21
DUK,Utilities,BiLSTM,regression,1,0.0001715162465387846,0.009327740922297836,-0.009392434944225148,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,942,398,42,64,21
EXC,Utilities,BiLSTM,regression,1,0.00022326024996516692,0.01190355976126601,-0.05260992569763645,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,21
FB,Technology,BiLSTM,regression,1,0.00025557896925313523,0.01289598678760058,-0.0445303746763952,0.0,0.0,0.0,0.0,0.453125,,,,,,942,398,42,64,21
GD,Industrial Goods,BiLSTM,regression,1,0.00012527571944880643,0.008845413454261805,-0.008128955952467098,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,942,398,42,64,21
GE,Industrial Goods,BiLSTM,regression,1,0.0001532746878297502,0.008924849373863376,-0.06582454890959633,0.1458908540112823,0.39215686274509803,0.7142857142857143,0.2702702702702703,0.515625,,,,,,942,398,42,64,21
GOOG,Technology,BiLSTM,regression,1,0.00023970926911550002,0.011222515931484073,-0.021258507484512412,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,942,398,42,64,21
HD,Services,BiLSTM,regression,1,0.0001252616355601498,0.008137638285358822,-0.01750791528196971,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,942,398,42,64,21
HON,Industrial Goods,BiLSTM,regression,1,0.00018140685506294369,0.009935003851644822,0.0005830155795273351,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,21
HRG,Conglomerates,BiLSTM,regression,1,0.00021721974734521585,0.012291245660304755,-0.06952143142325307,0.0,0.0,0.0,0.0,0.46875,,,,,,942,398,42,64,21
HSBC,Financial,BiLSTM,regression,1,0.00015359953228971397,0.009700789111104391,-0.0021798774442585156,0.0,0.0,0.0,0.0,0.46875,,,,,,942,398,42,64,21
IEP,Conglomerates,BiLSTM,regression,1,0.00039418888626238175,0.015446766421627012,-0.026928551286688585,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,942,398,42,64,21
INTC,Technology,BiLSTM,regression,1,0.0001829029654095948,0.010668054498516023,-0.06816938606871892,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,21
JNJ,Healthcare,BiLSTM,regression,1,9.53787973423987e-05,0.0077471430571461886,-0.0015168588781613312,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,942,398,42,64,21
