company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,LSTM,regression,1,0.0002552259440831783,0.012772633086761742,-0.0616509340474074,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,942,398,42,64,16
ABB,Industrial Goods,LSTM,regression,1,0.00013270224967334705,0.009797031866961223,-0.004834571277789079,0.0,0.0,0.0,0.0,0.4375,,,,,,942,398,42,64,16
ABBV,Healthcare,LSTM,regression,1,0.000705342851116903,0.0186010490052895,-0.005105099756612441,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,861,336,42,64,16
AEP,Utilities,LSTM,regression,1,0.0001715573624800788,0.010030293996227568,-0.025189070423444093,0.0,0.0,0.0,0.0,0.40625,,,,,,942,398,42,64,16
AMGN,Healthcare,LSTM,regression,1,0.00032582419741185276,0.014296821222456096,-0.0009707037285191511,0.0,0.72,0.5625,1.0,0.5625,,,,,,942,398,42,64,16
AMZN,Services,LSTM,regression,1,0.0003434647779137646,0.01407877283720202,-0.02174563542268393,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,942,398,42,64,16
BA,Industrial Goods,LSTM,regression,1,0.00020391163102246896,0.010644203231375188,-0.010436998172800749,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,942,398,42,64,16
BAC,Financial,LSTM,regression,1,0.00029137761213852325,0.01309203703295627,-0.02556213827436493,0.0,0.0,0.0,0.0,0.578125,,,,,,942,398,42,64,16
BBL,Basic Matierials,LSTM,regression,1,0.0007134649943928277,0.02183189919954731,-0.025084539976219178,0.0,0.0,0.0,0.0,0.609375,,,,,,942,398,42,64,16
BCH,Financial,LSTM,regression,1,0.00013892501316517428,0.009458901480784182,-0.0019990229813660054,0.0,0.0,0.0,0.0,0.578125,,,,,,942,398,42,64,16
BHP,Basic Matierials,LSTM,regression,1,0.0005964771875387261,0.02010481609349849,-0.04507250429629872,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,942,398,42,64,16
BP,Basic Matierials,LSTM,regression,1,0.000370597281556583,0.014878996666982565,0.002148299460949854,0.12225157283090808,0.5882352941176471,0.423728813559322,0.9615384615384616,0.453125,,,,,,942,398,42,64,16
BRK-A,Financial,LSTM,regression,1,0.00013828438965956166,0.00938151501050341,-0.029874044172317316,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,942,398,42,64,16
BSAC,Financial,LSTM,regression,1,0.0002412708625789478,0.012011322654139983,-0.011107130899780548,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,942,398,42,64,16
BUD,Consumer Goods,LSTM,regression,1,0.00014901573063906635,0.009413842612756046,-0.08237751727851417,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,16
C,Financial,LSTM,regression,1,0.00025033655311226116,0.012345990272549207,-0.0130703243447432,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,942,398,42,64,16
CAT,Industrial Goods,LSTM,regression,1,0.0003049219836706119,0.01323502995671555,-0.03957747576479487,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,16
CELG,Healthcare,LSTM,regression,1,0.0006311979963707122,0.019155180646668435,-0.024169884772816452,0.01659128610703117,0.36,0.5294117647058824,0.2727272727272727,0.5,,,,,,942,398,42,64,23
CHL,Technology,LSTM,regression,1,0.00017180081153621394,0.010522280353390936,-0.08540747854953756,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,942,398,42,64,16
CHTR,Services,LSTM,regression,1,0.0002818378125815537,0.012241463818931667,-0.010597314223877552,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,16
CMCSA,Services,LSTM,regression,1,0.0001466694796102132,0.009803790445097847,-0.0017922660086264752,-0.04222003309207491,0.5405405405405406,0.45454545454545453,0.6666666666666666,0.46875,,,,,,942,398,42,64,16
CODI,Conglomerates,LSTM,regression,1,0.0001240745268264083,0.008809155676925084,-0.006066255481441241,-0.056730862893117545,0.37735849056603776,0.4166666666666667,0.3448275862068966,0.484375,,,,,,942,398,42,64,16
CSCO,Technology,LSTM,regression,1,0.00021104479475959605,0.01044485107508794,-0.0076436053041188945,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,16
CVX,Basic Matierials,LSTM,regression,1,0.0003947534766212819,0.01639610122503085,-0.03523031145505784,0.0,0.0,0.0,0.0,0.53125,,,,,,942,398,42,64,16
D,Utilities,LSTM,regression,1,0.00010524657288871295,0.007738853304289611,-0.003365598763973132,-0.0582222509739582,0.10810810810810811,0.4,0.0625,0.484375,,,,,,942,398,42,64,16
DHR,Industrial Goods,LSTM,regression,1,0.0001355625043632496,0.008339981372704502,-0.00612387172260509,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,942,398,42,64,16
DIS,Services,LSTM,regression,1,0.00017989753129252765,0.01040386653715912,-0.02679284388587644,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,942,398,42,64,16
DUK,Utilities,LSTM,regression,1,0.00016999297529616595,0.009325952400934992,-0.00042781206041175857,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,942,398,42,64,16
EXC,Utilities,LSTM,regression,1,0.00021672008741767767,0.011706190634265722,-0.021774879986466544,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,16
FB,Technology,LSTM,regression,1,0.00025867665768483053,0.012975145810970604,-0.057190374314255665,0.0,0.0,0.0,0.0,0.453125,,,,,,942,398,42,64,16
GD,Industrial Goods,LSTM,regression,1,0.00012432668903033766,0.008696831947848913,-0.0004918412015195717,0.0,0.0,0.0,0.0,0.5625,,,,,,942,398,42,64,16
GE,Industrial Goods,LSTM,regression,1,0.00014570997146046117,0.00875294014804135,-0.013221862020537989,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,942,398,42,64,16
GOOG,Technology,LSTM,regression,1,0.00023929844131309128,0.011212739472113292,-0.019508214765881826,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,942,398,42,64,16
HD,Services,LSTM,regression,1,0.0001235046108190309,0.008048513981102817,-0.0032354960097795704,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,942,398,42,64,16
HON,Industrial Goods,LSTM,regression,1,0.00018115311267451396,0.009891002369622523,0.001980947606826322,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,942,398,42,64,16
HRG,Conglomerates,LSTM,regression,1,0.00020417937211117512,0.012024661673788094,-0.005314742312053422,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,942,398,42,64,16
HSBC,Financial,LSTM,regression,1,0.00015794298401882167,0.00999535540652187,-0.03051928614344579,0.0,0.0,0.0,0.0,0.46875,,,,,,942,398,42,64,16
IEP,Conglomerates,LSTM,regression,1,0.00038437013874132635,0.015233810542393866,-0.0013490574991961157,0.0,0.0,0.0,0.0,0.53125,,,,,,942,398,42,64,16
INTC,Technology,LSTM,regression,1,0.00017711602593186348,0.01057428666763912,-0.03437315113451578,0.0,0.0,0.0,0.0,0.5,,,,,,942,398,42,64,16
JNJ,Healthcare,LSTM,regression,1,0.00010291986060998523,0.00801845427657591,-0.08070114518491933,0.0,0.0,0.0,0.0,0.46875,,,,,,942,398,42,64,16
JPM,Financial,LSTM,regression,1,0.00021970403298003101,0.011401640483105976,-0.005737889917242223,-0.22817408071403383,0.4935064935064935,0.41304347826086957,0.6129032258064516,0.390625,,,,,,942,398,42,64,16
KO,Consumer Goods,LSTM,regression,1,9.832799200284735e-05,0.007977254956632977,-0.010212927695392393,0.13855164404183676,0.3333333333333333,0.6363636363636364,0.22580645161290322,0.5625,,,,,,942,398,42,64,16
LMT,Industrial Goods,LSTM,regression,1,0.00011764029373965431,0.00842150071861164,0.004768538930906119,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,942,398,42,64,16
MA,Financial,LSTM,regression,1,0.0001609759989678407,0.009941277610094737,-0.011912776141222992,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,942,398,42,64,16
MCD,Services,LSTM,regression,1,0.00015350040890812613,0.007103838022683898,-0.03574944862037932,0.0,0.72,0.5625,1.0,0.5625,,,,,,942,398,42,64,16
MDT,Healthcare,LSTM,regression,1,0.00013142126149538012,0.008515698992094409,-0.02394777138990478,-0.09607689228305229,0.5070422535211268,0.46153846153846156,0.5625,0.453125,,,,,,942,398,42,64,16
MMM,Industrial Goods,LSTM,regression,1,0.00017845841142896394,0.008949413249453364,-0.003616065760988496,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,942,398,42,64,16
MO,Consumer Goods,LSTM,regression,1,0.00013635497507712537,0.008511387756318413,-0.004000488347442932,0.07432402091979178,0.4642857142857143,0.5652173913043478,0.3939393939393939,0.53125,,,,,,942,398,42,64,16
MRK,Healthcare,LSTM,regression,1,0.00019780220551317534,0.01087817907678025,0.001161602743691481,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,942,398,42,64,16
MSFT,Technology,LSTM,regression,1,0.00029109090453019384,0.01118481214861481,-0.019046093141448006,0.0,0.72,0.5625,1.0,0.5625,,,,,,942,398,42,64,16
NEE,Utilities,LSTM,regression,1,0.00014220337206614082,0.008473400258171435,0.0018892519647576433,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,942,398,42,64,16
