company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,BiLSTM,classification,5,,,,-0.07432402091979178,0.37037037037037035,0.43478260869565216,0.3225806451612903,0.46875,0.6428571428571429,0.32900900517813303,0.6938775510204082,0.5862068965517241,0.85,1189,398,42,64,20,0.33499999999999996,0.32900900517813303,True
ABB,Industrial Goods,BiLSTM,classification,5,,,,0.2102510304811823,0.13793103448275862,1.0,0.07407407407407407,0.609375,0.7857142857142857,0.5198752449100363,0.5263157894736842,1.0,0.35714285714285715,1189,398,42,64,20,0.33499999999999996,0.5198752449100363,True
ABBV,Healthcare,BiLSTM,classification,5,,,,0.1955795646794894,0.6292134831460674,0.45901639344262296,1.0,0.484375,0.8095238095238095,0.4655998462018826,0.42857142857142855,1.0,0.2727272727272727,1108,398,42,64,20,0.38499999999999995,0.4655998462018826,True
AEP,Utilities,BiLSTM,classification,5,,,,0.3300891361017462,0.7578947368421053,0.6101694915254238,1.0,0.640625,0.7380952380952381,0.46860921309188386,0.8253968253968254,0.7027027027027027,1.0,1189,398,42,64,20,0.05,0.46860921309188386,True
AGFS,Conglomerates,BiLSTM,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.6190476190476191,0.44399618972177585,0.6521739130434783,0.4838709677419355,1.0,632,110,42,64,20,0.05,0.44399618972177585,True
AMGN,Healthcare,BiLSTM,classification,5,,,,0.07252451488845175,0.2608695652173913,0.6666666666666666,0.16216216216216217,0.46875,0.7619047619047619,0.45883146774112354,0.4444444444444444,1.0,0.2857142857142857,1189,398,42,64,20,0.26499999999999996,0.45883146774112354,True
AMZN,Services,BiLSTM,classification,5,,,,0.14195773853129398,0.3333333333333333,0.8181818181818182,0.20930232558139536,0.4375,0.6904761904761905,0.44711240450522444,0.6976744186046512,0.8823529411764706,0.5769230769230769,1189,398,42,64,20,0.5299999999999999,0.44711240450522444,True
BA,Industrial Goods,BiLSTM,classification,5,,,,0.260359587582133,0.45454545454545453,0.7142857142857143,0.3333333333333333,0.625,0.7380952380952381,0.4948721003672819,0.7555555555555555,0.85,0.68,1189,398,42,64,20,0.5049999999999999,0.4948721003672819,True
BABA,Services,BiLSTM,classification,5,,,,0.13912166872805048,0.09523809523809523,1.0,0.05,0.40625,0.8095238095238095,0.5289618692410673,0.6363636363636364,0.7777777777777778,0.5384615384615384,676,154,42,64,20,0.33499999999999996,0.5289618692410673,True
BAC,Financial,BiLSTM,classification,5,,,,0.0,0.7326732673267327,0.578125,1.0,0.578125,0.5952380952380952,0.421211769587116,0.6222222222222222,0.45161290322580644,1.0,1189,398,42,64,20,0.05,0.421211769587116,True
BBL,Basic Matierials,BiLSTM,classification,5,,,,0.10047862098440141,0.42105263157894735,0.3,0.7058823529411765,0.484375,0.7857142857142857,0.564019190328506,0.6666666666666666,0.9,0.5294117647058824,1189,398,42,64,20,0.33499999999999996,0.564019190328506,True
BCH,Financial,BiLSTM,classification,5,,,,0.15289415743128767,0.5,0.3392857142857143,0.95,0.40625,0.6904761904761905,0.469041575982343,0.7719298245614035,0.6285714285714286,1.0,1189,398,42,64,20,0.05,0.469041575982343,True
BHP,Basic Matierials,BiLSTM,classification,5,,,,0.17688728441930626,0.4489795918367347,0.34375,0.6470588235294118,0.578125,0.6904761904761905,0.2660079583736709,0.3157894736842105,0.75,0.2,1189,398,42,64,20,0.5049999999999999,0.2660079583736709,True
BP,Basic Matierials,BiLSTM,classification,5,,,,0.025224338093150032,0.3829787234042553,0.375,0.391304347826087,0.546875,0.7857142857142857,0.5517557332192131,0.7272727272727273,0.75,0.7058823529411765,1189,398,42,64,20,0.33499999999999996,0.5517557332192131,True
BRK-A,Financial,BiLSTM,classification,5,,,,0.22880833080875376,0.17647058823529413,1.0,0.0967741935483871,0.5625,0.7142857142857143,0.42073150734321546,0.6470588235294118,0.5789473684210527,0.7333333333333333,1189,398,42,64,20,0.29,0.42073150734321546,True
BSAC,Financial,BiLSTM,classification,5,,,,0.25344644750795337,0.5217391304347826,0.5217391304347826,0.5217391304347826,0.65625,0.8095238095238095,0.6123724356957946,0.75,0.8571428571428571,0.6666666666666666,1189,398,42,64,20,0.5049999999999999,0.6123724356957946,True
BUD,Consumer Goods,BiLSTM,classification,5,,,,0.1962671679947149,0.20408163265306123,1.0,0.11363636363636363,0.390625,0.7380952380952381,0.4902903378454601,0.7027027027027027,0.6190476190476191,0.8125,1189,398,42,64,20,0.25499999999999995,0.4902903378454601,True
C,Financial,BiLSTM,classification,5,,,,0.20186484220860829,0.15789473684210525,1.0,0.08571428571428572,0.5,0.7619047619047619,0.39001443877898934,0.4444444444444444,0.8,0.3076923076923077,1189,398,42,64,20,0.38499999999999995,0.39001443877898934,True
CAT,Industrial Goods,BiLSTM,classification,5,,,,0.28597530319931225,0.46808510638297873,0.7857142857142857,0.3333333333333333,0.609375,0.7142857142857143,0.4457893447634325,0.45454545454545453,1.0,0.29411764705882354,1189,398,42,64,20,0.42999999999999994,0.4457893447634325,True
CELG,Healthcare,BiLSTM,classification,5,,,,0.07495746605704415,0.6329113924050633,0.5555555555555556,0.7352941176470589,0.546875,0.8571428571428571,0.7293884943962139,0.85,0.7727272727272727,0.9444444444444444,1189,398,42,64,20,0.13,0.7293884943962139,True
CHL,Technology,BiLSTM,classification,5,,,,0.0,0.47619047619047616,0.3125,1.0,0.3125,0.6904761904761905,0.515876954571596,0.7346938775510204,0.5806451612903226,1.0,1189,398,42,64,20,0.05,0.515876954571596,True
CHTR,Services,BiLSTM,classification,5,,,,0.3799802978286742,0.7058823529411765,0.5454545454545454,1.0,0.609375,0.7380952380952381,0.4647058823529412,0.8135593220338984,0.7058823529411765,0.96,1189,398,42,64,20,0.25499999999999995,0.4647058823529412,True
CMCSA,Services,BiLSTM,classification,5,,,,0.4248710287154289,0.6666666666666666,0.6923076923076923,0.6428571428571429,0.71875,0.8571428571428571,0.7156264473321343,0.8695652173913043,0.9090909090909091,0.8333333333333334,1189,398,42,64,20,0.5049999999999999,0.7156264473321343,True
CODI,Conglomerates,BiLSTM,classification,5,,,,0.16976428667549412,0.5714285714285714,0.4444444444444444,0.8,0.53125,0.7380952380952381,0.4248113658951804,0.5925925925925926,0.7272727272727273,0.5,1189,398,42,64,20,0.36499999999999994,0.4248113658951804,True
CSCO,Technology,BiLSTM,classification,5,,,,0.2549085439987685,0.6842105263157895,0.6046511627906976,0.7878787878787878,0.625,0.5714285714285714,0.2773500981126146,0.7,0.5384615384615384,1.0,1189,398,42,64,20,0.05,0.2773500981126146,True
CVX,Basic Matierials,BiLSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.5,0.5714285714285714,0.1589409883014377,0.5263157894736842,0.625,0.45454545454545453,1189,398,42,64,20,0.5049999999999999,0.1589409883014377,True
D,Utilities,BiLSTM,classification,5,,,,0.1796053020267749,0.6808510638297872,0.5161290322580645,1.0,0.53125,0.6904761904761905,0.42447635997800887,0.7868852459016393,0.6486486486486487,1.0,1189,398,42,64,20,0.05,0.42447635997800887,True
DHR,Industrial Goods,BiLSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.515625,0.6904761904761905,0.39344473768231686,0.38095238095238093,1.0,0.23529411764705882,1189,398,42,64,20,0.5049999999999999,0.39344473768231686,True
DIS,Services,BiLSTM,classification,5,,,,-0.2748737083745107,0.0,0.0,0.0,0.40625,0.6904761904761905,0.47576082676004205,0.723404255319149,0.5862068965517241,0.9444444444444444,1189,398,42,64,20,0.11499999999999999,0.47576082676004205,True
DUK,Utilities,BiLSTM,classification,5,,,,0.4383570037596047,0.7272727272727273,0.7058823529411765,0.75,0.71875,0.6904761904761905,0.521536192416212,0.6486486486486487,1.0,0.48,1189,398,42,64,20,0.6699999999999999,0.521536192416212,True
EXC,Utilities,BiLSTM,classification,5,,,,-0.045322786711889926,0.5277777777777778,0.4523809523809524,0.6333333333333333,0.46875,0.7142857142857143,0.4635235823621443,0.6470588235294118,0.8461538461538461,0.5238095238095238,1189,398,42,64,20,0.4549999999999999,0.4635235823621443,True
FB,Technology,BiLSTM,classification,5,,,,-0.052908467726826995,0.6590909090909091,0.58,0.7631578947368421,0.53125,0.6904761904761905,0.42447635997800887,0.7868852459016393,0.6486486486486487,1.0,1189,398,42,64,20,0.05,0.42447635997800887,True
GD,Industrial Goods,BiLSTM,classification,5,,,,0.10421364855284106,0.5842696629213483,0.4126984126984127,1.0,0.421875,0.5238095238095238,0.2809757434745082,0.6428571428571429,0.47368421052631576,1.0,1189,398,42,64,20,0.05,0.2809757434745082,True
GE,Industrial Goods,BiLSTM,classification,5,,,,0.1495148637622428,0.1276595744680851,1.0,0.06818181818181818,0.359375,0.7619047619047619,0.5205661023060123,0.8,0.7407407407407407,0.8695652173913043,1189,398,42,64,20,0.21499999999999997,0.5205661023060123,True
GOOG,Technology,BiLSTM,classification,5,,,,0.16050272309770905,0.13333333333333333,1.0,0.07142857142857142,0.390625,0.7142857142857143,0.47777984732195655,0.6842105263157895,0.8666666666666667,0.5652173913043478,1189,398,42,64,20,0.5049999999999999,0.47777984732195655,True
HD,Services,BiLSTM,classification,5,,,,0.3227486121839514,0.6944444444444444,0.78125,0.625,0.65625,0.6190476190476191,0.22483611672556375,0.7142857142857143,0.6060606060606061,0.8695652173913043,1189,398,42,64,20,0.33499999999999996,0.22483611672556375,True
HON,Industrial Goods,BiLSTM,classification,5,,,,0.1567788077186591,0.20512820512820512,0.8,0.11764705882352941,0.515625,0.7619047619047619,0.5730698830937557,0.7222222222222222,0.9285714285714286,0.5909090909090909,1189,398,42,64,20,0.38999999999999996,0.5730698830937557,True
HRG,Conglomerates,BiLSTM,classification,5,,,,0.27967281717839076,0.6666666666666666,0.6388888888888888,0.696969696969697,0.640625,0.5,0.30429030972509225,0.5882352941176471,0.4166666666666667,1.0,1189,398,42,64,20,0.24,0.6285393610547089,True
HSBC,Financial,BiLSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.515625,0.8095238095238095,0.5490494526500336,0.5555555555555556,1.0,0.38461538461538464,1189,398,42,64,20,0.4049999999999999,0.5490494526500336,True
IEP,Conglomerates,BiLSTM,classification,5,,,,-0.01698823971458752,0.34782608695652173,0.3333333333333333,0.36363636363636365,0.53125,0.8333333333333334,0.7106690545187014,0.8108108108108109,0.6818181818181818,1.0,1189,398,42,64,20,0.05,0.7106690545187014,True
INTC,Technology,BiLSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.453125,0.7619047619047619,0.6146362971528592,0.75,1.0,0.6,1189,398,42,64,20,0.5049999999999999,0.6146362971528592,True
JNJ,Healthcare,BiLSTM,classification,5,,,,0.12998877418150556,0.09090909090909091,1.0,0.047619047619047616,0.375,0.7619047619047619,0.5465936063340355,0.6666666666666666,0.9090909090909091,0.5263157894736842,1189,398,42,64,20,0.5049999999999999,0.5465936063340355,True
JPM,Financial,BiLSTM,classification,5,,,,-0.06139519831013639,0.13636363636363635,0.5,0.07894736842105263,0.40625,0.7380952380952381,0.4385290096535146,0.5217391304347826,0.8571428571428571,0.375,1189,398,42,64,20,0.5049999999999999,0.4385290096535146,True
KO,Consumer Goods,BiLSTM,classification,5,,,,0.1755955280025067,0.23809523809523808,0.8333333333333334,0.1388888888888889,0.5,0.7142857142857143,0.5477225575051661,0.75,0.6,1.0,1189,398,42,64,20,0.05,0.5477225575051661,True
LMT,Industrial Goods,BiLSTM,classification,5,,,,0.41468982985663266,0.7073170731707317,0.5471698113207547,1.0,0.625,0.6190476190476191,0.3402785236893603,0.7333333333333333,0.5789473684210527,1.0,1189,398,42,64,20,0.05,0.3402785236893603,True
