company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,GRU,classification,5,,,,-0.14518704881564082,0.18604651162790697,0.3333333333333333,0.12903225806451613,0.453125,0.6904761904761905,0.40789986277743745,0.5806451612903226,0.8181818181818182,0.45,1189,398,42,64,12,0.5049999999999999,0.40789986277743745,True
ABB,Industrial Goods,GRU,classification,5,,,,0.11399931221074287,0.3157894736842105,0.5454545454545454,0.2222222222222222,0.59375,0.7857142857142857,0.5198752449100363,0.5263157894736842,1.0,0.35714285714285715,1189,398,42,64,11,0.5049999999999999,0.5198752449100363,True
ABBV,Healthcare,GRU,classification,5,,,,0.1467418177209373,0.5915492957746479,0.4883720930232558,0.75,0.546875,0.8333333333333334,0.544656513504933,0.5333333333333333,1.0,0.36363636363636365,1108,398,42,64,12,0.44499999999999995,0.544656513504933,True
AEP,Utilities,GRU,classification,5,,,,-0.09535908376272667,0.0975609756097561,0.4,0.05555555555555555,0.421875,0.6190476190476191,0.38760854559127644,0.5789473684210527,0.9166666666666666,0.4230769230769231,1189,398,42,64,11,0.58,0.38760854559127644,True
AGFS,Conglomerates,GRU,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.7380952380952381,0.5847053462046862,0.7317073170731707,0.5769230769230769,1.0,632,110,42,64,11,0.05,0.5847053462046862,True
AMGN,Healthcare,GRU,classification,5,,,,0.3597023714857364,0.6451612903225806,0.8,0.5405405405405406,0.65625,0.8571428571428571,0.7144345083117603,0.8125,0.7222222222222222,0.9285714285714286,1189,398,42,64,26,0.33499999999999996,0.7144345083117603,True
AMZN,Services,GRU,classification,5,,,,0.2087926435000765,0.42105263157894735,0.8571428571428571,0.27906976744186046,0.484375,0.7142857142857143,0.4135850959342555,0.8125,0.6842105263157895,1.0,1189,398,42,64,11,0.05,0.4135850959342555,True
BA,Industrial Goods,GRU,classification,5,,,,0.0,0.0,0.0,0.0,0.53125,0.47619047619047616,0.22870874995874624,0.21428571428571427,1.0,0.12,1189,398,42,64,11,0.565,0.22870874995874624,True
BABA,Services,GRU,classification,5,,,,0.02740326026847311,0.38596491228070173,0.6470588235294118,0.275,0.453125,0.7142857142857143,0.2332573806517552,0.14285714285714285,1.0,0.07692307692307693,676,154,42,64,11,0.31499999999999995,0.2332573806517552,True
BAC,Financial,GRU,classification,5,,,,-0.1061220450937076,0.13636363636363635,0.42857142857142855,0.08108108108108109,0.40625,0.7142857142857143,0.408248290463863,0.625,0.5555555555555556,0.7142857142857143,1189,398,42,64,11,0.30499999999999994,0.408248290463863,True
BBL,Basic Matierials,GRU,classification,5,,,,0.19210545285208808,0.46153846153846156,0.34285714285714286,0.7058823529411765,0.5625,0.7619047619047619,0.4971505638153174,0.6666666666666666,0.7692307692307693,0.5882352941176471,1189,398,42,64,15,0.35999999999999993,0.4971505638153174,True
BCH,Financial,GRU,classification,5,,,,0.3161856107455693,0.5660377358490566,0.45454545454545453,0.75,0.640625,0.7619047619047619,0.5282450493547782,0.7916666666666666,0.7307692307692307,0.8636363636363636,1189,398,42,64,11,0.4049999999999999,0.5282450493547782,True
BHP,Basic Matierials,GRU,classification,5,,,,0.06284697584427718,0.4067796610169492,0.2857142857142857,0.7058823529411765,0.453125,0.8333333333333334,0.6333333333333333,0.72,0.9,0.6,1189,398,42,64,11,0.29,0.6333333333333333,True
