company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,classification,20,5,1,0.6930699582075953,1.0106323616845267,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,2,0.6748985851829375,0.9188046199934823,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,3,0.6792757331426419,1.40840326604389,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,4,0.646513427921276,1.3179348877498083,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,5,0.6438130928044343,1.1932335524331956,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,6,0.6387932051965339,0.7615783328101748,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,7,0.6394603357243178,1.0094411770502727,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,8,0.6240817904472351,2.2569998105367026,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,9,0.6074149482813312,0.9269798908914838,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,10,0.6305237747916025,0.8529819988069081,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,11,0.6075210325681983,1.4053815716788882,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,12,0.5839468171848125,1.067474433353969,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,13,0.584720153005878,1.7997995444706507,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,14,0.556666267876649,1.1008956886473156,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,15,0.5847941825737306,2.157317218326387,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,16,0.6104650003227157,1.6970017296927316,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,17,0.5765135644668311,2.302455391202654,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,18,0.5634406134111798,1.0138969761984689,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,19,0.5185294705419684,1.8327077343350364,398,42,64
AAPL,Consumer Goods,LSTM,classification,20,5,20,0.5377788411912008,1.4592318023954118,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,1,0.6837651735574157,0.8403175643512181,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,2,0.6654460145600477,1.7244180327370053,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,3,0.6376513563208843,1.2344803866885958,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,4,0.6699351626424933,1.3890386564391,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,5,0.6155042293383248,1.913587252298991,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,6,0.6334448838653277,0.8710170388221741,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,7,0.6040283272314311,1.1706069310506184,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,8,0.5860657444850883,1.8066590627034504,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,9,0.5345582568166244,3.1223927906581332,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,10,0.5351537156045137,2.277504813103449,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,11,0.5450335854112204,2.0150680598758517,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,12,0.5283021293393332,6.16348477772304,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,13,0.5245163899720015,2.2595149846304032,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,14,0.5183409127458256,3.8455751282828197,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,15,0.49076448380947113,2.6258849643525624,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,16,0.45779446785773464,3.3637127649216425,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,17,0.42259727395958635,3.375705185390654,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,18,0.4217287411342314,5.456852163587298,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,19,0.4246883083827532,5.185957079841977,398,42,64
ABB,Industrial Goods,LSTM,classification,20,5,20,0.4241063751692149,3.990121614365351,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,1,0.699852344678275,0.9194511487370446,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,2,0.681433318547867,0.795028805732727,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,3,0.6951127630382327,1.071133329754784,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,4,0.672307867800171,2.0750404539562406,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,5,0.6837984173741173,1.4262843756448655,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,6,0.6532513199739121,1.7636176063900901,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,7,0.6539080295730476,4.102754206884475,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,8,0.656341791452475,1.5517373993283226,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,9,0.6561131704991786,1.6463630653563,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,10,0.6214857080473972,2.65459022067842,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,11,0.6412545184993265,2.0225170907520114,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,12,0.628477135195804,1.535970824105399,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,13,0.5976424972016607,2.1353816191355386,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,14,0.6019022878090939,2.1245857761019753,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,15,0.5911074095035918,2.766193458012172,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,16,0.5506308412731592,2.005721546354748,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,17,0.5778610086321232,3.1250255675542924,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,18,0.6137644609614233,2.0764301277342296,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,19,0.5711398319383363,2.13616597084772,398,42,64
ABBV,Healthcare,LSTM,classification,20,5,20,0.554615904038875,2.452512945447649,398,42,64
AEP,Utilities,LSTM,classification,20,5,1,0.7157744121311898,0.630867288226173,398,42,64
AEP,Utilities,LSTM,classification,20,5,2,0.6967885125821559,0.6241479232197716,398,42,64
AEP,Utilities,LSTM,classification,20,5,3,0.665057256593177,0.684144934018453,398,42,64
AEP,Utilities,LSTM,classification,20,5,4,0.6510866763603748,0.5280236176082066,398,42,64
AEP,Utilities,LSTM,classification,20,5,5,0.6451908245158555,0.5529016086033413,398,42,64
AEP,Utilities,LSTM,classification,20,5,6,0.63005849883784,0.7699325964564369,398,42,64
AEP,Utilities,LSTM,classification,20,5,7,0.6536021672900597,0.6374890052136921,398,42,64
AEP,Utilities,LSTM,classification,20,5,8,0.6557442099604774,0.6578727194241115,398,42,64
AEP,Utilities,LSTM,classification,20,5,9,0.6573040248760625,0.6602870708420163,398,42,64
AEP,Utilities,LSTM,classification,20,5,10,0.6393080578377498,0.7268834568205333,398,42,64
AEP,Utilities,LSTM,classification,20,5,11,0.6320284946479989,0.9077500388735816,398,42,64
AEP,Utilities,LSTM,classification,20,5,12,0.5988792568894487,0.891870087101346,398,42,64
AEP,Utilities,LSTM,classification,20,5,13,0.5896088498920652,0.7367753074282691,398,42,64
AEP,Utilities,LSTM,classification,20,5,14,0.6031146525737628,0.9403203839347476,398,42,64
