company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric,isotonic_used
AAPL,Consumer Goods,LSTM,classification,5,,,,0.057616044624748175,0.25,0.5555555555555556,0.16129032258064516,0.53125,0.7142857142857143,0.4300756154038903,0.6666666666666666,0.75,0.6,1184,398,42,64,20,0.5049999999999999,0.4300756154038903,True
ABB,Industrial Goods,LSTM,classification,5,,,,0.1474852895742471,0.07142857142857142,1.0,0.037037037037037035,0.59375,0.8095238095238095,0.5773502691896257,0.6,1.0,0.42857142857142855,1184,398,42,64,20,0.25499999999999995,0.5773502691896257,True
ABBV,Healthcare,LSTM,classification,5,,,,0.2277100170213244,0.5384615384615384,0.5833333333333334,0.5,0.625,0.7857142857142857,0.4977957276938643,0.64,0.5714285714285714,0.7272727272727273,1103,398,42,64,20,0.13,0.4977957276938643,True
AEP,Utilities,LSTM,classification,5,,,,0.46103133651808054,0.7901234567901234,0.7111111111111111,0.8888888888888888,0.734375,0.9047619047619048,0.806225774829855,0.9285714285714286,0.8666666666666667,1.0,1184,398,42,64,20,0.05,0.806225774829855,True
AGFS,Conglomerates,LSTM,classification,5,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,0.6428571428571429,0.4714045207910317,0.6666666666666666,0.5,1.0,627,105,42,64,20,0.05,0.4714045207910317,True
AMGN,Healthcare,LSTM,classification,5,,,,0.330845379315203,0.7123287671232876,0.7222222222222222,0.7027027027027027,0.671875,0.6428571428571429,0.4216370213557839,0.6341463414634146,0.48148148148148145,0.9285714285714286,1184,398,42,64,20,0.25499999999999995,0.4216370213557839,True
AMZN,Services,LSTM,classification,5,,,,0.33571007169302497,0.43636363636363634,1.0,0.27906976744186046,0.515625,0.7380952380952381,0.42927103050293913,0.8,0.7586206896551724,0.8461538461538461,1184,398,42,64,20,0.5049999999999999,0.42927103050293913,True
BA,Industrial Goods,LSTM,classification,5,,,,0.21489596171766712,0.46808510638297873,0.6470588235294118,0.36666666666666664,0.609375,0.7857142857142857,0.5919965312804868,0.8,0.9,0.72,1184,398,42,64,20,0.5049999999999999,0.5919965312804868,True
BABA,Services,LSTM,classification,5,,,,0.17177950029416045,0.13953488372093023,1.0,0.075,0.421875,0.6666666666666666,0.4471856830298584,0.631578947368421,0.48,0.9230769230769231,671,149,42,64,20,0.08499999999999999,0.4471856830298584,True
BAC,Financial,LSTM,classification,5,,,,0.1793740008335438,0.5846153846153846,0.6785714285714286,0.5135135135135135,0.578125,0.5952380952380952,0.421211769587116,0.6222222222222222,0.45161290322580644,1.0,1184,398,42,64,20,0.05,0.421211769587116,True
BBL,Basic Matierials,LSTM,classification,5,,,,-0.21570961244449152,0.06666666666666667,0.07692307692307693,0.058823529411764705,0.5625,0.7380952380952381,0.49507377148833714,0.5217391304347826,1.0,0.35294117647058826,1184,398,42,64,20,0.5049999999999999,0.49507377148833714,True
BCH,Financial,LSTM,classification,5,,,,0.21779554142294633,0.5205479452054794,0.3584905660377358,0.95,0.453125,0.7857142857142857,0.6247580176717713,0.8301886792452831,0.7096774193548387,1.0,1184,398,42,64,20,0.05,0.6247580176717713,True
BHP,Basic Matierials,LSTM,classification,5,,,,0.28135863029014146,0.5098039215686274,0.38235294117647056,0.7647058823529411,0.609375,0.7857142857142857,0.5594309277855157,0.7272727272727273,0.6666666666666666,0.8,1184,398,42,64,20,0.33499999999999996,0.5594309277855157,True
BP,Basic Matierials,LSTM,classification,5,,,,0.15975414125661688,0.46808510638297873,0.4583333333333333,0.4782608695652174,0.609375,0.8571428571428571,0.7276068751089989,0.8421052631578947,0.7619047619047619,0.9411764705882353,1184,398,42,64,20,0.16999999999999998,0.7276068751089989,True
BRK-A,Financial,LSTM,classification,5,,,,0.06702466256013999,0.6521739130434783,0.4918032786885246,0.967741935483871,0.5,0.6428571428571429,0.4714045207910317,0.6666666666666666,0.5,1.0,1184,398,42,64,20,0.05,0.4714045207910317,True
BSAC,Financial,LSTM,classification,5,,,,0.3323218506999783,0.6101694915254238,0.5,0.782608695652174,0.640625,0.7380952380952381,0.5181036310903636,0.7441860465116279,0.64,0.8888888888888888,1184,398,42,64,20,0.22499999999999998,0.5181036310903636,True
BUD,Consumer Goods,LSTM,classification,5,,,,0.0,0.0,0.0,0.0,0.3125,0.7142857142857143,0.3721042037676254,0.5714285714285714,0.6666666666666666,0.5,1184,398,42,64,20,0.38499999999999995,0.3721042037676254,True
