company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,1,0.14028566381507557,0.171875,-0.0036070519126951694,,,,-0.009523809523809525,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.53125,1203,398,42,64,20,"[[0, 2, 4, 1, 0, 0], [3, 3, 8, 4, 1, 0], [1, 3, 4, 1, 0, 1], [1, 1, 3, 3, 0, 0], [1, 7, 4, 1, 1, 1], [1, 2, 2, 0, 0, 0]]","[[0.0, 0.2857142857142857, 0.5714285714285714, 0.14285714285714285, 0.0, 0.0], [0.15789473684210525, 0.15789473684210525, 0.42105263157894735, 0.21052631578947367, 0.05263157894736842, 0.0], [0.1, 0.3, 0.4, 0.1, 0.0, 0.1], [0.125, 0.125, 0.375, 0.375, 0.0, 0.0], [0.06666666666666667, 0.4666666666666667, 0.26666666666666666, 0.06666666666666667, 0.06666666666666667, 0.06666666666666667], [0.2, 0.4, 0.4, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABB,Industrial Goods,BiLSTM,multiclass,1,0.09805330937406409,0.171875,-0.00526950228959322,,,,0.28365431446558775,0.2857142857142857,1.0,0.16666666666666666,0.53125,1203,398,42,64,20,"[[0, 0, 3, 0, 0, 0], [0, 4, 15, 0, 0, 0], [0, 0, 6, 0, 0, 0], [0, 5, 9, 1, 0, 0], [0, 2, 12, 5, 0, 0], [0, 0, 2, 0, 0, 0]]","[[0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.21052631578947367, 0.7894736842105263, 0.0, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.0, 0.3333333333333333, 0.6, 0.06666666666666667, 0.0, 0.0], [0.0, 0.10526315789473684, 0.631578947368421, 0.2631578947368421, 0.0, 0.0], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABBV,Healthcare,BiLSTM,multiclass,1,0.09181286549707601,0.203125,0.01637423038482666,,,,0.1341246360271594,0.7010309278350515,0.5396825396825397,1.0,0.546875,1122,398,42,64,20,"[[0, 0, 1, 2, 1, 7], [0, 0, 0, 0, 4, 11], [0, 0, 0, 0, 2, 2], [0, 0, 0, 0, 1, 4], [0, 0, 0, 3, 3, 13], [0, 0, 0, 0, 0, 10]]","[[0.0, 0.0, 0.09090909090909091, 0.18181818181818182, 0.09090909090909091, 0.6363636363636364], [0.0, 0.0, 0.0, 0.0, 0.26666666666666666, 0.7333333333333333], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.0, 0.2, 0.8], [0.0, 0.0, 0.0, 0.15789473684210525, 0.15789473684210525, 0.6842105263157895], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AEP,Utilities,BiLSTM,multiclass,1,0.16452991452991453,0.25,-0.005277166608721018,,,,0.1572471042478079,0.41509433962264153,0.7333333333333333,0.2894736842105263,0.515625,1203,398,42,64,20,"[[0, 3, 1, 1, 0, 0], [0, 8, 2, 0, 0, 0], [0, 3, 5, 3, 0, 0], [0, 9, 3, 2, 1, 0], [0, 9, 4, 3, 1, 2], [0, 0, 2, 2, 0, 0]]","[[0.0, 0.6, 0.2, 0.2, 0.0, 0.0], [0.0, 0.8, 0.2, 0.0, 0.0, 0.0], [0.0, 0.2727272727272727, 0.45454545454545453, 0.2727272727272727, 0.0, 0.0], [0.0, 0.6, 0.2, 0.13333333333333333, 0.06666666666666667, 0.0], [0.0, 0.47368421052631576, 0.21052631578947367, 0.15789473684210525, 0.05263157894736842, 0.10526315789473684], [0.0, 0.0, 0.5, 0.5, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AGFS,Conglomerates,BiLSTM,multiclass,1,0.11469534050179213,0.234375,0.0318940207362175,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,646,120,42,64,20,"[[0, 0, 0, 1, 4, 10], [0, 0, 0, 0, 1, 11], [0, 0, 0, 0, 3, 9], [0, 0, 0, 0, 0, 2], [0, 0, 0, 0, 4, 7], [0, 0, 0, 0, 1, 11]]","[[0.0, 0.0, 0.0, 0.06666666666666667, 0.26666666666666666, 0.6666666666666666], [0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.9166666666666666], [0.0, 0.0, 0.0, 0.0, 0.25, 0.75], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.36363636363636365, 0.6363636363636364], [0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.9166666666666666]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMGN,Healthcare,BiLSTM,multiclass,1,0.14422179128061483,0.171875,-0.006845624186098576,,,,0.0849411985729376,0.26666666666666666,0.6666666666666666,0.16666666666666666,0.484375,1203,398,42,64,20,"[[3, 1, 1, 0, 1, 0], [9, 5, 1, 0, 0, 1], [3, 1, 1, 0, 0, 1], [4, 3, 2, 0, 0, 0], [11, 2, 0, 1, 0, 3], [3, 2, 3, 0, 0, 2]]","[[0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0], [0.5625, 0.3125, 0.0625, 0.0, 0.0, 0.0625], [0.5, 0.16666666666666666, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666], [0.4444444444444444, 0.3333333333333333, 0.2222222222222222, 0.0, 0.0, 0.0], [0.6470588235294118, 0.11764705882352941, 0.0, 0.058823529411764705, 0.0, 0.17647058823529413], [0.3, 0.2, 0.3, 0.0, 0.0, 0.2]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMZN,Services,BiLSTM,multiclass,1,0.14366476716537915,0.1875,0.012743051163852215,,,,-0.13314386189201055,0.5952380952380952,0.5102040816326531,0.7142857142857143,0.46875,1203,398,42,64,20,"[[0, 1, 0, 0, 1, 2], [0, 1, 1, 3, 2, 8], [0, 0, 2, 1, 2, 5], [0, 0, 1, 1, 1, 3], [0, 2, 4, 2, 2, 7], [0, 0, 3, 2, 1, 6]]","[[0.0, 0.25, 0.0, 0.0, 0.25, 0.5], [0.0, 0.06666666666666667, 0.06666666666666667, 0.2, 0.13333333333333333, 0.5333333333333333], [0.0, 0.0, 0.2, 0.1, 0.2, 0.5], [0.0, 0.0, 0.16666666666666666, 0.16666666666666666, 0.16666666666666666, 0.5], [0.0, 0.11764705882352941, 0.23529411764705882, 0.11764705882352941, 0.11764705882352941, 0.4117647058823529], [0.0, 0.0, 0.25, 0.16666666666666666, 0.08333333333333333, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BA,Industrial Goods,BiLSTM,multiclass,1,0.12727591036414565,0.171875,-0.001485201995819807,,,,0.22384904574224135,0.5517241379310345,0.6956521739130435,0.45714285714285713,0.59375,1203,398,42,64,20,"[[0, 3, 1, 0, 0, 0], [0, 3, 7, 1, 3, 0], [4, 3, 1, 1, 2, 0], [3, 1, 3, 1, 1, 1], [2, 3, 4, 3, 6, 3], [1, 1, 1, 0, 1, 0]]","[[0.0, 0.75, 0.25, 0.0, 0.0, 0.0], [0.0, 0.21428571428571427, 0.5, 0.07142857142857142, 0.21428571428571427, 0.0], [0.36363636363636365, 0.2727272727272727, 0.09090909090909091, 0.09090909090909091, 0.18181818181818182, 0.0], [0.3, 0.1, 0.3, 0.1, 0.1, 0.1], [0.09523809523809523, 0.14285714285714285, 0.19047619047619047, 0.14285714285714285, 0.2857142857142857, 0.14285714285714285], [0.25, 0.25, 0.25, 0.0, 0.25, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BABA,Services,BiLSTM,multiclass,1,0.11515307877536979,0.171875,-0.0068262298591434956,,,,0.30539344750876174,0.4444444444444444,0.8333333333333334,0.30303030303030304,0.609375,690,164,42,64,20,"[[0, 6, 1, 0, 0, 0], [4, 8, 2, 1, 0, 0], [0, 7, 1, 1, 0, 0], [0, 2, 1, 1, 0, 0], [2, 5, 3, 1, 0, 1], [0, 8, 2, 4, 2, 1]]","[[0.0, 0.8571428571428571, 0.14285714285714285, 0.0, 0.0, 0.0], [0.26666666666666666, 0.5333333333333333, 0.13333333333333333, 0.06666666666666667, 0.0, 0.0], [0.0, 0.7777777777777778, 0.1111111111111111, 0.1111111111111111, 0.0, 0.0], [0.0, 0.5, 0.25, 0.25, 0.0, 0.0], [0.16666666666666666, 0.4166666666666667, 0.25, 0.08333333333333333, 0.0, 0.08333333333333333], [0.0, 0.47058823529411764, 0.11764705882352941, 0.23529411764705882, 0.11764705882352941, 0.058823529411764705]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BAC,Financial,BiLSTM,multiclass,1,0.15548172757475084,0.234375,-0.0001655110390856862,,,,0.22392739182633167,0.5384615384615384,0.56,0.5185185185185185,0.625,1203,398,42,64,20,"[[0, 3, 2, 0, 0, 0], [0, 9, 6, 2, 1, 2], [0, 3, 3, 0, 1, 5], [0, 2, 0, 0, 2, 1], [0, 4, 4, 3, 1, 1], [0, 2, 1, 2, 2, 2]]","[[0.0, 0.6, 0.4, 0.0, 0.0, 0.0], [0.0, 0.45, 0.3, 0.1, 0.05, 0.1], [0.0, 0.25, 0.25, 0.0, 0.08333333333333333, 0.4166666666666667], [0.0, 0.4, 0.0, 0.0, 0.4, 0.2], [0.0, 0.3076923076923077, 0.3076923076923077, 0.23076923076923078, 0.07692307692307693, 0.07692307692307693], [0.0, 0.2222222222222222, 0.1111111111111111, 0.2222222222222222, 0.2222222222222222, 0.2222222222222222]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
