company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,multiclass,5,1,1,1.758129971410761,3.211311862582252,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,2,1.3024131317234517,2.6301839039439248,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,3,1.1699052599806283,1.843237471012842,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,4,1.0967162194563516,1.5337788803236825,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,5,1.082171981358648,1.466838811125074,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,6,0.9796933951090329,1.5024307114737374,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,7,1.0035130098536984,1.5575492126601083,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,8,0.9213131907297738,1.5579264958699544,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,9,0.9528870196198699,1.341195134889512,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,10,0.9349953797294865,1.350344405287788,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,11,0.8426809709275788,1.4116401643980117,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,12,0.9558877321942967,1.2579128430003212,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,13,0.9422737798798624,1.2522735368637812,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,14,0.8578979606604457,1.2343471419243586,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,15,0.8896324227203676,1.2070428388459342,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,16,0.9231058351658098,1.2104685987745012,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,17,0.8663722023592523,1.1977247084890092,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,18,0.802189861709748,1.1252529195376806,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,19,0.8713746111297128,1.1177945562771388,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,20,0.8427479956018266,1.0842690070470173,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,21,0.8845358621235468,1.1373912805602664,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,22,0.7583450224231835,1.1063062690553211,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,23,0.8734169175576925,1.250458830878848,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,24,0.8522477921229511,1.2148452316011702,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,25,0.8484293607311633,1.0737301480202448,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,26,0.8095364907578607,1.1268238567170643,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,27,0.7568994372633834,1.0873731289591109,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,28,0.7567907465462709,1.0399138870693387,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,29,0.7904432335091596,1.0811293834731692,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,30,0.7997717870839277,1.2029087174506414,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,31,0.7741308263198814,1.1815504119509743,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,32,0.7503067792660028,1.1826984853971572,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,33,0.7625644156082192,1.1670221970194863,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,34,0.7432747634511497,1.1659979877017794,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,35,0.7327856135428251,1.2829860533986772,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,36,0.7637656855223766,1.1874628946894692,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,37,0.7660957508949778,1.2629211913971674,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,38,0.8385822844864735,1.410263790970757,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,39,0.7554972272122925,1.3274963781947182,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,40,0.7668180187143873,1.2938663363456726,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,41,0.7453843356676437,1.4380081920396715,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,42,0.7626046974155771,1.4349826375643413,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,43,0.7706793010534354,1.3475141042754764,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,44,0.7088816309694069,1.539859311921256,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,45,0.7542765037198762,1.5989087734903609,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,46,0.7478472609915326,1.5301151786531721,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,47,0.655075970157307,1.5213602781295776,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,5,1,48,0.7092799965161175,1.4930682948657445,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,1,2.0784221588067675,2.2177261199269975,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,2,1.6071264072878277,1.8150393962860107,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,3,1.4727121828189447,1.1781000267891657,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,4,1.1991874150295354,1.3465561696461268,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,5,1.2776292805096612,2.1291539328438893,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,6,1.2312722688344255,2.945816085452125,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,7,1.0854626699308654,2.8844885371980213,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,8,1.0393639272780875,2.776688325972784,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,9,1.1100266974175994,3.258448350997198,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,10,0.9583060355042693,2.8102768035162065,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,11,1.003264031218524,2.983515012831915,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,12,0.9618965330435403,2.857054278964088,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,13,1.0123045336661027,2.94923768724714,398,42,64
ABB,Industrial Goods,LSTM,multiclass,5,1,14,0.8797455504911029,3.0945645513988675,398,42,64
