company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,1,0.7301025606279996,0.6992450697081429,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,2,0.6055531729405849,0.7135997499738421,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,3,0.5312155649889654,1.4470478353046237,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,4,0.46365134350618525,1.5776226804369973,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,5,0.44882235020848377,2.6925024759201777,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,6,0.4685040412835739,2.223778350012643,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,7,0.40946744120300715,2.7123515605926514,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,8,0.3444350312403099,2.918028774715605,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,9,0.28390848494354803,3.8756320362999324,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,10,0.2500185224428848,4.464210510253906,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,11,0.2217294878546317,4.743324302491688,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,1,0.8893896437170518,0.8186931155976795,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,2,0.7187028236724623,0.9435996611913046,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,3,0.6224719455194234,1.373309578214373,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,4,0.5642347463111782,3.0897678307124545,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,5,0.6699211961360433,1.8805295456023443,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,6,0.5527532977524714,2.462819184575762,398,42,64
