company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,multiclass,10,1,1,0.8702267435327846,1.134366205760411,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,2,0.7176921250832141,1.251153724534171,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,3,0.6566512473863573,1.70264147293,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,4,0.6122817996159271,2.0828947197823298,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,5,0.5627237917789861,2.0107062686057318,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,6,0.5555849398799877,4.337854493232,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,7,0.5456849546288726,3.1322596413748607,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,8,0.5171904903859948,4.00265787045161,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,9,0.5363344743323686,4.1467302186148505,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,10,0.4925937282679668,2.8143312420163835,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,10,1,11,0.504431826235661,4.445989909626189,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,1,0.9978800412997528,0.9083626241911025,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,2,0.7676139135456564,1.3644975139981224,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,3,0.7056493699251107,1.9893713905697776,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,4,0.627350804494254,1.8378514108203707,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,5,0.6147432605824877,3.23400388445173,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,6,0.6017771953314393,1.8245326564425515,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,7,0.5467906519396222,2.151259331476121,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,8,0.49946044333017053,2.5099518639700755,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,9,0.4562458897655334,4.055997530619304,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,10,0.4724251121731859,2.736153000877017,398,42,64
ABB,Industrial Goods,LSTM,multiclass,10,1,11,0.4547908006600998,3.3524206025259837,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,1,0.7733816821970533,0.7792721674555824,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,2,0.7090284557797801,0.8449897851262774,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,3,0.660896115267097,1.042187213897705,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,4,0.6217469514614373,1.413571386110215,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,5,0.5953085250291393,2.0770986534300304,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,6,0.5660413931961634,1.1837470758528936,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,7,0.5660608451270578,1.8188711518333072,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,8,0.5584337497176837,2.050527742930821,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,9,0.521417316629659,1.6419324363980974,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,10,0.48091026002438225,2.947399582181658,398,42,64
ABBV,Healthcare,LSTM,multiclass,10,1,11,0.44997875819254163,2.1764951092856273,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,1,0.8546779628974109,0.7978697759764535,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,2,0.7752593036872059,0.759441648210798,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,3,0.7227313018324387,0.8495387718791053,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,4,0.6430596361807244,1.393402675787608,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,5,0.605018762487862,1.0383214297748746,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,6,0.5609935489132176,1.5743641143753415,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,7,0.5656001660692033,2.6139203906059265,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,8,0.5401296831255582,2.0077776199295405,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,9,0.5248361292795919,1.7912257115046184,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,10,0.5199455563446984,2.64751740864345,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,11,0.4831984404043936,2.340021386033013,398,42,64
AEP,Utilities,LSTM,multiclass,10,1,12,0.44502058849861875,2.5716496138345626,398,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,1,0.9695576818093009,1.1664959078743344,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,2,0.852092895300492,1.1263933579126995,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,3,0.7420161076214002,1.0554953927085513,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,4,0.6581103171991265,0.9851947682244437,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,5,0.61054305848868,0.9657460962023053,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,6,0.5402641143487847,1.0254332451593309,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,7,0.5076915069766667,1.268041622071039,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,8,0.4452881679586742,1.4614472843351818,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,9,0.4997678518295288,1.68219754809425,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,10,0.42729504821093184,1.6227252256302607,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,11,0.44920333915430566,1.5500580810365223,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,12,0.3944062021115552,1.6898117519560314,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,13,0.3551392447041429,1.682373149054391,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,14,0.37899943045947865,1.7326796736036028,115,42,64
AGFS,Conglomerates,LSTM,multiclass,10,1,15,0.3551770547809808,1.7368483202798026,115,42,64
AMGN,Healthcare,LSTM,multiclass,10,1,1,0.7954672646881947,0.8370170678411212,398,42,64
AMGN,Healthcare,LSTM,multiclass,10,1,2,0.7347489194055299,0.7749049152646746,398,42,64
AMGN,Healthcare,LSTM,multiclass,10,1,3,0.6946348640786942,0.875155006136213,398,42,64
