number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc,params_horizon_steps
58,0.1540726342181451,2026-03-05 05:45:55.723500,2026-03-05 06:48:40.116550,0 days 01:02:44.393050,32,4,0.1,0.0057712854052938,10,emotion,256,128,0.2179514158967477,0.4,0.0411488658985809,0.0011388368338287,0.4,5,20,GRU,6,1,corn,20,1.9208307515029135,0.3771890304461433,21,0.6610234570801489,0.2354137835391934,41,6.375198464981233e-07,0.53125,0.1327614739250702,0.1540726342181451,0.2122844827586207,COMPLETE,0.1327614739250702,0.2122844827586207,0.53125,0.1540726342181451,5
55,0.1497562223365479,2026-03-05 02:42:26.531449,2026-03-05 03:42:52.843912,0 days 01:00:26.312463,32,4,0.0,0.0064833230516696,10,emotion,256,128,0.5012099821171223,0.3,0.0512597587352988,0.002077506565795,0.4,5,20,BiLSTM,6,1,corn,20,1.7922363970690225,0.3375052232955013,21,0.6656543943193787,0.3042013180592915,41,1.87760378771384e-06,0.5294540229885057,0.1315263472980312,0.1497562223365479,0.2194683908045977,COMPLETE,0.1315263472980312,0.2194683908045977,0.5294540229885057,0.1497562223365479,5
88,0.149543449022198,2026-03-06 01:51:11.272522,2026-03-06 02:50:59.780279,0 days 00:59:48.507757,32,4,0.0,0.003553060481243,10,sentiment,256,64,0.7009839673580294,0.4,0.0368251658075273,0.0011771364469221,0.4,10,20,GRU,6,1,corn,20,1.9147446028695747,0.224881372054984,21,0.7557794186742697,0.230543931921508,41,6.539125968858175e-07,0.5289152298850575,0.1278365827076236,0.149543449022198,0.2209051724137931,COMPLETE,0.1278365827076236,0.2209051724137931,0.5289152298850575,0.149543449022198,5
92,0.1476174999876749,2026-03-06 04:27:18.469052,2026-03-06 04:59:43.708181,0 days 00:32:25.239129,32,2,0.1,0.0004845118291931,10,sentiment,256,64,1.056994540414614,0.3,0.0355498577144492,0.0011981337372954,0.8,10,50,LSTM,6,2,corn,15,2.325006552688543,0.4898922521660125,21,0.8139345986650125,0.3088604395929514,41,6.9786288641039285e-06,0.5308908045977011,0.1215973816184795,0.1476174999876749,0.2058189655172413,COMPLETE,0.1215973816184795,0.2058189655172413,0.5308908045977011,0.1476174999876749,5
25,0.1428042630290209,2026-03-04 10:11:02.114054,2026-03-04 10:45:22.136571,0 days 00:34:20.022517,16,4,0.1,0.0059392605063963,10,unified_emotion,128,128,0.4356410206638736,0.1,0.0799532884660309,0.0022481142767008,0.8,5,20,GRU,6,1,coral,20,1.6402964050033126,0.4426559237912592,21,0.6605197890610075,0.2966108446183907,21,1.9962706208195518e-07,0.5294540229885057,0.1208772331668821,0.1428042630290209,0.2070761494252873,COMPLETE,0.1208772331668821,0.2070761494252873,0.5294540229885057,0.1428042630290209,5
91,0.1416932596478077,2026-03-06 03:55:13.288527,2026-03-06 04:27:18.468259,0 days 00:32:05.179732,32,2,0.0,0.0020040010112046,10,sentiment,256,64,1.0846652487172803,0.3,0.0315096959563316,0.000264144309099,0.4,10,50,LSTM,6,1,corn,20,1.567329512290273,0.3310487763677209,21,0.8507298781327763,0.1762748284379313,41,4.723184172999117e-07,0.5404094827586207,0.1229576124307886,0.1416932596478077,0.2092313218390804,COMPLETE,0.1229576124307886,0.2092313218390804,0.5404094827586207,0.1416932596478077,5
89,0.1411470148389624,2026-03-06 02:50:59.781214,2026-03-06 03:23:13.270156,0 days 00:32:13.488942,32,2,0.1,0.0012517103646618,10,sentiment,256,64,1.0987578295252949,0.4,0.0221564866285472,0.0036782472047714,0.4,10,50,LSTM,6,1,corn,20,1.356664421910795,0.2660109467864768,21,0.7830132880028182,0.2301455433948528,41,8.586695409809624e-07,0.5317887931034483,0.1312081158973094,0.1411470148389624,0.2227011494252873,COMPLETE,0.1312081158973094,0.2227011494252873,0.5317887931034483,0.1411470148389624,5
87,0.140790206756035,2026-03-06 01:04:43.157652,2026-03-06 01:51:11.271530,0 days 00:46:28.113878,32,4,0.0,0.0011551693759898,10,sentiment,128,128,0.3772918595571342,0.1,0.0443724113803447,0.002308218568922,0.8,7,20,BiLSTM,6,1,coral,20,3.1692612399007385,0.2761208168140153,21,0.7217025181174503,0.1451478168667246,31,1.7983963745665422e-06,0.5402298850574713,0.1325930102048198,0.140790206756035,0.2284482758620689,COMPLETE,0.1325930102048198,0.2284482758620689,0.5402298850574713,0.140790206756035,5
95,0.1385205476885574,2026-03-06 06:45:32.563253,2026-03-06 07:31:45.853016,0 days 00:46:13.289763,32,4,0.1,0.0021867782028751,10,sentiment,128,32,0.5361608699002685,0.1,0.0286289977363015,0.0014613128328327,0.8,7,20,BiLSTM,6,1,corn,15,2.936586538817679,0.3205444077888037,21,0.7351667706594995,0.1730032556959889,31,4.822555897787146e-07,0.5281968390804598,0.1232271734740229,0.1385205476885574,0.2158764367816092,COMPLETE,0.1232271734740229,0.2158764367816092,0.5281968390804598,0.1385205476885574,5
60,0.137707071676068,2026-03-05 07:36:36.085880,2026-03-05 08:01:38.648518,0 days 00:25:02.562638,32,2,0.8,0.006265841405985,10,sentiment,256,128,0.4752570538249752,0.0,0.0872773001281768,0.0057667728849964,0.4,5,50,LSTM,6,1,coral,20,2.0025088928256727,0.6532557424800486,15,0.6128477625375609,0.2912421507711579,41,4.373175375167421e-07,0.5330459770114943,0.1202123768886297,0.137707071676068,0.2016882183908045,COMPLETE,0.1202123768886297,0.2016882183908045,0.5330459770114943,0.137707071676068,5
