company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,multiclass,5,1,1,1.5195464150390434,2.4493808292207264,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,2,0.9494798644703237,1.3770248293876648,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,3,0.7537305900199929,1.295373919464293,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,4,0.6612772519264988,1.4818461963108607,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,5,0.6080296069533382,1.5106289017768133,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,6,0.567507818266375,1.6331618513379778,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,7,0.5278877717765731,1.5935787019275485,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,8,0.5002547324302807,1.5797927464757646,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,9,0.47448269101842566,1.8078265133358182,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,10,0.47377076220871817,1.5668490245228721,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,11,0.4787977755668774,1.7040697989009677,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,12,0.43592551507842003,1.5720695768083846,398,42,64
AAPL,Consumer Goods,BiGRU,multiclass,5,1,13,0.4105923024553749,1.599683526016417,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,1,1.6017680952896425,1.4196584536915733,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,2,1.0478665921556292,1.0734766267594837,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,3,0.8266478723018014,1.57293472971235,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,4,0.7193738970924263,1.7762962522960843,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,5,0.6625525934911852,1.6477275916508265,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,6,0.6179800126420792,1.4781196344466436,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,7,0.581332302123458,1.4946349007742745,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,8,0.5460478329478796,1.4377710138048445,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,9,0.5192582860364386,1.323745466413952,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,10,0.5083348379662288,1.966283639272054,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,11,0.5276420800829652,1.1462969666435605,398,42,64
ABB,Industrial Goods,BiGRU,multiclass,5,1,12,0.529774916681213,1.9296853428795224,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,1,1.6224443654918193,1.2567271221251715,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,2,1.0877557672447895,1.0163908004760742,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,3,0.8672543108163766,1.1948275963465373,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,4,0.7554289411060774,1.3234782559531075,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,5,0.6868960150522203,1.3983955383300781,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,6,0.6356892082559403,1.3123329480489094,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,7,0.5901664812960218,1.413310448328654,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,8,0.548181964075146,1.3130806400662376,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,9,0.5115307487135556,1.4721908909933907,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,10,0.4822372353855689,1.338028805596488,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,11,0.45752470936607476,1.4273250102996826,398,42,64
ABBV,Healthcare,BiGRU,multiclass,5,1,12,0.45003110687037806,1.5853201207660494,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,1,1.8247027912331586,1.911030732450031,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,2,1.3215233117491756,1.0430901362782432,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,3,1.0239283939701829,0.8689776687395006,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,4,0.8712773769345116,0.9199603199958801,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,5,0.7734057169463766,0.9169056756155831,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,6,0.7108151517321716,0.9137735820951915,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,7,0.6667203247247628,0.9227892387480963,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,8,0.6257717431190625,0.9705198662621635,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,9,0.5840835231332923,0.8922581502369472,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,10,0.5645136509708424,1.2124062379201253,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,11,0.5437656443322724,0.9305807749430338,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,12,0.5358663405006255,0.9823923536709377,398,42,64
AEP,Utilities,BiGRU,multiclass,5,1,13,0.49291429342936033,1.1558366077286857,398,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,1,2.1163754940032957,3.0291406313578286,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,2,1.7144161462783813,2.533718642734346,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,3,1.4263656854629516,2.082022258213588,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,4,1.2254449566205343,1.621518157777332,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,5,1.0041327794392905,1.3796856176285517,120,42,64
AGFS,Conglomerates,BiGRU,multiclass,5,1,6,0.8430308183034261,1.373878450620742,120,42,64
