company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,1,0.7292287772025295,0.724669337272644,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,2,0.7351952665415241,0.6978287100791931,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,3,0.6799311332367174,0.7399429678916931,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,4,0.6061728758428564,0.8614198565483093,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,5,0.5800705528139469,1.0781935453414917,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,6,0.5543311750469495,0.9869500994682312,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,7,0.5672922023576707,0.9318105578422546,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,8,0.502903322628395,1.2968685626983643,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,9,0.45386312235539883,1.2672191858291626,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,10,0.4971805309230958,1.1906150579452515,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,11,0.41686359032913667,1.1585744619369507,398,42,64
AAPL,Consumer Goods,BiLSTM,multiclass,20,5,12,0.3679757828838262,1.2259505987167358,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,1,0.8338403477141606,0.8164498209953308,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,2,0.904009302207573,0.7843233942985535,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,3,0.7540577680022273,0.8400365710258484,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,4,0.7066321685985105,0.8925737738609314,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,5,0.6860866179717845,1.2359023094177246,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,6,0.5926474449622571,1.5861791372299194,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,7,0.5736740817077196,1.8814268112182617,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,8,0.5046821709853321,2.3673107624053955,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,9,0.5367880375241515,1.671128511428833,398,42,64
ABB,Industrial Goods,BiLSTM,multiclass,20,5,10,0.47504374250095693,1.1660940647125244,398,42,64
