company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,GRU,multiclass,5,0.0457094204220641,0.0625,0.002643441781401634,,,,-0.00807265799494138,0.6373626373626373,0.48333333333333334,0.9354838709677419,0.484375,1189,398,42,64,21,"[[1, 0, 0, 11, 9, 2], [1, 0, 0, 2, 1, 3], [0, 0, 0, 2, 0, 1], [1, 0, 0, 1, 0, 3], [1, 0, 0, 5, 1, 5], [0, 0, 0, 9, 4, 1]]","[[0.043478260869565216, 0.0, 0.0, 0.4782608695652174, 0.391304347826087, 0.08695652173913043], [0.14285714285714285, 0.0, 0.0, 0.2857142857142857, 0.14285714285714285, 0.42857142857142855], [0.0, 0.0, 0.0, 0.6666666666666666, 0.0, 0.3333333333333333], [0.2, 0.0, 0.0, 0.2, 0.0, 0.6], [0.08333333333333333, 0.0, 0.0, 0.4166666666666667, 0.08333333333333333, 0.4166666666666667], [0.0, 0.0, 0.0, 0.6428571428571429, 0.2857142857142857, 0.07142857142857142]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABB,Industrial Goods,GRU,multiclass,5,0.0955955955955956,0.234375,0.002622932894155383,,,,0.18944220058835148,0.6136363636363636,0.4426229508196721,1.0,0.46875,1189,398,42,64,21,"[[2, 0, 1, 0, 0, 13], [0, 0, 0, 0, 0, 17], [0, 0, 0, 0, 0, 4], [0, 0, 0, 0, 0, 3], [0, 0, 0, 0, 0, 11], [0, 0, 0, 0, 0, 13]]","[[0.125, 0.0, 0.0625, 0.0, 0.0, 0.8125], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
ABBV,Healthcare,GRU,multiclass,5,0.15294117647058825,0.25,0.01114738266915083,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,1108,398,42,64,21,"[[0, 0, 0, 1, 5, 18], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 5], [0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 1, 10], [0, 0, 0, 1, 0, 14]]","[[0.0, 0.0, 0.0, 0.041666666666666664, 0.20833333333333334, 0.75], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.5, 0.0, 0.5], [0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.9090909090909091], [0.0, 0.0, 0.0, 0.06666666666666667, 0.0, 0.9333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AEP,Utilities,GRU,multiclass,5,0.10071474983755685,0.234375,0.0030334130860865116,,,,0.15289415743128767,0.675,0.6136363636363636,0.75,0.59375,1189,398,42,64,21,"[[2, 0, 0, 0, 0, 7], [8, 0, 0, 0, 0, 5], [1, 0, 0, 0, 0, 5], [2, 1, 0, 0, 0, 6], [4, 1, 0, 1, 0, 7], [1, 0, 0, 0, 0, 13]]","[[0.2222222222222222, 0.0, 0.0, 0.0, 0.0, 0.7777777777777778], [0.6153846153846154, 0.0, 0.0, 0.0, 0.0, 0.38461538461538464], [0.16666666666666666, 0.0, 0.0, 0.0, 0.0, 0.8333333333333334], [0.2222222222222222, 0.1111111111111111, 0.0, 0.0, 0.0, 0.6666666666666666], [0.3076923076923077, 0.07692307692307693, 0.0, 0.07692307692307693, 0.0, 0.5384615384615384], [0.07142857142857142, 0.0, 0.0, 0.0, 0.0, 0.9285714285714286]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AGFS,Conglomerates,GRU,multiclass,5,0.06190476190476191,0.203125,0.018131211400032043,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,632,110,42,64,21,"[[0, 0, 0, 0, 6, 27], [0, 0, 0, 0, 1, 6], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 4, 13]]","[[0.0, 0.0, 0.0, 0.0, 0.18181818181818182, 0.8181818181818182], [0.0, 0.0, 0.0, 0.0, 0.14285714285714285, 0.8571428571428571], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.23529411764705882, 0.7647058823529411]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMGN,Healthcare,GRU,multiclass,5,0.18109661618433548,0.3125,-0.006557067856192589,,,,0.22144693981167293,0.375,0.8181818181818182,0.24324324324324326,0.53125,1189,398,42,64,23,"[[12, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0], [6, 0, 0, 0, 1, 1], [2, 0, 0, 0, 0, 0], [9, 0, 0, 0, 4, 0], [17, 0, 0, 0, 1, 4]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.75, 0.0, 0.0, 0.0, 0.125, 0.125], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6923076923076923, 0.0, 0.0, 0.0, 0.3076923076923077, 0.0], [0.7727272727272727, 0.0, 0.0, 0.0, 0.045454545454545456, 0.18181818181818182]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
AMZN,Services,GRU,multiclass,5,0.04285714285714285,0.140625,-0.004918428137898445,,,,0.0,0.0,0.0,0.0,0.328125,1189,398,42,64,21,"[[9, 0, 0, 0, 0, 0], [9, 0, 1, 0, 0, 0], [2, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [13, 0, 1, 0, 0, 0], [26, 0, 1, 0, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9, 0.0, 0.1, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9285714285714286, 0.0, 0.07142857142857142, 0.0, 0.0, 0.0], [0.9629629629629629, 0.0, 0.037037037037037035, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BA,Industrial Goods,GRU,multiclass,5,0.2393939393939394,0.40625,-0.004145235754549503,,,,0.34055756704227924,0.6037735849056604,0.6956521739130435,0.5333333333333333,0.671875,1189,398,42,64,22,"[[12, 0, 0, 0, 2, 1], [12, 1, 0, 0, 1, 2], [2, 0, 0, 0, 1, 0], [2, 0, 0, 0, 0, 0], [6, 0, 0, 0, 2, 1], [6, 0, 0, 0, 2, 11]]","[[0.8, 0.0, 0.0, 0.0, 0.13333333333333333, 0.06666666666666667], [0.75, 0.0625, 0.0, 0.0, 0.0625, 0.125], [0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.6666666666666666, 0.0, 0.0, 0.0, 0.2222222222222222, 0.1111111111111111], [0.3157894736842105, 0.0, 0.0, 0.0, 0.10526315789473684, 0.5789473684210527]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BABA,Services,GRU,multiclass,5,0.16885964912280702,0.5,0.006229512393474579,,,,0.0,0.7692307692307693,0.625,1.0,0.625,676,154,42,64,21,"[[0, 0, 0, 9, 0, 9], [0, 0, 0, 3, 0, 2], [0, 0, 0, 1, 0, 0], [0, 0, 0, 3, 0, 1], [0, 0, 0, 1, 0, 3], [0, 0, 0, 3, 0, 29]]","[[0.0, 0.0, 0.0, 0.5, 0.0, 0.5], [0.0, 0.0, 0.0, 0.6, 0.0, 0.4], [0.0, 0.0, 0.0, 1.0, 0.0, 0.0], [0.0, 0.0, 0.0, 0.75, 0.0, 0.25], [0.0, 0.0, 0.0, 0.25, 0.0, 0.75], [0.0, 0.0, 0.0, 0.09375, 0.0, 0.90625]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
BAC,Financial,GRU,multiclass,5,0.12430902430902431,0.234375,0.0038991780020296574,,,,0.0,0.7326732673267327,0.578125,1.0,0.578125,1189,398,42,64,21,"[[0, 0, 0, 2, 0, 12], [0, 0, 0, 2, 0, 8], [0, 0, 0, 0, 0, 3], [0, 0, 0, 2, 1, 1], [0, 0, 0, 3, 1, 12], [0, 0, 0, 1, 4, 12]]","[[0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.8571428571428571], [0.0, 0.0, 0.0, 0.2, 0.0, 0.8], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.5, 0.25, 0.25], [0.0, 0.0, 0.0, 0.1875, 0.0625, 0.75], [0.0, 0.0, 0.0, 0.058823529411764705, 0.23529411764705882, 0.7058823529411765]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5, 0.5, 0.5, 0.5, 0.5]"
