company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,multiclass,15,1,1,0.8189442310500984,1.0473750886462985,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,2,0.7398477846653617,1.0290330932253884,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,3,0.6778500580308425,1.2723162372907002,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,4,0.6361386919740456,1.8947562121209645,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,5,0.5740217639872777,2.6023252322560264,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,6,0.581746666575197,3.0382614391190663,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,7,0.5289727456905134,3.0840526961144947,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,8,0.5099599692390193,3.212289449714479,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,9,0.49695837332974724,3.4870534368923733,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,10,0.5238682332649902,3.291891552153088,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,11,0.43892134808415745,3.5425153289522444,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,12,0.4075921843549115,3.90532192162105,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,13,0.40584078386201333,3.8349239116623286,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,14,0.3723585538977954,3.7639274455252147,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,15,0.3518386985638633,4.05106843937011,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,16,0.34881644265436046,4.249474295548031,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,1,17,0.3309569866513487,4.375682254632314,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,1,0.8564831246083705,0.918872112319583,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,2,0.8000575606547409,0.9058731169927687,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,3,0.7006156926778093,1.1061059974488758,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,4,0.6368963531213789,1.300681437764849,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,5,0.6305485553477876,1.5575494198572069,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,6,0.6399894184503124,1.5078450498126803,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,7,0.6306862672369684,1.563334135782151,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,8,0.6094407627929994,1.4480753626142229,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,9,0.5455898474808314,1.5240189120883034,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,10,0.5183923922890994,1.289308093843006,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,11,0.4964003595874537,1.306594797543117,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,12,0.46232935501702466,1.4370084376562209,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,13,0.43347941526216477,1.5102078914642334,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,14,0.430900315169114,1.5753061090196883,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,15,0.4291294825136961,1.600063789458502,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,16,0.40323084922292124,1.4818355355943953,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,1,17,0.37181824198619806,1.5835409732091994,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,1,0.8234057261716181,0.7937902098610288,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,2,0.7412582761678265,0.7768088295346215,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,3,0.6953355430358619,0.8817337126958937,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,4,0.6495821898307034,1.0820016122999645,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,5,0.6396302522426873,1.2506959268024989,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,6,0.5944323457365659,1.1509731440317064,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,7,0.5517810217699214,1.3254608313242595,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,8,0.5164481277142338,1.6905242034367152,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,9,0.5874389932682765,1.5309177920931862,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,10,0.543285221610237,1.694590755871364,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,1,11,0.4938047687012946,1.6598461128416515,398,42,64
