company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,GRU,classification,1,,,,-0.10722404795288451,0.11428571428571428,0.2857142857142857,0.07142857142857142,0.515625,0.6428571428571429,0.36380343755449945,0.4827586206896552,0.875,0.3333333333333333,1188,398,42,64,26,0.6849999999999999,0.36380343755449945
ABB,Industrial Goods,GRU,classification,1,,,,0.0757356892408296,0.6027397260273972,0.5945945945945946,0.6111111111111112,0.546875,0.5714285714285714,0.33097897779259655,0.6086956521739131,0.45161290322580644,0.9333333333333333,1188,398,42,64,21,0.5399999999999999,0.33097897779259655
ABBV,Healthcare,GRU,classification,1,,,,0.4213091508147243,0.5416666666666666,0.9285714285714286,0.38235294117647056,0.65625,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1107,398,42,64,23,0.8799999999999999,0.30515145240827973
AEP,Utilities,GRU,classification,1,,,,-0.024049303512194094,0.7021276595744681,0.5892857142857143,0.868421052631579,0.5625,0.6428571428571429,0.3124666267458028,0.7457627118644068,0.6111111111111112,0.9565217391304348,1188,398,42,64,27,0.29,0.3124666267458028
AGFS,Conglomerates,GRU,classification,1,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,0.5952380952380952,0.4,0.6666666666666666,0.5,1.0,631,105,42,64,22,0.10999999999999999,0.4
AMGN,Healthcare,GRU,classification,1,,,,0.13937096857629283,0.1951219512195122,0.8,0.1111111111111111,0.484375,0.5952380952380952,0.2204654147930538,0.5641025641025641,0.4782608695652174,0.6875,1188,398,42,64,21,0.43499999999999994,0.2204654147930538
AMZN,Services,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6904761904761905,0.40789986277743745,0.5806451612903226,0.8181818181818182,0.45,1188,398,42,64,22,0.575,0.40789986277743745
BA,Industrial Goods,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1188,398,42,64,21,0.6549999999999999,0.30515145240827973
BABA,Services,GRU,classification,1,,,,0.17407765595569782,0.11428571428571428,1.0,0.06060606060606061,0.515625,0.6428571428571429,0.2017853988002107,0.4444444444444444,0.5454545454545454,0.375,675,149,42,64,21,0.74,0.2017853988002107
BAC,Financial,GRU,classification,1,,,,0.19955825456831924,0.42857142857142855,0.6,0.3333333333333333,0.625,0.6190476190476191,0.19778870132131,0.4666666666666667,0.5833333333333334,0.3888888888888889,1188,398,42,64,21,0.6399999999999999,0.19778870132131
BBL,Basic Matierials,GRU,classification,1,,,,0.00700902994282404,0.4482758620689655,0.3939393939393939,0.52,0.5,0.5952380952380952,0.3504998186163908,0.37037037037037035,1.0,0.22727272727272727,1188,398,42,64,21,0.4549999999999999,0.3504998186163908
BCH,Financial,GRU,classification,1,,,,-0.02450715406979359,0.2857142857142857,0.4,0.2222222222222222,0.53125,0.6666666666666666,0.4746540241984124,0.5625,1.0,0.391304347826087,1188,398,42,64,23,0.61,0.4746540241984124
BHP,Basic Matierials,GRU,classification,1,,,,0.31445669017230515,0.42105263157894735,0.8,0.2857142857142857,0.65625,0.5952380952380952,0.20203050891044214,0.5142857142857142,0.6428571428571429,0.42857142857142855,1188,398,42,64,21,0.5349999999999999,0.20203050891044214
BP,Basic Matierials,GRU,classification,1,,,,0.18071682129971953,0.2,0.75,0.11538461538461539,0.625,0.6190476190476191,0.25674162013381635,0.3333333333333333,0.8,0.21052631578947367,1188,398,42,64,30,0.565,0.25674162013381635
BRK-A,Financial,GRU,classification,1,,,,0.2277100170213244,0.6363636363636364,0.4666666666666667,1.0,0.5,0.6190476190476191,0.2571104222523257,0.6521739130434783,0.5769230769230769,0.75,1188,398,42,64,23,0.695,0.2571104222523257
BSAC,Financial,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.5625,0.6666666666666666,0.24656034565311388,0.3,0.75,0.1875,1188,398,42,64,23,0.605,0.24656034565311388
BUD,Consumer Goods,GRU,classification,1,,,,0.041415768328129106,0.27906976744186046,0.5454545454545454,0.1875,0.515625,0.5952380952380952,0.24733877696033693,0.5853658536585366,0.48,0.75,1188,398,42,64,26,0.6849999999999999,0.24733877696033693
C,Financial,GRU,classification,1,,,,0.24309042315524473,0.6172839506172839,0.45454545454545453,0.9615384615384616,0.515625,0.6428571428571429,0.4264014327112209,0.7272727272727273,0.5714285714285714,1.0,1188,398,42,64,27,0.20999999999999996,0.4264014327112209
CAT,Industrial Goods,GRU,classification,1,,,,0.0,0.0,0.0,0.0,0.5,0.5952380952380952,0.23833987665914574,0.32,0.8,0.2,1188,398,42,64,21,0.37499999999999994,0.23833987665914574
