company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiGRU,classification,20,5,1,0.7040977130583184,0.7224432031313578,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,2,0.6298788333657998,0.7955896059672037,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,3,0.5856821396243033,0.8820247792062306,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,4,0.5537312405193271,1.0521258144151597,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,5,0.5353956018860017,1.339782817023141,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,6,0.4753436697787376,1.6772372382027763,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,7,0.45505277475519995,2.153247458594186,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,8,0.46114245087058103,2.1996503443945024,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,9,0.46312471235816804,2.709668829327538,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,10,0.39350323955617356,3.7859208697364446,398,42,64
AAPL,Consumer Goods,BiGRU,classification,20,5,11,0.3788201999125169,4.068630241212391,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,1,0.7268151814614109,0.836490931965056,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,2,0.6396772016831977,0.9413916695685614,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,3,0.5883254552606362,1.7202593655813307,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,4,0.5573660789722175,2.2057401736577353,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,5,0.5395701499141041,2.456956136794317,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,6,0.49654274040730156,3.071159589858282,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,7,0.4843299674927889,2.4120444513502575,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,8,0.4301172877526164,3.0239418915339877,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,9,0.4213430955257248,2.910339423588344,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,10,0.3908695510808547,3.2362616062164307,398,42,64
ABB,Industrial Goods,BiGRU,classification,20,5,11,0.37549254170913793,3.7155885582878474,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,1,0.6881317400453079,0.6586777653012957,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,2,0.6173289394258854,0.5754411334083194,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,3,0.5782343352859344,0.5798290570576986,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,4,0.5321544873055502,0.5835719420796349,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,5,0.5044144755931356,0.6627987651597886,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,6,0.47893050672420906,0.8025003217515492,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,7,0.4533728289244762,0.5965354187147958,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,8,0.47842949494045584,1.329282283782959,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,9,0.44926650889554814,0.7648250602540516,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,10,0.4188631663669893,1.0613755044483004,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,11,0.4076068896294838,1.202972798120408,398,42,64
ABBV,Healthcare,BiGRU,classification,20,5,12,0.3673488274591053,0.7392780156362624,398,42,64
AEP,Utilities,BiGRU,classification,20,5,1,0.6764109548012814,0.6633085665248689,398,42,64
AEP,Utilities,BiGRU,classification,20,5,2,0.5828760667661925,0.6535845682734535,398,42,64
AEP,Utilities,BiGRU,classification,20,5,3,0.5370011861300349,0.7443227398963201,398,42,64
AEP,Utilities,BiGRU,classification,20,5,4,0.515628547524687,0.8266846793038505,398,42,64
AEP,Utilities,BiGRU,classification,20,5,5,0.471732755851506,0.955708989075252,398,42,64
AEP,Utilities,BiGRU,classification,20,5,6,0.4454786603774258,1.0063222220965795,398,42,64
AEP,Utilities,BiGRU,classification,20,5,7,0.4365568415603446,1.121741547471001,398,42,64
AEP,Utilities,BiGRU,classification,20,5,8,0.42376689904898257,0.9086600002788362,398,42,64
AEP,Utilities,BiGRU,classification,20,5,9,0.42689474413742373,1.1141679400489444,398,42,64
AEP,Utilities,BiGRU,classification,20,5,10,0.38087577211796936,1.126704176266988,398,42,64
AEP,Utilities,BiGRU,classification,20,5,11,0.3969822690714544,1.0464488977477664,398,42,64
AEP,Utilities,BiGRU,classification,20,5,12,0.3670999041604037,1.2827781523977007,398,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,1,0.5915581118492853,0.7562216633842105,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,2,0.5113299562817528,0.7858406986509051,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,3,0.4222146925472078,0.7799570532072158,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,4,0.42073546789941335,0.7596905203092665,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,5,0.343725494827543,0.7376774691400074,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,6,0.33095452189445496,0.7516712915329706,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,7,0.2667880197366079,0.8080477373940604,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,8,0.25230554370653063,0.9836786360967726,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,9,0.27237407792182194,1.0695963814145042,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,10,0.2523747472535996,1.1501194522494362,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,11,0.193698778180849,1.4828887894040061,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,12,0.21487312331086114,1.5850763207390195,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,13,0.20526197935853685,1.5839091369083949,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,14,0.17345132437490282,1.5321483044397264,105,42,64
AGFS,Conglomerates,BiGRU,classification,20,5,15,0.19506065391358876,1.5634980769384474,105,42,64
AMGN,Healthcare,BiGRU,classification,20,5,1,0.7049423201599313,0.627359322139195,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,2,0.6210840014956105,0.5892163288025629,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,3,0.5685724690930927,0.6975426645505995,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,4,0.5257166986489415,0.8692899516650608,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,5,0.5015193481541159,1.0517869279498147,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,6,0.46592522985372115,1.1581707341330392,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,7,0.44539667373925595,1.3365036362693423,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,8,0.44486872110534553,1.398975440434047,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,9,0.4280514838407986,1.3902128310430617,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,10,0.38145126754315056,1.2364510638373238,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,11,0.3880702598610116,1.6164576609929402,398,42,64
AMGN,Healthcare,BiGRU,classification,20,5,12,0.3472329644701589,1.3355832270213537,398,42,64
AMZN,Services,BiGRU,classification,20,5,1,0.6954194451097268,0.7202038821719942,398,42,64
AMZN,Services,BiGRU,classification,20,5,2,0.660990242083468,0.8687709144183567,398,42,64
AMZN,Services,BiGRU,classification,20,5,3,0.6187987332068496,0.7540169954299927,398,42,64
AMZN,Services,BiGRU,classification,20,5,4,0.5844655041419082,0.8476100422087169,398,42,64
AMZN,Services,BiGRU,classification,20,5,5,0.5581917560579789,0.6289248750323341,398,42,64
AMZN,Services,BiGRU,classification,20,5,6,0.5254007276128884,0.6447336304755438,398,42,64
AMZN,Services,BiGRU,classification,20,5,7,0.5044326559832347,0.8086664960497901,398,42,64
AMZN,Services,BiGRU,classification,20,5,8,0.5110411764539067,0.7138750212533134,398,42,64
AMZN,Services,BiGRU,classification,20,5,9,0.48367982324044306,0.8975711124283927,398,42,64
AMZN,Services,BiGRU,classification,20,5,10,0.4525125125544754,1.3898368790036155,398,42,64
AMZN,Services,BiGRU,classification,20,5,11,0.42926261083564565,0.6913519984199887,398,42,64
AMZN,Services,BiGRU,classification,20,5,12,0.4136529568601493,1.1901571268127078,398,42,64
AMZN,Services,BiGRU,classification,20,5,13,0.38035298782826665,1.1999475388299852,398,42,64
AMZN,Services,BiGRU,classification,20,5,14,0.37907121925797294,0.9810200872875395,398,42,64
AMZN,Services,BiGRU,classification,20,5,15,0.38909767500719233,0.696676146416437,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,1,0.6738830361534004,0.6205287036441621,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,2,0.6033000451835555,0.6254779724847703,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,3,0.5605969559307673,0.6671356785865057,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,4,0.5552081663404876,0.7568942024594262,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,5,0.5000206095788946,0.8247914371036348,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,6,0.4613315837467136,1.2044665075483776,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,7,0.46077881850788943,0.9055967132250468,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,8,0.41960222801970476,1.45704984664917,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,9,0.39121021307892534,1.1751565365564256,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,10,0.37950423509631326,1.337308747427804,398,42,64
BA,Industrial Goods,BiGRU,classification,20,5,11,0.3316884836060318,1.831756489617484,398,42,64
BABA,Services,BiGRU,classification,20,5,1,0.6923357272308145,0.6955319132123675,149,42,64
BABA,Services,BiGRU,classification,20,5,2,0.6015798581526584,0.7051299214363098,149,42,64
BABA,Services,BiGRU,classification,20,5,3,0.5711381735417667,0.7118110912186759,149,42,64
BABA,Services,BiGRU,classification,20,5,4,0.5291088417472455,0.7221608701206389,149,42,64
BABA,Services,BiGRU,classification,20,5,5,0.44658991994473757,0.7949066020193554,149,42,64
BABA,Services,BiGRU,classification,20,5,6,0.43150905734740647,0.926912268002828,149,42,64
BABA,Services,BiGRU,classification,20,5,7,0.36122124567127867,1.4342063835689,149,42,64
BABA,Services,BiGRU,classification,20,5,8,0.32688978684428555,1.7648680891309465,149,42,64
BABA,Services,BiGRU,classification,20,5,9,0.28892996567207696,1.8363767578488304,149,42,64
BABA,Services,BiGRU,classification,20,5,10,0.28853344787287233,2.94419450986953,149,42,64
BABA,Services,BiGRU,classification,20,5,11,0.3239640763541996,2.620852856408982,149,42,64
BAC,Financial,BiGRU,classification,20,5,1,0.6358812601123024,0.652318747270675,398,42,64
BAC,Financial,BiGRU,classification,20,5,2,0.6091318266775141,0.6879111301331293,398,42,64
BAC,Financial,BiGRU,classification,20,5,3,0.5530949518009646,0.6708392926624843,398,42,64
BAC,Financial,BiGRU,classification,20,5,4,0.5756534047462233,0.8147967997051421,398,42,64
BAC,Financial,BiGRU,classification,20,5,5,0.5417664299658196,0.8083466745558239,398,42,64
BAC,Financial,BiGRU,classification,20,5,6,0.5030322584075544,0.9075053022021339,398,42,64
BAC,Financial,BiGRU,classification,20,5,7,0.47609103040479533,1.063622065952846,398,42,64
BAC,Financial,BiGRU,classification,20,5,8,0.44941916073386995,0.872334809530349,398,42,64
BAC,Financial,BiGRU,classification,20,5,9,0.41451226736432945,1.482534612928118,398,42,64
BAC,Financial,BiGRU,classification,20,5,10,0.38860036664871717,1.3570390428815569,398,42,64
BAC,Financial,BiGRU,classification,20,5,11,0.3891668977150366,1.364734025228591,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,1,0.6814718309359334,0.6794471854255313,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,2,0.634158998578038,0.6858652177311125,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,3,0.5901162073240808,0.8552450282233102,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,4,0.562536616720746,1.0707065236000788,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,5,0.5465447113442061,1.3328877346856254,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,6,0.5273800754367407,1.1720587015151978,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,7,0.501034116325666,1.5085894153231667,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,8,0.4684905831388493,1.9242374897003174,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,9,0.45300602710726273,2.049874634969802,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,10,0.4352640381560254,1.549658179283142,398,42,64
BBL,Basic Matierials,BiGRU,classification,20,5,11,0.4287672201592719,1.2697837295986356,398,42,64
BCH,Financial,BiGRU,classification,20,5,1,0.635754991416356,0.6728493911879403,398,42,64
BCH,Financial,BiGRU,classification,20,5,2,0.5873733672065351,0.773782784030551,398,42,64
BCH,Financial,BiGRU,classification,20,5,3,0.5186696510818136,1.4361391578401839,398,42,64
BCH,Financial,BiGRU,classification,20,5,4,0.4870178964569341,1.5651498493694125,398,42,64
BCH,Financial,BiGRU,classification,20,5,5,0.45617087986601057,2.4980454388118924,398,42,64
BCH,Financial,BiGRU,classification,20,5,6,0.4481308262551849,3.2932083039056685,398,42,64
BCH,Financial,BiGRU,classification,20,5,7,0.4155022272812062,3.412959995723906,398,42,64
BCH,Financial,BiGRU,classification,20,5,8,0.3637742220456876,4.25273795354934,398,42,64
BCH,Financial,BiGRU,classification,20,5,9,0.3764883942490247,4.340585538319179,398,42,64
BCH,Financial,BiGRU,classification,20,5,10,0.35724445219015954,5.809249128614153,398,42,64
BCH,Financial,BiGRU,classification,20,5,11,0.372253978297339,5.380923316592262,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,1,0.6754169766627365,0.7046744795072646,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,2,0.6082608566511816,0.7775927838825044,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,3,0.5845590961638407,1.0032528326624917,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,4,0.5491744038747184,1.1780339763278054,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,5,0.5258671468376515,1.0902951558430989,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,6,0.4970367489448145,0.9214944839477539,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,7,0.47804529740283236,0.9348061907859075,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,8,0.45543980426225233,0.9382070359729585,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,9,0.4505645369165507,0.8701097255661374,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,10,0.4649047847069688,1.022081556774321,398,42,64
BHP,Basic Matierials,BiGRU,classification,20,5,11,0.46498191311730813,0.9680010477701823,398,42,64
BP,Basic Matierials,BiGRU,classification,20,5,1,0.6771770928373289,0.7749118521099999,398,42,64
BP,Basic Matierials,BiGRU,classification,20,5,2,0.6162542506078978,0.7698185018130711,398,42,64
BP,Basic Matierials,BiGRU,classification,20,5,3,0.5686126962378996,0.8434845464570182,398,42,64
