number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_val_directional_accuracy,user_attrs_val_f1,user_attrs_val_mcc,user_attrs_val_precision,user_attrs_val_recall,state,val_f1,val_mcc,val_precision,val_recall,val_directional_accuracy
60,0.31685736995533087,2026-03-01 05:45:15.879699,2026-03-01 05:52:42.536696,0 days 00:07:26.656997,16,0.5,0.0005603467469665099,20,sentiment,256,128,1,0.3643675150158673,0.30000000000000004,0.00035896241414204433,0.8,7,20,BiGRU,1,5,0.0008142353310947013,0.6278051450465243,0.5338820480174007,0.31685736995533087,0.7144456746857177,0.5927968585824449,COMPLETE,0.5338820480174007,0.31685736995533087,0.7144456746857177,0.5927968585824449,0.6278051450465243
47,0.3160764477153667,2026-03-01 03:51:08.957898,2026-03-01 04:00:43.226348,0 days 00:09:34.268450,16,0.5,0.004559830599849659,20,sentiment,256,128,1,0.6370150449613106,0.2,0.001337165103429652,0.8,10,20,BiGRU,2,10,2.7915158393451898e-05,0.6278051450465243,0.5445090881825334,0.3160764477153667,0.7081399405881592,0.5912426247093395,COMPLETE,0.5445090881825334,0.3160764477153667,0.7081399405881592,0.5912426247093395,0.6278051450465243
97,0.3159062318134589,2026-03-01 10:19:25.521782,2026-03-01 10:27:49.992011,0 days 00:08:24.470229,16,0.6000000000000001,0.0006654369976074076,20,sentiment,128,128,1,0.5830558203832708,0.2,0.0022708200274594603,0.8,5,30,BiLSTM,1,5,0.00025116895595236167,0.6245210727969349,0.5642529192708333,0.3159062318134589,0.6849964536017416,0.6373853041659424,COMPLETE,0.5642529192708333,0.3159062318134589,0.6849964536017416,0.6373853041659424,0.6245210727969349
63,0.3116542414971146,2026-03-01 06:08:17.520179,2026-03-01 06:15:43.374113,0 days 00:07:25.853934,16,0.6000000000000001,0.0019383269897127358,20,sentiment,256,64,1,0.2735679444527583,0.4,0.00044347195895850334,0.8,7,20,BiGRU,1,5,0.0004086455392137071,0.6239737274220033,0.5255002689721987,0.3116542414971146,0.7081272551433521,0.5754380525383375,COMPLETE,0.5255002689721987,0.3116542414971146,0.7081272551433521,0.5754380525383375,0.6239737274220033
39,0.3105541496131735,2026-03-01 02:51:54.313791,2026-03-01 02:57:39.307051,0 days 00:05:44.993260,16,0.30000000000000004,0.00434560447243107,10,unified_emotion,256,128,1,1.8548362845207653,0.0,0.00811250927632649,0.8,7,50,BiGRU,1,20,6.3940526162251816e-06,0.6297208538587848,0.5687230594676681,0.3105541496131735,0.6763180811903368,0.6386192492167909,COMPLETE,0.5687230594676681,0.3105541496131735,0.6763180811903368,0.6386192492167909,0.6297208538587848
51,0.31003537396489106,2026-03-01 04:35:46.344355,2026-03-01 04:44:36.378695,0 days 00:08:50.034340,16,0.5,0.0018229074498711025,20,sentiment,128,128,1,0.2256584048292154,0.2,0.0013757536696976825,0.8,10,20,BiGRU,2,5,0.00020464969614379514,0.6220580186097427,0.5440904885018714,0.31003537396489106,0.702043233388547,0.6065838892901563,COMPLETE,0.5440904885018714,0.31003537396489106,0.702043233388547,0.6065838892901563,0.6220580186097427
71,0.30902496248904415,2026-03-01 07:06:23.519822,2026-03-01 07:13:56.757804,0 days 00:07:33.237982,16,0.7000000000000001,0.0033262771611438503,20,sentiment,256,64,1,0.4547139507066329,0.4,0.005994251804113516,0.8,10,20,BiGRU,1,5,0.000660099358812846,0.6212370005473453,0.5566006085888683,0.30902496248904415,0.6765613677433748,0.6259041475487394,COMPLETE,0.5566006085888683,0.30902496248904415,0.6765613677433748,0.6259041475487394,0.6212370005473453
23,0.30814892209471667,2026-03-01 00:57:53.123036,2026-03-01 01:09:16.438565,0 days 00:11:23.315529,16,0.1,0.0015318427170479256,15,finbert,256,64,1,1.749569522678628,0.2,0.0011216639186243766,0.8,7,50,BiGRU,2,10,9.244717953673622e-05,0.621784345922277,0.5484603780006658,0.30814892209471667,0.6934136078989027,0.6247660143063177,COMPLETE,0.5484603780006658,0.30814892209471667,0.6934136078989027,0.6247660143063177,0.621784345922277
86,0.3080776907942392,2026-03-01 08:55:15.645177,2026-03-01 09:02:30.074911,0 days 00:07:14.429734,16,0.7000000000000001,0.006039252709590839,15,sentiment,256,64,1,0.10101481489296427,0.2,0.005226410755956681,0.8,10,20,BiGRU,1,5,9.435134432388386e-05,0.6215106732348112,0.5675168331059962,0.3080776907942392,0.6701827145058404,0.6478811569432591,COMPLETE,0.5675168331059962,0.3080776907942392,0.6701827145058404,0.6478811569432591,0.6215106732348112
49,0.30790259212561844,2026-03-01 04:14:33.997433,2026-03-01 04:24:02.059216,0 days 00:09:28.061783,16,0.5,0.005020797077445202,20,sentiment,256,64,1,0.8100637688957556,0.1,0.0021714965472930444,0.8,10,20,BiGRU,2,15,8.289053454929498e-05,0.6201423097974823,0.5605593246937073,0.30790259212561844,0.682257235841702,0.619358386537154,COMPLETE,0.5605593246937073,0.30790259212561844,0.682257235841702,0.619358386537154,0.6201423097974823
54,0.30739651840806015,2026-03-01 05:03:06.317801,2026-03-01 05:10:57.110012,0 days 00:07:50.792211,16,0.6000000000000001,0.0042557633081252684,20,sentiment,64,64,1,0.9408096056390036,0.2,0.005847225483534842,0.8,10,20,LSTM,2,15,5.7098390117751906e-05,0.628352490421456,0.5580569224958029,0.30739651840806015,0.6804289854718243,0.6164377629513057,COMPLETE,0.5580569224958029,0.30739651840806015,0.6804289854718243,0.6164377629513057,0.628352490421456
41,0.306624806733433,2026-03-01 03:03:10.336749,2026-03-01 03:10:40.027721,0 days 00:07:29.690972,16,0.4,0.003829346265653467,20,emotion,256,128,1,0.6875144164238496,0.0,0.0012299324595781693,0.8,10,20,BiGRU,1,10,3.2026000716156684e-06,0.6143951833607008,0.5620061339718436,0.306624806733433,0.6755925362048735,0.6576035511996555,COMPLETE,0.5620061339718436,0.306624806733433,0.6755925362048735,0.6576035511996555,0.6143951833607008
93,0.3061605372553661,2026-03-01 09:50:19.002034,2026-03-01 09:56:19.454046,0 days 00:06:00.452012,16,0.30000000000000004,0.002928774318403704,10,unified_emotion,256,128,1,1.8225715282648594,0.0,0.008292157399186545,0.8,10,30,LSTM,1,20,8.914839744559828e-05,0.624521072796935,0.5186333646475368,0.3061605372553661,0.7200438296706541,0.5532874570271121,COMPLETE,0.5186333646475368,0.3061605372553661,0.7200438296706541,0.5532874570271121,0.624521072796935
14,0.30610727579384356,2026-03-01 00:07:42.603019,2026-03-01 00:14:31.807277,0 days 00:06:49.204258,16,0.0,0.0030245810438203793,20,finbert,128,128,1,1.7603268342928846,0.0,0.0007144011912794497,0.8,5,20,BiGRU,1,10,6.627576647829917e-06,0.6228790366721401,0.5158886515164223,0.30610727579384356,0.7178000556352759,0.5532633377352232,COMPLETE,0.5158886515164223,0.30610727579384356,0.7178000556352759,0.5532633377352232,0.6228790366721401
90,0.30558755299754237,2026-03-01 09:28:55.301170,2026-03-01 09:36:07.477285,0 days 00:07:12.176115,16,0.4,0.0006574740003557791,20,sentiment,256,128,1,0.3472509973746436,0.2,0.0007115106157913458,0.8,7,20,LSTM,1,10,0.0003720393662790419,0.6204159824849481,0.5369756274800084,0.30558755299754237,0.7007808052463671,0.5946602229852787,COMPLETE,0.5369756274800084,0.30558755299754237,0.7007808052463671,0.5946602229852787,0.6204159824849481
84,0.3046678986999566,2026-03-01 08:41:35.084413,2026-03-01 08:48:46.990801,0 days 00:07:11.906388,16,0.6000000000000001,0.0008126060050963322,10,unified_emotion,128,128,1,0.36561673115694204,0.30000000000000004,0.004254550410239035,0.8,10,20,BiGRU,2,10,0.00027682043844014204,0.6157635467980296,0.5569226633246472,0.3046678986999566,0.6825788807472444,0.639584984102613,COMPLETE,0.5569226633246472,0.3046678986999566,0.6825788807472444,0.639584984102613,0.6157635467980296
75,0.3044077118510633,2026-03-01 07:32:17.757725,2026-03-01 07:39:52.067539,0 days 00:07:34.309814,16,0.7000000000000001,0.0007841579281998586,20,sentiment,64,128,1,0.17285282053757772,0.30000000000000004,0.0006157414691861996,0.8,10,20,BiGRU,1,10,0.00015104172872736885,0.623152709359606,0.5403801130704416,0.3044077118510633,0.7036419020038878,0.5840507154339131,COMPLETE,0.5403801130704416,0.3044077118510633,0.7036419020038878,0.5840507154339131,0.623152709359606
69,0.3039406540710693,2026-03-01 06:49:11.377344,2026-03-01 06:57:27.464280,0 days 00:08:16.086936,16,0.1,0.00011123150775184214,15,finbert,256,64,1,1.995614844182723,0.2,0.0006018881033088894,0.4,7,50,BiGRU,2,10,0.00034114649393714316,0.6305418719211823,0.5367405853081388,0.3039406540710693,0.7006124231445664,0.5835979403737166,COMPLETE,0.5367405853081388,0.3039406540710693,0.7006124231445664,0.5835979403737166,0.6305418719211823
31,0.3039263406045944,2026-03-01 01:59:04.167763,2026-03-01 02:06:56.163600,0 days 00:07:51.995837,16,0.1,0.0027197805948006586,20,finbert,256,128,1,1.6568883568842967,0.0,0.002486748827972679,0.8,7,50,BiGRU,1,10,4.8675238599957175e-06,0.6160372194854954,0.5715344321536566,0.3039263406045944,0.6647604918055822,0.6634740430742699,COMPLETE,0.5715344321536566,0.3039263406045944,0.6647604918055822,0.6634740430742699,0.6160372194854954
