company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,BiGRU,classification,1,,,,-0.15289415743128767,0.4722222222222222,0.38636363636363635,0.6071428571428571,0.40625,0.6190476190476191,0.2575131013123024,0.5294117647058824,0.6923076923076923,0.42857142857142855,1188,398,42,64,20,0.5149999999999999,0.2575131013123024
ABB,Industrial Goods,BiGRU,classification,1,,,,0.0,0.72,0.5625,1.0,0.5625,0.40476190476190477,0.16666666666666666,0.5454545454545454,0.375,1.0,1188,398,42,64,20,0.36499999999999994,0.16666666666666666
ABBV,Healthcare,BiGRU,classification,1,,,,0.33954987505086615,0.6206896551724138,0.75,0.5294117647058824,0.65625,0.5952380952380952,0.19400257388802253,0.2608695652173913,0.75,0.15789473684210525,1107,398,42,64,20,0.9349999999999999,0.19400257388802253
AEP,Utilities,BiGRU,classification,1,,,,0.0,0.7450980392156863,0.59375,1.0,0.59375,0.6190476190476191,0.30515145240827973,0.7419354838709677,0.5897435897435898,1.0,1188,398,42,64,20,0.295,0.30515145240827973
AGFS,Conglomerates,BiGRU,classification,1,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,0.5952380952380952,0.4,0.6666666666666666,0.5,1.0,631,105,42,64,20,0.175,0.4
AMGN,Healthcare,BiGRU,classification,1,,,,0.20140599270554796,0.48148148148148145,0.7222222222222222,0.3611111111111111,0.5625,0.6666666666666666,0.2850438562747845,0.2222222222222222,1.0,0.125,1188,398,42,64,20,0.74,0.2850438562747845
AMZN,Services,BiGRU,classification,1,,,,0.15422731972837422,0.27906976744186046,0.75,0.17142857142857143,0.515625,0.6904761904761905,0.38376128944009874,0.6285714285714286,0.7333333333333333,0.55,1188,398,42,64,20,0.5599999999999999,0.38376128944009874
BA,Industrial Goods,BiGRU,classification,1,,,,0.3962389192686809,0.6774193548387096,0.7777777777777778,0.6,0.6875,0.5714285714285714,0.27811065739636276,0.6666666666666666,0.5142857142857142,0.9473684210526315,1188,398,42,64,20,0.42999999999999994,0.27811065739636276
BABA,Services,BiGRU,classification,1,,,,0.17407765595569782,0.11428571428571428,1.0,0.06060606060606061,0.515625,0.7142857142857143,0.381356384904845,0.6,0.6428571428571429,0.5625,675,149,42,64,20,0.74,0.381356384904845
BAC,Financial,BiGRU,classification,1,,,,0.004751733362404818,0.17647058823529413,0.42857142857142855,0.1111111111111111,0.5625,0.5476190476190477,0.12602520756252086,0.5581395348837209,0.48,0.6666666666666666,1188,398,42,64,20,0.71,0.12602520756252086
BBL,Basic Matierials,BiGRU,classification,1,,,,0.17364862842489184,0.4897959183673469,0.5,0.48,0.609375,0.7142857142857143,0.43822991060110733,0.76,0.6785714285714286,0.8636363636363636,1188,398,42,64,20,0.33499999999999996,0.43822991060110733
BCH,Financial,BiGRU,classification,1,,,,-0.10762440050012628,0.0,0.0,0.0,0.5625,0.5952380952380952,0.3710541192606408,0.41379310344827586,1.0,0.2608695652173913,1188,398,42,64,20,0.6799999999999999,0.3710541192606408
BHP,Basic Matierials,BiGRU,classification,1,,,,0.040082172520323485,0.4444444444444444,0.46153846153846156,0.42857142857142855,0.53125,0.6904761904761905,0.4216370213557839,0.6060606060606061,0.8333333333333334,0.47619047619047616,1188,398,42,64,20,0.4149999999999999,0.4216370213557839
BP,Basic Matierials,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.59375,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1188,398,42,64,20,0.5299999999999999,0.30515145240827973
BRK-A,Financial,BiGRU,classification,1,,,,0.0757356892408296,0.4727272727272727,0.48148148148148145,0.4642857142857143,0.546875,0.6428571428571429,0.31269438398822863,0.6808510638297872,0.5925925925925926,0.8,1188,398,42,64,20,0.5099999999999999,0.31269438398822863
BSAC,Financial,BiGRU,classification,1,,,,-0.10087125544480041,0.2,0.3333333333333333,0.14285714285714285,0.5,0.6666666666666666,0.2850438562747845,0.2222222222222222,1.0,0.125,1188,398,42,64,20,0.5249999999999999,0.2850438562747845
BUD,Consumer Goods,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.5,0.6904761904761905,0.30697030675746023,0.43478260869565216,0.7142857142857143,0.3125,1188,398,42,64,20,0.6749999999999999,0.30697030675746023
C,Financial,BiGRU,classification,1,,,,-0.005476267312112713,0.2222222222222222,0.4,0.15384615384615385,0.5625,0.6190476190476191,0.23636363636363636,0.6,0.6,0.6,1188,398,42,64,20,0.8599999999999999,0.23636363636363636
CAT,Industrial Goods,BiGRU,classification,1,,,,0.12424730498438732,0.32558139534883723,0.6363636363636364,0.21875,0.546875,0.5952380952380952,0.21320071635561044,0.37037037037037035,0.7142857142857143,0.25,1188,398,42,64,20,0.585,0.21320071635561044
CELG,Healthcare,BiGRU,classification,1,,,,0.20447131584993633,0.2564102564102564,0.8333333333333334,0.15151515151515152,0.546875,0.6428571428571429,0.21783245945486834,0.34782608695652173,0.6666666666666666,0.23529411764705882,1188,398,42,64,20,0.8899999999999999,0.21783245945486834
CHL,Technology,BiGRU,classification,1,,,,0.0,0.6526315789473685,0.484375,1.0,0.484375,0.5,0.20323471117426511,0.6440677966101694,0.475,1.0,1188,398,42,64,20,0.27999999999999997,0.20323471117426511
CHTR,Services,BiGRU,classification,1,,,,0.1259881576697424,0.06060606060606061,1.0,0.03125,0.515625,0.7142857142857143,0.4375875262587531,0.5384615384615384,0.875,0.3888888888888889,1188,398,42,64,20,0.5349999999999999,0.4375875262587531
CMCSA,Services,BiGRU,classification,1,,,,0.07002601243477949,0.2926829268292683,0.5454545454545454,0.2,0.546875,0.5714285714285714,0.33411580702345967,0.6785714285714286,0.5135135135135135,1.0,1188,398,42,64,20,0.16999999999999998,0.33411580702345967
CODI,Conglomerates,BiGRU,classification,1,,,,0.0657512425947884,0.5161290322580645,0.48484848484848486,0.5517241379310345,0.53125,0.5238095238095238,0.030165336116620204,0.4444444444444444,0.47058823529411764,0.42105263157894735,1188,398,42,64,20,0.4599999999999999,0.030165336116620204
CSCO,Technology,BiGRU,classification,1,,,,-0.03163859985841663,0.5217391304347826,0.4864864864864865,0.5625,0.484375,0.5952380952380952,0.40967324519935133,0.6530612244897959,0.48484848484848486,1.0,1188,398,42,64,20,0.285,0.40967324519935133
CVX,Basic Matierials,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.53125,0.5714285714285714,0.2773500981126146,0.25,1.0,0.14285714285714285,1188,398,42,64,20,0.69,0.2773500981126146
D,Utilities,BiGRU,classification,1,,,,0.0944911182523068,0.6590909090909091,0.5178571428571429,0.90625,0.53125,0.7142857142857143,0.4579994970335558,0.7857142857142857,0.6666666666666666,0.9565217391304348,1188,398,42,64,20,0.12499999999999999,0.4579994970335558
DHR,Industrial Goods,BiGRU,classification,1,,,,0.0902550601789804,0.6419753086419753,0.5416666666666666,0.7878787878787878,0.546875,0.5714285714285714,0.309344112444873,0.6896551724137931,0.5263157894736842,1.0,1188,398,42,64,20,0.295,0.309344112444873
DIS,Services,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.453125,0.6904761904761905,0.38376128944009874,0.6285714285714286,0.7333333333333333,0.55,1188,398,42,64,20,0.94,0.38376128944009874
DUK,Utilities,BiGRU,classification,1,,,,0.028412301416375987,0.7272727272727273,0.5806451612903226,0.972972972972973,0.578125,0.5952380952380952,0.23833987665914574,0.711864406779661,0.5675675675675675,0.9545454545454546,1188,398,42,64,20,0.48499999999999993,0.23833987665914574
EXC,Utilities,BiGRU,classification,1,,,,0.0,0.6666666666666666,0.5,1.0,0.5,0.5714285714285714,0.253012156852495,0.6785714285714286,0.5277777777777778,0.95,1188,398,42,64,20,0.4649999999999999,0.253012156852495
FB,Technology,BiGRU,classification,1,,,,0.00853312789059399,0.6511627906976745,0.5490196078431373,0.8,0.53125,0.6904761904761905,0.35645311547160274,0.7868852459016393,0.6666666666666666,0.96,1188,398,42,64,20,0.4149999999999999,0.35645311547160274
GD,Industrial Goods,BiGRU,classification,1,,,,0.14858083138673644,0.23529411764705882,0.6666666666666666,0.14285714285714285,0.59375,0.6428571428571429,0.3411211461689767,0.4444444444444444,0.8571428571428571,0.3,1188,398,42,64,20,0.725,0.3411211461689767
GE,Industrial Goods,BiGRU,classification,1,,,,0.18944220058835148,0.15,1.0,0.08108108108108109,0.46875,0.5952380952380952,0.19611613513818404,0.6382978723404256,0.5769230769230769,0.7142857142857143,1188,398,42,64,20,0.565,0.19611613513818404
GOOG,Technology,BiGRU,classification,1,,,,-0.1483552707831709,0.2127659574468085,0.38461538461538464,0.14705882352941177,0.421875,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1188,398,42,64,20,0.41999999999999993,0.30515145240827973
HD,Services,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.421875,0.5,0.2401922307076307,0.2222222222222222,1.0,0.125,1188,398,42,64,20,0.49499999999999994,0.2401922307076307
HON,Industrial Goods,BiGRU,classification,1,,,,0.12909944487358055,0.16666666666666666,0.75,0.09375,0.53125,0.6428571428571429,0.35696473595396144,0.34782608695652173,1.0,0.21052631578947367,1188,398,42,64,20,0.825,0.35696473595396144
HRG,Conglomerates,BiGRU,classification,1,,,,0.11834526708278773,0.05714285714285714,1.0,0.029411764705882353,0.484375,0.6428571428571429,0.32025630761017426,0.2857142857142857,1.0,0.16666666666666666,1188,398,42,64,20,0.59,0.32025630761017426
HSBC,Financial,BiGRU,classification,1,,,,0.0,0.6938775510204082,0.53125,1.0,0.53125,0.5476190476190477,0.33665016461206926,0.6415094339622641,0.4722222222222222,1.0,1188,398,42,64,20,0.10999999999999999,0.33665016461206926
IEP,Conglomerates,BiGRU,classification,1,,,,-0.03008284187980934,0.5853658536585366,0.46153846153846156,0.8,0.46875,0.6190476190476191,0.43852900965351466,0.6666666666666666,0.5,1.0,1188,398,42,64,20,0.33499999999999996,0.43852900965351466
INTC,Technology,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.5,0.5476190476190477,0.22360679774997896,0.17391304347826086,1.0,0.09523809523809523,1188,398,42,64,20,0.6849999999999999,0.22360679774997896
JNJ,Healthcare,BiGRU,classification,1,,,,0.3234770633596198,0.6451612903225806,0.7142857142857143,0.5882352941176471,0.65625,0.6190476190476191,0.3711609040115441,0.68,0.53125,0.9444444444444444,1188,398,42,64,20,0.31999999999999995,0.3711609040115441
