company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,5,0.11792717086834732,0.203125,0.005295852664858103,,,,-0.0403632899747069,0.4,0.4583333333333333,0.3548387096774194,0.484375,1184,398,42,64,16,"[[11, 2, 0, 2, 1, 7], [4, 0, 1, 1, 0, 1], [2, 0, 0, 1, 0, 0], [2, 0, 1, 1, 0, 1], [4, 0, 2, 2, 1, 3], [5, 2, 4, 3, 0, 0]]","[[0.4782608695652174, 0.08695652173913043, 0.0, 0.08695652173913043, 0.043478260869565216, 0.30434782608695654], [0.5714285714285714, 0.0, 0.14285714285714285, 0.14285714285714285, 0.0, 0.14285714285714285], [0.6666666666666666, 0.0, 0.0, 0.3333333333333333, 0.0, 0.0], [0.4, 0.0, 0.2, 0.2, 0.0, 0.2], [0.3333333333333333, 0.0, 0.16666666666666666, 0.16666666666666666, 0.08333333333333333, 0.25], [0.35714285714285715, 0.14285714285714285, 0.2857142857142857, 0.21428571428571427, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6003555655479431, 0.6106964349746704, 0.5383104681968689, 0.5486512780189514, 0.5486512780189514]"
ABB,Industrial Goods,BiLSTM,multiclass,5,0.10835913312693497,0.1875,0.005308965221047401,,,,0.0,0.5934065934065934,0.421875,1.0,0.421875,1184,398,42,64,16,"[[0, 0, 0, 6, 8, 2], [0, 0, 0, 4, 7, 6], [0, 0, 0, 1, 1, 2], [0, 0, 0, 0, 2, 1], [0, 0, 0, 3, 3, 5], [0, 0, 0, 2, 2, 9]]","[[0.0, 0.0, 0.0, 0.375, 0.5, 0.125], [0.0, 0.0, 0.0, 0.23529411764705882, 0.4117647058823529, 0.35294117647058826], [0.0, 0.0, 0.0, 0.25, 0.25, 0.5], [0.0, 0.0, 0.0, 0.0, 0.6666666666666666, 0.3333333333333333], [0.0, 0.0, 0.0, 0.2727272727272727, 0.2727272727272727, 0.45454545454545453], [0.0, 0.0, 0.0, 0.15384615384615385, 0.15384615384615385, 0.6923076923076923]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6106964349746704, 0.5900146961212158, 0.300470769405365, 0.300470769405365, 0.300470769405365]"
ABBV,Healthcare,BiLSTM,multiclass,5,0.12037037037037036,0.265625,0.032711587846279144,,,,0.0,0.6086956521739131,0.4375,1.0,0.4375,1103,398,42,64,27,"[[0, 0, 0, 0, 2, 22], [0, 0, 0, 0, 0, 7], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 1, 1], [0, 0, 0, 0, 3, 8], [0, 0, 0, 0, 1, 14]]","[[0.0, 0.0, 0.0, 0.0, 0.08333333333333333, 0.9166666666666666], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5], [0.0, 0.0, 0.0, 0.0, 0.2727272727272727, 0.7272727272727273], [0.0, 0.0, 0.0, 0.0, 0.06666666666666667, 0.9333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4866061508655548, 0.4762653112411499, 0.4866061508655548, 0.3314933180809021, 0.300470769405365]"
AEP,Utilities,BiLSTM,multiclass,5,0.15006105006105006,0.1875,-0.00022294415975920856,,,,-0.07100716024967263,0.5142857142857142,0.5294117647058824,0.5,0.46875,1184,398,42,64,16,"[[0, 2, 0, 1, 6, 0], [0, 7, 1, 4, 1, 0], [0, 2, 0, 1, 3, 0], [0, 2, 3, 2, 2, 0], [0, 0, 8, 2, 3, 0], [0, 0, 5, 2, 7, 0]]","[[0.0, 0.2222222222222222, 0.0, 0.1111111111111111, 0.6666666666666666, 0.0], [0.0, 0.5384615384615384, 0.07692307692307693, 0.3076923076923077, 0.07692307692307693, 0.0], [0.0, 0.3333333333333333, 0.0, 0.16666666666666666, 0.5, 0.0], [0.0, 0.2222222222222222, 0.3333333333333333, 0.2222222222222222, 0.2222222222222222, 0.0], [0.0, 0.0, 0.6153846153846154, 0.15384615384615385, 0.23076923076923078, 0.0], [0.0, 0.0, 0.35714285714285715, 0.14285714285714285, 0.5, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.507287859916687, 0.6003555655479431, 0.4762653112411499, 0.5279695987701416, 0.5176287293434143]"
AGFS,Conglomerates,BiLSTM,multiclass,5,0.07111111111111111,0.25,0.027252431958913803,,,,0.0,0.5287356321839081,0.359375,1.0,0.359375,627,105,42,64,17,"[[0, 0, 0, 3, 1, 29], [0, 0, 0, 1, 0, 6], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 1], [0, 0, 0, 0, 0, 5], [0, 0, 0, 0, 1, 16]]","[[0.0, 0.0, 0.0, 0.09090909090909091, 0.030303030303030304, 0.8787878787878788], [0.0, 0.0, 0.0, 0.14285714285714285, 0.0, 0.8571428571428571], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.0, 1.0], [0.0, 0.0, 0.0, 0.0, 0.058823529411764705, 0.9411764705882353]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6106964349746704, 0.6003555655479431, 0.5900146961212158, 0.5589921474456787, 0.5589921474456787]"
AMGN,Healthcare,BiLSTM,multiclass,5,0.17345085470085472,0.296875,-0.0025269323959946632,,,,0.32326103225394404,0.5,0.8666666666666667,0.35135135135135137,0.59375,1184,398,42,64,20,"[[12, 0, 0, 0, 0, 0], [7, 0, 0, 0, 0, 0], [5, 0, 1, 0, 0, 2], [2, 0, 0, 0, 0, 0], [6, 2, 1, 0, 1, 3], [8, 0, 5, 3, 1, 5]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.625, 0.0, 0.125, 0.0, 0.0, 0.25], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.46153846153846156, 0.15384615384615385, 0.07692307692307693, 0.0, 0.07692307692307693, 0.23076923076923078], [0.36363636363636365, 0.0, 0.22727272727272727, 0.13636363636363635, 0.045454545454545456, 0.22727272727272727]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5900146961212158, 0.4659244418144226, 0.5796738862991333, 0.3728567659854889, 0.4969470202922821]"
AMZN,Services,BiLSTM,multiclass,5,0.1222746761539865,0.15625,-0.003954593557864428,,,,0.1729171253112705,0.4406779661016949,0.8125,0.3023255813953488,0.484375,1184,398,42,64,16,"[[2, 3, 1, 3, 0, 0], [4, 6, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0], [1, 0, 1, 0, 0, 0], [4, 4, 0, 4, 1, 1], [15, 4, 1, 5, 1, 1]]","[[0.2222222222222222, 0.3333333333333333, 0.1111111111111111, 0.3333333333333333, 0.0, 0.0], [0.4, 0.6, 0.0, 0.0, 0.0, 0.0], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.5, 0.0, 0.0, 0.0], [0.2857142857142857, 0.2857142857142857, 0.0, 0.2857142857142857, 0.07142857142857142, 0.07142857142857142], [0.5555555555555556, 0.14814814814814814, 0.037037037037037035, 0.18518518518518517, 0.037037037037037035, 0.037037037037037035]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4866061508655548, 0.4866061508655548, 0.507287859916687, 0.4969470202922821, 0.3935384750366211]"
BA,Industrial Goods,BiLSTM,multiclass,5,0.0982046290287692,0.21875,-0.0009408166515640914,,,,0.1905246652387925,0.38095238095238093,0.6666666666666666,0.26666666666666666,0.59375,1184,398,42,64,16,"[[11, 0, 0, 1, 3, 0], [16, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 1], [9, 0, 0, 0, 0, 0], [12, 0, 0, 3, 1, 3]]","[[0.7333333333333333, 0.0, 0.0, 0.06666666666666667, 0.2, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.0, 0.5], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.631578947368421, 0.0, 0.0, 0.15789473684210525, 0.05263157894736842, 0.15789473684210525]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6003555655479431, 0.5486512780189514, 0.5486512780189514, 0.5486512780189514, 0.5486512780189514]"
BABA,Services,BiLSTM,multiclass,5,0.07692307692307693,0.28125,-0.0008402335224673152,,,,0.13912166872805048,0.09523809523809523,1.0,0.05,0.40625,671,149,42,64,17,"[[18, 0, 0, 0, 0, 0], [5, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0], [28, 1, 1, 2, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.875, 0.03125, 0.03125, 0.0625, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6003555655479431, 0.5900146961212158, 0.5796738862991333, 0.5486512780189514, 0.507287859916687]"
BAC,Financial,BiLSTM,multiclass,5,0.09260427841231778,0.140625,0.0011925180442631245,,,,0.20093209559543668,0.4528301886792453,0.75,0.32432432432432434,0.546875,1184,398,42,64,16,"[[0, 14, 0, 0, 0, 0], [2, 4, 1, 0, 1, 2], [0, 2, 0, 0, 0, 1], [0, 4, 0, 0, 0, 0], [1, 9, 1, 0, 2, 3], [0, 10, 0, 0, 4, 3]]","[[0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.2, 0.4, 0.1, 0.0, 0.1, 0.2], [0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333], [0.0, 1.0, 0.0, 0.0, 0.0, 0.0], [0.0625, 0.5625, 0.0625, 0.0, 0.125, 0.1875], [0.0, 0.5882352941176471, 0.0, 0.0, 0.23529411764705882, 0.17647058823529413]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6003555655479431, 0.569333016872406, 0.569333016872406, 0.5589921474456787, 0.4142201840877533]"
