company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,multiclass,10,5,1,0.6877004947494622,0.8415705675170535,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,2,0.6262576607004482,1.3665214776992798,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,3,0.6005417081578892,1.4256922176906042,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,4,0.5734237126968614,1.6604523545219785,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,5,0.546803196770462,1.6373338812873477,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,6,0.5107756853103638,1.5526342335201444,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,7,0.4864479986267473,2.3986799944014776,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,8,0.46110117165886577,1.7504863284883045,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,9,0.44678188867904434,1.9492091678437733,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,10,0.44316841699370185,1.97801255044483,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,11,0.4463595900703315,3.03243503116426,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,12,0.45194724306988354,2.6258744171687534,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,13,0.4151750455549614,2.6564348311651322,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,14,0.3715499235157991,3.233835470108759,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,15,0.3557251988343857,2.695684024265834,398,42,64
AAPL,Consumer Goods,GRU,multiclass,10,5,16,0.32752460840359404,3.7444813137962702,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,1,0.80677415138513,1.0442737880207242,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,2,0.706474977821561,2.3191552559534707,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,3,0.6833882250977521,3.0989398729233515,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,4,0.6650582703214195,3.6507161344800676,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,5,0.615088581140317,3.8512899307977584,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,6,0.573638448313852,4.26085520925976,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,7,0.5578026293809689,3.9544871194022044,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,8,0.547540962546315,4.657095489047823,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,9,0.5309847163495107,4.430010409582229,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,10,0.5120715459986548,4.556901557104928,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,11,0.5019869693559618,3.725273813520159,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,12,0.4770013155350134,3.4176206248147145,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,13,0.48006240566771236,4.29608154296875,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,14,0.42284660288436926,3.1147278604053317,398,42,64
ABB,Industrial Goods,GRU,multiclass,10,5,15,0.39651595557754366,4.152919712520781,398,42,64
