company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiGRU,multiclass,5,0.15904121863799284,0.1875,0.0020238012075424194,,,,-0.05707352953442433,0.5142857142857142,0.46153846153846156,0.5806451612903226,0.46875,1194,398,42,64,11,"[[5, 2, 1, 1, 5, 9], [0, 0, 2, 2, 2, 1], [1, 0, 1, 0, 1, 0], [1, 0, 1, 1, 1, 1], [1, 0, 4, 1, 3, 3], [0, 2, 4, 5, 1, 2]]","[[0.21739130434782608, 0.08695652173913043, 0.043478260869565216, 0.043478260869565216, 0.21739130434782608, 0.391304347826087], [0.0, 0.0, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.14285714285714285], [0.3333333333333333, 0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0], [0.2, 0.0, 0.2, 0.2, 0.2, 0.2], [0.08333333333333333, 0.0, 0.3333333333333333, 0.08333333333333333, 0.25, 0.25], [0.0, 0.14285714285714285, 0.2857142857142857, 0.35714285714285715, 0.07142857142857142, 0.14285714285714285]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.34624072909355164, 0.23143260180950165, 0.36711493134498596, 0.36711493134498596, 0.5967312455177307]"
ABB,Industrial Goods,BiGRU,multiclass,5,0.1827200577200577,0.234375,0.011175006628036499,,,,0.02450715406979359,0.5526315789473685,0.42857142857142855,0.7777777777777778,0.46875,1194,398,42,64,11,"[[2, 3, 1, 2, 4, 4], [1, 1, 1, 7, 4, 3], [0, 0, 0, 3, 0, 1], [0, 1, 0, 1, 1, 0], [1, 2, 0, 3, 2, 3], [1, 0, 1, 2, 0, 9]]","[[0.125, 0.1875, 0.0625, 0.125, 0.25, 0.25], [0.058823529411764705, 0.058823529411764705, 0.058823529411764705, 0.4117647058823529, 0.23529411764705882, 0.17647058823529413], [0.0, 0.0, 0.0, 0.75, 0.0, 0.25], [0.0, 0.3333333333333333, 0.0, 0.3333333333333333, 0.3333333333333333, 0.0], [0.09090909090909091, 0.18181818181818182, 0.0, 0.2727272727272727, 0.18181818181818182, 0.2727272727272727], [0.07692307692307693, 0.0, 0.07692307692307693, 0.15384615384615385, 0.0, 0.6923076923076923]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6384796500205994, 0.6384796500205994, 0.5445457100868225, 0.6280425190925598, 0.5654199123382568]"
ABBV,Healthcare,BiGRU,multiclass,5,0.20637813529970395,0.234375,0.00010943354573100805,,,,0.2666780283394888,0.6376811594202898,0.5365853658536586,0.7857142857142857,0.609375,1113,398,42,64,11,"[[6, 3, 3, 9, 2, 1], [0, 1, 2, 2, 2, 0], [0, 1, 1, 1, 1, 1], [1, 0, 0, 0, 0, 1], [2, 0, 2, 4, 2, 1], [1, 0, 0, 0, 9, 5]]","[[0.25, 0.125, 0.125, 0.375, 0.08333333333333333, 0.041666666666666664], [0.0, 0.14285714285714285, 0.2857142857142857, 0.2857142857142857, 0.2857142857142857, 0.0], [0.0, 0.2, 0.2, 0.2, 0.2, 0.2], [0.5, 0.0, 0.0, 0.0, 0.0, 0.5], [0.18181818181818182, 0.0, 0.18181818181818182, 0.36363636363636365, 0.18181818181818182, 0.09090909090909091], [0.06666666666666667, 0.0, 0.0, 0.0, 0.6, 0.3333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.48192307353019714, 0.3358036279678345, 0.31492942571640015, 0.45061177015304565, 0.5862941145896912]"
AEP,Utilities,BiGRU,multiclass,5,0.20331890331890334,0.25,-0.0043456899002194405,,,,0.363696483726654,0.7619047619047619,0.6666666666666666,0.8888888888888888,0.6875,1194,398,42,64,23,"[[0, 1, 1, 1, 4, 2], [4, 4, 1, 3, 1, 0], [0, 1, 0, 1, 3, 1], [0, 1, 1, 2, 4, 1], [1, 1, 0, 3, 3, 5], [0, 0, 0, 2, 5, 7]]","[[0.0, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.4444444444444444, 0.2222222222222222], [0.3076923076923077, 0.3076923076923077, 0.07692307692307693, 0.23076923076923078, 0.07692307692307693, 0.0], [0.0, 0.16666666666666666, 0.0, 0.16666666666666666, 0.5, 0.16666666666666666], [0.0, 0.1111111111111111, 0.1111111111111111, 0.2222222222222222, 0.4444444444444444, 0.1111111111111111], [0.07692307692307693, 0.07692307692307693, 0.0, 0.23076923076923078, 0.23076923076923078, 0.38461538461538464], [0.0, 0.0, 0.0, 0.14285714285714285, 0.35714285714285715, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.2418697029352188, 0.26274392008781433, 0.23143260180950165, 0.28361812233924866, 0.42973756790161133]"
AGFS,Conglomerates,BiGRU,multiclass,5,0.1359848484848485,0.34375,0.0011665099300444126,,,,0.3077054173147947,0.3870967741935484,0.75,0.2608695652173913,0.703125,637,115,42,64,13,"[[20, 6, 6, 0, 1, 0], [4, 1, 1, 0, 0, 1], [1, 0, 0, 0, 0, 0], [1, 0, 0, 0, 0, 0], [0, 2, 2, 0, 0, 1], [5, 6, 1, 0, 4, 1]]","[[0.6060606060606061, 0.18181818181818182, 0.18181818181818182, 0.0, 0.030303030303030304, 0.0], [0.5714285714285714, 0.14285714285714285, 0.14285714285714285, 0.0, 0.0, 0.14285714285714285], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.0, 0.4, 0.4, 0.0, 0.0, 0.2], [0.29411764705882354, 0.35294117647058826, 0.058823529411764705, 0.0, 0.23529411764705882, 0.058823529411764705]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6489167213439941, 0.6280425190925598, 0.617605447769165, 0.5027973055839539, 0.5027973055839539]"
AMGN,Healthcare,BiGRU,multiclass,5,0.15653441274932856,0.203125,-0.010708649642765522,,,,0.19798889010020074,0.2727272727272727,0.8571428571428571,0.16216216216216217,0.5,1194,398,42,64,16,"[[4, 2, 6, 0, 0, 0], [3, 1, 3, 0, 0, 0], [3, 1, 3, 0, 0, 1], [0, 0, 2, 0, 0, 0], [2, 0, 11, 0, 0, 0], [5, 1, 10, 0, 1, 5]]","[[0.3333333333333333, 0.16666666666666666, 0.5, 0.0, 0.0, 0.0], [0.42857142857142855, 0.14285714285714285, 0.42857142857142855, 0.0, 0.0, 0.0], [0.375, 0.125, 0.375, 0.0, 0.0, 0.125], [0.0, 0.0, 1.0, 0.0, 0.0, 0.0], [0.15384615384615385, 0.0, 0.8461538461538461, 0.0, 0.0, 0.0], [0.22727272727272727, 0.045454545454545456, 0.45454545454545453, 0.0, 0.045454545454545456, 0.22727272727272727]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3775520622730255, 0.28361812233924866, 0.6384796500205994, 0.4923601746559143, 0.45061177015304565]"
AMZN,Services,BiGRU,multiclass,5,0.041666666666666664,0.140625,-0.023238405585289,,,,0.0,0.0,0.0,0.0,0.328125,1194,398,42,64,12,"[[9, 0, 0, 0, 0, 0], [10, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [2, 0, 0, 0, 0, 0], [13, 1, 0, 0, 0, 0], [27, 0, 0, 0, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9285714285714286, 0.07142857142857142, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6384796500205994, 0.5967312455177307, 0.4610488712787628, 0.3358036279678345, 0.23143260180950165]"
BA,Industrial Goods,BiGRU,multiclass,5,0.06980676328502415,0.1875,-0.01487902831286192,,,,0.11834526708278771,0.2631578947368421,0.625,0.16666666666666666,0.5625,1194,398,42,64,11,"[[11, 1, 0, 0, 3, 0], [16, 0, 0, 0, 0, 0], [3, 0, 0, 0, 0, 0], [1, 0, 0, 0, 1, 0], [9, 0, 0, 0, 0, 0], [14, 1, 0, 0, 3, 1]]","[[0.7333333333333333, 0.06666666666666667, 0.0, 0.0, 0.2, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.5, 0.0, 0.0, 0.0, 0.5, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.7368421052631579, 0.05263157894736842, 0.0, 0.0, 0.15789473684210525, 0.05263157894736842]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6489167213439941, 0.5862941145896912, 0.47148597240448, 0.408863365650177, 0.45061177015304565]"
BABA,Services,BiGRU,multiclass,5,0.08095238095238096,0.265625,-0.01499940361827612,,,,0.0,0.0,0.0,0.0,0.375,681,159,42,64,12,"[[17, 1, 0, 0, 0, 0], [4, 0, 1, 0, 0, 0], [1, 0, 0, 0, 0, 0], [1, 2, 1, 0, 0, 0], [4, 0, 0, 0, 0, 0], [25, 0, 7, 0, 0, 0]]","[[0.9444444444444444, 0.05555555555555555, 0.0, 0.0, 0.0, 0.0], [0.8, 0.0, 0.2, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.25, 0.5, 0.25, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.78125, 0.0, 0.21875, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6384796500205994, 0.5236715078353882, 0.5654199123382568, 0.4610488712787628, 0.3566778302192688]"
BAC,Financial,BiGRU,multiclass,5,0.15286935286935285,0.21875,-0.01116764172911644,,,,0.1458908540112823,0.39215686274509803,0.7142857142857143,0.2702702702702703,0.515625,1194,398,42,64,11,"[[6, 8, 0, 0, 0, 0], [4, 3, 0, 0, 1, 2], [0, 2, 0, 0, 0, 1], [2, 2, 0, 0, 0, 0], [6, 4, 3, 0, 1, 2], [3, 7, 0, 1, 2, 4]]","[[0.42857142857142855, 0.5714285714285714, 0.0, 0.0, 0.0, 0.0], [0.4, 0.3, 0.0, 0.0, 0.1, 0.2], [0.0, 0.6666666666666666, 0.0, 0.0, 0.0, 0.3333333333333333], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0], [0.375, 0.25, 0.1875, 0.0, 0.0625, 0.125], [0.17647058823529413, 0.4117647058823529, 0.0, 0.058823529411764705, 0.11764705882352941, 0.23529411764705882]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.47148597240448, 0.6489167213439941, 0.5758569836616516, 0.41930046677589417, 0.39842626452445984]"
