company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,BiLSTM,multiclass,1,0.11313220940550132,0.125,0.006027338095009327,,,,-0.14285714285714285,0.5476190476190477,0.4107142857142857,0.8214285714285714,0.40625,1193,398,42,64,20,"[[0, 0, 0, 0, 5, 2], [0, 1, 1, 1, 11, 5], [0, 1, 0, 0, 7, 2], [0, 0, 1, 3, 3, 1], [0, 2, 1, 2, 4, 6], [0, 0, 1, 0, 4, 0]]","[[0.0, 0.0, 0.0, 0.0, 0.7142857142857143, 0.2857142857142857], [0.0, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.5789473684210527, 0.2631578947368421], [0.0, 0.1, 0.0, 0.0, 0.7, 0.2], [0.0, 0.0, 0.125, 0.375, 0.375, 0.125], [0.0, 0.13333333333333333, 0.06666666666666667, 0.13333333333333333, 0.26666666666666666, 0.4], [0.0, 0.0, 0.2, 0.0, 0.8, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.27290287613868713, 0.3975372612476349, 0.3836889863014221, 0.3421441912651062, 0.5221716165542603]"
ABB,Industrial Goods,BiLSTM,multiclass,1,0.14945267151149505,0.15625,-0.0017904533306136727,,,,-0.01698823971458752,0.39285714285714285,0.55,0.3055555555555556,0.46875,1193,398,42,64,20,"[[0, 1, 0, 0, 1, 1], [4, 4, 6, 2, 1, 2], [0, 2, 2, 0, 2, 0], [3, 5, 5, 1, 1, 0], [4, 3, 5, 3, 2, 2], [0, 0, 0, 1, 0, 1]]","[[0.0, 0.3333333333333333, 0.0, 0.0, 0.3333333333333333, 0.3333333333333333], [0.21052631578947367, 0.21052631578947367, 0.3157894736842105, 0.10526315789473684, 0.05263157894736842, 0.10526315789473684], [0.0, 0.3333333333333333, 0.3333333333333333, 0.0, 0.3333333333333333, 0.0], [0.2, 0.3333333333333333, 0.3333333333333333, 0.06666666666666667, 0.06666666666666667, 0.0], [0.21052631578947367, 0.15789473684210525, 0.2631578947368421, 0.15789473684210525, 0.10526315789473684, 0.10526315789473684], [0.0, 0.0, 0.0, 0.5, 0.0, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5498681664466858, 0.5637164115905762, 0.5221716165542603, 0.46677857637405396, 0.41138550639152527]"
ABBV,Healthcare,BiLSTM,multiclass,1,0.16602363154087293,0.25,0.0173178780823946,,,,0.07052955496249108,0.6588235294117647,0.5490196078431373,0.8235294117647058,0.546875,1112,398,42,64,20,"[[1, 0, 0, 0, 0, 10], [0, 5, 0, 0, 1, 9], [1, 0, 0, 0, 0, 3], [0, 1, 0, 0, 0, 4], [0, 3, 0, 0, 2, 14], [0, 2, 0, 0, 0, 8]]","[[0.09090909090909091, 0.0, 0.0, 0.0, 0.0, 0.9090909090909091], [0.0, 0.3333333333333333, 0.0, 0.0, 0.06666666666666667, 0.6], [0.25, 0.0, 0.0, 0.0, 0.0, 0.75], [0.0, 0.2, 0.0, 0.0, 0.0, 0.8], [0.0, 0.15789473684210525, 0.0, 0.0, 0.10526315789473684, 0.7368421052631579], [0.0, 0.2, 0.0, 0.0, 0.0, 0.8]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5221716165542603, 0.8268333673477173, 0.6745024919509888, 0.646806001663208, 0.5360198616981506]"
AEP,Utilities,BiLSTM,multiclass,1,0.10031171814117551,0.140625,-0.006342538632452488,,,,0.11020775375559676,0.4074074074074074,0.6875,0.2894736842105263,0.5,1193,398,42,64,20,"[[2, 2, 0, 1, 0, 0], [4, 5, 0, 1, 0, 0], [2, 6, 0, 3, 0, 0], [4, 9, 0, 1, 1, 0], [2, 10, 0, 4, 1, 2], [1, 1, 0, 2, 0, 0]]","[[0.4, 0.4, 0.0, 0.2, 0.0, 0.0], [0.4, 0.5, 0.0, 0.1, 0.0, 0.0], [0.18181818181818182, 0.5454545454545454, 0.0, 0.2727272727272727, 0.0, 0.0], [0.26666666666666666, 0.6, 0.0, 0.06666666666666667, 0.06666666666666667, 0.0], [0.10526315789473684, 0.5263157894736842, 0.0, 0.21052631578947367, 0.05263157894736842, 0.10526315789473684], [0.25, 0.25, 0.0, 0.5, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5083233714103699, 0.6052612066268921, 0.48062682151794434, 0.5637164115905762, 0.6329576969146729]"
AGFS,Conglomerates,BiLSTM,multiclass,1,0.21822573561703995,0.171875,0.010941627435386181,,,,-0.12022678317975014,0.4126984126984127,0.34210526315789475,0.52,0.421875,636,110,42,64,20,"[[3, 2, 0, 0, 2, 8], [3, 3, 0, 0, 0, 6], [3, 0, 0, 0, 1, 8], [1, 0, 0, 1, 0, 0], [2, 3, 0, 0, 0, 6], [3, 3, 0, 0, 2, 4]]","[[0.2, 0.13333333333333333, 0.0, 0.0, 0.13333333333333333, 0.5333333333333333], [0.25, 0.25, 0.0, 0.0, 0.0, 0.5], [0.25, 0.0, 0.0, 0.0, 0.08333333333333333, 0.6666666666666666], [0.5, 0.0, 0.0, 0.5, 0.0, 0.0], [0.18181818181818182, 0.2727272727272727, 0.0, 0.0, 0.0, 0.5454545454545454], [0.25, 0.25, 0.0, 0.0, 0.16666666666666666, 0.3333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5221716165542603, 0.646806001663208, 0.5083233714103699, 0.3836889863014221, 0.3975372612476349]"
AMGN,Healthcare,BiLSTM,multiclass,1,0.17255062944718116,0.203125,0.00124779820907861,,,,0.10087125544480041,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5,1193,398,42,64,20,"[[3, 1, 0, 1, 0, 1], [6, 5, 4, 0, 0, 1], [1, 2, 2, 0, 0, 1], [4, 0, 4, 0, 0, 1], [8, 3, 2, 1, 0, 3], [2, 2, 3, 0, 0, 3]]","[[0.5, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0, 0.16666666666666666], [0.375, 0.3125, 0.25, 0.0, 0.0, 0.0625], [0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.16666666666666666], [0.4444444444444444, 0.0, 0.4444444444444444, 0.0, 0.0, 0.1111111111111111], [0.47058823529411764, 0.17647058823529413, 0.11764705882352941, 0.058823529411764705, 0.0, 0.17647058823529413], [0.2, 0.2, 0.3, 0.0, 0.0, 0.3]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7991368770599365, 0.48062682151794434, 0.48062682151794434, 0.7021990418434143, 0.5498681664466858]"
AMZN,Services,BiLSTM,multiclass,1,0.12003652645222103,0.1875,0.0036195674911141396,,,,-0.2333182529224123,0.4507042253521127,0.4444444444444444,0.45714285714285713,0.390625,1193,398,42,64,20,"[[0, 2, 0, 0, 2, 0], [0, 3, 1, 1, 7, 3], [1, 2, 0, 0, 4, 3], [2, 1, 0, 0, 1, 2], [0, 9, 2, 0, 6, 0], [0, 4, 1, 0, 4, 3]]","[[0.0, 0.5, 0.0, 0.0, 0.5, 0.0], [0.0, 0.2, 0.06666666666666667, 0.06666666666666667, 0.4666666666666667, 0.2], [0.1, 0.2, 0.0, 0.0, 0.4, 0.3], [0.3333333333333333, 0.16666666666666666, 0.0, 0.0, 0.16666666666666666, 0.3333333333333333], [0.0, 0.5294117647058824, 0.11764705882352941, 0.0, 0.35294117647058826, 0.0], [0.0, 0.3333333333333333, 0.08333333333333333, 0.0, 0.3333333333333333, 0.25]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8129851222038269, 0.3836889863014221, 0.48062682151794434, 0.48062682151794434, 0.41138550639152527]"
BA,Industrial Goods,BiLSTM,multiclass,1,0.20141397555190657,0.265625,-0.0028767497278749943,,,,0.31898963300538824,0.3333333333333333,1.0,0.2,0.5625,1193,398,42,64,20,"[[3, 1, 0, 0, 0, 0], [6, 6, 2, 0, 0, 0], [6, 2, 3, 0, 0, 0], [4, 1, 3, 0, 2, 0], [5, 3, 8, 0, 5, 0], [2, 0, 2, 0, 0, 0]]","[[0.75, 0.25, 0.0, 0.0, 0.0, 0.0], [0.42857142857142855, 0.42857142857142855, 0.14285714285714285, 0.0, 0.0, 0.0], [0.5454545454545454, 0.18181818181818182, 0.2727272727272727, 0.0, 0.0, 0.0], [0.4, 0.1, 0.3, 0.0, 0.2, 0.0], [0.23809523809523808, 0.14285714285714285, 0.38095238095238093, 0.0, 0.23809523809523808, 0.0], [0.5, 0.0, 0.5, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.8129851222038269, 0.42523378133773804, 0.7160472869873047, 0.36984071135520935, 0.8268333673477173]"
BABA,Services,BiLSTM,multiclass,1,0.03381642512077295,0.109375,-0.005364486947655678,,,,0.0,0.0,0.0,0.0,0.484375,680,154,42,64,20,"[[7, 0, 0, 0, 0, 0], [15, 0, 0, 0, 0, 0], [9, 0, 0, 0, 0, 0], [4, 0, 0, 0, 0, 0], [11, 1, 0, 0, 0, 0], [16, 1, 0, 0, 0, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9166666666666666, 0.08333333333333333, 0.0, 0.0, 0.0, 0.0], [0.9411764705882353, 0.058823529411764705, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7298955321311951, 0.7298955321311951, 0.6606542468070984, 0.5360198616981506, 0.4944750964641571]"
BAC,Financial,BiLSTM,multiclass,1,0.18305028305028306,0.203125,-0.002289011375978589,,,,0.29521161053222866,0.6229508196721312,0.5588235294117647,0.7037037037037037,0.640625,1193,398,42,64,20,"[[1, 0, 2, 2, 0, 0], [1, 4, 9, 1, 1, 4], [3, 1, 1, 1, 3, 3], [1, 0, 0, 0, 3, 1], [1, 2, 1, 4, 2, 3], [1, 1, 1, 1, 0, 5]]","[[0.2, 0.0, 0.4, 0.4, 0.0, 0.0], [0.05, 0.2, 0.45, 0.05, 0.05, 0.2], [0.25, 0.08333333333333333, 0.08333333333333333, 0.08333333333333333, 0.25, 0.25], [0.2, 0.0, 0.0, 0.0, 0.6, 0.2], [0.07692307692307693, 0.15384615384615385, 0.07692307692307693, 0.3076923076923077, 0.15384615384615385, 0.23076923076923078], [0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.1111111111111111, 0.0, 0.5555555555555556]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4390820264816284, 0.3421441912651062, 0.36984071135520935, 0.41138550639152527, 0.5221716165542603]"
