company,sector,model_type,problem_type,horizon_steps,macro_f1,micro_accuracy,expected_return_mean,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,n_samples,train_samples,val_samples,test_samples,epochs_trained,confusion_matrix,confusion_matrix_normalized,bucket_edges,bucket_labels,taus
AAPL,Consumer Goods,GRU,multiclass,1,0.10774410774410774,0.140625,0.0047825719229876995,,,,-0.0518191557963571,0.4,0.4074074074074074,0.39285714285714285,0.484375,1193,398,42,64,20,"[[3, 2, 0, 0, 0, 2], [4, 4, 0, 1, 3, 7], [4, 3, 0, 0, 1, 2], [2, 3, 1, 0, 1, 1], [4, 1, 1, 2, 2, 5], [3, 1, 1, 0, 0, 0]]","[[0.42857142857142855, 0.2857142857142857, 0.0, 0.0, 0.0, 0.2857142857142857], [0.21052631578947367, 0.21052631578947367, 0.0, 0.05263157894736842, 0.15789473684210525, 0.3684210526315789], [0.4, 0.3, 0.0, 0.0, 0.1, 0.2], [0.25, 0.375, 0.125, 0.0, 0.125, 0.125], [0.26666666666666666, 0.06666666666666667, 0.06666666666666667, 0.13333333333333333, 0.13333333333333333, 0.3333333333333333], [0.6, 0.2, 0.2, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7486056685447693, 0.5425465703010559, 0.6031521558761597, 0.45769867300987244, 0.5061832070350647]"
ABB,Industrial Goods,GRU,multiclass,1,0.16947676832378444,0.203125,0.003622079500928521,,,,0.1111111111111111,0.6111111111111112,0.6111111111111112,0.6111111111111112,0.5625,1193,398,42,64,20,"[[0, 0, 0, 0, 3, 0], [2, 5, 4, 0, 7, 1], [0, 2, 1, 1, 2, 0], [2, 2, 3, 2, 2, 4], [3, 1, 3, 1, 4, 7], [0, 0, 0, 0, 1, 1]]","[[0.0, 0.0, 0.0, 0.0, 1.0, 0.0], [0.10526315789473684, 0.2631578947368421, 0.21052631578947367, 0.0, 0.3684210526315789, 0.05263157894736842], [0.0, 0.3333333333333333, 0.16666666666666666, 0.16666666666666666, 0.3333333333333333, 0.0], [0.13333333333333333, 0.13333333333333333, 0.2, 0.13333333333333333, 0.13333333333333333, 0.26666666666666666], [0.15789473684210525, 0.05263157894736842, 0.15789473684210525, 0.05263157894736842, 0.21052631578947367, 0.3684210526315789], [0.0, 0.0, 0.0, 0.0, 0.5, 0.5]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6395155787467957, 0.7486056685447693, 0.4819409251213074, 0.4698198139667511, 0.45769867300987244]"
ABBV,Healthcare,GRU,multiclass,1,0.10334699453551914,0.203125,0.020311255007982254,,,,0.011247320293685126,0.6875,0.532258064516129,0.9705882352941176,0.53125,1112,398,42,64,20,"[[0, 0, 0, 0, 1, 10], [0, 1, 0, 0, 4, 10], [0, 0, 0, 0, 1, 3], [0, 0, 0, 0, 1, 4], [1, 0, 0, 0, 3, 15], [0, 0, 0, 0, 1, 9]]","[[0.0, 0.0, 0.0, 0.0, 0.09090909090909091, 0.9090909090909091], [0.0, 0.06666666666666667, 0.0, 0.0, 0.26666666666666666, 0.6666666666666666], [0.0, 0.0, 0.0, 0.0, 0.25, 0.75], [0.0, 0.0, 0.0, 0.0, 0.2, 0.8], [0.05263157894736842, 0.0, 0.0, 0.0, 0.15789473684210525, 0.7894736842105263], [0.0, 0.0, 0.0, 0.0, 0.1, 0.9]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7364845275878906, 0.6516366600990295, 0.5304254293441772, 0.4819409251213074, 0.6152732968330383]"
AEP,Utilities,GRU,multiclass,1,0.05740740740740741,0.09375,-0.004371015354990959,,,,0.14856415213808927,0.1,1.0,0.05263157894736842,0.4375,1193,398,42,64,20,"[[4, 1, 0, 0, 0, 0], [9, 1, 0, 0, 0, 0], [5, 6, 0, 0, 0, 0], [10, 4, 1, 0, 0, 0], [10, 6, 1, 1, 1, 0], [2, 2, 0, 0, 0, 0]]","[[0.8, 0.2, 0.0, 0.0, 0.0, 0.0], [0.9, 0.1, 0.0, 0.0, 0.0, 0.0], [0.45454545454545453, 0.5454545454545454, 0.0, 0.0, 0.0, 0.0], [0.6666666666666666, 0.26666666666666666, 0.06666666666666667, 0.0, 0.0, 0.0], [0.5263157894736842, 0.3157894736842105, 0.05263157894736842, 0.05263157894736842, 0.05263157894736842, 0.0], [0.5, 0.5, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7122423052787781, 0.5304254293441772, 0.6758789420127869, 0.7243634462356567, 0.5061832070350647]"
AGFS,Conglomerates,GRU,multiclass,1,0.0707070707070707,0.140625,0.019688419997692108,,,,0.10894095588038444,0.5679012345679012,0.4107142857142857,0.92,0.453125,636,110,42,64,20,"[[0, 0, 1, 5, 9, 0], [1, 1, 2, 1, 7, 0], [0, 1, 0, 1, 10, 0], [0, 1, 0, 0, 1, 0], [0, 0, 1, 2, 8, 0], [0, 0, 0, 3, 9, 0]]","[[0.0, 0.0, 0.06666666666666667, 0.3333333333333333, 0.6, 0.0], [0.08333333333333333, 0.08333333333333333, 0.16666666666666666, 0.08333333333333333, 0.5833333333333334, 0.0], [0.0, 0.08333333333333333, 0.0, 0.08333333333333333, 0.8333333333333334, 0.0], [0.0, 0.5, 0.0, 0.0, 0.5, 0.0], [0.0, 0.0, 0.09090909090909091, 0.18181818181818182, 0.7272727272727273, 0.0], [0.0, 0.0, 0.0, 0.25, 0.75, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.5789099335670471, 0.7001211643218994, 0.5304254293441772, 0.49406206607818604, 0.6516366600990295]"
AMGN,Healthcare,GRU,multiclass,1,0.14502164502164502,0.1875,-0.004215614404529333,,,,0.10722404795288451,0.23255813953488372,0.7142857142857143,0.1388888888888889,0.484375,1193,398,42,64,20,"[[1, 2, 3, 0, 0, 0], [3, 8, 4, 0, 0, 1], [2, 2, 1, 0, 1, 0], [0, 2, 7, 0, 0, 0], [0, 9, 5, 0, 1, 2], [0, 1, 7, 0, 1, 1]]","[[0.16666666666666666, 0.3333333333333333, 0.5, 0.0, 0.0, 0.0], [0.1875, 0.5, 0.25, 0.0, 0.0, 0.0625], [0.3333333333333333, 0.3333333333333333, 0.16666666666666666, 0.0, 0.16666666666666666, 0.0], [0.0, 0.2222222222222222, 0.7777777777777778, 0.0, 0.0, 0.0], [0.0, 0.5294117647058824, 0.29411764705882354, 0.0, 0.058823529411764705, 0.11764705882352941], [0.0, 0.1, 0.7, 0.0, 0.1, 0.1]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.3607296645641327, 0.7243634462356567, 0.37285080552101135, 0.7243634462356567, 0.5667887926101685]"
AMZN,Services,GRU,multiclass,1,0.06646676661669165,0.109375,-0.022502966225147247,,,,0.11468185313135519,0.05555555555555555,1.0,0.02857142857142857,0.46875,1193,398,42,64,20,"[[4, 0, 0, 0, 0, 0], [12, 3, 0, 0, 0, 0], [10, 0, 0, 0, 0, 0], [5, 1, 0, 0, 0, 0], [14, 2, 1, 0, 0, 0], [9, 2, 0, 0, 1, 0]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8, 0.2, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8333333333333334, 0.16666666666666666, 0.0, 0.0, 0.0, 0.0], [0.8235294117647058, 0.11764705882352941, 0.058823529411764705, 0.0, 0.0, 0.0], [0.75, 0.16666666666666666, 0.0, 0.0, 0.08333333333333333, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.49406206607818604, 0.45769867300987244, 0.3970930576324463, 0.28800293803215027, 0.3849719166755676]"
BA,Industrial Goods,GRU,multiclass,1,0.15318636190747872,0.234375,-0.00110678281635046,,,,0.22384904574224135,0.5517241379310345,0.6956521739130435,0.45714285714285713,0.59375,1193,398,42,64,20,"[[1, 3, 0, 0, 0, 0], [2, 8, 0, 2, 2, 0], [5, 3, 0, 3, 0, 0], [2, 3, 0, 1, 4, 0], [3, 7, 0, 3, 5, 3], [1, 3, 0, 0, 0, 0]]","[[0.25, 0.75, 0.0, 0.0, 0.0, 0.0], [0.14285714285714285, 0.5714285714285714, 0.0, 0.14285714285714285, 0.14285714285714285, 0.0], [0.45454545454545453, 0.2727272727272727, 0.0, 0.2727272727272727, 0.0, 0.0], [0.2, 0.3, 0.0, 0.1, 0.4, 0.0], [0.14285714285714285, 0.3333333333333333, 0.0, 0.14285714285714285, 0.23809523809523808, 0.14285714285714285], [0.25, 0.75, 0.0, 0.0, 0.0, 0.0]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.6758789420127869, 0.3849719166755676, 0.5061832070350647, 0.5183042883872986, 0.7486056685447693]"
BABA,Services,GRU,multiclass,1,0.052369730295888976,0.125,-0.017294710502028465,,,,0.1210898699241207,0.16216216216216217,0.75,0.09090909090909091,0.515625,680,154,42,64,20,"[[7, 0, 0, 0, 0, 0], [15, 0, 0, 0, 0, 0], [8, 0, 0, 1, 0, 0], [4, 0, 0, 0, 0, 0], [11, 0, 0, 0, 0, 1], [15, 0, 0, 1, 0, 1]]","[[1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.8888888888888888, 0.0, 0.0, 0.1111111111111111, 0.0, 0.0], [1.0, 0.0, 0.0, 0.0, 0.0, 0.0], [0.9166666666666666, 0.0, 0.0, 0.0, 0.0, 0.08333333333333333], [0.8823529411764706, 0.0, 0.0, 0.058823529411764705, 0.0, 0.058823529411764705]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.7486056685447693, 0.6516366600990295, 0.4698198139667511, 0.7243634462356567, 0.5183042883872986]"
BAC,Financial,GRU,multiclass,1,0.23956059881454428,0.265625,-0.0004620689433068037,,,,0.2032905342780163,0.5454545454545454,0.5357142857142857,0.5555555555555556,0.609375,1193,398,42,64,20,"[[2, 3, 0, 0, 0, 0], [4, 7, 2, 2, 3, 2], [1, 4, 1, 0, 0, 6], [0, 2, 0, 1, 1, 1], [3, 4, 0, 2, 3, 1], [2, 1, 0, 1, 2, 3]]","[[0.4, 0.6, 0.0, 0.0, 0.0, 0.0], [0.2, 0.35, 0.1, 0.1, 0.15, 0.1], [0.08333333333333333, 0.3333333333333333, 0.08333333333333333, 0.0, 0.0, 0.5], [0.0, 0.4, 0.0, 0.2, 0.2, 0.2], [0.23076923076923078, 0.3076923076923077, 0.0, 0.15384615384615385, 0.23076923076923078, 0.07692307692307693], [0.2222222222222222, 0.1111111111111111, 0.0, 0.1111111111111111, 0.2222222222222222, 0.3333333333333333]]","[-inf, -0.02, -0.005, 0.0, 0.005, 0.02, inf]","['≤ -2%', '(-2,-0.5]%', '(-0.5,0]%', '(0,0.5]%', '(0.5,2]%', '≥ 2%']","[0.4334564208984375, 0.4698198139667511, 0.4213353097438812, 0.5061832070350647, 0.7486056685447693]"
