company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,LSTM,multiclass,15,5,1,0.6784354115850363,0.7091390604064578,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,5,2,0.6191627095692122,0.9963441973640805,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,5,3,0.5786627860524547,1.6126522450220018,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,5,4,0.5602664147789155,1.8485541911352248,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,5,5,0.5205409880259528,3.526637554168701,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,5,6,0.49202316909579175,3.9998311769394648,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,5,7,0.48551831173537363,4.939781166258312,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,5,8,0.5041957557500907,2.854340258098784,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,5,9,0.4802519388534316,4.044038273039318,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,5,10,0.47640314892907837,4.349832148779006,398,42,64
AAPL,Consumer Goods,LSTM,multiclass,15,5,11,0.5029852620920344,4.39561821165539,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,1,0.8126920186095501,0.8532984001295907,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,2,0.739164260464098,2.158550506546384,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,3,0.6920254568957803,4.07204726764134,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,4,0.657787888792891,5.624511582510812,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,5,0.6348101424811473,4.2838524750300815,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,6,0.6148475693098864,4.640137967609224,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,7,0.5585360028336396,5.557151726313999,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,8,0.5484187802178176,8.533266249157133,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,9,0.5729239972392518,2.133783851351057,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,10,0.6139206699090987,3.662718795594715,398,42,64
ABB,Industrial Goods,LSTM,multiclass,15,5,11,0.6431623763175466,6.1083782741001675,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,5,1,0.6849468853605453,0.6826902996926081,398,42,64
ABBV,Healthcare,LSTM,multiclass,15,5,2,0.643438982604137,0.72614434219542,398,42,64
