company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiGRU,regression,5,0.0017247616518687838,0.03148259895195614,-0.18886024020558834,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1199,398,42,64,16
ABB,Industrial Goods,BiGRU,regression,5,0.0009801422249304573,0.024629403406570827,-0.02157582404328351,0.0,0.0,0.0,0.0,0.578125,,,,,,1199,398,42,64,16
ABBV,Healthcare,BiGRU,regression,5,0.00430356891314317,0.04484950601107465,-0.010431175971018947,-0.0678326525517921,0.20512820512820512,0.36363636363636365,0.14285714285714285,0.515625,,,,,,1118,398,42,64,16
AEP,Utilities,BiGRU,regression,5,0.0004870046543040629,0.017585147046025817,-0.009706945691748237,0.0,0.72,0.5625,1.0,0.5625,,,,,,1199,398,42,64,16
AGFS,Conglomerates,BiGRU,regression,5,0.012055090444281434,0.08163106857429177,-0.200261034477492,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,642,120,42,64,16
AMGN,Healthcare,BiGRU,regression,5,0.0012616552581541495,0.02813042805956134,-0.07089509500581803,-0.11221803979288456,0.45454545454545453,0.5172413793103449,0.40540540540540543,0.4375,,,,,,1199,398,42,64,16
AMZN,Services,BiGRU,regression,5,0.0018915547797403172,0.03294432253064555,-0.07221864859273697,-0.2034390953343172,0.7450980392156863,0.6440677966101694,0.8837209302325582,0.59375,,,,,,1199,398,42,64,16
BA,Industrial Goods,BiGRU,regression,5,0.0012049537286707573,0.0271214550085683,0.04065396897332452,0.3387999020202087,0.631578947368421,0.6666666666666666,0.6,0.671875,,,,,,1199,398,42,64,16
BABA,Services,BiGRU,regression,5,0.004711282258491914,0.05528363231728782,-0.26875216807649727,0.0,0.0,0.0,0.0,0.375,,,,,,686,164,42,64,16
BAC,Financial,BiGRU,regression,5,0.0011641827681084834,0.02622848890231752,0.02989308534998636,0.26005806930980846,0.5517241379310345,0.7619047619047619,0.43243243243243246,0.59375,,,,,,1199,398,42,64,16
