company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,LSTM,regression,5,0.001456681816505924,0.0292204230864994,-0.004075602213178486,0.36160513545037,0.7160493827160493,0.58,0.9354838709677419,0.640625,,,,,,1194,398,42,64,19
ABB,Industrial Goods,LSTM,regression,5,0.0009911631225042624,0.02450319048664329,-0.03306260854688481,0.0,0.0,0.0,0.0,0.578125,,,,,,1194,398,42,64,15
ABBV,Healthcare,LSTM,regression,5,0.004346405045850788,0.04465588177465253,-0.020488634052757027,0.0,0.0,0.0,0.0,0.5625,,,,,,1113,398,42,64,20
AEP,Utilities,LSTM,regression,5,0.0004967517721547379,0.017927291859550443,-0.029915649052841387,0.0,0.72,0.5625,1.0,0.5625,,,,,,1194,398,42,64,11
AGFS,Conglomerates,LSTM,regression,5,0.010286148494397147,0.07268863717888176,-0.024136922882300738,0.05708291742776447,0.37209302325581395,0.4,0.34782608695652173,0.578125,,,,,,637,115,42,64,20
AMGN,Healthcare,LSTM,regression,5,0.0011225576944272296,0.02705035876664874,0.0471711499209857,-0.029863035542303663,0.6172839506172839,0.5681818181818182,0.6756756756756757,0.515625,,,,,,1194,398,42,64,20
AMZN,Services,LSTM,regression,5,0.001963546669939394,0.033510255833213154,-0.11302690222919143,-0.23926881113406764,0.5432098765432098,0.5789473684210527,0.5116279069767442,0.421875,,,,,,1194,398,42,64,13
BA,Industrial Goods,LSTM,regression,5,0.0012973221470152397,0.02867750624571111,-0.03288684294544053,-0.19120444499264716,0.6086956521739131,0.45161290322580644,0.9333333333333333,0.4375,,,,,,1194,398,42,64,20
BABA,Services,LSTM,regression,5,0.00452719824560644,0.0542329125296883,-0.219178192746174,0.0,0.0,0.0,0.0,0.375,,,,,,681,159,42,64,11
BAC,Financial,LSTM,regression,5,0.0011629591674925735,0.027015845776528574,0.03091270482107067,0.22056438662814234,0.1951219512195122,1.0,0.10810810810810811,0.484375,,,,,,1194,398,42,64,17
BBL,Basic Matierials,LSTM,regression,5,0.005913558389678369,0.06179370003713984,-0.19841786178497656,-0.07577139046925323,0.0,0.0,0.0,0.71875,,,,,,1194,398,42,64,20
BCH,Financial,LSTM,regression,5,0.0005453389617978328,0.019523163286090994,-0.3049017447305078,-0.16945017893054184,0.4444444444444444,0.29508196721311475,0.9,0.296875,,,,,,1194,398,42,64,16
BHP,Basic Matierials,LSTM,regression,5,0.004265703942540507,0.05071591790988776,0.003467639928435129,0.0,0.0,0.0,0.0,0.734375,,,,,,1194,398,42,64,20
BP,Basic Matierials,LSTM,regression,5,0.0019965176273226146,0.032926401895025464,0.01517090335057536,-0.09436299464320372,0.0,0.0,0.0,0.625,,,,,,1194,398,42,64,20
BRK-A,Financial,LSTM,regression,5,0.0003622873020162069,0.016155456858735234,-0.04337599529813163,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1194,398,42,64,15
BSAC,Financial,LSTM,regression,5,0.0010700952674636826,0.027028953543586226,-0.05168126026270059,-0.357221119536899,0.05128205128205128,0.0625,0.043478260869565216,0.421875,,,,,,1194,398,42,64,16
BUD,Consumer Goods,LSTM,regression,5,0.0007668061124293708,0.021660543209335345,-0.10502849223096966,0.32893270027693416,0.8380952380952381,0.7213114754098361,1.0,0.734375,,,,,,1194,398,42,64,20
C,Financial,LSTM,regression,5,0.001026954021644477,0.024230993055233137,0.0030436155556058386,0.0,0.0,0.0,0.0,0.453125,,,,,,1194,398,42,64,11
CAT,Industrial Goods,LSTM,regression,5,0.001567868253218359,0.031571325939759726,-0.001035391226300142,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,1194,398,42,64,11
CELG,Healthcare,LSTM,regression,5,0.002494121634089962,0.037295424291892976,-0.024484511322987235,0.1455213750217998,0.7021276595744681,0.55,0.9705882352941176,0.5625,,,,,,1194,398,42,64,20
CHL,Technology,LSTM,regression,5,0.0007103160016836001,0.01868814630549724,-0.08446738438941304,0.0,0.0,0.0,0.0,0.6875,,,,,,1194,398,42,64,11
CHTR,Services,LSTM,regression,5,0.000781644719065485,0.02149887337054135,-0.02986268249515822,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,1194,398,42,64,11
CMCSA,Services,LSTM,regression,5,0.0005285603940732991,0.018891518603339076,-0.04405564606702006,0.10275246654751793,0.34146341463414637,0.5384615384615384,0.25,0.578125,,,,,,1194,398,42,64,11
CODI,Conglomerates,LSTM,regression,5,0.0005977193710632351,0.0188141108289532,-0.005101533918237422,0.0,0.0,0.0,0.0,0.609375,,,,,,1194,398,42,64,11
CSCO,Technology,LSTM,regression,5,0.0011564079572456332,0.025954691492776898,-0.02004306749801077,-0.12211066665535371,0.6666666666666666,0.5079365079365079,0.9696969696969697,0.5,,,,,,1194,398,42,64,11
CVX,Basic Matierials,LSTM,regression,5,0.0019334884096249092,0.0322763095168561,-0.04488847208852231,0.08606629658238704,0.2857142857142857,0.6,0.1875,0.53125,,,,,,1194,398,42,64,15
D,Utilities,LSTM,regression,5,0.0005756609324211033,0.020140151089535388,-0.09165228694574878,0.06950480468569159,0.6153846153846154,0.5217391304347826,0.75,0.53125,,,,,,1194,398,42,64,20
DHR,Industrial Goods,LSTM,regression,5,0.0006748812906118744,0.020591132346746838,-0.22563194549728216,0.0,0.0,0.0,0.0,0.515625,,,,,,1194,398,42,64,19
DIS,Services,LSTM,regression,5,0.0011520562723882502,0.026782225019572434,-0.08506148020553428,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,1194,398,42,64,13
DUK,Utilities,LSTM,regression,5,0.0006755877386421548,0.019870243463753406,-0.03852228140189151,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,1194,398,42,64,11
EXC,Utilities,LSTM,regression,5,0.000980170196100011,0.023491406815344437,-0.03357072477242373,0.011953709238683663,0.5294117647058824,0.47368421052631576,0.6,0.5,,,,,,1194,398,42,64,11
FB,Technology,LSTM,regression,5,0.0009688644219229884,0.024912815708072272,-0.04409682580175245,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,1194,398,42,64,11
GD,Industrial Goods,LSTM,regression,5,0.0006537656798169867,0.020127568712759475,-0.026402438601958567,0.11555252264060875,0.5,0.4666666666666667,0.5384615384615384,0.5625,,,,,,1194,398,42,64,20
GE,Industrial Goods,LSTM,regression,5,0.0008477908606013009,0.0199660504380286,-0.06161829342710545,0.1312040762640503,0.6582278481012658,0.7428571428571429,0.5909090909090909,0.578125,,,,,,1194,398,42,64,20
GOOG,Technology,LSTM,regression,5,0.0014432228022244775,0.030605630571599,-0.530968806553151,0.0911835340720322,0.046511627906976744,1.0,0.023809523809523808,0.359375,,,,,,1194,398,42,64,20
HD,Services,LSTM,regression,5,0.0008320527058132446,0.020123370788274572,-0.09180937152168145,0.19762338385347905,0.5245901639344263,0.7619047619047619,0.4,0.546875,,,,,,1194,398,42,64,18
HON,Industrial Goods,LSTM,regression,5,0.0008338081865217664,0.02222375432752577,0.0009677692139777871,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,1194,398,42,64,14
HRG,Conglomerates,LSTM,regression,5,0.0012408668746731223,0.028872976186097576,-0.01362019061298092,-0.12211066665535371,0.6666666666666666,0.5079365079365079,0.9696969696969697,0.5,,,,,,1194,398,42,64,11
HSBC,Financial,LSTM,regression,5,0.0008936198382498805,0.022471594631368712,-0.009623224501583927,0.3886408206136064,0.725,0.5918367346938775,0.9354838709677419,0.65625,,,,,,1194,398,42,64,11
IEP,Conglomerates,LSTM,regression,5,0.0022882182784504245,0.039216143403705786,-0.08242593776939389,-0.10776235844876533,0.32,0.2857142857142857,0.36363636363636365,0.46875,,,,,,1194,398,42,64,18
INTC,Technology,LSTM,regression,5,0.0013379338685252547,0.0282835326167626,-0.05219214272819883,0.0,0.0,0.0,0.0,0.453125,,,,,,1194,398,42,64,11
JNJ,Healthcare,LSTM,regression,5,0.00038673494613462167,0.016509745807530354,-0.17160439269832195,0.0,0.0,0.0,0.0,0.34375,,,,,,1194,398,42,64,11
JPM,Financial,LSTM,regression,5,0.0009370652409975018,0.023295183867171013,0.04797597621027683,-0.010188710438961876,0.28,0.5833333333333334,0.18421052631578946,0.4375,,,,,,1194,398,42,64,20
KO,Consumer Goods,LSTM,regression,5,0.00036824887930138344,0.014996700544365235,-0.009216590523423829,0.0,0.72,0.5625,1.0,0.5625,,,,,,1194,398,42,64,11
LMT,Industrial Goods,LSTM,regression,5,0.0006728079088524061,0.021647334586877134,-0.019993795908512357,0.0,0.6236559139784946,0.453125,1.0,0.453125,,,,,,1194,398,42,64,11
MA,Financial,LSTM,regression,5,0.0007367638345912606,0.022234656761220717,-0.12149691940648943,0.0,0.0,0.0,0.0,0.40625,,,,,,1194,398,42,64,20
MCD,Services,LSTM,regression,5,0.0006476538842182817,0.017203814090373526,-0.14675637670181652,-0.08186537751255636,0.8148148148148148,0.6984126984126984,0.9777777777777777,0.6875,,,,,,1194,398,42,64,18
MDT,Healthcare,LSTM,regression,5,0.0004122348686006922,0.015880291787948406,-0.0518243523867028,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,1194,398,42,64,11
MMM,Industrial Goods,LSTM,regression,5,0.0009060981355417067,0.022278464675219725,-0.0006852586430385887,0.0,0.0,0.0,0.0,0.453125,,,,,,1194,398,42,64,11
MO,Consumer Goods,LSTM,regression,5,0.0006869690421046309,0.020769392627247314,-0.03963472916200228,0.1437993271357627,0.0975609756097561,1.0,0.05128205128205128,0.421875,,,,,,1194,398,42,64,14
MRK,Healthcare,LSTM,regression,5,0.0007498915832864104,0.02217037328950114,-0.2859681900006612,-0.34712429378247933,0.39436619718309857,0.35,0.45161290322580644,0.328125,,,,,,1194,398,42,64,20
MSFT,Technology,LSTM,regression,5,0.0017058201813785461,0.0270226487105066,-0.155967350777922,0.13962617052496817,0.2916666666666667,0.7777777777777778,0.1794871794871795,0.46875,,,,,,1194,398,42,64,16
NEE,Utilities,LSTM,regression,5,0.00045102554411598623,0.01689803521352283,0.052252466350213855,0.17407765595569785,0.5172413793103449,0.6818181818181818,0.4166666666666667,0.5625,,,,,,1194,398,42,64,20
NGG,Utilities,LSTM,regression,5,0.00044702801666652865,0.016240351267127223,0.006830258551752233,0.31214723679042466,0.26666666666666666,1.0,0.15384615384615385,0.65625,,,,,,1194,398,42,64,18
NVS,Healthcare,LSTM,regression,5,0.0005329819770344418,0.0190903273519656,-0.42872664998834975,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,1194,398,42,64,11
ORCL,Technology,LSTM,regression,5,0.0010423209374071513,0.026540994209454494,-0.030455810181668985,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,1194,398,42,64,11
PCG,Utilities,LSTM,regression,5,0.0003407901983838382,0.014311334061613903,-0.11142594941944672,-0.1111111111111111,0.0,0.0,0.0,0.546875,,,,,,1194,398,42,64,20
PCLN,Services,LSTM,regression,5,0.0022647702942286043,0.0360748164664767,-0.05834880968434697,0.15398377070989047,0.7157894736842105,0.5666666666666667,0.9714285714285714,0.578125,,,,,,1194,398,42,64,14
PEP,Consumer Goods,LSTM,regression,5,0.0004151390682241221,0.016277771608328204,0.0058111367625516275,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,1194,398,42,64,13
PFE,Healthcare,LSTM,regression,5,0.0005726282704613547,0.018606083918148233,0.10853606273311434,0.224179415327122,0.5614035087719298,0.5,0.64,0.609375,,,,,,1194,398,42,64,20
PG,Consumer Goods,LSTM,regression,5,0.0004018126067561818,0.01611599486267698,-0.037637769470697746,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,1194,398,42,64,11
PICO,Conglomerates,LSTM,regression,5,0.00415011045500717,0.05168097313199395,0.0057232352703260325,0.0,0.0,0.0,0.0,0.484375,,,,,,1194,398,42,64,11
PM,Consumer Goods,LSTM,regression,5,0.0006606623198069487,0.021295445269366456,-0.06654720536089731,-0.2747531298926986,0.6526315789473685,0.5344827586206896,0.8378378378378378,0.484375,,,,,,1194,398,42,64,11
PPL,Utilities,LSTM,regression,5,0.0004368270512320907,0.01732467535409951,-0.05017964212899639,0.0,0.0,0.0,0.0,0.453125,,,,,,1194,398,42,64,11
PTR,Basic Matierials,LSTM,regression,5,0.002772064207113945,0.04201542736552301,-0.049892690781166094,0.0,0.0,0.0,0.0,0.609375,,,,,,1174,398,42,64,16
RDS-B,Basic Matierials,LSTM,regression,5,0.002696391538473849,0.039637690397389166,0.007161307667452821,0.08576091550153776,0.25806451612903225,0.4444444444444444,0.18181818181818182,0.640625,,,,,,1194,398,42,64,20
REX,Conglomerates,LSTM,regression,5,0.004808245950572595,0.049593500663674676,-0.07092142439725935,-0.30807415992441867,0.5301204819277109,0.4583333333333333,0.6285714285714286,0.390625,,,,,,1174,398,42,64,20
SLB,Basic Matierials,LSTM,regression,5,0.001408269948252188,0.029770687838706913,-0.04806647984732915,-0.0678326525517921,0.20512820512820512,0.36363636363636365,0.14285714285714285,0.515625,,,,,,1194,398,42,64,20
SNP,Basic Matierials,LSTM,regression,5,0.0028459412656539314,0.04414323199407004,-0.004146057813348092,0.0,0.0,0.0,0.0,0.59375,,,,,,1174,398,42,64,11
SNY,Healthcare,LSTM,regression,5,0.0018643769673584133,0.02990146841095956,-0.2640715584268294,0.0,0.6521739130434783,0.5,0.9375,0.5,,,,,,1194,398,42,64,20
SO,Utilities,LSTM,regression,5,0.00030576064386379185,0.014372306746522581,-0.002102461604342798,0.21411361031120882,0.6176470588235294,0.7241379310344828,0.5384615384615384,0.59375,,,,,,1194,398,42,64,20
SPLP,Conglomerates,LSTM,regression,5,0.0009546442729533213,0.023457684707029268,-0.04898539725041795,0.0,0.0,0.0,0.0,0.625,,,,,,1194,398,42,64,11
SRE,Utilities,LSTM,regression,5,0.0008997162668857455,0.024111653885030074,-0.06342064865712005,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,1194,398,42,64,11
T,Technology,LSTM,regression,5,0.0002778016796303552,0.013505122874780576,-0.045279475967956895,0.04054846624431496,0.6818181818181818,0.5882352941176471,0.8108108108108109,0.5625,,,,,,1194,398,42,64,20
TM,Consumer Goods,LSTM,regression,5,0.0004925044597126463,0.01604283023616415,-0.014122951023386676,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,1194,398,42,64,11
TOT,Basic Matierials,LSTM,regression,5,0.0016180065551156186,0.0317615982902205,-0.052786328388670256,-0.09759000729485331,0.0,0.0,0.0,0.609375,,,,,,1194,398,42,64,11
TSM,Technology,LSTM,regression,5,0.001066642284867971,0.024942244937264796,0.0013534355375413032,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,1194,398,42,64,11
UL,Consumer Goods,LSTM,regression,5,0.0006624336764584005,0.019152893080240027,0.12737760238198093,0.37053872305702945,0.717948717948718,0.5957446808510638,0.9032258064516129,0.65625,,,,,,1194,398,42,64,20
UN,Consumer Goods,LSTM,regression,5,0.0010674608471178196,0.024659146955830706,-0.1667475094142612,-0.16043612574988464,0.28,0.35,0.23333333333333334,0.4375,,,,,,1194,398,42,64,20
UNH,Healthcare,LSTM,regression,5,0.0008829310971400852,0.02448822833093736,-0.18426697222412192,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,1194,398,42,64,12
UPS,Services,LSTM,regression,5,0.0004992694039195656,0.017454027763849606,-0.07327371690112905,0.10421364855284106,0.5842696629213483,0.4126984126984127,1.0,0.421875,,,,,,1194,398,42,64,11
UTX,Industrial Goods,LSTM,regression,5,0.000918890029799516,0.022897365435578743,-0.004570399256349944,0.11758880779399589,0.13793103448275862,0.6666666666666666,0.07692307692307693,0.609375,,,,,,1194,398,42,64,11
V,Financial,LSTM,regression,5,0.0006828093103793888,0.02129819421248451,-0.09452667964448103,0.3126409456585232,0.34782608695652173,1.0,0.21052631578947367,0.53125,,,,,,1194,398,42,64,19
VZ,Technology,LSTM,regression,5,0.00038236704860815797,0.01641588874666028,-0.08573177040683344,-0.29277002188455997,0.6666666666666666,0.5714285714285714,0.8,0.5,,,,,,1194,398,42,64,17
WFC,Financial,LSTM,regression,5,0.0006794596391487296,0.01925104572619713,-0.005539142706289857,0.0,0.72,0.5625,1.0,0.5625,,,,,,1194,398,42,64,11
WMT,Services,LSTM,regression,5,0.0017305826235968036,0.028602510341280307,-0.013358053730112784,0.0,0.0,0.0,0.0,0.484375,,,,,,1194,398,42,64,11
