company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiGRU,regression,5,0.0015172808144572024,0.029745841418923377,-0.04584586025579851,-0.057616044624748175,0.6046511627906976,0.4727272727272727,0.8387096774193549,0.46875,,,,,,1199,398,42,64,11
ABB,Industrial Goods,BiGRU,regression,5,0.00100086496420702,0.024929036228705126,-0.043174576667567965,0.0,0.0,0.0,0.0,0.578125,,,,,,1199,398,42,64,11
ABBV,Healthcare,BiGRU,regression,5,0.004821592786613392,0.047206670231488945,-0.1320575475281287,-0.14547859349066158,0.22727272727272727,0.3125,0.17857142857142858,0.46875,,,,,,1118,398,42,64,14
AEP,Utilities,BiGRU,regression,5,0.00044889213937515817,0.017014350233320735,0.06931174684310559,-0.09847634407689815,0.4927536231884058,0.5151515151515151,0.4722222222222222,0.453125,,,,,,1199,398,42,64,20
AGFS,Conglomerates,BiGRU,regression,5,0.010909097374457574,0.07617978941099421,-0.08616061906805683,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,642,120,42,64,11
AMGN,Healthcare,BiGRU,regression,5,0.0011806681300425962,0.026937448724224017,-0.0021530851003881413,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,1199,398,42,64,11
AMZN,Services,BiGRU,regression,5,0.0019194659449718052,0.03382623658869255,-0.08803995717216018,0.06288935045183028,0.23529411764705882,0.75,0.13953488372093023,0.390625,,,,,,1199,398,42,64,11
BA,Industrial Goods,BiGRU,regression,5,0.0010894828759183814,0.026231645299293616,0.13258820814901506,0.21057989315866538,0.6585365853658537,0.5192307692307693,0.9,0.5625,,,,,,1199,398,42,64,20
BABA,Services,BiGRU,regression,5,0.0044827143932143565,0.0538862221715599,-0.20719865488997335,0.0,0.0,0.0,0.0,0.375,,,,,,686,164,42,64,11
BAC,Financial,BiGRU,regression,5,0.001200638849106385,0.025762114765313912,-0.0004855607062226319,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,1199,398,42,64,11
BBL,Basic Matierials,BiGRU,regression,5,0.00481914710962345,0.056561017507379754,0.02337110853211688,0.0,0.0,0.0,0.0,0.734375,,,,,,1199,398,42,64,20
BCH,Financial,BiGRU,regression,5,0.0005085828256131531,0.01899927984231478,-0.216950672834197,-0.012955005512625914,0.4067796610169492,0.3076923076923077,0.6,0.453125,,,,,,1199,398,42,64,20
BHP,Basic Matierials,BiGRU,regression,5,0.004586856355668915,0.053608209602326234,-0.07155837606059912,0.0,0.0,0.0,0.0,0.734375,,,,,,1199,398,42,64,11
BP,Basic Matierials,BiGRU,regression,5,0.002041271430801616,0.033424527210884736,-0.006904958764880398,0.0,0.0,0.0,0.0,0.640625,,,,,,1199,398,42,64,11
BRK-A,Financial,BiGRU,regression,5,0.00036871853952074164,0.01642679835231234,-0.061897756328531894,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1199,398,42,64,12
BSAC,Financial,BiGRU,regression,5,0.0010440419795128449,0.02594672521039415,-0.026076292612421836,0.0,0.0,0.0,0.0,0.640625,,,,,,1199,398,42,64,11
BUD,Consumer Goods,BiGRU,regression,5,0.0007029765601543309,0.0208504318081479,-0.013045039351592846,0.0,0.8148148148148148,0.6875,1.0,0.6875,,,,,,1199,398,42,64,11
C,Financial,BiGRU,regression,5,0.001029329134876955,0.024282313734764215,0.0007378800981358014,0.0,0.0,0.0,0.0,0.453125,,,,,,1199,398,42,64,11
CAT,Industrial Goods,BiGRU,regression,5,0.0015759785536101612,0.031724794050776856,-0.006213567204419013,0.21219567654480426,0.3333333333333333,0.7777777777777778,0.21212121212121213,0.5625,,,,,,1199,398,42,64,11
CELG,Healthcare,BiGRU,regression,5,0.0023117937254987166,0.03638899156634068,0.05040843526812799,0.4023739080814782,0.7555555555555555,0.6071428571428571,1.0,0.65625,,,,,,1199,398,42,64,11
CHL,Technology,BiGRU,regression,5,0.0006857795860447076,0.01858326222980504,-0.04700667334372022,-0.17407765595569785,0.0,0.0,0.0,0.625,,,,,,1199,398,42,64,20
