company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained,best_threshold,best_threshold_metric
AAPL,Consumer Goods,BiGRU,classification,1,,,,0.13937096857629283,0.6206896551724138,0.4576271186440678,0.9642857142857143,0.484375,0.5238095238095238,0.15617376188860607,0.6774193548387096,0.5121951219512195,1.0,1203,398,42,64,20,0.49499999999999994,0.15617376188860607
ABB,Industrial Goods,BiGRU,classification,1,,,,0.040522044923655395,0.7021276595744681,0.5689655172413793,0.9166666666666666,0.5625,0.4523809523809524,0.2418254167033372,0.5660377358490566,0.39473684210526316,1.0,1203,398,42,64,20,0.5299999999999999,0.2418254167033372
ABBV,Healthcare,BiGRU,classification,1,,,,0.21057989315866538,0.391304347826087,0.75,0.2647058823529412,0.5625,0.6190476190476191,0.30515145240827973,0.2727272727272727,1.0,0.15789473684210525,1122,398,42,64,20,0.6749999999999999,0.30515145240827973
AEP,Utilities,BiGRU,classification,1,,,,-0.024049303512194094,0.7021276595744681,0.5892857142857143,0.868421052631579,0.5625,0.6190476190476191,0.30515145240827973,0.7419354838709677,0.5897435897435898,1.0,1203,398,42,64,20,0.4599999999999999,0.30515145240827973
AGFS,Conglomerates,BiGRU,classification,1,,,,0.0,0.5617977528089888,0.390625,1.0,0.390625,0.5952380952380952,0.4,0.6666666666666666,0.5,1.0,646,120,42,64,20,0.4499999999999999,0.4
AMGN,Healthcare,BiGRU,classification,1,,,,0.08571428571428572,0.36,0.6428571428571429,0.25,0.5,0.7380952380952381,0.4267429637493243,0.56,0.7777777777777778,0.4375,1203,398,42,64,20,0.5199999999999999,0.4267429637493243
AMZN,Services,BiGRU,classification,1,,,,0.05336656748043667,0.10526315789473684,0.6666666666666666,0.05714285714285714,0.46875,0.5952380952380952,0.3504998186163908,0.7017543859649122,0.5405405405405406,1.0,1203,398,42,64,20,0.3549999999999999,0.3504998186163908
BA,Industrial Goods,BiGRU,classification,1,,,,0.16348734079150698,0.10810810810810811,1.0,0.05714285714285714,0.484375,0.6904761904761905,0.37284851924962253,0.6486486486486487,0.6666666666666666,0.631578947368421,1203,398,42,64,20,0.6399999999999999,0.37284851924962253
BABA,Services,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.484375,0.6904761904761905,0.30697030675746023,0.43478260869565216,0.7142857142857143,0.3125,690,164,42,64,20,0.575,0.30697030675746023
BAC,Financial,BiGRU,classification,1,,,,-0.10762440050012628,0.0,0.0,0.0,0.5625,0.6190476190476191,0.25819888974716115,0.2,1.0,0.1111111111111111,1203,398,42,64,20,0.6649999999999999,0.25819888974716115
BBL,Basic Matierials,BiGRU,classification,1,,,,-0.006218862180418794,0.2631578947368421,0.38461538461538464,0.2,0.5625,0.5238095238095238,0.21320071635561041,0.16666666666666666,1.0,0.09090909090909091,1203,398,42,64,20,0.57,0.21320071635561041
BCH,Financial,BiGRU,classification,1,,,,0.2511236011669613,0.34285714285714286,0.75,0.2222222222222222,0.640625,0.6190476190476191,0.40646942234853023,0.4666666666666667,1.0,0.30434782608695654,1203,398,42,64,20,0.585,0.40646942234853023
BHP,Basic Matierials,BiGRU,classification,1,,,,0.05450410372491957,0.40816326530612246,0.47619047619047616,0.35714285714285715,0.546875,0.6190476190476191,0.2575131013123024,0.68,0.5862068965517241,0.8095238095238095,1203,398,42,64,20,0.4699999999999999,0.2575131013123024
BP,Basic Matierials,BiGRU,classification,1,,,,0.17320807746235187,0.3684210526315789,0.5833333333333334,0.2692307692307692,0.625,0.6190476190476191,0.2494279176201373,0.6190476190476191,0.5652173913043478,0.6842105263157895,1203,398,42,64,20,0.62,0.2494279176201373
BRK-A,Financial,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.5625,0.6428571428571429,0.2994707853302705,0.5161290322580645,0.7272727272727273,0.4,1203,398,42,64,20,0.6749999999999999,0.2994707853302705
BSAC,Financial,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.5625,0.6666666666666666,0.2850438562747845,0.2222222222222222,1.0,0.125,1203,398,42,64,20,0.565,0.2850438562747845
BUD,Consumer Goods,BiGRU,classification,1,,,,0.0,0.0,0.0,0.0,0.5,0.6666666666666666,0.2773500981126146,0.5333333333333333,0.5714285714285714,0.5,1203,398,42,64,20,0.6449999999999999,0.2773500981126146
C,Financial,BiGRU,classification,1,,,,-0.007040915115573488,0.2926829268292683,0.4,0.23076923076923078,0.546875,0.5952380952380952,0.2034988076276673,0.6222222222222222,0.56,0.7,1203,398,42,64,20,0.5249999999999999,0.2034988076276673
CAT,Industrial Goods,BiGRU,classification,1,,,,0.0,0.6666666666666666,0.5,1.0,0.5,0.5,0.14890583938253493,0.6557377049180327,0.4878048780487805,1.0,1203,398,42,64,20,0.5199999999999999,0.14890583938253493
CELG,Healthcare,BiGRU,classification,1,,,,0.13471563869719666,0.3829787234042553,0.6428571428571429,0.2727272727272727,0.546875,0.7142857142857143,0.4457893447634325,0.45454545454545453,1.0,0.29411764705882354,1203,398,42,64,20,0.575,0.4457893447634325
CHL,Technology,BiGRU,classification,1,,,,0.09956278193761034,0.2926829268292683,0.6,0.1935483870967742,0.546875,0.6190476190476191,0.23532440241230695,0.38461538461538464,0.7142857142857143,0.2631578947368421,1203,398,42,64,20,0.5599999999999999,0.23532440241230695
CHTR,Services,BiGRU,classification,1,,,,0.19364916731037085,0.6388888888888888,0.575,0.71875,0.59375,0.7380952380952381,0.4620924277292432,0.6857142857142857,0.7058823529411765,0.6666666666666666,1203,398,42,64,20,0.37999999999999995,0.4620924277292432
CMCSA,Services,BiGRU,classification,1,,,,0.07036672182012485,0.2564102564102564,0.5555555555555556,0.16666666666666666,0.546875,0.6666666666666666,0.4044559769231354,0.4166666666666667,1.0,0.2631578947368421,1203,398,42,64,20,0.6649999999999999,0.4044559769231354
CODI,Conglomerates,BiGRU,classification,1,,,,0.016912483530155894,0.06451612903225806,0.5,0.034482758620689655,0.546875,0.5714285714285714,0.1718284961594735,0.1,1.0,0.05263157894736842,1203,398,42,64,20,0.5549999999999999,0.1718284961594735
