company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiLSTM,regression,5,0.0015737361705553512,0.030159720718988217,-0.08475994913237761,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1194,398,42,64,21
ABB,Industrial Goods,BiLSTM,regression,5,0.0011786144744313372,0.026705942520958134,-0.22843810043176527,0.0,0.0,0.0,0.0,0.578125,,,,,,1194,398,42,64,50
ABBV,Healthcare,BiLSTM,regression,5,0.0043584439757314315,0.04518822725812924,-0.0233152438555142,0.0,0.0,0.0,0.0,0.5625,,,,,,1113,398,42,64,48
AEP,Utilities,BiLSTM,regression,5,0.0004961299319332006,0.017858045064813033,-0.028626387471360593,0.0,0.72,0.5625,1.0,0.5625,,,,,,1194,398,42,64,21
AGFS,Conglomerates,BiLSTM,regression,5,0.010542671630741763,0.07294891693235914,-0.049677562865010794,0.22163308589607636,0.5625,0.43902439024390244,0.782608695652174,0.5625,,,,,,637,115,42,64,31
AMGN,Healthcare,BiLSTM,regression,5,0.0013443698269979291,0.029568245082167266,-0.14110335949632447,0.07252451488845175,0.2608695652173913,0.6666666666666666,0.16216216216216217,0.46875,,,,,,1194,398,42,64,50
AMZN,Services,BiLSTM,regression,5,0.0022261278047684095,0.0377971181074819,-0.26186974439682165,0.0,0.0,0.0,0.0,0.328125,,,,,,1194,398,42,64,21
BA,Industrial Goods,BiLSTM,regression,5,0.001345929684565538,0.028650026464443756,-0.07158662627927859,-0.02936860728761487,0.47619047619047616,0.45454545454545453,0.5,0.484375,,,,,,1194,398,42,64,50
BABA,Services,BiLSTM,regression,5,0.004207649761370299,0.051730200463924084,-0.13312352441264497,0.0,0.0,0.0,0.0,0.375,,,,,,681,159,42,64,21
BAC,Financial,BiLSTM,regression,5,0.0011937327977506796,0.02705255426458744,0.005269212819572711,0.1534264276484303,0.10256410256410256,1.0,0.05405405405405406,0.453125,,,,,,1194,398,42,64,22
BBL,Basic Matierials,BiLSTM,regression,5,0.006049732826372339,0.06458577579060046,-0.2260144231950072,0.0,0.0,0.0,0.0,0.734375,,,,,,1194,398,42,64,21
BCH,Financial,BiLSTM,regression,5,0.00042816045192837853,0.01688567355499815,-0.024513852639538536,0.0,0.0,0.0,0.0,0.6875,,,,,,1194,398,42,64,21
BHP,Basic Matierials,BiLSTM,regression,5,0.004855746117128556,0.05623990586158063,-0.13437505349435241,0.0,0.0,0.0,0.0,0.734375,,,,,,1194,398,42,64,21
BP,Basic Matierials,BiLSTM,regression,5,0.002048808046495456,0.03354502462590518,-0.010622571033353845,0.0,0.0,0.0,0.0,0.640625,,,,,,1194,398,42,64,21
BRK-A,Financial,BiLSTM,regression,5,0.00034826497908777975,0.01597380994207978,-0.0029921478366907728,0.05514348094667237,0.4230769230769231,0.5238095238095238,0.3548387096774194,0.53125,,,,,,1194,398,42,64,21
BSAC,Financial,BiLSTM,regression,5,0.0011012932622314236,0.02695069241182038,-0.0823424055388342,-0.16821229479875446,0.5116279069767442,0.3492063492063492,0.9565217391304348,0.34375,,,,,,1194,398,42,64,21
BUD,Consumer Goods,BiLSTM,regression,5,0.0007773576569812617,0.022837617421079634,-0.1202341057203351,0.0,0.0,0.0,0.0,0.3125,,,,,,1194,398,42,64,21
C,Financial,BiLSTM,regression,5,0.001071666231658124,0.025276717363424482,-0.040362537296635415,0.0,0.0,0.0,0.0,0.453125,,,,,,1194,398,42,64,21
CAT,Industrial Goods,BiLSTM,regression,5,0.0015894822109350675,0.032193403146383914,-0.014835234787441864,0.0,0.0,0.0,0.0,0.484375,,,,,,1194,398,42,64,22
CELG,Healthcare,BiLSTM,regression,5,0.0026022565760388024,0.03814846738048108,-0.06890198144361293,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,1194,398,42,64,21
CHL,Technology,BiLSTM,regression,5,0.0007852577487559968,0.01996829281806735,-0.1988838979362617,-0.26691907246540336,0.3783783783783784,0.25925925925925924,0.7,0.28125,,,,,,1194,398,42,64,21
CHTR,Services,BiLSTM,regression,5,0.000941705887669238,0.023717654859416154,-0.2407526436768197,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,1194,398,42,64,21
CMCSA,Services,BiLSTM,regression,5,0.0005031881918036176,0.018670612134421637,0.006061599435755904,0.0,0.0,0.0,0.0,0.5625,,,,,,1194,398,42,64,21
CODI,Conglomerates,BiLSTM,regression,5,0.0005941864853318572,0.018702691540231804,0.0008392286530832793,0.0,0.0,0.0,0.0,0.609375,,,,,,1194,398,42,64,21
CSCO,Technology,BiLSTM,regression,5,0.0012123222630185454,0.026038978878620174,-0.06936389724521397,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,1194,398,42,64,21
CVX,Basic Matierials,BiLSTM,regression,5,0.0018676439127656747,0.03314019068888459,-0.009305038861720627,-0.044946657497549475,0.6206896551724138,0.4909090909090909,0.84375,0.484375,,,,,,1194,398,42,64,23
D,Utilities,BiLSTM,regression,5,0.0005414009246456915,0.019812158078924294,-0.026683459407789822,-0.291111254869791,0.0,0.0,0.0,0.421875,,,,,,1194,398,42,64,21
DHR,Industrial Goods,BiLSTM,regression,5,0.0005575705257720115,0.01920673977774115,-0.012587336114054493,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1194,398,42,64,21
DIS,Services,BiLSTM,regression,5,0.0010774391565649408,0.02667189260781179,-0.014783525834376254,0.0,0.6938775510204082,0.53125,1.0,0.53125,,,,,,1194,398,42,64,21
DUK,Utilities,BiLSTM,regression,5,0.0006816661956048306,0.019978726830963467,-0.0478661647070695,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,1194,398,42,64,21
EXC,Utilities,BiLSTM,regression,5,0.0010117841946188965,0.023745360292452722,-0.06690708155222613,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,1194,398,42,64,21
FB,Technology,BiLSTM,regression,5,0.0009564929225434355,0.024548198792877174,-0.030764678454487937,0.0,0.7450980392156863,0.59375,1.0,0.59375,,,,,,1194,398,42,64,21
GD,Industrial Goods,BiLSTM,regression,5,0.0007231275359321487,0.022080370122683074,-0.13529952583126992,0.0,0.5777777777777777,0.40625,1.0,0.40625,,,,,,1194,398,42,64,21
GE,Industrial Goods,BiLSTM,regression,5,0.0007832891364639653,0.019500257080080005,0.019151874646205713,0.05708291742776447,0.6823529411764706,0.7073170731707317,0.6590909090909091,0.578125,,,,,,1194,398,42,64,23
GOOG,Technology,BiLSTM,regression,5,0.0012764527648617564,0.027013417107602924,-0.3540593753298509,0.0,0.0,0.0,0.0,0.34375,,,,,,1194,398,42,64,21
HD,Services,BiLSTM,regression,5,0.0007649548467156663,0.01924972660766204,-0.003764382472369876,0.0,0.7692307692307693,0.625,1.0,0.625,,,,,,1194,398,42,64,21
HON,Industrial Goods,BiLSTM,regression,5,0.0008195554672417616,0.021844667333664358,0.018044749468234866,0.0686780908582235,0.39215686274509803,0.5882352941176471,0.29411764705882354,0.515625,,,,,,1194,398,42,64,50
HRG,Conglomerates,BiLSTM,regression,5,0.0012545472513233772,0.028679321099899166,-0.024795205653608487,0.0,0.0,0.0,0.0,0.484375,,,,,,1194,398,42,64,21
HSBC,Financial,BiLSTM,regression,5,0.0008908111403376951,0.022647900925808533,-0.006449921357032817,0.0,0.0,0.0,0.0,0.515625,,,,,,1194,398,42,64,21
IEP,Conglomerates,BiLSTM,regression,5,0.0022059322369343973,0.03819719519793978,-0.04350109109190203,0.0,0.0,0.0,0.0,0.65625,,,,,,1194,398,42,64,21
INTC,Technology,BiLSTM,regression,5,0.0012682955019242175,0.027432686778080237,0.0025736001039208256,0.0,0.7070707070707071,0.546875,1.0,0.546875,,,,,,1194,398,42,64,21
JNJ,Healthcare,BiLSTM,regression,5,0.0003704461628334137,0.0160128185636753,-0.12225790808877424,-0.08979498134853403,0.6813186813186813,0.6326530612244898,0.7380952380952381,0.546875,,,,,,1194,398,42,64,23
