company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,BiLSTM,regression,5,0.0015219742330922724,0.02981661134689871,-0.04908098483073853,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1189,398,42,64,11
ABB,Industrial Goods,BiLSTM,regression,5,0.0010397203947924108,0.02534497036374768,-0.08367254472689067,0.05018131547624402,0.3333333333333333,0.4666666666666667,0.25925925925925924,0.5625,,,,,,1189,398,42,64,17
ABBV,Healthcare,BiLSTM,regression,5,0.0042823348454017985,0.04599633705316619,-0.005445647803214548,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,1108,398,42,64,11
AEP,Utilities,BiLSTM,regression,5,0.00048816764636801376,0.01770953488031629,-0.01211817760581213,-0.0678326525517921,0.651685393258427,0.5471698113207547,0.8055555555555556,0.515625,,,,,,1189,398,42,64,11
AGFS,Conglomerates,BiLSTM,regression,5,0.011503430109740902,0.07905602038554126,-0.14533515840246714,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,632,110,42,64,11
AMGN,Healthcare,BiLSTM,regression,5,0.001364428264756772,0.029276566977956914,-0.15812899504184674,-0.0949157995752499,0.4927536231884058,0.53125,0.4594594594594595,0.453125,,,,,,1189,398,42,64,20
AMZN,Services,BiLSTM,regression,5,0.0020588276003175665,0.03523095521058603,-0.16703643528684275,0.0,0.0,0.0,0.0,0.328125,,,,,,1189,398,42,64,11
BA,Industrial Goods,BiLSTM,regression,5,0.001300851876859761,0.027515477700279484,-0.03569710215819333,0.0,0.0,0.0,0.0,0.53125,,,,,,1189,398,42,64,11
BABA,Services,BiLSTM,regression,5,0.004005282737750371,0.05024281012019437,-0.07862591932813046,0.0,0.0,0.0,0.0,0.375,,,,,,676,154,42,64,11
BAC,Financial,BiLSTM,regression,5,0.001210346865906019,0.026656113493218975,-0.00857519618516478,0.0,0.0,0.0,0.0,0.421875,,,,,,1189,398,42,64,11
BBL,Basic Matierials,BiLSTM,regression,5,0.005506142303897436,0.060956511155564386,-0.11585256316027737,-0.013371421847515275,0.16,0.25,0.11764705882352941,0.671875,,,,,,1189,398,42,64,20
BCH,Financial,BiLSTM,regression,5,0.00043051861829805453,0.016975592572061993,-0.030156536595239203,0.0,0.0,0.0,0.0,0.6875,,,,,,1189,398,42,64,11
BHP,Basic Matierials,BiLSTM,regression,5,0.004780784678015587,0.05491325382544281,-0.11686293806396963,0.04930719946863266,0.17391304347826086,0.3333333333333333,0.11764705882352941,0.703125,,,,,,1189,398,42,64,17
BP,Basic Matierials,BiLSTM,regression,5,0.0021774188717621837,0.03679168978630604,-0.07406287385533439,0.0,0.0,0.0,0.0,0.640625,,,,,,1189,398,42,64,17
BRK-A,Financial,BiLSTM,regression,5,0.00038625300482362666,0.016613275629569796,-0.11239646297820571,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1189,398,42,64,11
BSAC,Financial,BiLSTM,regression,5,0.0010509348061603484,0.02611852663676298,-0.03285050873674922,0.0,0.0,0.0,0.0,0.640625,,,,,,1189,398,42,64,11
BUD,Consumer Goods,BiLSTM,regression,5,0.0007157875369730926,0.02102640005965055,-0.031506674135895585,0.0,0.8148148148148148,0.6875,1.0,0.6875,,,,,,1189,398,42,64,11
