company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,BiLSTM,classification,5,5,1,0.6617873781290485,0.71299128589176,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,2,0.566043691119956,1.123299241065979,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,3,0.5211436874303387,1.8887637172426497,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,4,0.4868317656780607,2.2364300035295033,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,5,0.45139854427558096,2.4086331867036366,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,6,0.4172693679680177,2.5520399638584683,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,7,0.38709737517725884,2.6834411848159063,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,8,0.35818420492824,2.7608951841081892,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,9,0.319284395656394,3.043777409053984,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,10,0.29454661284259814,3.1229066735222224,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,11,0.2797358687499061,3.251253684361776,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,12,0.26456297132837114,3.3194203036172047,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,13,0.2528127550180234,3.4771289144243513,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,14,0.24770218298662847,3.5675349008469355,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,15,0.23092516687647183,3.765400863829113,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,16,0.2239962632033094,3.827711854662214,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,17,0.2127418333861097,3.971950190407889,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,18,0.20816849359315842,4.041263444083078,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,19,0.19002145843290205,4.094414642878941,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,20,0.1901486018794266,4.1330583436148505,398,42,64
AAPL,Consumer Goods,BiLSTM,classification,5,5,21,0.18437429319075005,4.182833716982887,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,1,0.6527827064595629,0.6992597040675935,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,2,0.5804459668284085,1.0575677411896842,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,3,0.5387327519793007,1.9829144477844238,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,4,0.505966433029079,2.546431683358692,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,5,0.4745482034120128,2.8827054387047175,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,6,0.44322600211929436,3.214841297694615,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,7,0.4138154633081139,3.444604896363758,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,8,0.374197614327747,3.6152314912705195,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,9,0.3375030648169206,3.9858220531826927,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,10,0.3101506466841578,4.045275540578933,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,11,0.29104659560337737,4.272769042423794,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,12,0.2775789818272519,4.525278920219058,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,13,0.2613782094950652,4.643962973640079,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,14,0.25135289140083084,4.8282250336238315,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,15,0.23426155154429487,4.962808166231428,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,16,0.21927999791188454,4.992373318899245,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,17,0.20986842963114455,5.421857198079427,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,18,0.19310561009687394,5.372722580319359,398,42,64
ABB,Industrial Goods,BiLSTM,classification,5,5,19,0.19507228470777147,5.464361395154681,398,42,64
