company,sector,model_type,problem_type,sequence_length,horizon_steps,epoch,train_loss,val_loss,train_samples,val_samples,test_samples
AAPL,Consumer Goods,GRU,regression,5,5,1,0.15989279417536367,0.21447663009166718,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,2,0.16373616172440686,0.21715888381004333,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,3,0.1617370619246708,0.2209346443414688,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,4,0.16017366773519084,0.22579044103622437,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,5,0.1604361008459599,0.23149408400058746,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,6,0.1613886585487193,0.23941439390182495,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,7,0.15987270815887644,0.24613657593727112,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,8,0.16122349812157788,0.2498021423816681,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,9,0.16032245380794583,0.25417402386665344,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,10,0.16070378680325034,0.25513264536857605,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,11,0.16144122520283838,0.2577933073043823,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,12,0.15558253445817,0.25733068585395813,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,13,0.15941797683586428,0.25921517610549927,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,14,0.15928101404827444,0.2597690224647522,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,15,0.15896300499762722,0.2605153024196625,398,42,64
AAPL,Consumer Goods,GRU,regression,5,5,16,0.15814742176376995,0.25985589623451233,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,1,0.15717221197470949,0.23961444199085236,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,2,0.156984840056405,0.24173903465270996,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,3,0.15801506283594735,0.2442210167646408,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,4,0.15647864147047302,0.24775251746177673,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,5,0.15730409526345718,0.25242215394973755,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,6,0.15498490219739214,0.25760963559150696,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,7,0.15633544161092097,0.2632148563861847,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,8,0.15256234516750028,0.2669416069984436,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,9,0.15472719327888296,0.26966187357902527,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,10,0.1550981340995386,0.27202510833740234,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,11,0.15085064002017878,0.274384468793869,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,12,0.15283461334417814,0.276304692029953,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,13,0.15292123252123443,0.2761746942996979,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,14,0.1530068331028349,0.2785987854003906,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,15,0.1553456903851811,0.276989221572876,398,42,64
ABB,Industrial Goods,GRU,regression,5,5,16,0.15362736814884684,0.27845850586891174,398,42,64
ABBV,Healthcare,GRU,regression,5,5,1,0.16003732847508473,0.2335391491651535,398,42,64
ABBV,Healthcare,GRU,regression,5,5,2,0.15882878484737933,0.23179104924201965,398,42,64
ABBV,Healthcare,GRU,regression,5,5,3,0.15901225816514625,0.22836948931217194,398,42,64
ABBV,Healthcare,GRU,regression,5,5,4,0.15839579297070527,0.2236749827861786,398,42,64
ABBV,Healthcare,GRU,regression,5,5,5,0.15890957104351053,0.21848611533641815,398,42,64
ABBV,Healthcare,GRU,regression,5,5,6,0.1567915783605384,0.21326351165771484,398,42,64
ABBV,Healthcare,GRU,regression,5,5,7,0.157313886224924,0.20916400849819183,398,42,64
ABBV,Healthcare,GRU,regression,5,5,8,0.15708284825086594,0.2063060998916626,398,42,64
ABBV,Healthcare,GRU,regression,5,5,9,0.15554914842523523,0.2057652771472931,398,42,64
ABBV,Healthcare,GRU,regression,5,5,10,0.15407768049132284,0.204246386885643,398,42,64
ABBV,Healthcare,GRU,regression,5,5,11,0.1510361162524427,0.2042045146226883,398,42,64
ABBV,Healthcare,GRU,regression,5,5,12,0.15362497228174354,0.2033332735300064,398,42,64
ABBV,Healthcare,GRU,regression,5,5,13,0.1554269641263401,0.2025897204875946,398,42,64
ABBV,Healthcare,GRU,regression,5,5,14,0.15266495111899162,0.2029380351305008,398,42,64
ABBV,Healthcare,GRU,regression,5,5,15,0.15233468616278328,0.2034236341714859,398,42,64
ABBV,Healthcare,GRU,regression,5,5,16,0.15025058763111057,0.20274469256401062,398,42,64
ABBV,Healthcare,GRU,regression,5,5,17,0.15108343079012243,0.2018866091966629,398,42,64
ABBV,Healthcare,GRU,regression,5,5,18,0.14794447591256857,0.20209047198295593,398,42,64
ABBV,Healthcare,GRU,regression,5,5,19,0.14992712089913574,0.20089226961135864,398,42,64
ABBV,Healthcare,GRU,regression,5,5,20,0.14895915296209516,0.2005564421415329,398,42,64
ABBV,Healthcare,GRU,regression,5,5,21,0.15150325449567345,0.2012455314397812,398,42,64
ABBV,Healthcare,GRU,regression,5,5,22,0.15034078787918667,0.20122748613357544,398,42,64
ABBV,Healthcare,GRU,regression,5,5,23,0.1498744955763745,0.2015601098537445,398,42,64
ABBV,Healthcare,GRU,regression,5,5,24,0.14813404608911007,0.20148445665836334,398,42,64
ABBV,Healthcare,GRU,regression,5,5,25,0.14824284294891596,0.2016228288412094,398,42,64
ABBV,Healthcare,GRU,regression,5,5,26,0.15010764891628045,0.2016667276620865,398,42,64
ABBV,Healthcare,GRU,regression,5,5,27,0.14636267562532546,0.20172962546348572,398,42,64
AEP,Utilities,GRU,regression,5,5,1,0.16780267648361435,0.19884593784809113,398,42,64
AEP,Utilities,GRU,regression,5,5,2,0.16695968492246752,0.19837836921215057,398,42,64
AEP,Utilities,GRU,regression,5,5,3,0.1705569028105568,0.198095440864563,398,42,64
AEP,Utilities,GRU,regression,5,5,4,0.16827039173500022,0.19800709187984467,398,42,64
AEP,Utilities,GRU,regression,5,5,5,0.1690500875064476,0.19824646413326263,398,42,64
AEP,Utilities,GRU,regression,5,5,6,0.1658085747130552,0.19871151447296143,398,42,64
AEP,Utilities,GRU,regression,5,5,7,0.16351129923334073,0.1992313712835312,398,42,64
AEP,Utilities,GRU,regression,5,5,8,0.16331615826891893,0.1999264508485794,398,42,64
AEP,Utilities,GRU,regression,5,5,9,0.1660044872056899,0.20028643310070038,398,42,64
AEP,Utilities,GRU,regression,5,5,10,0.16460150495246428,0.19994458556175232,398,42,64
AEP,Utilities,GRU,regression,5,5,11,0.1630151052421062,0.19953064620494843,398,42,64
AEP,Utilities,GRU,regression,5,5,12,0.16557854518818496,0.19932807981967926,398,42,64
AEP,Utilities,GRU,regression,5,5,13,0.16486731074263702,0.1991215944290161,398,42,64
AEP,Utilities,GRU,regression,5,5,14,0.16161953695305628,0.1987922638654709,398,42,64
AEP,Utilities,GRU,regression,5,5,15,0.16145891370485776,0.19822734594345093,398,42,64
AEP,Utilities,GRU,regression,5,5,16,0.15891460348014255,0.19813401997089386,398,42,64
AGFS,Conglomerates,GRU,regression,5,5,1,0.1491654356320699,0.3739313781261444,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,2,0.14500990509986877,0.3741592466831207,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,3,0.145990792910258,0.37431567907333374,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,4,0.14631054401397706,0.3744787871837616,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,5,0.14530232548713684,0.37469199299812317,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,6,0.15058161020278932,0.37486040592193604,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,7,0.14524586300055187,0.3750632107257843,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,8,0.1397010177373886,0.37523919343948364,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,9,0.14525996446609496,0.3755042850971222,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,10,0.14440134763717652,0.3757075071334839,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,11,0.14632439315319062,0.3760068714618683,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,12,0.1427484134833018,0.37641847133636475,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,13,0.14353866279125213,0.3768143057823181,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,14,0.14617744982242584,0.37721288204193115,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,15,0.13753366669019063,0.37766870856285095,120,42,64
AGFS,Conglomerates,GRU,regression,5,5,16,0.14565309484799702,0.3782588839530945,120,42,64
AMGN,Healthcare,GRU,regression,5,5,1,0.157283595084545,0.27779248356819153,398,42,64
AMGN,Healthcare,GRU,regression,5,5,2,0.1537608308858009,0.278022825717926,398,42,64
AMGN,Healthcare,GRU,regression,5,5,3,0.1535074045160907,0.2776229977607727,398,42,64
AMGN,Healthcare,GRU,regression,5,5,4,0.15408502047385403,0.2767992317676544,398,42,64
AMGN,Healthcare,GRU,regression,5,5,5,0.1522239288642778,0.2755851745605469,398,42,64
AMGN,Healthcare,GRU,regression,5,5,6,0.156094739634787,0.27591800689697266,398,42,64
AMGN,Healthcare,GRU,regression,5,5,7,0.154679910846092,0.2754300832748413,398,42,64
AMGN,Healthcare,GRU,regression,5,5,8,0.15436259503640123,0.27425140142440796,398,42,64
AMGN,Healthcare,GRU,regression,5,5,9,0.1524872208510212,0.27443233132362366,398,42,64
AMGN,Healthcare,GRU,regression,5,5,10,0.1538748255926161,0.27391529083251953,398,42,64
AMGN,Healthcare,GRU,regression,5,5,11,0.15294278604001854,0.2726939022541046,398,42,64
AMGN,Healthcare,GRU,regression,5,5,12,0.15357903065393919,0.2719479501247406,398,42,64
AMGN,Healthcare,GRU,regression,5,5,13,0.1502778312219447,0.2701958119869232,398,42,64
AMGN,Healthcare,GRU,regression,5,5,14,0.15202955429877468,0.26938456296920776,398,42,64
AMGN,Healthcare,GRU,regression,5,5,15,0.14908820323309108,0.2688816785812378,398,42,64
AMGN,Healthcare,GRU,regression,5,5,16,0.14943340922420348,0.26788198947906494,398,42,64
AMGN,Healthcare,GRU,regression,5,5,17,0.15292124113245825,0.26642078161239624,398,42,64
AMGN,Healthcare,GRU,regression,5,5,18,0.15020700809943616,0.2656124234199524,398,42,64
AMGN,Healthcare,GRU,regression,5,5,19,0.14896084053732042,0.26475951075553894,398,42,64
AMGN,Healthcare,GRU,regression,5,5,20,0.15013812931638268,0.26406383514404297,398,42,64
AMGN,Healthcare,GRU,regression,5,5,21,0.14866600234304841,0.26350104808807373,398,42,64
AMGN,Healthcare,GRU,regression,5,5,22,0.14977310575432515,0.26187238097190857,398,42,64
AMGN,Healthcare,GRU,regression,5,5,23,0.14899152337606228,0.26247137784957886,398,42,64
AMGN,Healthcare,GRU,regression,5,5,24,0.14975515599526354,0.2620091140270233,398,42,64
AMGN,Healthcare,GRU,regression,5,5,25,0.14528346683212262,0.260543555021286,398,42,64
AMGN,Healthcare,GRU,regression,5,5,26,0.14769197311533155,0.25935718417167664,398,42,64
AMGN,Healthcare,GRU,regression,5,5,27,0.1479433227573807,0.25830787420272827,398,42,64
AMGN,Healthcare,GRU,regression,5,5,28,0.14764075954655306,0.2584766447544098,398,42,64
AMGN,Healthcare,GRU,regression,5,5,29,0.14941144483772353,0.25870200991630554,398,42,64
AMGN,Healthcare,GRU,regression,5,5,30,0.14838274055389902,0.257845401763916,398,42,64
AMGN,Healthcare,GRU,regression,5,5,31,0.14553673475531478,0.25650179386138916,398,42,64
AMGN,Healthcare,GRU,regression,5,5,32,0.14906181312685635,0.256275475025177,398,42,64
AMGN,Healthcare,GRU,regression,5,5,33,0.14717549070641023,0.25515827536582947,398,42,64
AMGN,Healthcare,GRU,regression,5,5,34,0.14658171604925663,0.2539350092411041,398,42,64
AMGN,Healthcare,GRU,regression,5,5,35,0.14765589111414387,0.2534828782081604,398,42,64
AMGN,Healthcare,GRU,regression,5,5,36,0.14815830869890337,0.25351402163505554,398,42,64
AMGN,Healthcare,GRU,regression,5,5,37,0.1448456548416435,0.25282779335975647,398,42,64
AMGN,Healthcare,GRU,regression,5,5,38,0.14471460519424037,0.2527097165584564,398,42,64
AMGN,Healthcare,GRU,regression,5,5,39,0.14617362670862494,0.2522648572921753,398,42,64
AMGN,Healthcare,GRU,regression,5,5,40,0.14630105552361838,0.2528550922870636,398,42,64
AMGN,Healthcare,GRU,regression,5,5,41,0.1451689469904157,0.2521882653236389,398,42,64
AMGN,Healthcare,GRU,regression,5,5,42,0.14299033312641796,0.25231316685676575,398,42,64
AMGN,Healthcare,GRU,regression,5,5,43,0.14215506291269658,0.2513585388660431,398,42,64
AMGN,Healthcare,GRU,regression,5,5,44,0.14587030600962328,0.25130268931388855,398,42,64
AMGN,Healthcare,GRU,regression,5,5,45,0.14361470308735144,0.25098177790641785,398,42,64
AMZN,Services,GRU,regression,5,5,1,0.15343926322819598,0.1812037080526352,398,42,64
AMZN,Services,GRU,regression,5,5,2,0.15631319447677938,0.18068842589855194,398,42,64
AMZN,Services,GRU,regression,5,5,3,0.1559770671117246,0.18047566711902618,398,42,64
AMZN,Services,GRU,regression,5,5,4,0.1551858883856529,0.18033288419246674,398,42,64
AMZN,Services,GRU,regression,5,5,5,0.15159612886570206,0.18168379366397858,398,42,64
AMZN,Services,GRU,regression,5,5,6,0.15468337914752,0.18162879347801208,398,42,64
AMZN,Services,GRU,regression,5,5,7,0.15189242482784404,0.18238523602485657,398,42,64
AMZN,Services,GRU,regression,5,5,8,0.14994812206407288,0.18316425383090973,398,42,64
AMZN,Services,GRU,regression,5,5,9,0.15099615562501265,0.1833103448152542,398,42,64
AMZN,Services,GRU,regression,5,5,10,0.14757720220029055,0.1869303584098816,398,42,64
AMZN,Services,GRU,regression,5,5,11,0.1502684862469908,0.1903020739555359,398,42,64
AMZN,Services,GRU,regression,5,5,12,0.15052759946890212,0.19251464307308197,398,42,64
AMZN,Services,GRU,regression,5,5,13,0.1488413089633587,0.1966911107301712,398,42,64
AMZN,Services,GRU,regression,5,5,14,0.14903925119632452,0.19687288999557495,398,42,64
AMZN,Services,GRU,regression,5,5,15,0.1462207495716948,0.1982286125421524,398,42,64
AMZN,Services,GRU,regression,5,5,16,0.1495668449294028,0.1999826282262802,398,42,64
