company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,LSTM,regression,5,0.0017263675784417267,0.031032403569364195,-0.18996718866376683,-0.12998877418150556,0.6382978723404256,0.47619047619047616,0.967741935483871,0.46875,,,,,,1194,398,42,64,28
ABB,Industrial Goods,LSTM,regression,5,0.0009836305447479725,0.024746614725169744,-0.02521160577114201,0.0,0.0,0.0,0.0,0.578125,,,,,,1194,398,42,64,16
ABBV,Healthcare,LSTM,regression,5,0.00424068441687185,0.04545940938519277,0.004333419833110419,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,1113,398,42,64,16
AEP,Utilities,LSTM,regression,5,0.0004931613199045523,0.01781982073417543,-0.02247156295808428,0.0,0.72,0.5625,1.0,0.5625,,,,,,1194,398,42,64,16
AGFS,Conglomerates,LSTM,regression,5,0.01152377497220152,0.07903318585485895,-0.14736078780575923,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,637,115,42,64,16
AMGN,Healthcare,LSTM,regression,5,0.0010078936004372834,0.024851339706635944,0.1444982248358645,0.05018131547624402,0.6744186046511628,0.5918367346938775,0.7837837837837838,0.5625,,,,,,1194,398,42,64,30
AMZN,Services,LSTM,regression,5,0.0018412462827507622,0.032315712110748546,-0.0437015211837819,0.0,0.8037383177570093,0.671875,1.0,0.671875,,,,,,1194,398,42,64,16
BA,Industrial Goods,LSTM,regression,5,0.0011087393236402711,0.026291607116852245,0.11725683379487561,0.35668298800561243,0.5531914893617021,0.7647058823529411,0.43333333333333335,0.671875,,,,,,1194,398,42,64,23
BABA,Services,LSTM,regression,5,0.0045824231618259385,0.054773159149182,-0.23405030788192915,0.0,0.0,0.0,0.0,0.375,,,,,,681,159,42,64,16
BAC,Financial,LSTM,regression,5,0.0011925862764105663,0.026318940906502747,0.0062246025661885085,0.1825198804061038,0.4727272727272727,0.7222222222222222,0.35135135135135137,0.546875,,,,,,1194,398,42,64,16
BBL,Basic Matierials,LSTM,regression,5,0.005659324390744072,0.062009124850853276,-0.14689582626611264,0.2228503540035312,0.46511627906976744,0.38461538461538464,0.5882352941176471,0.640625,,,,,,1194,398,42,64,22
