company,sector,model_type,problem_type,horizon_steps,mse,mae,r2,mcc,f1,precision,recall,directional_accuracy,val_directional_accuracy,val_mcc,val_f1,val_precision,val_recall,n_samples,train_samples,val_samples,test_samples,epochs_trained
AAPL,Consumer Goods,GRU,regression,5,0.0017322760771084581,0.031432297577350596,-0.19403985524733436,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1189,398,42,64,11
ABB,Industrial Goods,GRU,regression,5,0.0009471247681620399,0.023923414396482975,0.01283738125292,0.0,0.0,0.0,0.0,0.578125,,,,,,1189,398,42,64,11
ABBV,Healthcare,GRU,regression,5,0.0045028770634685245,0.04770578315840032,-0.057226562028116046,0.0,0.6086956521739131,0.4375,1.0,0.4375,,,,,,1108,398,42,64,11
AEP,Utilities,GRU,regression,5,0.000518155845486083,0.018301944290899402,-0.07429272290162925,-0.41360064512297223,0.34782608695652173,0.36363636363636365,0.3333333333333333,0.296875,,,,,,1189,398,42,64,11
AGFS,Conglomerates,GRU,regression,5,0.011091005684018102,0.07739515438479348,-0.10427225886224378,0.0,0.5287356321839081,0.359375,1.0,0.359375,,,,,,632,110,42,64,11
AMGN,Healthcare,GRU,regression,5,0.0011230938121414636,0.026130052169632184,0.046716092307736545,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,1189,398,42,64,11
AMZN,Services,GRU,regression,5,0.0017617638957537272,0.031001795489036005,0.0013526842168068987,0.0,0.8037383177570093,0.671875,1.0,0.671875,,,,,,1189,398,42,64,11
BA,Industrial Goods,GRU,regression,5,0.001290965092908615,0.028112313805066014,-0.027825557618791574,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,1189,398,42,64,11
BABA,Services,GRU,regression,5,0.004239848216245736,0.05171485959397422,-0.14179459466284894,0.0,0.0,0.0,0.0,0.375,,,,,,676,154,42,64,11
BAC,Financial,GRU,regression,5,0.0012669561560131792,0.026229624105377075,-0.05574739738138401,0.0,0.7326732673267327,0.578125,1.0,0.578125,,,,,,1189,398,42,64,11
BBL,Basic Matierials,GRU,regression,5,0.0055699387979642,0.061162142593218505,-0.128781303010435,0.0,0.0,0.0,0.0,0.734375,,,,,,1189,398,42,64,11
BCH,Financial,GRU,regression,5,0.0004630463469028397,0.017775359868329732,-0.10798976103343705,0.0,0.0,0.0,0.0,0.6875,,,,,,1189,398,42,64,11
BHP,Basic Matierials,GRU,regression,5,0.004771051581490806,0.05553881555427827,-0.11458914087098693,0.0,0.0,0.0,0.0,0.734375,,,,,,1189,398,42,64,11
BP,Basic Matierials,GRU,regression,5,0.0020603097245566323,0.03390619522564822,-0.01629604321307654,0.0,0.0,0.0,0.0,0.640625,,,,,,1189,398,42,64,11
BRK-A,Financial,GRU,regression,5,0.00035658615899255707,0.016076575546899258,-0.02695688332944468,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1189,398,42,64,11
BSAC,Financial,GRU,regression,5,0.0010682940607824286,0.02634939521078651,-0.04991104842256733,0.0,0.0,0.0,0.0,0.640625,,,,,,1189,398,42,64,11
BUD,Consumer Goods,GRU,regression,5,0.0006746642776737175,0.019546858419362476,0.027755207691366524,0.0,0.8148148148148148,0.6875,1.0,0.6875,,,,,,1189,398,42,64,11
C,Financial,GRU,regression,5,0.001028198018112763,0.02411161373368776,0.001835956599951838,0.13314386189201055,0.4,0.6666666666666666,0.2857142857142857,0.53125,,,,,,1189,398,42,64,11
CAT,Industrial Goods,GRU,regression,5,0.0018767064653569575,0.0336806860415477,-0.19821903843593347,0.0,0.6804123711340206,0.515625,1.0,0.515625,,,,,,1189,398,42,64,13
CELG,Healthcare,GRU,regression,5,0.0024122438716123896,0.03759776906619908,0.00914756913914394,-0.012967780080514722,0.6436781609195402,0.5283018867924528,0.8235294117647058,0.515625,,,,,,1189,398,42,64,11
CHL,Technology,GRU,regression,5,0.0008104570263684325,0.020471685986546015,-0.23735662643468802,0.0,0.47619047619047616,0.3125,1.0,0.3125,,,,,,1189,398,42,64,11
CHTR,Services,GRU,regression,5,0.0010464575357159427,0.025260645637770474,-0.3787690731643065,0.0,0.6382978723404256,0.46875,1.0,0.46875,,,,,,1189,398,42,64,11
CMCSA,Services,GRU,regression,5,0.0005482591213160949,0.019078639181298297,-0.08296618047100912,0.23809523809523808,0.6428571428571429,0.48214285714285715,0.9642857142857143,0.53125,,,,,,1189,398,42,64,11
CODI,Conglomerates,GRU,regression,5,0.0005839270697453426,0.01895800957708576,0.018091060938136616,0.21057989315866538,0.5454545454545454,0.5,0.6,0.609375,,,,,,1189,398,42,64,13
CSCO,Technology,GRU,regression,5,0.0011317065446408094,0.025916096430196926,0.0017455275450156682,-0.18385377391488594,0.05263157894736842,0.2,0.030303030303030304,0.4375,,,,,,1189,398,42,64,11
CVX,Basic Matierials,GRU,regression,5,0.0018218271463429643,0.03153718827470105,0.015455084253136908,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,1189,398,42,64,11
D,Utilities,GRU,regression,5,0.000563240350884965,0.019828373518858536,-0.0680985672550698,0.0,0.6666666666666666,0.5,1.0,0.5,,,,,,1189,398,42,64,11
DHR,Industrial Goods,GRU,regression,5,0.0005468702767427472,0.018512892450726848,0.006845069580808549,0.0,0.6526315789473685,0.484375,1.0,0.484375,,,,,,1189,398,42,64,11
DIS,Services,GRU,regression,5,0.0010888803504918152,0.028059431881841693,-0.025559387322354965,0.0,0.0,0.0,0.0,0.46875,,,,,,1189,398,42,64,11
