number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_horizon_steps,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
92,0.1579627259197177,2026-03-13 17:46:58.873594,2026-03-13 18:18:28.810038,0 days 00:31:29.936444,32,4,0.0,0.005939812901549323,20,meta,128,32,5,0.8349529726088154,0.30000000000000004,0.07322329284048491,0.0038330582305675254,0.8,7,30,BiLSTM,6,1,corn,15,3.386048372087594,0.7717832199574346,21,0.8397507212856706,0.2245481797545696,21,3.147462367250134e-06,0.53125,0.12278372829474457,0.1579627259197177,0.21341911764705881,COMPLETE,0.12278372829474457,0.21341911764705881,0.53125,0.1579627259197177
80,0.1543103747277019,2026-03-13 08:51:37.358479,2026-03-13 09:48:04.437118,0 days 00:56:27.078639,32,4,0.1,0.007357137853082331,10,meta,128,128,5,0.8606450463999014,0.30000000000000004,0.041449151916490554,0.001159597028014354,0.4,10,20,BiLSTM,6,1,corn,10,3.3945989593227295,0.675176839772229,21,0.8191956231083957,0.11703788288720869,41,1.2340404475354738e-05,0.5402573529411765,0.11775589009423573,0.1543103747277019,0.19908088235294116,COMPLETE,0.11775589009423573,0.19908088235294116,0.5402573529411765,0.1543103747277019
94,0.14715028965036378,2026-03-13 18:50:38.874259,2026-03-13 19:19:48.122736,0 days 00:29:09.248477,32,2,0.1,0.0032472066238961278,10,meta,256,128,5,0.6362441319824816,0.4,0.06051780830901117,0.0029934648524415574,0.4,7,50,LSTM,6,1,corn,5,3.205336288615715,0.5582180992442454,21,0.8671682593194363,0.1256717582260184,41,2.6112126368444975e-05,0.5303308823529411,0.12510219230383585,0.14715028965036378,0.21011029411764706,COMPLETE,0.12510219230383585,0.21011029411764706,0.5303308823529411,0.14715028965036378
57,0.14484010825819757,2026-03-12 16:29:36.138849,2026-03-12 17:32:50.172274,0 days 01:03:14.033425,32,6,0.1,0.009235728360766741,10,meta,64,128,5,0.17645056560381286,0.30000000000000004,0.031054743974677494,0.004013550551554615,0.4,7,20,BiLSTM,6,1,corn,15,3.0568781131576217,1.13566175144003,21,0.8988741064099279,0.29932321150559366,31,6.561831974361168e-05,0.5367647058823529,0.12309522720400193,0.14484010825819757,0.21341911764705881,COMPLETE,0.12309522720400193,0.21341911764705881,0.5367647058823529,0.14484010825819757
75,0.14266721273881025,2026-03-13 05:33:57.778510,2026-03-13 06:31:42.372693,0 days 00:57:44.594183,32,4,0.1,0.005831502816474381,20,meta,64,128,5,0.374357108508763,0.30000000000000004,0.06281083622559855,0.0015873812048842824,0.4,10,20,BiLSTM,6,1,corn,5,3.3246963681099837,0.7304646698871791,21,0.8412612378129618,0.1438483099511114,41,8.604659939234019e-06,0.5327205882352941,0.11726663454769147,0.14266721273881025,0.19797794117647058,COMPLETE,0.11726663454769147,0.19797794117647058,0.5327205882352941,0.14266721273881025
99,0.14257296155517651,2026-03-13 21:43:17.355664,2026-03-13 22:25:57.046170,0 days 00:42:39.690506,32,4,0.30000000000000004,0.004835219048368575,15,meta,64,128,5,0.1779033980509572,0.2,0.030464746897330225,0.006432631484303571,0.4,7,20,BiGRU,6,1,corn,5,2.9191468819219515,0.9857495640228106,21,0.8660486562562025,0.11460109253570867,31,1.323925602363838e-05,0.5275735294117647,0.11468891295763757,0.14257296155517651,0.20808823529411766,COMPLETE,0.11468891295763757,0.20808823529411766,0.5275735294117647,0.14257296155517651
42,0.14252074977144438,2026-03-12 10:10:03.267119,2026-03-12 10:32:54.558404,0 days 00:22:51.291285,32,2,0.1,0.006799224703730354,10,meta,128,128,5,0.414380954227111,0.30000000000000004,0.009564301649618169,0.004720984762807863,0.4,7,30,BiLSTM,6,1,corn,20,2.7334337731531866,1.0742699132884443,21,0.8904485295851201,0.30086876847966426,31,3.80646418934392e-05,0.5347426470588236,0.11918999099773162,0.14252074977144438,0.2130514705882353,COMPLETE,0.11918999099773162,0.2130514705882353,0.5347426470588236,0.14252074977144438
71,0.13775160282068283,2026-03-13 03:09:10.803797,2026-03-13 03:42:19.321246,0 days 00:33:08.517449,32,4,0.1,0.006229754188239641,15,meta,64,128,5,0.25621471545635965,0.2,0.06278002478917777,0.006255418902777847,0.4,7,20,BiLSTM,6,1,corn,5,2.9404873176150867,1.057727057052909,15,0.8286221474521975,0.1885317162836943,31,5.432441905492459e-05,0.5108455882352941,0.11037143018488699,0.13775160282068283,0.19393382352941177,COMPLETE,0.11037143018488699,0.19393382352941177,0.5108455882352941,0.13775160282068283
67,0.13648585309457753,2026-03-13 00:07:18.719722,2026-03-13 00:51:58.299481,0 days 00:44:39.579759,32,4,0.0,0.006780377086803297,20,meta,128,128,5,0.7017779988497324,0.4,0.042609035574689286,0.003327007455025061,0.8,5,50,LSTM,6,1,corn,20,3.471177146602894,0.9084358660990008,21,0.8943331113643311,0.21288634199527479,31,1.0359928040384117e-07,0.528860294117647,0.1163492286918735,0.13648585309457753,0.20625,COMPLETE,0.1163492286918735,0.20625,0.528860294117647,0.13648585309457753
89,0.1364467138205189,2026-03-13 15:50:17.053421,2026-03-13 16:20:44.819110,0 days 00:30:27.765689,32,2,0.1,0.0046925264875921765,10,meta,128,128,5,1.2512351766805911,0.4,0.026209523221335115,0.0036494023477974687,0.4,10,50,LSTM,6,1,corn,10,2.6504842716967967,0.5543569410242047,21,0.8390497503038916,0.14398825746554994,41,1.1973526862712387e-05,0.5362132352941177,0.12270608997358876,0.1364467138205189,0.20698529411764705,COMPLETE,0.12270608997358876,0.20698529411764705,0.5362132352941177,0.1364467138205189
