number,value,datetime_start,datetime_complete,duration,params_batch_size,params_coord_rounds,params_dropout,params_early_stopping_min_delta,params_early_stopping_patience,params_feature_set,params_hidden1,params_hidden2,params_huber_delta,params_inter_rnn_drop,params_lambda_balance,params_learning_rate,params_lr_factor,params_lr_patience,params_max_epochs,params_model_type,params_n_classes,params_num_layers,params_ordinal_head,params_sequence_length,params_t_max,params_t_min,params_t_steps,params_tau_max,params_tau_min,params_tau_steps,params_weight_decay,user_attrs_directional_accuracy,user_attrs_macro_f1,user_attrs_mcc,user_attrs_micro_accuracy,state,macro_f1,micro_accuracy,directional_accuracy,mcc
65,0.0956028787045944,2026-03-05 03:27:53.178539,2026-03-05 03:59:40.173668,0 days 00:31:46.995129,32,6,0.0,0.0027505767962602867,10,sector_emotion,128,32,0.9714419274293461,0.4,0.04536641453296895,0.0009642467390609986,0.8,5,50,BiGRU,6,1,coral,5,2.5741533358410043,0.36375756333807563,9,0.8445078179922536,0.1501089169205881,31,0.00033965590644625845,0.5249640804597702,0.1173842607045104,0.0956028787045944,0.1724137931034483,COMPLETE,0.1173842607045104,0.1724137931034483,0.5249640804597702,0.0956028787045944
22,0.09347623250165439,2026-03-04 09:17:12.117730,2026-03-04 09:30:57.070195,0 days 00:13:44.952465,32,2,0.1,0.007049059651094838,15,sector_emotion,64,32,0.5406001945824682,0.1,0.015833697795592457,0.0054779400424597455,0.8,7,50,BiGRU,6,1,corn,20,2.8115999820328423,0.6729689782196786,15,0.7963346962463368,0.27304040038144195,21,7.455510807645993e-06,0.5222701149425287,0.11790608269262584,0.09347623250165439,0.18444683908045978,COMPLETE,0.11790608269262584,0.18444683908045978,0.5222701149425287,0.09347623250165439
9,0.09279119034982132,2026-03-03 23:18:09.543606,2026-03-04 00:28:02.580826,0 days 01:09:53.037220,32,6,0.0,0.005087127551168835,10,sector_emotion,128,32,0.9487732505513242,0.30000000000000004,0.04638361064211885,0.0020685325345203938,0.8,5,50,BiGRU,6,1,coral,5,2.585331459675883,0.2556541908619862,21,0.8729856297500959,0.1867040171611679,31,0.00011781169945899082,0.5283764367816092,0.11480779907368752,0.09279119034982132,0.17151580459770116,COMPLETE,0.11480779907368752,0.17151580459770116,0.5283764367816092,0.09279119034982132
30,0.0920832041193018,2026-03-04 12:58:50.299276,2026-03-04 13:23:30.103908,0 days 00:24:39.804632,32,4,0.30000000000000004,0.009981411064802114,15,sector_emotion,128,32,0.6917378799766057,0.1,0.017072722330057515,0.002862068974404168,0.8,7,50,BiGRU,6,1,corn,15,2.8876850678760344,0.6162518410023091,15,0.8623257382985532,0.20264373892483578,21,1.6193749840905058e-05,0.5231681034482759,0.1205714642761728,0.0920832041193018,0.18911637931034483,COMPLETE,0.1205714642761728,0.18911637931034483,0.5231681034482759,0.0920832041193018
53,0.09198720081752278,2026-03-04 22:51:57.322739,2026-03-04 23:04:57.894185,0 days 00:13:00.571446,64,2,0.6000000000000001,0.002637160107568297,15,sector_unified_emotion,128,32,0.20445280977493513,0.30000000000000004,0.009648087113285353,0.003302252756118986,0.4,7,20,BiGRU,6,1,coral,15,2.737859772061439,0.9081987456825936,15,0.8414039871395863,0.23499760421344526,21,0.0006139378829530205,0.5335847701149425,0.11743430425936083,0.09198720081752278,0.17600574712643677,COMPLETE,0.11743430425936083,0.17600574712643677,0.5335847701149425,0.09198720081752278
92,0.09121312565501688,2026-03-05 15:55:40.027190,2026-03-05 16:21:18.621256,0 days 00:25:38.594066,32,4,0.1,0.009293236478801228,15,sector_emotion,128,128,0.1717226745011144,0.0,0.06941246444336237,0.0027408050803213956,0.8,5,20,GRU,6,1,corn,10,2.7431604620056556,0.7619853598010625,15,0.8067354360183001,0.17993652484374867,21,0.000650336805749627,0.5269396551724138,0.11591282559613654,0.09121312565501688,0.17798132183908047,COMPLETE,0.11591282559613654,0.17798132183908047,0.5269396551724138,0.09121312565501688
91,0.09023509499278544,2026-03-05 15:29:35.365449,2026-03-05 15:55:40.026197,0 days 00:26:04.660748,32,4,0.1,0.009627310889966191,15,sector_emotion,128,32,0.5379428610817858,0.0,0.03765317374203484,0.0026172052949698385,0.8,5,20,BiGRU,6,1,corn,15,3.180281438570338,0.800575974255793,15,0.8360990844293973,0.12271635779216802,21,0.0009783898429055508,0.5314295977011494,0.12309464127885195,0.09023509499278544,0.18875718390804597,COMPLETE,0.12309464127885195,0.18875718390804597,0.5314295977011494,0.09023509499278544
17,0.08831174053538315,2026-03-04 07:44:30.435170,2026-03-04 08:01:35.206033,0 days 00:17:04.770863,32,2,0.1,0.007864540010231907,10,sector_emotion,64,64,0.49975680849946896,0.1,0.013960849275587675,0.003178060272785225,0.8,7,20,BiGRU,6,1,corn,20,2.6144237914380524,0.37259368745557603,21,0.7377979499251662,0.37282097257315017,21,1.2856574170965595e-06,0.5274784482758621,0.1287476336938743,0.08831174053538315,0.20114942528735633,COMPLETE,0.1287476336938743,0.20114942528735633,0.5274784482758621,0.08831174053538315
85,0.08687308500232607,2026-03-05 13:29:41.121092,2026-03-05 13:44:50.125049,0 days 00:15:09.003957,32,2,0.0,0.0058552508046425394,15,sector_emotion,64,32,0.6421118054346626,0.0,0.005130780324545128,0.0029595187079779163,0.8,10,50,BiGRU,6,1,corn,15,2.707241630401962,0.5932843705739169,15,0.8611107712382557,0.3108312650380478,21,6.423287500686397e-06,0.5247844827586207,0.12465848759827095,0.08687308500232607,0.20168821839080459,COMPLETE,0.12465848759827095,0.20168821839080459,0.5247844827586207,0.08687308500232607
76,0.08645335922039749,2026-03-05 09:53:37.118656,2026-03-05 10:07:59.838943,0 days 00:14:22.720287,64,2,0.6000000000000001,0.0034736040349580945,15,sector_unified_emotion,128,32,0.9093873302386348,0.1,0.01153850205042436,0.0044040216066107375,0.8,10,30,BiGRU,6,1,coral,15,2.507327659311052,0.6726989372209071,15,0.8166177789343102,0.2764019334121036,21,0.0003977613228536046,0.5256824712643678,0.10935650689365331,0.08645335922039749,0.16145833333333334,COMPLETE,0.10935650689365331,0.16145833333333334,0.5256824712643678,0.08645335922039749
